year,state,place,subgroup_type,subgroup,index_transportation_cost,index_transportation_cost_quality
2015,01,03076,race-ethnicity,All,0.29788634945618464,1
2015,01,03076,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,03076,race-ethnicity,Majority White-NH Tracts,0.2963147092964352,1
2015,01,03076,race-ethnicity,Mixed Race and Ethnicity Tracts,0.30133966641781784,1
2015,01,07000,race-ethnicity,All,0.24300809217243102,1
2015,01,07000,race-ethnicity,Majority Non-White Tracts,0.24564686956092227,1
2015,01,07000,race-ethnicity,Majority White-NH Tracts,0.23062599969869219,2
2015,01,07000,race-ethnicity,Mixed Race and Ethnicity Tracts,0.25250857728067766,2
2015,01,35896,race-ethnicity,All,0.26560227940884135,1
2015,01,35896,race-ethnicity,Majority Non-White Tracts,0.20000000000000004,1
2015,01,35896,race-ethnicity,Majority White-NH Tracts,0.27942047424968214,1
2015,01,35896,race-ethnicity,Mixed Race and Ethnicity Tracts,0.23141984267565158,1
2015,01,37000,race-ethnicity,All,0.25012482336895286,1
2015,01,37000,race-ethnicity,Majority Non-White Tracts,0.25225772459468637,1
2015,01,37000,race-ethnicity,Majority White-NH Tracts,0.257188817899217,1
2015,01,37000,race-ethnicity,Mixed Race and Ethnicity Tracts,0.230761684340231,1
2015,01,50000,race-ethnicity,All,0.27990879935934915,1
2015,01,50000,race-ethnicity,Majority Non-White Tracts,0.28340028770508674,1
2015,01,50000,race-ethnicity,Majority White-NH Tracts,0.2804049294491879,1
2015,01,50000,race-ethnicity,Mixed Race and Ethnicity Tracts,0.2743287620650238,1
2015,01,51000,race-ethnicity,All,0.2712097561488353,1
2015,01,51000,race-ethnicity,Majority Non-White Tracts,0.26298381028433787,1
2015,01,51000,race-ethnicity,Majority White-NH Tracts,0.28459672542236397,1
2015,01,51000,race-ethnicity,Mixed Race and Ethnicity Tracts,0.27961999351445266,1
2015,01,77256,race-ethnicity,All,0.29298186102218016,1
2015,01,77256,race-ethnicity,Majority Non-White Tracts,0.29072494480246164,1
2015,01,77256,race-ethnicity,Majority White-NH Tracts,0.297550819818405,1
2015,01,77256,race-ethnicity,Mixed Race and Ethnicity Tracts,0.28855763924571026,1
2015,02,03000,race-ethnicity,All,0.20637081055383882,1
2015,02,03000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,02,03000,race-ethnicity,Majority White-NH Tracts,0.2160247545614884,1
2015,02,03000,race-ethnicity,Mixed Race and Ethnicity Tracts,0.19132389432199678,1
2015,04,04720,race-ethnicity,All,0.28171750264129153,1
2015,04,04720,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,04720,race-ethnicity,Majority White-NH Tracts,0.28171750264129153,1
2015,04,04720,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,07940,race-ethnicity,All,0.3146355070430858,1
2015,04,07940,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,07940,race-ethnicity,Majority White-NH Tracts,0.3146355070430858,1
2015,04,07940,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,12000,race-ethnicity,All,0.2701547936011003,1
2015,04,12000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,12000,race-ethnicity,Majority White-NH Tracts,0.27089601689422177,1
2015,04,12000,race-ethnicity,Mixed Race and Ethnicity Tracts,0.22,1
2015,04,23620,race-ethnicity,All,0.284505602046517,1
2015,04,23620,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,23620,race-ethnicity,Majority White-NH Tracts,0.28743234173829235,1
2015,04,23620,race-ethnicity,Mixed Race and Ethnicity Tracts,0.26,1
2015,04,27400,race-ethnicity,All,0.29108351694521467,1
2015,04,27400,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,27400,race-ethnicity,Majority White-NH Tracts,0.29108351694521467,1
2015,04,27400,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,27820,race-ethnicity,All,0.25876633350551276,1
2015,04,27820,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,27820,race-ethnicity,Majority White-NH Tracts,0.258867379078917,1
2015,04,27820,race-ethnicity,Mixed Race and Ethnicity Tracts,0.2552700270027003,1
2015,04,28380,race-ethnicity,All,0.30486742254334076,1
2015,04,28380,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,28380,race-ethnicity,Majority White-NH Tracts,0.30486742254334076,1
2015,04,28380,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,46000,race-ethnicity,All,0.2573008258468707,1
2015,04,46000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,46000,race-ethnicity,Majority White-NH Tracts,0.2573008258468707,1
2015,04,46000,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,54050,race-ethnicity,All,0.28420049032883155,1
2015,04,54050,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,54050,race-ethnicity,Majority White-NH Tracts,0.28420049032883155,1
2015,04,54050,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,55000,race-ethnicity,All,0.2502247601470116,1
2015,04,55000,race-ethnicity,Majority Non-White Tracts,0.23793694311172034,1
2015,04,55000,race-ethnicity,Majority White-NH Tracts,0.2527351256212594,1
2015,04,55000,race-ethnicity,Mixed Race and Ethnicity Tracts,0.2373125026282691,1
2015,04,65000,race-ethnicity,All,0.261235095547609,1
2015,04,65000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,65000,race-ethnicity,Majority White-NH Tracts,0.261235095547609,1
2015,04,65000,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,71510,race-ethnicity,All,0.2895836526726112,1
2015,04,71510,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,71510,race-ethnicity,Majority White-NH Tracts,0.2895836526726112,1
2015,04,71510,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,73000,race-ethnicity,All,0.23300344840964535,1
2015,04,73000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,73000,race-ethnicity,Majority White-NH Tracts,0.23685551992246928,1
2015,04,73000,race-ethnicity,Mixed Race and Ethnicity Tracts,0.2094435908691835,1
2015,04,77000,race-ethnicity,All,0.2590437357464422,1
2015,04,77000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,77000,race-ethnicity,Majority White-NH Tracts,0.25900253880080537,1
2015,04,77000,race-ethnicity,Mixed Race and Ethnicity Tracts,0.2596648649750788,1
2015,04,85540,race-ethnicity,All,0.335295271728286,1
2015,04,85540,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,85540,race-ethnicity,Majority White-NH Tracts,0.3371079369739217,1
2015,04,85540,race-ethnicity,Mixed Race and Ethnicity Tracts,0.31903000803686105,2
2015,05,23290,race-ethnicity,All,0.2657669972536582,1
2015,05,23290,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,05,23290,race-ethnicity,Majority White-NH Tracts,0.2657669972536582,1
2015,05,23290,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,05,24550,race-ethnicity,All,0.3291658766543414,1
2015,05,24550,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,05,24550,race-ethnicity,Majority White-NH Tracts,0.32746110024918745,1
2015,05,24550,race-ethnicity,Mixed Race and Ethnicity Tracts,0.3437569060773481,1
2015,05,35710,race-ethnicity,All,0.32831452784840054,1
2015,05,35710,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,05,35710,race-ethnicity,Majority White-NH Tracts,0.33271859507033186,1
2015,05,35710,race-ethnicity,Mixed Race and Ethnicity Tracts,0.26,1
2015,05,41000,race-ethnicity,All,0.2546449863590698,1
2015,05,41000,race-ethnicity,Majority Non-White Tracts,0.2508040835354144,1
2015,05,41000,race-ethnicity,Majority White-NH Tracts,0.25792560420245764,1
