year,state,place,r_black_nh_hv_hh,black_nh_wealth_quality,r_hispanic_hv_hh,hispanic_wealth_quality,r_other_nh_hv_hh,other_nh_wealth_quality,r_white_nh_hv_hh,white_nh_wealth_quality
2014,01,3076,11.9%:24.6%,3,4.0%:3.0%,3,2.6%:2.7%,3,81.5%:69.7%,3
2014,01,7000,30.7%:61.3%,2,1.5%:3.2%,3,1.7%:2.2%,2,66.1%:33.3%,2
2014,01,35896,3.8%:15.9%,3,2.2%:4.1%,3,2.8%:4.2%,3,91.2%:75.7%,3
2014,01,37000,6.5%:24.1%,2,2.2%:4.2%,2,5.3%:5.0%,2,86.0%:66.7%,2
2014,01,50000,32.2%:47.7%,2,0.9%:2.3%,3,1.5%:2.8%,3,65.4%:47.2%,2
2014,01,51000,33.9%:56.8%,2,2.8%:1.9%,3,3.9%:2.4%,3,59.3%:38.9%,2
2014,01,77256,22.8%:41.3%,2,4.1%:2.3%,3,1.5%:2.9%,3,71.6%:53.4%,2
2014,02,3000,0.9%:6.2%,3,3.3%:7.3%,3,11.0%:19.1%,2,84.8%:67.5%,2
2014,04,4720,6.2%:8.5%,3,29.6%:38.4%,3,4.3%:5.9%,3,59.9%:47.1%,3
2014,04,7940,2.8%:4.1%,3,14.9%:21.2%,3,4.4%:6.0%,3,77.9%:68.7%,3
2014,04,12000,2.7%:6.1%,2,11.7%:18.0%,2,10.2%:10.8%,2,75.3%:65.1%,2
2014,04,23620,0.7%:1.3%,3,7.7%:11.5%,3,11.2%:24.2%,3,80.4%:63.1%,3
2014,04,27400,2.2%:2.5%,2,10.0%:12.9%,2,9.6%:7.9%,2,78.2%:76.8%,2
2014,04,27820,2.3%:6.3%,1,15.8%:25.8%,1,8.1%:7.5%,1,73.9%:60.4%,1
2014,04,28380,4.0%:6.5%,3,18.3%:21.7%,3,3.2%:6.4%,3,74.6%:65.4%,3
2014,04,46000,1.7%:3.4%,3,13.2%:20.9%,1,2.5%:3.6%,1,82.7%:72.1%,1
2014,04,54050,3.3%:4.7%,3,8.7%:15.2%,3,8.4%:6.3%,3,79.6%:73.7%,3
2014,04,55000,2.0%:7.0%,1,12.7%:29.9%,1,5.4%:6.2%,1,79.8%:56.9%,1
2014,04,65000,0.6%:1.0%,3,1.9%:6.4%,3,6.4%:5.6%,3,91.2%:87.0%,3
2014,04,71510,2.5%:5.2%,3,9.5%:12.7%,3,2.9%:2.7%,3,85.2%:79.3%,3
2014,04,73000,2.9%:5.6%,1,9.8%:15.9%,1,7.0%:12.1%,1,80.4%:66.4%,1
2014,04,77000,2.0%:3.8%,2,20.0%:32.1%,2,3.1%:6.2%,2,74.9%:57.9%,2
2014,04,85540,2.1%:2.2%,3,40.8%:52.0%,3,1.0%:2.9%,3,56.2%:43.0%,3
2014,05,23290,3.1%:5.2%,3,4.4%:10.6%,3,4.1%:6.6%,3,88.4%:77.6%,3
2014,05,24550,1.5%:5.4%,3,3.0%:6.0%,3,10.7%:6.9%,3,84.9%:81.7%,3
2014,05,35710,1.7%:5.6%,3,0.8%:2.1%,3,0.5%:4.0%,3,97.0%:88.3%,3
2014,05,41000,14.6%:39.6%,1,2.2%:4.6%,3,4.7%:3.4%,1,78.5%:52.5%,1
2014,05,66080,2.1%:4.1%,3,4.9%:11.0%,3,4.0%:6.5%,3,89.0%:78.4%,3
2014,06,562,3.3%:10.1%,3,7.1%:17.5%,3,31.5%:28.6%,3,58.1%:43.8%,3
2014,06,884,0.8%:1.5%,3,21.6%:28.9%,2,49.1%:46.2%,2,28.5%:23.4%,2
2014,06,2000,1.0%:2.5%,2,22.4%:39.7%,2,23.8%:20.1%,2,52.9%:37.7%,2
