year,state,place,subgroup_type,subgroup,share_digital_access,share_digital_access_lb,share_digital_access_ub,share_digital_access_quality
2018,01,03076,all,All,0.8849756333598313,0.8632526651817,0.9066986015379627,1
2018,01,03076,race-ethnicity,Other Races and Ethnicities,0.9317770836758179,0.8345610142135595,1,1
2018,01,03076,race-ethnicity,Black,0.7572012456208641,0.6341796211788675,0.8802228700628608,2
2018,01,03076,race-ethnicity,Hispanic,0.8929384965831435,0.6654065493788268,1,3
2018,01,03076,race-ethnicity,White,0.909750162623172,0.8747578593510759,0.9447424658952681,1
2018,01,07000,all,All,0.7212352550052946,0.706576006966622,0.7358945030439673,1
2018,01,07000,race-ethnicity,Other Races and Ethnicities,0.7539932236205228,0.609586523128539,0.8983999241125065,2
2018,01,07000,race-ethnicity,Black,0.6841211473804584,0.6646134126020817,0.703628882158835,1
2018,01,07000,race-ethnicity,Hispanic,0.6596056488142819,0.50864556581685,0.8105657318117138,2
2018,01,07000,race-ethnicity,White,0.8268970328723273,0.7866787048056798,0.8671153609389748,1
2018,01,35896,all,All,0.9358602316785994,0.9236452055161957,0.9480752578410032,1
2018,01,35896,race-ethnicity,Other Races and Ethnicities,0.8782587897632146,0.7027018356278997,1,2
2018,01,35896,race-ethnicity,Black,0.9299979411159152,0.8200973370305635,1,2
2018,01,35896,race-ethnicity,Hispanic,0.8361280487804879,0.5875227036844837,1,3
2018,01,35896,race-ethnicity,White,0.9451340169095162,0.9180108719441142,0.972257161874918,1
2018,01,37000,all,All,0.8553977517443363,0.842561965862876,0.8682335376257966,1
2018,01,37000,race-ethnicity,Other Races and Ethnicities,0.8711837171933583,0.7883715545799409,0.9539958798067757,1
2018,01,37000,race-ethnicity,Black,0.7816809592889803,0.7436325908514975,0.8197293277264631,1
2018,01,37000,race-ethnicity,Hispanic,0.7590350877192983,0.6733314669652856,0.8447387084733109,1
2018,01,37000,race-ethnicity,White,0.8878737612912653,0.8673006495203344,0.9084468730621961,1
2018,01,50000,all,All,0.7420697901945864,0.7267341732334458,0.7574054071557269,1
2018,01,50000,race-ethnicity,Other Races and Ethnicities,0.8484812809041676,0.7207368834642162,0.9762256783441191,2
2018,01,50000,race-ethnicity,Black,0.6397780486240298,0.6148741452078639,0.6646819520401956,1
2018,01,50000,race-ethnicity,Hispanic,0.8076514346439958,0.6364618897958261,0.9788409794921654,2
2018,01,50000,race-ethnicity,White,0.8477889496290512,0.8222877740576736,0.8732901252004287,1
2018,01,51000,all,All,0.8019789210856209,0.7876141483659566,0.8163436938052852,1
2018,01,51000,race-ethnicity,Other Races and Ethnicities,0.851795777609555,0.7710990426875952,0.932492512531515,1
2018,01,51000,race-ethnicity,Black,0.7632124000475358,0.7407087599121671,0.7857160401829044,1
2018,01,51000,race-ethnicity,Hispanic,0.5418015896379158,0.4474505038864079,0.6361526753894238,1
2018,01,51000,race-ethnicity,White,0.8639396395834632,0.8439353675476524,0.8839439116192741,1
2018,01,77256,all,All,0.7894454142607762,0.7690726047996862,0.8098182237218662,1
2018,01,77256,race-ethnicity,Other Races and Ethnicities,0.7866817155756207,0.5931149555431167,0.9802484756081249,2
2018,01,77256,race-ethnicity,Black,0.7186387583653709,0.68247389782104,0.7548036189097019,1
2018,01,77256,race-ethnicity,Hispanic,0.7538515406162465,0.46098545801299246,1,3
2018,01,77256,race-ethnicity,White,0.8594494812599308,0.8215855329489931,0.8973134295708687,1
2018,02,03000,all,All,0.9141349757858346,0.90570258226942,0.9225673693022491,1
2018,02,03000,race-ethnicity,Other Races and Ethnicities,0.8860631058859859,0.8514739641009753,0.9206522476709965,1
2018,02,03000,race-ethnicity,Black,0.8897026045978476,0.8266491969958308,0.9527560121998642,1
2018,02,03000,race-ethnicity,Hispanic,0.8693321078431373,0.8340601533166458,0.9046040623696286,1
2018,02,03000,race-ethnicity,White,0.9302021964036906,0.9201825955770806,0.9402217972303007,1
2018,04,04720,all,All,0.8583445491251682,0.842623349846797,0.8740657484035395,1
2018,04,04720,race-ethnicity,Other Races and Ethnicities,0.8313343799058085,0.735461453918446,0.927207305893171,1
2018,04,04720,race-ethnicity,Black,0.8511154779794243,0.7212374906848797,0.980993465273969,2
2018,04,04720,race-ethnicity,Hispanic,0.818826913102928,0.7747268070660488,0.8629270191398072,1
2018,04,04720,race-ethnicity,White,0.8667462482946794,0.8345817247685118,0.898910771820847,1
2018,04,07940,all,All,0.9170850884582983,0.8919102332000931,0.9422599437165033,1
2018,04,07940,race-ethnicity,Other Races and Ethnicities,0.8584612082841506,0.6974783624266643,1,2
2018,04,07940,race-ethnicity,Black,0.9664375252729478,0.802625805507997,1,2
2018,04,07940,race-ethnicity,Hispanic,0.8787598761724345,0.8047150029344655,0.9528047494104035,1
2018,04,07940,race-ethnicity,White,0.9237883996894755,0.8803942434975071,0.9671825558814439,1
