year,state,county,subgroup_type,subgroup,pctl_income_20,pctl_20_quality,pctl_income_50,pctl_50_quality,pctl_income_80,pctl_80_quality
2018,01,001,race-ethnicity,"Black, Non-Hispanic",12430.546377,3,36268.8726,3,81370.821675,3
2018,01,001,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",27834.6185,3,63600.754533,3,114978.25643399998,3
2018,01,001,all,All,21413.904875,3,55779.347951263386,3,107067.507525,3
2018,01,003,race-ethnicity,"Black, Non-Hispanic",12652.282516,1,31074.849159,1,67274.9597888,1
2018,01,003,race-ethnicity,Hispanic,13601.430412,3,37290.627942,3,83377.8831,3
2018,01,003,race-ethnicity,Other Races and Ethnicities,32216.4846,3,44540.853072,3,105759.246321,3
2018,01,003,race-ethnicity,"White, Non-Hispanic",25585.104078,1,59133.033575,1,117050.182695,1
2018,01,003,all,All,24196.545824,1,55290.799344,1,112431.32009999998,1
2018,01,005,race-ethnicity,"Black, Non-Hispanic",9551.057296,3,25910.47195,3,59430.02472,3
2018,01,005,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",20820.38151,3,47965.735125,3,92424.677312,3
2018,01,005,all,All,13285.04778,3,37007.699652,3,78232.155084,3
2018,01,007,race-ethnicity,"Black, Non-Hispanic",9117.873,3,21984.2049,3,49236.5142,3
2018,01,007,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",20227.672675815007,3,50834.17328,3,99283.506,3
2018,01,007,all,All,10706.448225,3,29978.4584,3,74194.749968,3
2018,01,009,race-ethnicity,"Black, Non-Hispanic",25895.539101,3,48180.52965,3,83626.570544,3
2018,01,009,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,009,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,009,race-ethnicity,"White, Non-Hispanic",22270.0577,2,53533.24955,2,97368.399999,2
2018,01,009,all,All,21948.370125,2,52681.044,2,95940.2859,2
