year,state,county,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2021,01,001,28601.10056,3,60765.752,3,113807.044,3
2021,01,003,31721.7824,1,65915.392,1,128741,1
2021,01,005,16478.848,3,41197.12,3,81261.3192,3
2021,01,007,16272.8624,3,29867.912,3,83424.168,3
2021,01,009,25954.1856,2,55616.112,2,104022.728,2
2021,01,011,16478.848,3,41197.12,3,81261.3192,3
2021,01,013,17714.7616,3,47170.7024,3,98121.24056,3
2021,01,015,16684.8336,1,49436.544,1,89603.736,1
2021,01,017,19774.6176,3,50775.4504,3,101344.9152,3
2021,01,019,16581.8408,3,43256.976,3,87543.88,3
2021,01,021,19774.6176,3,50775.4504,3,101344.9152,3
2021,01,023,16993.812,3,37489.3792,3,86410.9592,3
2021,01,025,16993.812,3,37489.3792,3,86410.9592,3
2021,01,027,16581.8408,3,43256.976,3,87543.88,3
2021,01,029,16581.8408,3,43256.976,3,87543.88,3
2021,01,031,17714.7616,2,47170.7024,2,98113.20959342724,2
2021,01,033,21422.5024,3,49745.5224,3,95783.304,3
2021,01,035,16993.812,3,37489.3792,3,86410.95919999998,3
2021,01,037,19774.6176,3,50775.4504,3,101344.9152,3
2021,01,039,17714.7616,3,47170.7024,3,98098.01527162877,3
2021,01,041,17714.7616,3,47170.7024,3,98121.24056,3
2021,01,043,25027.2504,1,56646.04,1,107833.46160000001,1
2021,01,045,19568.632,3,50466.472,3,101962.872,3
2021,01,047,16272.8624,3,29867.912,3,83424.168,3
2021,01,049,18538.704,2,46140.7744,2,90633.664,2
2021,01,051,28601.10056,2,60765.75200000001,2,113807.044,2
2021,01,053,16993.812,3,37489.3792,3,86410.9592,3
2021,01,055,17199.7976,1,45316.832,1,85895.9952,1
2021,01,057,18034.03928,3,44286.90400000001,3,85484.024,3
2021,01,059,21422.5024,3,49745.5224,3,95783.304,3
2021,01,061,19568.632,3,50466.472,3,101962.872,3
2021,01,063,16272.8624,3,29867.912,3,83424.168,3
2021,01,065,16272.862400000002,3,29867.912,3,83424.168,3
2021,01,067,19568.632,3,50466.472,3,101962.872,3
2021,01,069,19568.632,2,50466.472,2,101962.872,2
2021,01,071,18538.704,2,46140.7744,2,90633.664,2
2021,01,073,21216.5168,1,55657.30912,1,116381.864,1
2021,01,075,18034.03928,3,44286.904,3,85484.024,3
2021,01,077,21422.5024,2,49745.5224,2,95783.304,2
2021,01,079,25954.1856,3,59323.8528,3,113292.08000000002,3
2021,01,081,18538.704,1,52217.3496,1,103713.7496,1
2021,01,083,35841.4944,2,77244.6,2,155519.128,2
2021,01,085,28601.10056,3,60765.752,3,113839.50733056,3
2021,01,087,16478.848,3,41197.12,3,81261.3192,3
2021,01,089,30897.84,1,74154.816,1,150884.452,1
2021,01,091,16272.8624,3,29867.912,3,83424.168,3
2021,01,093,18744.6896,3,45316.832,3,89603.736,3
2021,01,095,25748.2,2,59735.82399999999,2,130800.856,2
2021,01,097,20598.56,1,48612.6016,1,101962.872,1
2021,01,099,16993.812,3,37489.3792,3,86410.9592,3
2021,01,101,18538.704,1,49436.544,1,100932.944,1
2021,01,103,25954.1856,1,59323.85280000001,1,113292.08,1
2021,01,105,16272.8624,3,29867.911999999997,3,83424.168,3
2021,01,107,35635.5088,3,70962.0392,3,135435.532,3
2021,01,109,16478.848,3,41197.12,3,81261.3192,3
2021,01,111,16581.8408,3,43256.976,3,87543.88,3
2021,01,113,16478.848,2,41197.12,2,81261.3192,2
2021,01,115,25954.1856,2,55616.112,2,104022.728,2
2021,01,117,37695.3648,1,82394.24,1,154025.7324,1
2021,01,119,16272.8624,3,29867.911999999997,3,83424.168,3
2021,01,121,16581.8408,2,43256.976,2,87543.88,2
2021,01,123,19774.6176,3,50775.4504,3,101344.9152,3
2021,01,125,20598.56,1,52526.328,1,118647.7056,1
2021,01,127,18034.03928,2,44286.904,2,85484.024,2
2021,01,129,16993.812,3,37489.3792,3,86410.9592,3
2021,01,131,16993.812,3,37489.3792,3,86410.9592,3
2021,01,133,25027.2504,3,56646.03999999999,3,107833.4616,3
2021,02,013,28765.39467456,3,69108.1688,3,124724.2808,3
2021,02,016,28800.82419776,3,69108.1688,3,124724.2808,3
2021,02,020,38107.336,1,83918.53344,1,160668.768,1
2021,02,050,28530.225034752053,3,69108.1688,3,124724.2808,3
2021,02,060,28928.823649600003,3,69082.4206,3,124724.2808,3
2021,02,063,33163.6816,3,74051.8232,3,155519.128,3
2021,02,066,33164.67033088001,3,74051.8232,3,155519.128,3
2021,02,068,33626.13575084801,3,74051.8232,3,155517.776734464,3
2021,02,070,28700.55040767999,3,69108.1688,3,124724.28079999998,3
