year,state,place,state_name,place_name,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
2014,01,03076,NA,NA,11.9%:23.6%,2,4.0%:2.8%,3,2.6%:2.8%,3,81.5%:70.8%,2
2014,01,07000,NA,NA,38.4%:61.3%,3,1.3%:3.4%,3,1.4%:2.3%,3,58.8%:32.9%,3
2014,01,35896,NA,NA,5.2%:17.5%,3,2.3%:4.1%,3,3.0%:3.9%,3,89.4%:74.5%,3
2014,01,37000,NA,NA,5.8%:25.0%,3,2.1%:4.1%,3,5.3%:4.7%,3,86.8%:66.1%,3
2014,01,50000,NA,NA,32.0%:47.7%,3,0.9%:2.3%,3,1.5%:2.6%,3,65.6%:47.4%,3
2014,01,51000,NA,NA,32.8%:55.1%,3,2.7%:2.2%,3,3.8%:2.6%,3,60.7%:40.1%,3
2014,01,77256,NA,NA,22.3%:36.9%,2,4.0%:2.0%,3,1.5%:2.8%,3,72.2%:58.3%,2
2014,02,03000,NA,NA,1.0%:6.4%,3,3.2%:7.5%,3,10.9%:20.0%,2,85.0%:66.1%,2
2014,04,04720,NA,NA,6.3%:8.5%,2,29.8%:38.4%,2,4.3%:6.0%,2,59.6%:47.1%,2
2014,04,07940,NA,NA,2.2%:3.7%,3,13.2%:23.0%,2,5.0%:6.2%,2,79.6%:67.1%,2
2014,04,12000,NA,NA,2.7%:6.0%,3,11.6%:17.7%,3,10.3%:10.8%,3,75.4%:65.6%,3
2014,04,23620,NA,NA,0.7%:2.3%,3,7.7%:12.9%,3,11.2%:22.4%,3,80.4%:62.4%,3
2014,04,27400,NA,NA,2.1%:2.4%,3,10.0%:12.6%,1,9.8%:8.0%,1,78.1%:77.0%,1
