year,state,county,share_poverty_exposure,share_poverty_exposure_quality
2016,01,001,0,1
2016,01,003,0,1
2016,01,005,0,1
2016,01,007,0,1
2016,01,009,0,1
2016,01,011,0,1
2016,01,013,0,1
2016,01,015,0.2207363903320533,1
2016,01,017,0,1
2016,01,019,0,1
2016,01,021,0,1
2016,01,023,0,1
2016,01,025,0.08185289722729537,1
2016,01,027,0,1
2016,01,029,0,1
2016,01,031,0.21000121669302835,1
2016,01,033,0.08552188552188553,1
2016,01,035,0.47406866325785246,1
2016,01,037,0,1
2016,01,039,0.12203100554686389,1
2016,01,041,0,1
2016,01,043,0,1
2016,01,045,0.14943922400727494,1
2016,01,047,0.44877735795252016,1
2016,01,049,0,1
2016,01,051,0,1
2016,01,053,0.09703170676860805,1
2016,01,055,0.029337893443060974,1
2016,01,057,0,1
2016,01,059,0,1
2016,01,061,0,1
2016,01,063,0.6436746056294463,1
2016,01,065,0,1
2016,01,067,0,1
2016,01,069,0.12217357713108422,1
2016,01,071,0,1
2016,01,073,0.20667237687366166,1
2016,01,075,0,1
2016,01,077,0.16694884508404886,1
2016,01,079,0,1
2016,01,081,0.2338271967140971,1
2016,01,083,0,1
2016,01,085,0.24658901830282862,1
2016,01,087,0.04254840162089149,1
2016,01,089,0.2058868991101199,1
2016,01,091,0.37554505813953487,1
2016,01,093,0,1
2016,01,095,0.17750026126031979,1
2016,01,097,0.1955413121717345,1
2016,01,099,0.2170109007458405,1
2016,01,101,0.25337363245498273,1
2016,01,103,0.07062382641351972,1
2016,01,105,0.9170596393897364,1
2016,01,107,0,1
2016,01,109,0.27470894228387416,1
2016,01,111,0,1
2016,01,113,0.10995733719713435,1
2016,01,115,0,1
2016,01,117,0.025425204620653626,1
2016,01,119,0.46311654299432564,1
2016,01,121,0.22290464669024132,1
2016,01,123,0.1748489025554024,1
2016,01,125,0.22692196112561647,1
2016,01,127,0,1
2016,01,129,0,1
2016,01,131,0.18205944798301485,1
2016,01,133,0,1
2016,02,013,0,1
2016,02,016,0,1
2016,02,020,0,1
2016,02,050,0,1
2016,02,060,0,1
2016,02,068,0,2
2016,02,070,0,1
2016,02,090,0,1
2016,02,100,0,2
2016,02,105,0,1
2016,02,110,0,1
2016,02,122,0,1
2016,02,130,0,1
2016,02,150,0,1
2016,02,158,0,1
2016,02,164,0,1
2016,02,170,0,1
2016,02,180,0,1
2016,02,185,0,1
2016,02,188,0,1
2016,02,195,0,2
2016,02,198,0,1
2016,02,220,0,1
2016,02,230,0,2
2016,02,240,0,1
2016,02,261,0,1
2016,02,275,0,1
2016,02,282,0,2
2016,02,290,0,1
2016,04,001,0.6308363863122612,1
2016,04,003,0.12684817886765237,1
2016,04,005,0.17071613521086795,1
