year,metro,subgroup_type,subgroup,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2017,10100,all,All,1.0160354,.79692024,1.2351506,1
2017,10100,gender,Female,1.0139395,.78563476,1.2422442,1
2017,10100,gender,Male,1.030988,.77829945,1.2836765,1
2017,10100,income,Economically Disadvantaged,1.0313972,.70778769,1.3550068,1
2017,10100,income,Not Economically Disadvantaged,.99012339,.76587224,1.2143745,1
2017,10100,race-ethnicity,"Black, Non-Hispanic",,,,
2017,10100,race-ethnicity,Hispanic,1.4068009,.032401886,2.7811999,3
2017,10100,race-ethnicity,"White, Non-Hispanic",.9902094,.80971098,1.1707078,1
2017,10140,all,All,.80998683,.62068295,.9992907,3
2017,10140,gender,Female,.83665764,.64381367,1.0295016,3
2017,10140,gender,Male,.76245463,.53871411,.98619515,3
2017,10140,income,Economically Disadvantaged,.82569122,.62894994,1.0224324,3
2017,10140,income,Not Economically Disadvantaged,.79903358,.51080191,1.0872653,3
2017,10140,race-ethnicity,"Black, Non-Hispanic",,,,
2017,10140,race-ethnicity,Hispanic,.83781683,.51407677,1.161557,3
2017,10140,race-ethnicity,"White, Non-Hispanic",.81076616,.63410121,.98743111,3
2017,10180,all,All,.93803459,.84335589,1.0327133,1
2017,10180,gender,Female,.98572701,.8869828,1.0844712,1
2017,10180,gender,Male,.88612872,.7770431,.99521434,1
2017,10180,income,Economically Disadvantaged,.92699808,.81865746,1.0353388,1
2017,10180,income,Not Economically Disadvantaged,.90567517,.78479046,1.0265599,1
2017,10180,race-ethnicity,"Black, Non-Hispanic",.77015239,.53907591,1.0012288,1
2017,10180,race-ethnicity,Hispanic,.97162277,.853863,1.0893825,1
2017,10180,race-ethnicity,"White, Non-Hispanic",.94464546,.84510005,1.0441909,1
2017,10220,all,All,.95458311,.76268321,1.1464829,1
2017,10220,gender,Female,.96352166,.77193254,1.1551107,1
2017,10220,gender,Male,.95534891,.72348726,1.1872106,1
2017,10220,income,Economically Disadvantaged,.86430544,.64949167,1.0791192,1
2017,10220,income,Not Economically Disadvantaged,1.0898814,.83732373,1.3424392,1
2017,10220,race-ethnicity,"Black, Non-Hispanic",,,,
2017,10220,race-ethnicity,Hispanic,.94072187,.42445183,1.4569919,1
2017,10220,race-ethnicity,"White, Non-Hispanic",1.0048702,.79603952,1.2137008,1
2017,10300,all,All,.89738792,.74720955,1.0475663,1
2017,10300,gender,Female,.92414987,.76860642,1.0796933,1
2017,10300,gender,Male,.8611905,.68696409,1.035417,1
2017,10300,income,Economically Disadvantaged,.92299622,.73132819,1.1146643,1
2017,10300,income,Not Economically Disadvantaged,.86270607,.69332832,1.0320839,1
2017,10300,race-ethnicity,"Black, Non-Hispanic",,,,
2017,10300,race-ethnicity,Hispanic,1.1413187,.78389519,1.4987421,1
2017,10300,race-ethnicity,"White, Non-Hispanic",.86982644,.74696952,.99268335,1
2017,10420,all,All,.96738523,.91105694,1.0237135,1
2017,10420,gender,Female,.99898517,.93973929,1.058231,1
2017,10420,gender,Male,.93347335,.86910075,.99784595,1
2017,10420,income,Economically Disadvantaged,.86961764,.79980248,.9394328,1
2017,10420,income,Not Economically Disadvantaged,1.0094115,.94405538,1.0747676,1
2017,10420,race-ethnicity,"Black, Non-Hispanic",.82803953,.73188615,.92419291,1
2017,10420,race-ethnicity,Hispanic,1.0309166,.77008617,1.291747,1
2017,10420,race-ethnicity,"White, Non-Hispanic",.99396753,.94362134,1.0443137,1
2017,10460,all,All,1.5735539,.46625462,2.6808531,3
2017,10460,gender,Female,1.646104,.47392085,2.8182871,3
2017,10460,gender,Male,1.5136086,.25576413,2.7714529,3
2017,10460,income,Economically Disadvantaged,1.3151155,.13512407,2.4951069,3
2017,10460,income,Not Economically Disadvantaged,2.4904406,.89351165,4.0873694,3
2017,10460,race-ethnicity,"Black, Non-Hispanic",1.7902477,-1.1022489,4.682744,3
2017,10460,race-ethnicity,Hispanic,1.631337,.28265139,2.9800227,3
2017,10460,race-ethnicity,"White, Non-Hispanic",1.6068629,.42727411,2.7864518,3
2017,10500,all,All,1.1087396,1.0084362,1.209043,1
2017,10500,gender,Female,1.1736566,1.0682951,1.279018,1
2017,10500,gender,Male,1.0500866,.93531418,1.1648591,1
2017,10500,income,Economically Disadvantaged,1.0698712,.94175196,1.1979904,1
2017,10500,income,Not Economically Disadvantaged,1.0715356,.79947686,1.3435943,1
2017,10500,race-ethnicity,"Black, Non-Hispanic",1.124392,1.0363088,1.2124753,1
2017,10500,race-ethnicity,Hispanic,.92067444,.47167864,1.3696703,1
2017,10500,race-ethnicity,"White, Non-Hispanic",.98163241,.84271985,1.1205449,1
2017,10540,all,All,1.0111157,.83920091,1.1830304,2
2017,10540,gender,Female,1.2003684,1.0225165,1.3782203,2
2017,10540,gender,Male,.81822193,.61855102,1.0178928,2
2017,10540,income,Economically Disadvantaged,.98685193,.79278702,1.1809168,2
2017,10540,income,Not Economically Disadvantaged,.95848995,.73243707,1.1845428,2
2017,10540,race-ethnicity,"Black, Non-Hispanic",,,,
