year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,share_hs_degree_quality
2021,01,001,all,All,0.80903,0.87995,0.73810,2
2021,01,001,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,001,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,001,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,001,race-ethnicity,"White, Non-Hispanic",0.93931,0.99334,0.88527,3
2021,01,003,all,All,0.90210,0.95261,0.85160,1
2021,01,003,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,003,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,003,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,003,race-ethnicity,"White, Non-Hispanic",0.94300,0.99012,0.89589,3
2021,01,005,all,All,0.88369,0.91672,0.85067,2
2021,01,005,race-ethnicity,"Black, Non-Hispanic",0.88609,0.93225,0.83994,2
2021,01,005,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,005,race-ethnicity,Other Races and Ethnicities,0.87112,0.98375,0.75849,3
2021,01,005,race-ethnicity,"White, Non-Hispanic",0.92589,0.96959,0.88218,2
2021,01,007,all,All,0.95779,0.98653,0.92904,2
2021,01,007,race-ethnicity,"Black, Non-Hispanic",0.97645,1.00000,0.94422,3
2021,01,007,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,007,race-ethnicity,"White, Non-Hispanic",0.91766,0.97323,0.86209,3
2021,01,009,all,All,0.85641,0.92107,0.79176,2
2021,01,009,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,009,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,009,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,009,race-ethnicity,"White, Non-Hispanic",0.89831,0.95941,0.83721,3
2021,01,011,all,All,0.88369,0.91672,0.85067,2
2021,01,011,race-ethnicity,"Black, Non-Hispanic",0.88609,0.93225,0.83994,2
2021,01,011,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,011,race-ethnicity,Other Races and Ethnicities,0.87112,0.98375,0.75849,3
2021,01,011,race-ethnicity,"White, Non-Hispanic",0.92589,0.96959,0.88218,2
2021,01,013,all,All,0.87984,0.92761,0.83208,2
2021,01,013,race-ethnicity,"Black, Non-Hispanic",0.90260,0.99687,0.80833,3
2021,01,013,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,013,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,013,race-ethnicity,"White, Non-Hispanic",0.84714,0.91022,0.78406,2
2021,01,015,all,All,0.92197,0.96104,0.88289,1
2021,01,015,race-ethnicity,"Black, Non-Hispanic",0.98364,1.00000,0.94572,3
2021,01,015,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,015,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,015,race-ethnicity,"White, Non-Hispanic",0.92343,0.97121,0.87566,1
2021,01,017,all,All,0.88769,0.94217,0.83320,2
2021,01,017,race-ethnicity,"Black, Non-Hispanic",0.94303,1.00000,0.86731,3
2021,01,017,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,017,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,017,race-ethnicity,"White, Non-Hispanic",0.89389,0.95975,0.82803,3
2021,01,019,all,All,0.88150,0.92629,0.83670,2
2021,01,019,race-ethnicity,"Black, Non-Hispanic",0.90190,0.98605,0.81776,3
2021,01,019,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,019,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,019,race-ethnicity,"White, Non-Hispanic",0.84741,0.90971,0.78512,2
2021,01,021,all,All,0.88769,0.94217,0.83320,2
2021,01,021,race-ethnicity,"Black, Non-Hispanic",0.94303,1.00000,0.86731,3
2021,01,021,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,021,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,021,race-ethnicity,"White, Non-Hispanic",0.89389,0.95975,0.82803,3
2021,01,023,all,All,0.84247,0.90218,0.78276,2
2021,01,023,race-ethnicity,"Black, Non-Hispanic",0.84561,0.94477,0.74644,3
2021,01,023,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,023,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,023,race-ethnicity,"White, Non-Hispanic",0.83186,0.91381,0.74991,3
2021,01,025,all,All,0.84247,0.90218,0.78276,2
2021,01,025,race-ethnicity,"Black, Non-Hispanic",0.84561,0.94477,0.74644,3
2021,01,025,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,025,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,025,race-ethnicity,"White, Non-Hispanic",0.83186,0.91381,0.74991,3
2021,01,027,all,All,0.88150,0.92629,0.83670,2
2021,01,027,race-ethnicity,"Black, Non-Hispanic",0.90190,0.98605,0.81776,3
2021,01,027,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,027,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,027,race-ethnicity,"White, Non-Hispanic",0.84741,0.90971,0.78512,2
2021,01,029,all,All,0.88150,0.92629,0.83670,2
2021,01,029,race-ethnicity,"Black, Non-Hispanic",0.90190,0.98605,0.81776,3
2021,01,029,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,029,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,029,race-ethnicity,"White, Non-Hispanic",0.84741,0.90971,0.78512,2
2021,01,031,all,All,0.87984,0.92761,0.83208,2
2021,01,031,race-ethnicity,"Black, Non-Hispanic",0.90260,0.99687,0.80833,3
2021,01,031,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,031,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,031,race-ethnicity,"White, Non-Hispanic",0.84714,0.91022,0.78406,2
2021,01,033,all,All,0.91523,0.95300,0.87747,2
2021,01,033,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,033,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,033,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,033,race-ethnicity,"White, Non-Hispanic",0.96245,0.99219,0.93271,2
2021,01,035,all,All,0.84247,0.90218,0.78276,2
2021,01,035,race-ethnicity,"Black, Non-Hispanic",0.84561,0.94477,0.74644,3
2021,01,035,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,035,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,035,race-ethnicity,"White, Non-Hispanic",0.83186,0.91381,0.74991,3
2021,01,037,all,All,0.88769,0.94217,0.83320,2
2021,01,037,race-ethnicity,"Black, Non-Hispanic",0.94303,1.00000,0.86731,3
2021,01,037,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,037,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,037,race-ethnicity,"White, Non-Hispanic",0.89389,0.95975,0.82803,3
2021,01,039,all,All,0.87984,0.92761,0.83208,2
2021,01,039,race-ethnicity,"Black, Non-Hispanic",0.90260,0.99687,0.80833,3
2021,01,039,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,039,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,039,race-ethnicity,"White, Non-Hispanic",0.84714,0.91022,0.78406,2
2021,01,041,all,All,0.87984,0.92761,0.83208,2
2021,01,041,race-ethnicity,"Black, Non-Hispanic",0.90260,0.99687,0.80833,3
2021,01,041,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,041,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,041,race-ethnicity,"White, Non-Hispanic",0.84714,0.91022,0.78406,2
2021,01,043,all,All,0.84491,0.90787,0.78196,1
2021,01,043,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,043,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,043,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,043,race-ethnicity,"White, Non-Hispanic",0.83224,0.90584,0.75863,3
2021,01,045,all,All,0.90537,0.93409,0.87665,2
2021,01,045,race-ethnicity,"Black, Non-Hispanic",0.87340,0.93958,0.80723,3
2021,01,045,race-ethnicity,Hispanic,0.82108,0.95601,0.68616,3
2021,01,045,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,045,race-ethnicity,"White, Non-Hispanic",0.92573,0.95836,0.89309,2
2021,01,047,all,All,0.95779,0.98653,0.92904,2
2021,01,047,race-ethnicity,"Black, Non-Hispanic",0.97645,1.00000,0.94422,3
2021,01,047,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,047,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,047,race-ethnicity,"White, Non-Hispanic",0.91766,0.97323,0.86209,3
2021,01,049,all,All,0.77188,0.84634,0.69742,2
2021,01,049,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,049,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,049,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,049,race-ethnicity,"White, Non-Hispanic",0.80966,0.88622,0.73310,2
2021,01,051,all,All,0.80903,0.87995,0.73810,2
2021,01,051,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,051,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,051,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,051,race-ethnicity,"White, Non-Hispanic",0.93931,0.99334,0.88527,3
2021,01,053,all,All,0.84247,0.90218,0.78276,2
2021,01,053,race-ethnicity,"Black, Non-Hispanic",0.84561,0.94477,0.74644,3
2021,01,053,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,053,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,053,race-ethnicity,"White, Non-Hispanic",0.83186,0.91381,0.74991,3
2021,01,055,all,All,0.86979,0.93747,0.80212,3
2021,01,055,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,055,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,055,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,055,race-ethnicity,"White, Non-Hispanic",0.87255,0.95181,0.79329,3
2021,01,057,all,All,0.89542,0.94375,0.84709,2
2021,01,057,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,057,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,057,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,057,race-ethnicity,"White, Non-Hispanic",0.92206,0.96600,0.87812,2
2021,01,059,all,All,0.91523,0.95300,0.87747,2
2021,01,059,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,059,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,059,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,059,race-ethnicity,"White, Non-Hispanic",0.96245,0.99219,0.93271,2
2021,01,061,all,All,0.90537,0.93409,0.87665,2
2021,01,061,race-ethnicity,"Black, Non-Hispanic",0.87340,0.93958,0.80723,3
2021,01,061,race-ethnicity,Hispanic,0.82108,0.95601,0.68616,3
2021,01,061,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,061,race-ethnicity,"White, Non-Hispanic",0.92573,0.95836,0.89309,2
2021,01,063,all,All,0.95779,0.98653,0.92904,2
2021,01,063,race-ethnicity,"Black, Non-Hispanic",0.97645,1.00000,0.94422,3
2021,01,063,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,063,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,063,race-ethnicity,"White, Non-Hispanic",0.91766,0.97323,0.86209,3
2021,01,065,all,All,0.95779,0.98653,0.92904,2
2021,01,065,race-ethnicity,"Black, Non-Hispanic",0.97645,1.00000,0.94422,3
2021,01,065,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,065,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,065,race-ethnicity,"White, Non-Hispanic",0.91766,0.97323,0.86209,3
2021,01,067,all,All,0.90537,0.93409,0.87665,2
2021,01,067,race-ethnicity,"Black, Non-Hispanic",0.87340,0.93958,0.80723,3
2021,01,067,race-ethnicity,Hispanic,0.82108,0.95601,0.68616,3
2021,01,067,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,067,race-ethnicity,"White, Non-Hispanic",0.92573,0.95836,0.89309,2
2021,01,069,all,All,0.90537,0.93409,0.87665,2
2021,01,069,race-ethnicity,"Black, Non-Hispanic",0.87340,0.93958,0.80723,3
2021,01,069,race-ethnicity,Hispanic,0.82108,0.95601,0.68616,3
2021,01,069,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,069,race-ethnicity,"White, Non-Hispanic",0.92573,0.95836,0.89309,2
2021,01,071,all,All,0.77188,0.84634,0.69742,2
2021,01,071,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,071,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,071,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,071,race-ethnicity,"White, Non-Hispanic",0.80966,0.88622,0.73310,2
2021,01,073,all,All,0.94185,0.95841,0.92529,1
2021,01,073,race-ethnicity,"Black, Non-Hispanic",0.91794,0.94926,0.88662,1
2021,01,073,race-ethnicity,Hispanic,0.86206,0.96762,0.75651,3
2021,01,073,race-ethnicity,Other Races and Ethnicities,1.00000,1.00000,1.00000,3
2021,01,073,race-ethnicity,"White, Non-Hispanic",0.97345,0.98947,0.95744,1
2021,01,075,all,All,0.89542,0.94375,0.84709,2
2021,01,075,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,075,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,075,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,075,race-ethnicity,"White, Non-Hispanic",0.92206,0.96600,0.87812,2
2021,01,077,all,All,0.91523,0.95300,0.87747,2
2021,01,077,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,077,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,077,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,077,race-ethnicity,"White, Non-Hispanic",0.96245,0.99219,0.93271,2
2021,01,079,all,All,0.84879,0.91316,0.78443,2
2021,01,079,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,079,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,079,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,079,race-ethnicity,"White, Non-Hispanic",0.88520,0.95181,0.81860,3
2021,01,081,all,All,0.94686,0.96907,0.92466,1
2021,01,081,race-ethnicity,"Black, Non-Hispanic",0.99950,1.00000,0.99498,3
2021,01,081,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,081,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,081,race-ethnicity,"White, Non-Hispanic",0.93281,0.96330,0.90232,1
2021,01,083,all,All,0.92914,0.97359,0.88469,2
2021,01,083,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2021,01,083,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,083,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2021,01,083,race-ethnicity,"White, Non-Hispanic",0.94056,0.98761,0.89351,3
2021,01,085,all,All,0.80903,0.87995,0.73810,2
