year,state,county,subgroup_type,subgroup,ratio_affordable_30ami_quality,ratio_affordable_50ami_quality,ratio_affordable_80ami_quality,ratio_available_30ami,ratio_available_50ami,ratio_available_80ami,ratio_affordable_30ami,ratio_affordable_50ami,ratio_affordable_80ami,ratio_available_30ami_quality,ratio_available_50ami_quality,ratio_available_80ami_quality
2022,01,001,tenure,All,2,2,2,0.7113726752789721,0.8557165307715452,0.9322384722463966,1.4702553167432622,1.4078238623882953,1.4083594952434795,2,2,2
2022,01,003,tenure,All,1,1,1,0.37013074538347485,0.5946031544942041,0.8993274913389037,1.3886417756211529,1.414898334072338,1.5950478907682901,1,1,1
2022,01,005,tenure,All,3,3,3,1.0698234172405565,1.3299908585578653,1.5782440103261535,1.8538259071253995,2.1491189025484387,2.086408022164802,3,3,3
2022,01,007,tenure,All,3,3,3,0.8359056497004326,1.0061509117141596,1.095180218177158,1.8310872433883205,1.7822067700247863,1.5160781577746747,3,3,3
2022,01,009,tenure,All,2,2,2,0.6455758161665395,0.8575408672333348,0.9465835267135108,1.8330242059270678,1.8096112449066246,1.6480139991020668,2,2,2
2022,01,011,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,013,tenure,All,3,3,3,1.2065488879741464,1.5264044801459595,1.799698777409593,1.9905513778589894,2.3455325241365332,2.3078627892482415,3,3,3
2022,01,015,tenure,All,1,1,1,0.6893047675501736,0.7959081836327345,0.9870829268292683,2.2236429841646204,1.9560254491017963,1.6343024390243903,1,1,1
2022,01,017,tenure,All,3,3,3,0.8268681285289946,0.9666147115582208,1.1023362816127324,1.6386231374054847,1.8202559613367335,1.8249788050738098,3,3,3
2022,01,019,tenure,All,3,3,3,0.6515378931854254,0.7277149192079325,0.990520131909444,1.5776641426719378,1.6283678445696022,1.7850424981764235,3,3,3
2022,01,021,tenure,All,3,3,3,0.7277238846102637,0.7754901695615237,0.9933740749653025,2.08293663955384,2.035524599207261,2.062280190383046,3,3,3
2022,01,023,tenure,All,NA,NA,3,NA,NA,1.4912256859405677,NA,NA,2.124988795364317,NA,NA,3
2022,01,025,tenure,All,3,3,3,0.8877598572291305,0.8931688485855915,1.197137073649728,1.8245215380989512,1.797844701307525,1.8309001830734775,3,3,3
2022,01,027,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,029,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,031,tenure,All,2,2,2,0.8279015587293114,0.9876811549647774,1.1184030971712757,1.735702292461692,1.77167141931472,1.7469627717153173,2,2,2
2022,01,033,tenure,All,3,3,3,0.63131284318417,0.7702725231511628,1.0488688727590723,1.5942593598607047,1.7970501077881962,1.761992225623489,3,3,3
2022,01,035,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,037,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,039,tenure,All,3,3,3,0.9311407311794924,1.1885003956188507,1.3537680720806577,1.715143221064335,1.9638368677736995,1.8511440888741504,3,3,3
2022,01,041,tenure,All,NA,NA,3,NA,NA,2.187935215046689,NA,NA,2.679068171707586,NA,NA,3
2022,01,043,tenure,All,2,2,2,0.6749068185923849,0.7822119144103762,0.8961475047693721,1.8026349279797107,1.839370129783965,1.7809809711056315,2,2,2
2022,01,045,tenure,All,2,2,2,0.8561858461453784,0.9325177320988248,1.081996028991529,1.763986579877759,1.7453034930393867,1.768055415000588,2,2,2
