year,state,county,subgroup_type,subgroup,index_air_hazard,environmental_quality
2014,01,001,all,All,6,1
2014,01,001,poverty,Not Extreme Poverty,6,1
2014,01,001,race-ethnicity,Majority Non-White,9,1
2014,01,001,race-ethnicity,"Majority White, Non-Hispanic",6,1
2014,01,003,all,All,39,1
2014,01,003,poverty,Not Extreme Poverty,39,1
2014,01,003,race-ethnicity,Majority Non-White,18,1
2014,01,003,race-ethnicity,"Majority White, Non-Hispanic",39,1
2014,01,005,all,All,9,1
2014,01,005,poverty,Not Extreme Poverty,9,1
2014,01,005,race-ethnicity,Majority Non-White,9,1
2014,01,005,race-ethnicity,"Majority White, Non-Hispanic",10,1
2014,01,005,race-ethnicity,No Majority Race/Ethnicity,9,1
2014,01,007,all,All,13,1
2014,01,007,poverty,Not Extreme Poverty,13,1
2014,01,007,race-ethnicity,"Majority White, Non-Hispanic",13,1
2014,01,007,race-ethnicity,No Majority Race/Ethnicity,12,1
2014,01,009,all,All,26,1
2014,01,009,poverty,Not Extreme Poverty,26,1
2014,01,009,race-ethnicity,"Majority White, Non-Hispanic",26,1
2014,01,011,all,All,6,1
2014,01,011,poverty,Not Extreme Poverty,6,1
2014,01,011,race-ethnicity,Majority Non-White,6,1
2014,01,013,all,All,14,1
2014,01,013,poverty,Not Extreme Poverty,14,1
2014,01,013,race-ethnicity,Majority Non-White,13,1
2014,01,013,race-ethnicity,"Majority White, Non-Hispanic",14,1
2014,01,013,race-ethnicity,No Majority Race/Ethnicity,16,1
2014,01,015,all,All,16,1
2014,01,015,poverty,Extreme Poverty,14,1
2014,01,015,poverty,Not Extreme Poverty,16,1
2014,01,015,race-ethnicity,Majority Non-White,13,1
2014,01,015,race-ethnicity,"Majority White, Non-Hispanic",16,1
2014,01,015,race-ethnicity,No Majority Race/Ethnicity,15,1
2014,01,017,all,All,12,1
2014,01,017,poverty,Not Extreme Poverty,12,1
2014,01,017,race-ethnicity,Majority Non-White,10,1
2014,01,017,race-ethnicity,"Majority White, Non-Hispanic",13,1
2014,01,017,race-ethnicity,No Majority Race/Ethnicity,12,1
2014,01,019,all,All,24,1
2014,01,019,poverty,Not Extreme Poverty,24,1
2014,01,019,race-ethnicity,"Majority White, Non-Hispanic",24,1
2014,01,021,all,All,13,1
2014,01,021,poverty,Not Extreme Poverty,13,1
2014,01,021,race-ethnicity,"Majority White, Non-Hispanic",13,1
2014,01,023,all,All,20,1
2014,01,023,poverty,Not Extreme Poverty,20,1
2014,01,023,race-ethnicity,Majority Non-White,19,1
2014,01,023,race-ethnicity,"Majority White, Non-Hispanic",20,1
2014,01,023,race-ethnicity,No Majority Race/Ethnicity,19,1
2014,01,025,all,All,15,1
2014,01,025,poverty,Not Extreme Poverty,15,1
2014,01,025,race-ethnicity,Majority Non-White,16,1
2014,01,025,race-ethnicity,"Majority White, Non-Hispanic",15,1
2014,01,025,race-ethnicity,No Majority Race/Ethnicity,14,1
2014,01,027,all,All,19,1
2014,01,027,poverty,Not Extreme Poverty,19,1
2014,01,027,race-ethnicity,"Majority White, Non-Hispanic",19,1
2014,01,029,all,All,24,1
2014,01,029,poverty,Not Extreme Poverty,24,1
2014,01,029,race-ethnicity,"Majority White, Non-Hispanic",24,1
2014,01,031,all,All,15,1
2014,01,031,poverty,Not Extreme Poverty,15,1
2014,01,031,race-ethnicity,"Majority White, Non-Hispanic",15,1
2014,01,031,race-ethnicity,No Majority Race/Ethnicity,14,1
2014,01,033,all,All,33,1
2014,01,033,poverty,Not Extreme Poverty,33,1
2014,01,033,race-ethnicity,"Majority White, Non-Hispanic",33,1
2014,01,033,race-ethnicity,No Majority Race/Ethnicity,28,1
2014,01,035,all,All,13,1
2014,01,035,poverty,Extreme Poverty,11,1
2014,01,035,poverty,Not Extreme Poverty,14,1
2014,01,035,race-ethnicity,"Majority White, Non-Hispanic",21,1
2014,01,035,race-ethnicity,No Majority Race/Ethnicity,12,1
2014,01,037,all,All,15,1
2014,01,037,poverty,Not Extreme Poverty,15,1
2014,01,037,race-ethnicity,"Majority White, Non-Hispanic",15,1
2014,01,037,race-ethnicity,No Majority Race/Ethnicity,16,1
2014,01,039,all,All,17,1
2014,01,039,poverty,Extreme Poverty,20,1
2014,01,039,poverty,Not Extreme Poverty,17,1
2014,01,039,race-ethnicity,"Majority White, Non-Hispanic",17,1
2014,01,039,race-ethnicity,No Majority Race/Ethnicity,17,1
2014,01,041,all,All,16,1
2014,01,041,poverty,Not Extreme Poverty,16,1
2014,01,041,race-ethnicity,"Majority White, Non-Hispanic",15,1
2014,01,041,race-ethnicity,No Majority Race/Ethnicity,17,1
2014,01,043,all,All,24,1
2014,01,043,poverty,Not Extreme Poverty,24,1
