year,state,place,subgroup_type,subgroup,index_air_hazard,environmental_quality
2014,01,03076,all,All,7,1
2014,01,03076,race-ethnicity,Majority Non-White,NA,NA
2014,01,03076,race-ethnicity,"Majority White, Non-Hispanic",7,1
2014,01,03076,race-ethnicity,No Majority Race/Ethnicity,7,1
2014,01,07000,all,All,6,1
2014,01,07000,race-ethnicity,Majority Non-White,6,1
2014,01,07000,race-ethnicity,"Majority White, Non-Hispanic",6,1
2014,01,07000,race-ethnicity,No Majority Race/Ethnicity,7,1
2014,01,35896,all,All,9,1
2014,01,35896,race-ethnicity,Majority Non-White,6,1
2014,01,35896,race-ethnicity,"Majority White, Non-Hispanic",9,1
2014,01,35896,race-ethnicity,No Majority Race/Ethnicity,8,1
2014,01,37000,all,All,22,1
2014,01,37000,race-ethnicity,Majority Non-White,21,1
2014,01,37000,race-ethnicity,"Majority White, Non-Hispanic",24,1
2014,01,37000,race-ethnicity,No Majority Race/Ethnicity,19,1
2014,01,50000,all,All,11,1
2014,01,50000,race-ethnicity,Majority Non-White,11,1
2014,01,50000,race-ethnicity,"Majority White, Non-Hispanic",12,1
2014,01,50000,race-ethnicity,No Majority Race/Ethnicity,11,1
2014,01,51000,all,All,6,1
2014,01,51000,race-ethnicity,Majority Non-White,6,1
2014,01,51000,race-ethnicity,"Majority White, Non-Hispanic",5,1
2014,01,51000,race-ethnicity,No Majority Race/Ethnicity,6,1
2014,01,77256,all,All,5,1
2014,01,77256,race-ethnicity,Majority Non-White,3,1
2014,01,77256,race-ethnicity,"Majority White, Non-Hispanic",6,1
2014,01,77256,race-ethnicity,No Majority Race/Ethnicity,5,1
2014,02,03000,all,All,70,1
2014,02,03000,race-ethnicity,Majority Non-White,62,1
2014,02,03000,race-ethnicity,"Majority White, Non-Hispanic",77,1
2014,02,03000,race-ethnicity,No Majority Race/Ethnicity,65,1
2014,04,04720,all,All,8,1
2014,04,04720,race-ethnicity,Majority Non-White,7,1
2014,04,04720,race-ethnicity,"Majority White, Non-Hispanic",9,1
2014,04,04720,race-ethnicity,No Majority Race/Ethnicity,9,1
2014,04,07940,all,All,31,1
2014,04,07940,race-ethnicity,Majority Non-White,30,1
2014,04,07940,race-ethnicity,"Majority White, Non-Hispanic",41,1
2014,04,07940,race-ethnicity,No Majority Race/Ethnicity,29,1
2014,04,12000,all,All,16,1
2014,04,12000,race-ethnicity,Majority Non-White,16,1
2014,04,12000,race-ethnicity,"Majority White, Non-Hispanic",17,1
2014,04,12000,race-ethnicity,No Majority Race/Ethnicity,15,1
2014,04,23620,all,All,93,1
2014,04,23620,race-ethnicity,Majority Non-White,94,1
2014,04,23620,race-ethnicity,"Majority White, Non-Hispanic",93,1
2014,04,23620,race-ethnicity,No Majority Race/Ethnicity,94,1
2014,04,27400,all,All,18,1
2014,04,27400,race-ethnicity,Majority Non-White,NA,NA
2014,04,27400,race-ethnicity,"Majority White, Non-Hispanic",18,1
2014,04,27400,race-ethnicity,No Majority Race/Ethnicity,16,1
2014,04,27820,all,All,17,1
2014,04,27820,race-ethnicity,Majority Non-White,14,1
2014,04,27820,race-ethnicity,"Majority White, Non-Hispanic",20,1
2014,04,27820,race-ethnicity,No Majority Race/Ethnicity,15,1
2014,04,28380,all,All,16,1
2014,04,28380,race-ethnicity,Majority Non-White,15,1
2014,04,28380,race-ethnicity,"Majority White, Non-Hispanic",21,1
2014,04,28380,race-ethnicity,No Majority Race/Ethnicity,15,1
2014,04,46000,all,All,19,1
2014,04,46000,race-ethnicity,Majority Non-White,15,1
2014,04,46000,race-ethnicity,"Majority White, Non-Hispanic",21,1
2014,04,46000,race-ethnicity,No Majority Race/Ethnicity,15,1
2014,04,54050,all,All,23,1
2014,04,54050,race-ethnicity,Majority Non-White,16,1
2014,04,54050,race-ethnicity,"Majority White, Non-Hispanic",26,1
2014,04,54050,race-ethnicity,No Majority Race/Ethnicity,15,1
2014,04,55000,all,All,18,1
2014,04,55000,race-ethnicity,Majority Non-White,12,1
2014,04,55000,race-ethnicity,"Majority White, Non-Hispanic",25,1
2014,04,55000,race-ethnicity,No Majority Race/Ethnicity,17,1
2014,04,65000,all,All,33,1
2014,04,65000,race-ethnicity,Majority Non-White,NA,NA
2014,04,65000,race-ethnicity,"Majority White, Non-Hispanic",34,1
2014,04,65000,race-ethnicity,No Majority Race/Ethnicity,20,1
2014,04,71510,all,All,32,1
2014,04,71510,race-ethnicity,Majority Non-White,24,1
2014,04,71510,race-ethnicity,"Majority White, Non-Hispanic",32,1
2014,04,71510,race-ethnicity,No Majority Race/Ethnicity,30,1
2014,04,73000,all,All,14,1
2014,04,73000,race-ethnicity,Majority Non-White,15,1
2014,04,73000,race-ethnicity,"Majority White, Non-Hispanic",14,1
2014,04,73000,race-ethnicity,No Majority Race/Ethnicity,14,1
2014,04,77000,all,All,29,NA
2014,04,77000,race-ethnicity,Majority Non-White,22,1
2014,04,77000,race-ethnicity,"Majority White, Non-Hispanic",39,1
2014,04,77000,race-ethnicity,No Majority Race/Ethnicity,24,1
2014,04,85540,all,All,25,1
2014,04,85540,race-ethnicity,Majority Non-White,28,1
2014,04,85540,race-ethnicity,"Majority White, Non-Hispanic",27,1
2014,04,85540,race-ethnicity,No Majority Race/Ethnicity,20,1
2014,05,23290,all,All,52,1
2014,05,23290,race-ethnicity,Majority Non-White,NA,NA
2014,05,23290,race-ethnicity,"Majority White, Non-Hispanic",52,1
2014,05,23290,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2014,05,24550,all,All,20,1
2014,05,24550,race-ethnicity,Majority Non-White,22,1
2014,05,24550,race-ethnicity,"Majority White, Non-Hispanic",20,1
2014,05,24550,race-ethnicity,No Majority Race/Ethnicity,21,1
2014,05,35710,all,All,51,1
