year,state,place,subgroup_type,subgroup,index_air_hazard,index_air_hazard_quality
2014,01,03076,all,All,7,1
2014,01,03076,poverty,High-Poverty,7,1
2014,01,03076,poverty,Not High-Poverty,7,1
2014,01,07000,all,All,6,1
2014,01,07000,poverty,High-Poverty,4,1
2014,01,07000,poverty,Not High-Poverty,7,1
2014,01,35896,all,All,9,1
2014,01,35896,poverty,High-Poverty,NA,NA
2014,01,35896,poverty,Not High-Poverty,9,1
2014,01,37000,all,All,22,1
2014,01,37000,poverty,High-Poverty,16,1
2014,01,37000,poverty,Not High-Poverty,22,1
2014,01,50000,all,All,11,1
2014,01,50000,poverty,High-Poverty,9,1
2014,01,50000,poverty,Not High-Poverty,12,1
2014,01,51000,all,All,6,1
2014,01,51000,poverty,High-Poverty,6,1
2014,01,51000,poverty,Not High-Poverty,6,1
2014,01,77256,all,All,5,1
2014,01,77256,poverty,High-Poverty,4,1
2014,01,77256,poverty,Not High-Poverty,5,1
2014,02,03000,all,All,70,1
2014,02,03000,poverty,High-Poverty,NA,NA
2014,02,03000,poverty,Not High-Poverty,70,1
2014,04,04720,all,All,8,1
2014,04,04720,poverty,High-Poverty,9,1
2014,04,04720,poverty,Not High-Poverty,8,1
2014,04,07940,all,All,31,1
2014,04,07940,poverty,High-Poverty,41,1
2014,04,07940,poverty,Not High-Poverty,30,1
2014,04,12000,all,All,16,1
2014,04,12000,poverty,High-Poverty,16,1
2014,04,12000,poverty,Not High-Poverty,16,1
2014,04,23620,all,All,93,1
2014,04,23620,poverty,High-Poverty,92,1
2014,04,23620,poverty,Not High-Poverty,94,1
2014,04,27400,all,All,18,1
2014,04,27400,poverty,High-Poverty,NA,NA
2014,04,27400,poverty,Not High-Poverty,18,1
2014,04,27820,all,All,17,1
2014,04,27820,poverty,High-Poverty,14,1
2014,04,27820,poverty,Not High-Poverty,17,1
2014,04,28380,all,All,16,1
2014,04,28380,poverty,High-Poverty,NA,NA
2014,04,28380,poverty,Not High-Poverty,16,1
2014,04,46000,all,All,19,1
2014,04,46000,poverty,High-Poverty,13,1
2014,04,46000,poverty,Not High-Poverty,19,1
2014,04,54050,all,All,23,1
2014,04,54050,poverty,High-Poverty,16,1
2014,04,54050,poverty,Not High-Poverty,23,1
2014,04,55000,all,All,18,1
2014,04,55000,poverty,High-Poverty,10,1
2014,04,55000,poverty,Not High-Poverty,20,1
2014,04,65000,all,All,33,1
2014,04,65000,poverty,High-Poverty,21,1
2014,04,65000,poverty,Not High-Poverty,33,1
2014,04,71510,all,All,32,1
2014,04,71510,poverty,High-Poverty,24,1
2014,04,71510,poverty,Not High-Poverty,32,1
2014,04,73000,all,All,14,1
2014,04,73000,poverty,High-Poverty,13,1
