year,state,county,subgroup_type,subgroup,poverty_exposure
2018,01,001,all,All,0
2018,01,001,race-ethnicity,"Black, Non-Hispanic",0
2018,01,001,race-ethnicity,Hispanic,0
2018,01,001,race-ethnicity,Other Races and Ethnicities,0
2018,01,001,race-ethnicity,"White, Non-Hispanic",0
2018,01,003,all,All,0
2018,01,003,race-ethnicity,"Black, Non-Hispanic",0
2018,01,003,race-ethnicity,Hispanic,0
2018,01,003,race-ethnicity,Other Races and Ethnicities,0
2018,01,003,race-ethnicity,"White, Non-Hispanic",0
2018,01,005,all,All,0
2018,01,005,race-ethnicity,"Black, Non-Hispanic",0
2018,01,005,race-ethnicity,Hispanic,0
2018,01,005,race-ethnicity,Other Races and Ethnicities,0
2018,01,005,race-ethnicity,"White, Non-Hispanic",0
2018,01,007,all,All,0
2018,01,007,race-ethnicity,"Black, Non-Hispanic",0
2018,01,007,race-ethnicity,Hispanic,0
2018,01,007,race-ethnicity,Other Races and Ethnicities,0
2018,01,007,race-ethnicity,"White, Non-Hispanic",0
2018,01,009,all,All,0
2018,01,009,race-ethnicity,"Black, Non-Hispanic",0
2018,01,009,race-ethnicity,Hispanic,0
2018,01,009,race-ethnicity,Other Races and Ethnicities,0
2018,01,009,race-ethnicity,"White, Non-Hispanic",0
2018,01,011,all,All,0.9186495176848875
2018,01,011,race-ethnicity,"Black, Non-Hispanic",0.9266644136532612
2018,01,011,race-ethnicity,Hispanic,1
2018,01,011,race-ethnicity,Other Races and Ethnicities,1
2018,01,011,race-ethnicity,"White, Non-Hispanic",0.6043956043956044
2018,01,013,all,All,0
2018,01,013,race-ethnicity,"Black, Non-Hispanic",0
2018,01,013,race-ethnicity,Hispanic,0
2018,01,013,race-ethnicity,Other Races and Ethnicities,0
2018,01,013,race-ethnicity,"White, Non-Hispanic",0
2018,01,015,all,All,0.16316825976271676
2018,01,015,race-ethnicity,"Black, Non-Hispanic",0.2790785498489426
2018,01,015,race-ethnicity,Hispanic,0.01982651796778191
2018,01,015,race-ethnicity,Other Races and Ethnicities,0.152766308835673
2018,01,015,race-ethnicity,"White, Non-Hispanic",0.08998010490142883
2018,01,017,all,All,0
2018,01,017,race-ethnicity,"Black, Non-Hispanic",0
2018,01,017,race-ethnicity,Hispanic,0
2018,01,017,race-ethnicity,Other Races and Ethnicities,0
2018,01,017,race-ethnicity,"White, Non-Hispanic",0
2018,01,019,all,All,0
2018,01,019,race-ethnicity,"Black, Non-Hispanic",0
2018,01,019,race-ethnicity,Hispanic,0
2018,01,019,race-ethnicity,Other Races and Ethnicities,0
2018,01,019,race-ethnicity,"White, Non-Hispanic",0
2018,01,021,all,All,0
2018,01,021,race-ethnicity,"Black, Non-Hispanic",0
2018,01,021,race-ethnicity,Hispanic,0
2018,01,021,race-ethnicity,Other Races and Ethnicities,0
2018,01,021,race-ethnicity,"White, Non-Hispanic",0
2018,01,023,all,All,0
2018,01,023,race-ethnicity,"Black, Non-Hispanic",0
2018,01,023,race-ethnicity,Hispanic,0
2018,01,023,race-ethnicity,Other Races and Ethnicities,0
2018,01,023,race-ethnicity,"White, Non-Hispanic",0
2018,01,025,all,All,0.12040078843626807
2018,01,025,race-ethnicity,"Black, Non-Hispanic",0.16538192011212333
2018,01,025,race-ethnicity,Hispanic,0
2018,01,025,race-ethnicity,Other Races and Ethnicities,0
2018,01,025,race-ethnicity,"White, Non-Hispanic",0.014285714285714285
2018,01,027,all,All,0
2018,01,027,race-ethnicity,"Black, Non-Hispanic",0
2018,01,027,race-ethnicity,Hispanic,0
2018,01,027,race-ethnicity,Other Races and Ethnicities,0
2018,01,027,race-ethnicity,"White, Non-Hispanic",0
2018,01,029,all,All,0
2018,01,029,race-ethnicity,"Black, Non-Hispanic",0
2018,01,029,race-ethnicity,Hispanic,0
2018,01,029,race-ethnicity,Other Races and Ethnicities,0
2018,01,029,race-ethnicity,"White, Non-Hispanic",0
2018,01,031,all,All,0
2018,01,031,race-ethnicity,"Black, Non-Hispanic",0
2018,01,031,race-ethnicity,Hispanic,0
2018,01,031,race-ethnicity,Other Races and Ethnicities,0
2018,01,031,race-ethnicity,"White, Non-Hispanic",0
2018,01,033,all,All,0.08924302788844622
2018,01,033,race-ethnicity,"Black, Non-Hispanic",0.14697926059513075
2018,01,033,race-ethnicity,Hispanic,0
2018,01,033,race-ethnicity,Other Races and Ethnicities,0.17769607843137256
2018,01,033,race-ethnicity,"White, Non-Hispanic",0.055163905534014804
2018,01,035,all,All,0
2018,01,035,race-ethnicity,"Black, Non-Hispanic",0
2018,01,035,race-ethnicity,Hispanic,0
2018,01,035,race-ethnicity,Other Races and Ethnicities,0
2018,01,035,race-ethnicity,"White, Non-Hispanic",0
2018,01,037,all,All,0
2018,01,037,race-ethnicity,"Black, Non-Hispanic",0
2018,01,037,race-ethnicity,Hispanic,0
2018,01,037,race-ethnicity,Other Races and Ethnicities,0
2018,01,037,race-ethnicity,"White, Non-Hispanic",0
2018,01,039,all,All,0.09415099970158161
2018,01,039,race-ethnicity,"Black, Non-Hispanic",0.1800834824090638
2018,01,039,race-ethnicity,Hispanic,0
2018,01,039,race-ethnicity,Other Races and Ethnicities,0.41830065359477125
2018,01,039,race-ethnicity,"White, Non-Hispanic",0.05633503401360544
2018,01,041,all,All,0
2018,01,041,race-ethnicity,"Black, Non-Hispanic",0
2018,01,041,race-ethnicity,Hispanic,0
2018,01,041,race-ethnicity,Other Races and Ethnicities,0
2018,01,041,race-ethnicity,"White, Non-Hispanic",0
2018,01,043,all,All,0
2018,01,043,race-ethnicity,"Black, Non-Hispanic",0
2018,01,043,race-ethnicity,Hispanic,0
2018,01,043,race-ethnicity,Other Races and Ethnicities,0
2018,01,043,race-ethnicity,"White, Non-Hispanic",0
2018,01,045,all,All,0
2018,01,045,race-ethnicity,"Black, Non-Hispanic",0
2018,01,045,race-ethnicity,Hispanic,0
2018,01,045,race-ethnicity,Other Races and Ethnicities,0
2018,01,045,race-ethnicity,"White, Non-Hispanic",0
2018,01,047,all,All,0.4552135216787785
2018,01,047,race-ethnicity,"Black, Non-Hispanic",0.5053793884484711
2018,01,047,race-ethnicity,Hispanic,0
2018,01,047,race-ethnicity,Other Races and Ethnicities,0.03409090909090909
2018,01,047,race-ethnicity,"White, Non-Hispanic",0.15007012622720897
2018,01,049,all,All,0
2018,01,049,race-ethnicity,"Black, Non-Hispanic",0
2018,01,049,race-ethnicity,Hispanic,0
2018,01,049,race-ethnicity,Other Races and Ethnicities,0
2018,01,049,race-ethnicity,"White, Non-Hispanic",0
2018,01,051,all,All,0
2018,01,051,race-ethnicity,"Black, Non-Hispanic",0
2018,01,051,race-ethnicity,Hispanic,0
2018,01,051,race-ethnicity,Other Races and Ethnicities,0
2018,01,051,race-ethnicity,"White, Non-Hispanic",0
2018,01,053,all,All,0.09107402031930334
2018,01,053,race-ethnicity,"Black, Non-Hispanic",0.18463073852295409
2018,01,053,race-ethnicity,Hispanic,0
2018,01,053,race-ethnicity,Other Races and Ethnicities,0
2018,01,053,race-ethnicity,"White, Non-Hispanic",0.0036333147009502517
2018,01,055,all,All,0.09706687970782926
2018,01,055,race-ethnicity,"Black, Non-Hispanic",0.16591744993870045
2018,01,055,race-ethnicity,Hispanic,0.3172690763052209
2018,01,055,race-ethnicity,Other Races and Ethnicities,0.2854889589905363
2018,01,055,race-ethnicity,"White, Non-Hispanic",0.03691783415372965
2018,01,057,all,All,0
