state,place,count_membership_associations_per_10k,count_membership_associations_per_10k_quality
06,82590,1,2
06,82954,2.3,2
06,82996,1.9,2
06,84200,1.3,2
06,84550,3.5,2
06,85292,1.6,2
08,03455,1.1,2
08,04000,0.5,2
08,07850,2.2,2
08,12815,3.3,2
08,16000,0.5,1
08,20000,0.4,1
08,27425,2.2,2
08,32155,3.6,2
08,43000,1.2,2
08,45970,3.4,2
08,46465,4.3,2
08,62000,1.5,2
08,77290,0.9,2
08,83835,1.4,2
09,08000,1,2
09,18430,3.3,1
09,37000,1.8,1
09,52000,1.6,1
09,55990,1.7,1
09,73000,1.4,1
09,80000,0.7,2
11,50000,1.2,1
12,07300,1.6,2
12,07875,2.1,2
12,10275,0.5,2
12,12875,1.1,2
12,14400,1.4,2
12,16475,1.5,2
12,16725,2.6,2
12,17200,2.1,2
12,17935,2.2,2
12,24000,1.1,1
12,24125,2.1,2
12,25175,1.3,1
12,30000,0.6,1
12,32000,1.9,2
12,32275,2,2
12,35000,0.3,1
12,36950,3,2
12,38250,1.8,2
12,39425,1.8,2
12,43975,2.7,2
12,45000,0.4,1
12,45025,3.6,2
12,45060,1.8,1
12,45975,1.5,2
12,49675,0.9,1
12,53000,0.9,2
12,54000,1.1,2
12,54200,1.9,2
12,55775,0.9,2
12,57425,1.9,2
12,58050,1.6,1
12,58715,0.6,2
12,63000,0.7,1
12,69700,1.4,2
12,70600,2.8,2
12,71000,0.6,1
12,76600,1.9,2
13,03440,2.2,2
13,04000,0.5,1
13,04204,1.6,2
13,19000,1.1,1
13,42425,6,2
13,49008,1.5,1
13,67284,4.3,2
13,68516,2.8,2
13,69000,2,2
13,72122,2.3,2
13,80508,3,2
15,71550,1,1
16,08830,0.9,2
16,52120,2.9,2
16,56260,1.8,2
17,02154,3.9,2
17,03012,1.3,2
17,06613,5.2,2
17,12385,4.2,2
17,14000,0.1,1
17,14351,1.4,2
17,23074,1.9,2
17,24582,3.6,2
17,38570,1.3,2
17,51622,1.9,2
17,59000,1.7,2
17,65000,1.6,2
17,68003,2.7,2
17,72000,4.7,1
17,79293,3.3,2
18,05860,3.1,2
18,10342,3.6,2
18,22000,2.1,2
18,23278,2.9,2
18,25000,0.9,1
18,31000,1.6,2
18,36003,0.3,1
18,71000,1.4,2
19,12000,1.9,1
19,19000,1.6,2
19,21000,1,1
19,73335,1.5,1
20,36000,1.1,1
20,38900,2.7,2
20,52575,2.8,2
20,53775,0.9,1
20,71000,1.4,1
20,79000,0.5,1
21,46027,0.7,1
21,48006,0.3,2
22,05000,1.5,2
22,40735,2,2
22,41155,4.7,2
22,55000,0.5,1
22,70000,1,2
24,04000,0.5,1
24,30325,5,2
25,07000,0.4,1
25,09000,3.2,1
25,11000,2.1,2
25,23000,1.1,1
25,34550,1.5,1
25,37000,1.3,1
25,37490,0.9,1
25,45000,1.3,1
25,45560,1.1,1
25,55745,2.4,2
25,62535,2.2,2
25,67000,0.7,1
25,82000,0.7,1
26,03000,5.1,2
26,21000,1.4,2
26,22000,0.3,1
26,27440,2.5,2
26,29000,2,1
26,34000,2.3,2
26,46000,2.8,1
26,49000,2.5,1
26,69035,3.2,2
26,74900,2.1,2
26,76460,1.1,1
26,80700,2.2,1
26,84000,1.1,2
26,86000,2.2,2
26,88940,3.8,2
27,06616,1.7,1
27,07966,1.6,2
27,17000,1.8,1
27,43000,0.6,1
27,51730,1.5,2
27,54880,3.1,2
27,58000,0.9,1
27,71428,2.6,1
28,36000,1.2,1
29,15670,3.8,2
29,35000,1,2
29,38000,0.3,1
29,41348,1.6,2
29,54074,2.3,2
29,65000,0.7,1
29,70000,2.3,2
30,06550,6.5,2
31,28000,0.8,1
31,37000,0.4,1
32,31900,0.4,2
32,40000,0.2,1
32,51800,0.3,1
32,60600,0.7,1
32,68400,1.9,2
33,45140,2,1
33,50260,1.7,2
34,13690,1.9,2
34,21000,1.1,2
34,36000,0.8,1
34,51000,0.7,1
34,57000,0.5,2
34,74000,2.7,1
35,02000,0.6,1
35,39380,2.2,2
35,63460,1.7,2
35,70500,3.2,2
36,01000,2.4,1
36,11000,0.5,1
36,50617,3.1,2
36,51000,0,1
36,63000,0.6,1
36,73000,1.1,1
36,84000,0.7,2
37,02140,4.8,2
37,10740,1.8,2
37,12000,0.4,1
37,14100,5.9,2
37,19000,1.3,1
37,22920,1.3,1
37,25580,4.8,2
37,28000,1.1,1
37,28080,4.4,2
37,31400,2.6,2
37,55000,0.8,1
37,74440,3.2,2
37,75000,1.4,2
38,25700,3.3,1
39,01000,0.8,1
39,15000,0.5,1
39,16000,0.7,2
39,18000,0.3,1
39,21000,1.3,2
39,61000,2.8,2
39,77000,0.6,1
40,09050,3.2,2
40,23200,2.9,1
40,41850,3.5,2
40,52500,2,2
40,55000,0.3,1
40,75000,0.4,1
41,05350,2.3,2
41,05800,4.3,2
41,23850,2.5,2
41,31250,2.5,2
41,34100,3.4,2
41,47000,4.7,2
41,59000,0.4,1
41,64900,3,2
42,02000,2.2,1
42,06088,4.3,2
42,24000,1.7,1
42,60000,0.1,1
42,61000,0.7,1
42,63624,1.9,2
42,69000,1.5,2
44,19180,2,2
44,54640,2.1,2
44,59000,1.8,2
44,74300,3.1,1
45,13330,2.3,1
45,16000,2.6,2
45,48535,4.1,2
45,50875,1.6,2
46,59020,1.7,1
47,14000,1.1,1
47,15160,2.2,2
47,27740,5.9,2
47,40000,1.3,1
47,48000,0.3,1
47,51560,2.4,2
47,52006,0.5,1
48,01000,2.7,1
48,01924,2.8,2
48,03000,0.9,1
48,04000,0.5,2
48,05000,0.3,1
48,06128,3,2
48,07000,1.5,1
48,10768,1.1,2
48,10912,2.6,2
48,13024,2.8,2
48,13552,5.6,2
48,15976,3.2,2
48,16432,2,2
48,17000,0.4,1
48,19000,0.2,1
48,19972,1.3,1
48,22660,2.1,2
48,24000,0.3,1
48,26232,3.6,2
48,27000,0.2,1
48,27684,2.2,2
48,29000,1.1,2
48,30464,1,2
48,35000,0.1,1
48,37000,0.9,2
48,39148,1.3,2
48,41464,1,1
48,41980,2.8,2
48,42508,1.9,1
48,43888,3.6,2
48,45000,0.6,1
48,45384,1.6,2
48,45744,2,2
48,47892,1.7,2
48,48072,2.6,2
48,48768,2.2,2
48,50820,7.6,2
48,53388,2.5,2
48,56000,0.7,2
48,56348,2.4,2
48,57200,4,2
48,58016,1.1,2
48,61796,3.5,2
48,63500,2.5,2
48,64472,4.9,2
48,65000,0.1,1
48,70808,3.5,2
48,72176,3.2,2
48,74144,4,2
48,76000,1.4,1
48,79000,1.5,1
49,43660,1.1,2
49,44320,2.1,2
49,55980,1.9,2
49,57300,0.4,2
49,62470,0.3,2
49,65330,1.7,2
49,67000,0.7,1
49,67440,1.3,2
49,70850,1.4,2
49,82950,0.6,2
49,83470,1,2
51,01000,3.4,2
51,16000,1.4,1
51,35000,1.5,1
51,47672,5.7,2
51,56000,1.4,1
51,57000,0.8,1
51,64000,1.6,2
51,67000,1.6,1
51,68000,2.5,1
51,76432,1.8,1
51,82000,0.7,1
53,03180,2.3,2
53,05210,2,2
53,05280,5.8,2
53,22640,2.9,1
53,23515,3.3,1
53,35275,6.8,2
53,35415,1.4,2
53,35940,3.6,2
53,53545,3.9,2
53,57745,1.8,2
53,63000,0.4,1
53,67000,1.2,1
53,67167,1.2,2
53,70000,0.7,1
53,74060,1,1
53,80010,3.5,1
55,02375,3.6,2
55,31000,2.1,2
55,39225,1.5,2
55,48000,1.1,1
55,53000,0.3,1
55,66000,2.4,2
