year,state,county,socassn,socassn_quality
2020,02,164,NA,NA
2020,02,170,8,1
2020,02,180,6,1
2020,02,185,2.7,1
2020,02,188,6.4,1
2020,02,195,8.8,1
2020,02,198,13.9,1
2020,02,220,11.8,1
2020,02,230,NA,NA
2020,02,240,5.9,1
2020,02,275,NA,NA
2020,02,282,NA,NA
2020,02,290,NA,NA
2020,04,001,3.2,1
2020,04,003,8.1,1
2020,04,005,9.4,1
2020,04,007,9,1
2020,04,009,3.9,1
2020,04,011,4.2,1
2020,04,012,6,1
2020,04,013,5.3,1
2020,04,015,5.6,1
2020,04,017,6.6,1
2020,04,019,6.3,1
2020,04,021,3.7,1
2020,04,023,4.4,1
2020,04,025,8.2,1
2020,04,027,4.4,1
2020,05,001,13.4,1
2020,05,003,15.2,1
2020,05,005,9.1,1
2020,05,007,8.5,1
2020,05,009,11.5,1
2020,05,011,14.2,1
2020,05,013,10.6,1
2020,05,015,13.1,1
2020,05,017,12.7,1
2020,05,019,14.5,1
2020,05,021,15.1,1
2020,05,023,15.4,1
2020,05,025,5.3,1
2020,05,027,13.2,1
2020,05,029,13,1
2020,05,031,8.7,1
2020,05,033,7.6,1
2020,05,035,9.3,1
2020,05,037,17.8,1
2020,05,039,18.5,1
2020,05,041,17.6,1
2020,05,043,11,1
2020,05,045,9.4,1
2020,05,047,11.1,1
2020,05,049,7.5,1
2020,05,051,11.1,1
2020,05,053,9.5,1
2020,05,055,10.3,1
2020,05,057,10.5,1
2020,05,059,10.3,1
2020,05,061,14.9,1
2020,05,063,11.9,1
2020,05,065,11.8,1
2020,05,067,11.9,1
2020,05,069,13.2,1
2020,05,071,8.2,1
2020,05,073,6.3,1
2020,05,075,8.6,1
2020,05,077,9.3,1
2020,05,079,4.6,1
2020,05,081,12.5,1
2020,05,083,12.8,1
2020,05,085,8.5,1
2020,05,087,3.6,1
2020,05,089,8.3,1
2020,05,091,11.3,1
2020,05,093,11.3,1
2020,05,095,8.8,1
2020,05,097,5.9,1
2020,05,099,8.4,1
2020,05,101,4.2,1
2020,05,103,15.9,1
2020,05,105,7,1
2020,05,107,12.1,1
2020,05,109,9.8,1
2020,05,111,9.1,1
2020,05,113,14.6,1
2020,05,115,12.8,1
2020,05,117,14.5,1
2020,05,119,15.3,1
2020,05,121,4.3,1
2020,05,123,8.7,1
2020,05,125,7.6,1
2020,05,127,11.2,1
2020,05,129,5.1,1
2020,05,131,10.2,1
2020,05,133,9.5,1
2020,05,135,14.5,1
2020,05,137,11.3,1
2020,05,139,21,1
2020,05,141,13.3,1
2020,05,143,8.2,1
2020,05,145,10.3,1
2020,05,147,14.4,1
2020,05,149,10.9,1
2020,06,001,6.7,1
2020,06,003,NA,NA
2020,06,005,7.2,1
2020,06,007,8.1,1
2020,06,009,8.8,1
2020,06,011,5,1
2020,06,013,5.5,1
2020,06,015,3.6,1
2020,06,017,6,1
2020,06,019,5.2,1
2020,06,021,7.3,1
2020,06,023,8.9,1
2020,06,025,5,1
2020,06,027,4.7,1
2020,06,029,4.3,1
2020,06,031,3.8,1
2020,06,033,6,1
2020,06,035,5.8,1
2020,06,037,5.9,1
2020,06,039,4.7,1
2020,06,041,9.1,1
2020,06,043,8.2,1
2020,06,045,7.1,1
2020,06,047,4,1
2020,06,049,3.4,1
2020,06,051,6.1,1
2020,06,053,5.5,1
2020,06,055,7.8,1
2020,06,057,10.2,1
2020,06,059,6.6,1
2020,06,061,7.2,1
2020,06,063,13.1,1
2020,06,065,4.2,1
2020,06,067,7.1,1
2020,06,069,4,1
2020,06,071,4.4,1
2020,06,073,6.3,1
2020,06,075,9,1
2020,06,077,4.6,1
2020,06,079,9.1,1
2020,06,081,6,1
2020,06,083,7.8,1
2020,06,085,6,1
2020,06,087,7.4,1
2020,06,089,8.1,1
2020,06,091,NA,NA
2020,06,093,10.7,1
2020,06,095,5.2,1
2020,06,097,6.9,1
2020,06,099,5.6,1
2020,06,101,5.8,1
2020,06,103,4.9,1
2020,06,105,4.3,1
2020,06,107,4.4,1
2020,06,109,8.3,1
2020,06,111,6.3,1
2020,06,113,6.6,1
2020,06,115,3.2,1
2020,08,001,4.4,1
2020,08,003,9.8,1
2020,08,005,8.2,1
2020,08,007,9.7,1
2020,08,009,17.1,1
2020,08,011,NA,NA
2020,08,013,9.2,1
2020,08,014,6.1,1
2020,08,015,14.9,1
2020,08,017,NA,NA
2020,08,019,NA,NA
2020,08,021,4,1
2020,08,023,NA,NA
2020,08,025,6.8,1
2020,08,027,34,1
2020,08,029,14.4,1
2020,08,031,10.6,1
2020,08,033,NA,NA
2020,08,035,6.4,1
2020,08,037,7.9,1
2020,08,039,5,1
2020,08,041,8.6,1
2020,08,043,9,1
2020,08,045,9.6,1
2020,08,047,NA,NA
2020,08,049,13.4,1
2020,08,051,13.6,1
2020,08,053,NA,NA
2020,08,055,8.8,1
2020,08,057,NA,NA
2020,08,059,7.5,1
2020,08,061,NA,NA
2020,08,063,11.3,1
2020,08,065,6.7,1
2020,08,067,10.1,1
2020,08,069,9,1
2020,08,071,7.6,1
2020,08,073,10.6,1
2020,08,075,9.3,1
2020,08,077,8.9,1
2020,08,079,NA,NA
2020,08,081,6,1
2020,08,083,9.3,1
2020,08,085,8.9,1
2020,08,087,9.6,1
2020,08,089,11.2,1
2020,08,091,16.4,1
2020,08,093,7.5,1
2020,08,095,15.5,1
2020,08,097,20.2,1
2020,08,099,10,1
2020,08,101,7.7,1
2020,08,103,10.7,1
2020,08,105,13.9,1
2020,08,107,13.3,1
2020,08,109,14.1,1
2020,08,111,NA,NA
2020,08,113,9.9,1
2020,08,115,12.5,1
2020,08,117,6.1,1
2020,08,119,9.7,1
2020,08,121,12.5,1
2020,08,123,6.3,1
2020,08,125,15,1
2020,09,001,9.3,1
2020,09,003,9.8,1
2020,09,005,9.2,1
2020,09,007,10.4,1
2020,09,009,7.9,1
2020,09,011,9,1
2020,09,013,6.9,1
2020,09,015,8.2,1
2020,10,001,8.6,1
2020,10,003,10.7,1
2020,10,005,9.3,1
2020,11,001,29,1
2020,12,001,9,1
2020,12,003,7.8,1
2020,12,005,8.2,1
2020,12,007,11.3,1
2020,12,009,7.3,1
2020,12,011,5.8,1
2020,12,013,7.3,1
2020,12,015,5.8,1
2020,12,017,7.4,1
2020,12,019,7.1,1
2020,12,021,7.4,1
2020,12,023,8,1
2020,12,027,7.9,1
2020,12,029,7.8,1
2020,12,031,8.6,1
2020,12,033,8.8,1
2020,12,035,6.3,1
2020,12,037,13.7,1
2020,12,039,10,1
2020,12,041,6.2,1
2020,12,043,6.6,1
2020,12,045,12.7,1
2020,12,047,7.9,1
2020,12,049,8.7,1
2020,12,051,8.8,1
2020,12,053,5.7,1
2020,12,055,11.7,1
2020,12,057,7,1
2020,12,059,11.2,1
2020,12,061,9.2,1
2020,12,063,10.6,1
2020,12,065,9.6,1
2020,12,067,17,1
2020,12,069,7.2,1
2020,12,071,6.3,1
2020,12,073,13.4,1
2020,12,075,7.2,1
2020,12,077,7.5,1
2020,12,079,12.2,1
2020,12,081,7.4,1
2020,12,083,6.8,1
2020,12,085,9.8,1
2020,12,086,5.2,1
2020,12,087,10.7,1
2020,12,089,9.9,1
2020,12,091,9,1
2020,12,093,7.1,1
2020,12,095,7,1
2020,12,097,4.3,1
2020,12,099,6.6,1
2020,12,101,5.3,1
2020,12,103,7.4,1
2020,12,105,7.3,1
2020,12,107,9.4,1
2020,12,109,6.1,1
2020,12,111,5.2,1
2020,12,113,7.1,1
2020,12,115,8.4,1
2020,12,117,7.1,1
2020,12,119,4.7,1
2020,12,121,8.3,1
2020,12,123,13.3,1
2020,12,125,4.3,1
2020,12,127,7.5,1
2020,12,129,7.4,1
2020,12,131,11.2,1
2020,12,133,9.1,1
2020,13,001,12.5,1
2020,13,003,6,1
2020,13,005,8.1,1
2020,13,007,NA,NA
2020,13,009,7.3,1
2020,13,011,7.8,1
2020,13,013,6.6,1
2020,13,015,6.7,1
2020,13,017,7,1
2020,13,019,6.1,1
2020,13,021,12.6,1
2020,13,023,10.3,1
2020,13,025,8.9,1
2020,13,027,8.6,1
2020,13,029,6.3,1
2020,13,031,6.2,1
2020,13,033,7.3,1
2020,13,035,8.6,1
2020,13,037,12.6,1
2020,13,039,7.7,1
2020,13,043,6.4,1
2020,13,045,10.1,1
2020,13,047,7.1,1
2020,13,049,3.2,1
2020,13,051,10.9,1
2020,13,053,NA,NA
2020,13,055,9.6,1
2020,13,057,7,1
2020,13,059,10.2,1
2020,13,061,10.5,1
2020,13,063,4.3,1
2020,13,065,17.8,1
2020,13,067,7.8,1
2020,13,069,9.3,1
2020,13,071,9.4,1
2020,13,073,7.1,1
2020,13,075,7.5,1
2020,13,077,7.7,1
2020,13,079,7.4,1
2020,13,081,8.9,1
2020,13,083,9.8,1
2020,13,085,11.6,1
2020,13,087,9.5,1
2020,13,089,7.1,1
2020,13,091,10,1
2020,13,093,8.9,1
2020,13,095,11.5,1
2020,13,097,5.1,1
2020,13,099,12.9,1
2020,13,101,NA,NA
2020,13,103,6.6,1
2020,13,105,11.7,1
2020,13,107,7.5,1
2020,13,109,12.1,1
2020,13,111,13.8,1
2020,13,113,12.9,1
2020,13,115,9.8,1
2020,13,117,6,1
2020,13,119,13.7,1
2020,13,121,9.6,1
2020,13,123,7,1
2020,13,125,10.4,1
2020,13,127,12.3,1
2020,13,129,10.1,1
2020,13,131,8.4,1
2020,13,133,11.6,1
2020,13,135,7.2,1
2020,13,137,11.5,1
2020,13,139,7.4,1
2020,13,141,NA,NA
2020,13,143,8.4,1
2020,13,145,10.1,1
2020,13,147,12.8,1
2020,13,149,6.1,1
2020,13,151,5.4,1
2020,13,153,6.6,1
2020,13,155,6.2,1
2020,13,157,7.8,1
2020,13,159,5.5,1
2020,13,161,7.4,1
2020,13,163,9.5,1
2020,13,165,9.2,1
2020,13,167,14.1,1
2020,13,169,7.1,1
2020,13,171,7,1
2020,13,173,7.1,1
2020,13,175,11.1,1
2020,13,177,4.5,1
2020,13,179,7.4,1
2020,13,181,16.9,1
2020,13,183,4.3,1
2020,13,185,9.6,1
2020,13,187,4.2,1
2020,13,189,11.1,1
2020,13,191,5.5,1
2020,13,193,10.8,1
2020,13,195,8.6,1
2020,13,197,6.7,1
2020,13,199,10.2,1
2020,13,201,11.7,1
2020,13,205,9.7,1
2020,13,207,10.4,1
2020,13,209,8.1,1
2020,13,211,9.5,1
2020,13,213,3.3,1
2020,13,215,9.7,1
2020,13,217,6.4,1
2020,13,219,11.5,1
2020,13,221,4.7,1
2020,13,223,4.3,1
2020,13,225,6.1,1
2020,13,227,7.8,1
2020,13,229,10.7,1
2020,13,231,10.1,1
2020,13,233,9.6,1
2020,13,235,9.1,1
2020,13,237,10,1
2020,13,239,NA,NA
2020,13,241,16,1
2020,13,243,12.5,1
2020,13,245,9.6,1
2020,13,247,8.2,1
2020,13,249,15.4,1
2020,13,251,10.7,1
2020,13,253,10.9,1
2020,13,255,9.1,1
2020,13,257,13.4,1
2020,13,259,5.6,1
2020,13,261,10.5,1
2020,13,263,5.2,1
2020,13,265,NA,NA
2020,13,267,12.3,1
2020,13,269,12.8,1
2020,13,271,8,1
2020,13,273,7.6,1
2020,13,275,15.5,1
2020,13,277,11.6,1
2020,13,279,11.8,1
2020,13,281,11.2,1
2020,13,283,10.9,1
2020,13,285,11.2,1
2020,13,287,16.7,1
2020,13,289,10,1
2020,13,291,9.7,1
2020,13,293,10.8,1
2020,13,295,9.8,1
2020,13,297,6.6,1
2020,13,299,15.4,1
2020,13,301,13.4,1
2020,13,303,11.5,1
2020,13,305,12.6,1
2020,13,307,12.8,1
2020,13,309,NA,NA
2020,13,311,10,1
2020,13,313,9,1
2020,13,315,4.6,1
2020,13,317,10.5,1
2020,13,319,10.1,1
2020,13,321,7.7,1
2020,15,001,6.7,1
2020,15,003,6,1
2020,15,005,NA,NA
2020,15,007,8.7,1
2020,15,009,7.2,1
2020,16,001,7.7,1
2020,16,003,NA,NA
2020,16,005,7,1
2020,16,007,NA,NA
2020,16,009,8.4,1
2020,16,011,1.5,1
2020,16,013,11.9,1
2020,16,015,7.9,1
2020,16,017,10,1
2020,16,019,3.9,1
2020,16,021,7.5,1
2020,16,023,NA,NA
2020,16,025,NA,NA
2020,16,027,4.8,1
2020,16,029,NA,NA
2020,16,031,4.5,1
2020,16,033,NA,NA
2020,16,035,6.9,1
2020,16,037,7,1
2020,16,039,4.5,1
2020,16,041,NA,NA
2020,16,043,3,1
2020,16,045,7.3,1
2020,16,047,6.4,1
2020,16,049,3.6,1
2020,16,051,1,1
2020,16,053,6.2,1
2020,16,055,7.9,1
2020,16,057,10.4,1
2020,16,059,6.3,1
2020,16,061,NA,NA
2020,16,063,NA,NA
2020,16,065,NA,NA
2020,16,067,4.2,1
2020,16,069,9.7,1
2020,16,071,NA,NA
2020,16,073,2.5,1
2020,16,075,4.3,1
2020,16,077,NA,NA
2020,16,079,6.1,1
2020,16,081,2.6,1
2020,16,083,9,1
2020,16,085,12.8,1
2020,16,087,3.8,1
2020,17,001,14.6,1
2020,17,003,17.2,1
2020,17,005,13.2,1
2020,17,007,5.6,1
2020,17,009,11.2,1
2020,17,011,13.5,1
2020,17,013,NA,NA
2020,17,015,12.1,1
2020,17,017,13.8,1
2020,17,019,12.3,1
2020,17,021,13.5,1
2020,17,023,17.5,1
2020,17,025,21.8,1
2020,17,027,12.5,1
2020,17,029,15.8,1
2020,17,031,6.9,1
2020,17,033,16.1,1
2020,17,035,9.6,1
2020,17,037,9.7,1
2020,17,039,13.5,1
2020,17,041,13.2,1
2020,17,043,9,1
2020,17,045,11.9,1
2020,17,047,28.8,1
2020,17,049,15,1
2020,17,051,15.4,1
2020,17,053,15.5,1
2020,17,055,15.3,1
2020,17,057,16.4,1
2020,17,059,12.1,1
2020,17,061,14.2,1
2020,17,063,9.7,1
2020,17,065,26.3,1
2020,17,067,19.3,1
2020,17,069,11,1
2020,17,071,11,1
2020,17,073,13.8,1
2020,17,075,14.8,1
2020,17,077,16.6,1
2020,17,079,17.2,1
2020,17,081,18.3,1
2020,17,083,11.2,1
2020,17,085,8.6,1
2020,17,087,9,1
2020,17,089,7.4,1
2020,17,091,10.2,1
2020,17,093,5.2,1
2020,17,095,13.8,1
2020,17,097,8,1
2020,17,099,12.6,1
2020,17,101,14.4,1
2020,17,103,13.2,1
2020,17,105,17.6,1
2020,17,107,13.6,1
2020,17,109,14,1
2020,17,111,7.3,1
2020,17,113,11.8,1
2020,17,115,14.9,1
2020,17,117,14.7,1
2020,17,119,13.1,1
2020,17,121,21.5,1
2020,17,123,16.2,1
2020,17,125,16,1
2020,17,127,14.1,1
2020,17,129,9.8,1
2020,17,131,15.9,1
2020,17,133,14.9,1
2020,17,135,14.5,1
2020,17,137,12.5,1
2020,17,139,13.1,1
2020,17,141,13.1,1
2020,17,143,12.7,1
2020,17,145,24.3,1
2020,17,147,13.8,1
2020,17,149,8.8,1
2020,17,151,21.3,1
2020,17,153,17.3,1
2020,17,155,NA,NA
2020,17,157,19.9,1
2020,17,159,17.1,1
2020,17,161,12.6,1
2020,17,163,11,1
2020,17,165,19.4,1
2020,17,167,18,1
2020,17,169,20.3,1
2020,17,171,12.1,1
2020,17,173,14.8,1
2020,17,175,20.4,1
2020,17,177,14.3,1
2020,17,179,13.7,1
2020,17,181,12.8,1
2020,17,183,13.7,1
2020,17,185,20.2,1
2020,17,187,12.5,1
2020,17,189,24,1
2020,17,191,24.7,1
2020,17,193,25.2,1
2020,17,195,14.2,1
2020,17,197,6.6,1
2020,17,199,17.9,1
2020,17,201,9.6,1
2020,17,203,15.6,1
2020,18,001,14.5,1
2020,18,003,11.2,1
2020,18,005,10.2,1
2020,18,007,8,1
2020,18,009,14,1
2020,18,011,11,1
2020,18,013,9.7,1
2020,18,015,11.3,1
2020,18,017,12.7,1
2020,18,019,8.6,1
2020,18,021,15.9,1
2020,18,023,12.4,1
2020,18,025,2.9,1
2020,18,027,15,1
2020,18,029,10.7,1
2020,18,031,12.8,1
2020,18,033,14.1,1
2020,18,035,13.6,1
2020,18,037,13.5,1
2020,18,039,12.6,1
2020,18,041,12.4,1
2020,18,043,9.8,1
2020,18,045,14,1
2020,18,047,7,1
2020,18,049,17.1,1
2020,18,051,14.2,1
2020,18,053,15.4,1
2020,18,055,14.6,1
2020,18,057,9.6,1
2020,18,059,8.4,1
2020,18,061,7.6,1
2020,18,063,8.7,1
2020,18,065,13.7,1
2020,18,067,15.1,1
2020,18,069,16.9,1
2020,18,071,12.1,1
2020,18,073,14,1
2020,18,075,14.2,1
2020,18,077,11.5,1
2020,18,079,5.4,1
2020,18,081,9,1
2020,18,083,17.9,1
2020,18,085,15.3,1
2020,18,087,7.2,1
2020,18,089,9,1
2020,18,091,10.5,1
2020,18,093,16,1
2020,18,095,12.8,1
2020,18,097,11.3,1
2020,18,099,14.8,1
2020,18,101,15.3,1
2020,18,103,13.3,1
2020,18,105,9.9,1
2020,18,107,11.3,1
2020,18,109,9.2,1
2020,18,111,8,1
2020,18,113,10.5,1
2020,18,115,10.1,1
2020,18,117,12.1,1
2020,18,119,7.5,1
2020,18,121,13,1
2020,18,123,10.4,1
2020,18,125,17.1,1
2020,18,127,9.2,1
2020,18,129,10.3,1
2020,18,131,20,1
2020,18,133,12.8,1
2020,18,135,13.9,1
2020,18,137,14.8,1
2020,18,139,16.7,1
2020,18,141,10.8,1
2020,18,143,9,1
2020,18,145,10.9,1
2020,18,147,14.6,1
2020,18,149,9.4,1
2020,18,151,14.5,1
2020,18,153,11,1
2020,18,155,4.1,1
2020,18,157,10,1
2020,18,159,14.3,1
2020,18,161,5.6,1
2020,18,163,14.4,1
2020,18,165,11,1
2020,18,167,13.9,1
2020,18,169,16.1,1
2020,18,171,10.7,1
2020,18,173,10.8,1
2020,18,175,6.7,1
2020,18,177,14.3,1
2020,18,179,16.3,1
2020,18,181,10.9,1
2020,18,183,12.9,1
2020,19,001,9.3,1
2020,19,003,10.8,1
2020,19,005,14.2,1
2020,19,007,7.3,1
2020,19,009,19.4,1
2020,19,011,14.1,1
2020,19,013,11.4,1
2020,19,015,13.1,1
2020,19,017,18.4,1
2020,19,019,10.2,1
2020,19,021,19.7,1
2020,19,023,20.9,1
2020,19,025,24.2,1
2020,19,027,16.9,1
2020,19,029,16,1
2020,19,031,12.4,1
2020,19,033,17.4,1
2020,19,035,14.6,1
2020,19,037,18.3,1
2020,19,039,7.2,1
2020,19,041,15.3,1
2020,19,043,21.7,1
2020,19,045,13.6,1
2020,19,047,7.9,1
2020,19,049,8.6,1
2020,19,051,5.5,1
2020,19,053,7.8,1
2020,19,055,12.6,1
2020,19,057,16.4,1
2020,19,059,18.6,1
2020,19,061,10.8,1
2020,19,063,20.2,1
2020,19,065,17.4,1
2020,19,067,14.7,1
2020,19,069,22,1
2020,19,071,6.1,1
2020,19,073,25.1,1
2020,19,075,20.3,1
2020,19,077,20.7,1
2020,19,079,14.6,1
2020,19,081,25.9,1
2020,19,083,23.1,1
2020,19,085,13.7,1
2020,19,087,13.7,1
2020,19,089,15.8,1
2020,19,091,13.5,1
2020,19,093,21.4,1
2020,19,095,13.8,1
2020,19,097,10.3,1
2020,19,099,16.4,1
2020,19,101,12.1,1
2020,19,103,8.2,1
2020,19,105,10.7,1
2020,19,107,14,1
2020,19,109,22.3,1
2020,19,111,15.2,1
2020,19,113,10.3,1
2020,19,115,14.8,1
2020,19,117,11.6,1
2020,19,119,26,1
2020,19,121,10.9,1
2020,19,123,16.2,1
2020,19,125,18.9,1
2020,19,127,13.5,1
2020,19,129,9.7,1
2020,19,131,16.1,1
2020,19,133,9.1,1
2020,19,135,13.2,1
2020,19,137,13.6,1
2020,19,139,9.7,1
2020,19,141,26.1,1
2020,19,143,21,1
2020,19,145,23.7,1
2020,19,147,18.9,1
2020,19,149,14.8,1
2020,19,151,24,1
2020,19,153,12.1,1
2020,19,155,10.5,1
2020,19,157,13.9,1
2020,19,159,15,1
2020,19,161,22.4,1
2020,19,163,10.1,1
2020,19,165,15.3,1
2020,19,167,25.4,1
2020,19,169,11.7,1
2020,19,171,12.8,1
2020,19,173,15.3,1
2020,19,175,12.4,1
2020,19,177,6.9,1
2020,19,179,10.7,1
2020,19,181,10.1,1
2020,19,183,18.6,1
2020,19,185,13.9,1
2020,19,187,12.4,1
2020,19,189,13.1,1
2020,19,191,18.4,1
2020,19,193,12.5,1
2020,19,195,17.5,1
2020,19,197,26.3,1
2020,20,001,11.2,1
2020,20,003,8.9,1
2020,20,005,13.5,1
2020,20,007,26,1
2020,20,009,20,1
2020,20,011,13.2,1
2020,20,013,21,1
2020,20,015,11.3,1
2020,20,017,NA,NA
2020,20,019,14.8,1
2020,20,021,11.9,1
2020,20,023,34.4,1
2020,20,025,25.1,1
2020,20,027,29.6,1
2020,20,029,29.9,1
2020,20,031,12,1
2020,20,033,35.5,1
2020,20,035,16.2,1
2020,20,037,11.5,1
2020,20,039,25.3,1
2020,20,041,22.8,1
2020,20,043,14.6,1
2020,20,045,9.6,1
2020,20,047,10.3,1
2020,20,049,16.1,1
2020,20,051,9,1
2020,20,053,18.8,1
2020,20,055,9.9,1
2020,20,057,6.7,1
2020,20,059,10.8,1
2020,20,061,6,1
2020,20,063,29.4,1
2020,20,065,24.8,1
2020,20,067,19,1
2020,20,069,26.5,1
2020,20,071,31.2,1
2020,20,073,15,1
2020,20,075,19.9,1
2020,20,077,23.7,1
2020,20,079,18.2,1
2020,20,081,26.5,1
2020,20,083,17.4,1
2020,20,085,9.1,1
2020,20,087,10.9,1
2020,20,089,23.9,1
2020,20,091,8.3,1
2020,20,093,15.1,1
2020,20,095,25.4,1
2020,20,097,48.8,1
2020,20,099,13.4,1
2020,20,101,31.8,1
2020,20,103,7,1
2020,20,105,13.6,1
2020,20,107,7.3,1
2020,20,109,18.1,1
2020,20,111,11.8,1
2020,20,113,21.5,1
2020,20,115,24.5,1
2020,20,117,15.9,1
2020,20,119,32.1,1
2020,20,121,12.6,1
2020,20,123,24.2,1
2020,20,125,20,1
2020,20,127,26,1
2020,20,129,18.5,1
2020,20,131,12.7,1
2020,20,133,17.6,1
2020,20,135,29.8,1
2020,20,137,18.3,1
2020,20,139,8.2,1
2020,20,141,28.6,1
2020,20,143,10.5,1
2020,20,145,11.2,1
2020,20,147,28.1,1
2020,20,149,9.9,1
2020,20,151,15.3,1
2020,20,153,23.4,1
2020,20,155,13.7,1
2020,20,157,32.1,1
2020,20,159,19.1,1
2020,20,161,11.8,1
2020,20,163,16.3,1
2020,20,165,16.9,1
2020,20,167,19.4,1
2020,20,169,14.9,1
2020,20,171,15.5,1
2020,20,173,9.9,1
2020,20,175,12.7,1
2020,20,177,15.1,1
2020,20,179,40.9,1
2020,20,181,21.9,1
2020,20,183,36.4,1
2020,20,185,17.2,1
2020,20,187,19.2,1
2020,20,189,21,1
2020,20,191,16.1,1
2020,20,193,18.9,1
2020,20,195,24.9,1
2020,20,197,11.6,1
2020,20,199,19.8,1
2020,20,201,32.5,1
2020,20,203,37.2,1
2020,20,205,22,1
2020,20,207,9.6,1
2020,20,209,9.6,1
2020,21,001,4.2,1
2020,21,003,5.3,1
2020,21,005,9.6,1
2020,21,007,16.8,1
2020,21,009,7.6,1
2020,21,011,3.9,1
2020,21,013,11.2,1
2020,21,015,5.7,1
2020,21,017,10.4,1
2020,21,019,16.2,1
2020,21,021,13.4,1
2020,21,023,11.9,1
2020,21,025,3.6,1
2020,21,027,11.7,1
2020,21,029,6.3,1
2020,21,031,12.9,1
2020,21,033,16.6,1
2020,21,035,12.4,1
2020,21,037,7.6,1
2020,21,039,10.4,1
2020,21,041,8.3,1
2020,21,043,5.6,1
2020,21,045,6.3,1
2020,21,047,12.2,1
2020,21,049,8.1,1
2020,21,051,6.9,1
2020,21,053,5.4,1
2020,21,055,16.7,1
2020,21,057,5.1,1
2020,21,059,12.4,1
2020,21,061,2.5,1
2020,21,063,NA,NA
2020,21,065,11.3,1
2020,21,067,11.5,1
2020,21,069,5.3,1
2020,21,071,5.6,1
2020,21,073,21.9,1
2020,21,075,12.3,1
2020,21,077,3.5,1
2020,21,079,5.3,1
2020,21,081,6.8,1
2020,21,083,9.8,1
2020,21,085,6.1,1
2020,21,087,15.3,1
2020,21,089,6.7,1
2020,21,091,12.1,1
2020,21,093,9,1
2020,21,095,8.2,1
2020,21,097,9.6,1
2020,21,099,10.4,1
2020,21,101,12.3,1
2020,21,103,9.6,1
2020,21,105,8.8,1
2020,21,107,18.3,1
2020,21,109,NA,NA
2020,21,111,9.8,1
2020,21,113,11.9,1
2020,21,115,4.9,1
2020,21,117,7.3,1
2020,21,119,4.9,1
2020,21,121,7.6,1
2020,21,123,12.1,1
2020,21,125,5,1
2020,21,127,6.1,1
2020,21,129,NA,NA
2020,21,131,3.8,1
2020,21,133,4.2,1
2020,21,135,3.8,1
2020,21,137,10.7,1
2020,21,139,13.5,1
2020,21,141,14.6,1
2020,21,143,10.4,1
2020,21,145,16.2,1
2020,21,147,3.6,1
2020,21,149,17.5,1
2020,21,151,8.6,1
2020,21,153,2.6,1
2020,21,155,5.1,1
2020,21,157,16.7,1
2020,21,159,4.4,1
2020,21,161,16.9,1
2020,21,163,5.3,1
2020,21,165,NA,NA
2020,21,167,10.6,1
2020,21,169,6.8,1
2020,21,171,7.1,1
2020,21,173,8.2,1
2020,21,175,2.2,1
2020,21,177,20,1
2020,21,179,8.6,1
2020,21,181,10.6,1
2020,21,183,12.6,1
2020,21,185,6.5,1
2020,21,187,12.4,1
2020,21,189,NA,NA
2020,21,191,9.6,1
2020,21,193,4.9,1
