year,state,county,subgroup_type,subgroup,environmental,environmental_quality
2018,01,001,all,All,18.467065217391305,1
2018,01,001,poverty,High Poverty,NA,NA
2018,01,001,poverty,Not High Poverty,18.54314567464342,1
2018,01,001,race-ethnicity,Majority Non-White,13,1
2018,01,001,race-ethnicity,"Majority White, Non-Hispanic",18.412819009254775,1
2018,01,001,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,003,all,All,46.09834364053107,1
2018,01,003,poverty,High Poverty,NA,NA
2018,01,003,poverty,Not High Poverty,46.27915275322464,1
2018,01,003,race-ethnicity,Majority Non-White,26,1
2018,01,003,race-ethnicity,"Majority White, Non-Hispanic",46.84352481315135,1
2018,01,003,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,005,all,All,18.04623380653169,1
2018,01,005,poverty,High Poverty,NA,NA
2018,01,005,poverty,Not High Poverty,17.71554216126453,1
2018,01,005,race-ethnicity,Majority Non-White,16.83785822021116,1
2018,01,005,race-ethnicity,"Majority White, Non-Hispanic",19,1
2018,01,005,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,007,all,All,17.949837972211125,1
2018,01,007,poverty,High Poverty,NA,NA
2018,01,007,poverty,Not High Poverty,18.0122692416927,1
2018,01,007,race-ethnicity,Majority Non-White,NA,NA
2018,01,007,race-ethnicity,"Majority White, Non-Hispanic",19.91047227926078,1
2018,01,007,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,009,all,All,26,1
2018,01,009,poverty,High Poverty,NA,NA
2018,01,009,poverty,Not High Poverty,26,1
2018,01,009,race-ethnicity,Majority Non-White,NA,NA
2018,01,009,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,009,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,011,all,All,15,1
2018,01,011,poverty,High Poverty,15,1
2018,01,011,poverty,Not High Poverty,15,1
2018,01,011,race-ethnicity,Majority Non-White,15,1
2018,01,011,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,01,011,race-ethnicity,No Majority Race/Ethnicity,NA,NA
