year,state,county,subgroup_type,subgroup,environmental,environmental_quality
2018,01,001,all,All,18,1
2018,01,003,all,All,46,1
2018,01,005,all,All,18,1
2018,01,007,all,All,18,1
2018,01,009,all,All,26,1
2018,01,011,all,All,15,1
2018,01,013,all,All,26,1
2018,01,015,all,All,24,1
2018,01,017,all,All,15,1
2018,01,019,all,All,24,1
2018,01,021,all,All,24,1
2018,01,023,all,All,23,1
2018,01,025,all,All,22,1
2018,01,027,all,All,22,1
2018,01,029,all,All,26,1
2018,01,031,all,All,25,1
2018,01,033,all,All,22,1
2018,01,035,all,All,23,1
2018,01,037,all,All,15,1
2018,01,039,all,All,26,1
2018,01,041,all,All,26,1
2018,01,043,all,All,24,1
2018,01,045,all,All,26,1
2018,01,047,all,All,26,1
2018,01,049,all,All,39,1
2018,01,051,all,All,15,1
2018,01,053,all,All,21,1
2018,01,055,all,All,21,1
2018,01,057,all,All,26,1
2018,01,059,all,All,23,1
2018,01,061,all,All,44,1
2018,01,063,all,All,22,1
2018,01,065,all,All,23,1
2018,01,067,all,All,26,1
2018,01,069,all,All,27,1
2018,01,071,all,All,37,1
2018,01,073,all,All,10,1
2018,01,075,all,All,26,1
2018,01,077,all,All,26,1
2018,01,079,all,All,24,1
2018,01,081,all,All,16,1
2018,01,083,all,All,24,1
2018,01,085,all,All,26,1
2018,01,087,all,All,15,1
2018,01,089,all,All,21,1
2018,01,091,all,All,19,1
2018,01,093,all,All,25,1
2018,01,095,all,All,29,1
2018,01,097,all,All,22,1
2018,01,099,all,All,26,1
2018,01,101,all,All,16,1
2018,01,103,all,All,18,1
2018,01,105,all,All,26,1
2018,01,107,all,All,20,1
2018,01,109,all,All,25,1
2018,01,111,all,All,25,1
2018,01,113,all,All,14,1
2018,01,115,all,All,20,1
2018,01,117,all,All,11,1
2018,01,119,all,All,17,1
2018,01,121,all,All,22,1
2018,01,123,all,All,15,1
2018,01,125,all,All,10,1
2018,01,127,all,All,22,1
2018,01,129,all,All,17,1
2018,01,131,all,All,24,1
2018,01,133,all,All,26,1
2018,02,013,all,All,100,1
2018,02,016,all,All,100,1
2018,02,020,all,All,46,1
2018,02,050,all,All,100,1
2018,02,060,all,All,100,1
2018,02,068,all,All,100,1
2018,02,070,all,All,100,1
2018,02,090,all,All,47,1
2018,02,100,all,All,100,1
2018,02,105,all,All,100,1
2018,02,110,all,All,100,1
2018,02,122,all,All,80,1
2018,02,130,all,All,100,1
2018,02,150,all,All,100,1
2018,02,158,all,All,100,1
2018,02,164,all,All,100,1
2018,02,170,all,All,98,1
2018,02,180,all,All,100,1
2018,02,185,all,All,100,1
2018,02,188,all,All,100,1
2018,02,195,all,All,100,1
2018,02,198,all,All,100,1
2018,02,220,all,All,100,1
2018,02,230,all,All,100,1
2018,02,240,all,All,82,1
2018,02,261,all,All,100,1
2018,02,275,all,All,100,1
2018,02,282,all,All,100,1
2018,02,290,all,All,99,1
2018,04,001,all,All,99,1
2018,04,003,all,All,96,1
2018,04,005,all,All,94,1
2018,04,007,all,All,91,1
2018,04,009,all,All,84,1
2018,04,011,all,All,98,1
2018,04,012,all,All,83,1
2018,04,013,all,All,30,1
2018,04,015,all,All,84,1
2018,04,017,all,All,98,1
2018,04,019,all,All,67,1
2018,04,021,all,All,61,1
2018,04,023,all,All,87,1
2018,04,025,all,All,93,1
2018,04,027,all,All,46,1
2018,05,001,all,All,41,1
2018,05,003,all,All,25,1
2018,05,005,all,All,21,1
2018,05,007,all,All,28,1
2018,05,009,all,All,38,1
2018,05,011,all,All,21,1
2018,05,013,all,All,20,1
2018,05,015,all,All,47,1
2018,05,017,all,All,40,1
2018,05,019,all,All,17,1
2018,05,021,all,All,55,1
2018,05,023,all,All,26,1
2018,05,025,all,All,30,1
2018,05,027,all,All,15,1
2018,05,029,all,All,25,1
2018,05,031,all,All,49,1
2018,05,033,all,All,24,1
2018,05,035,all,All,33,1
2018,05,037,all,All,55,1
2018,05,039,all,All,24,1
2018,05,041,all,All,41,1
2018,05,043,all,All,29,1
2018,05,045,all,All,18,1
2018,05,047,all,All,26,1
2018,05,049,all,All,26,1
2018,05,051,all,All,26,1
2018,05,053,all,All,26,1
2018,05,055,all,All,47,1
2018,05,057,all,All,26,1
2018,05,059,all,All,18,1
2018,05,061,all,All,26,1
2018,05,063,all,All,28,1
2018,05,065,all,All,30,1
2018,05,067,all,All,51,1
2018,05,069,all,All,28,1
2018,05,071,all,All,26,1
2018,05,073,all,All,26,1
2018,05,075,all,All,43,1
2018,05,077,all,All,55,1
2018,05,079,all,All,35,1
2018,05,081,all,All,24,1
2018,05,083,all,All,26,1
2018,05,085,all,All,28,1
2018,05,087,all,All,65,1
2018,05,089,all,All,28,1
2018,05,091,all,All,24,1
2018,05,093,all,All,54,1
2018,05,095,all,All,48,1
2018,05,097,all,All,32,1
2018,05,099,all,All,28,1
2018,05,101,all,All,56,1
2018,05,103,all,All,12,1
2018,05,105,all,All,26,1
2018,05,107,all,All,47,1
2018,05,109,all,All,28,1
2018,05,111,all,All,55,1
2018,05,113,all,All,27,1
2018,05,115,all,All,21,1
2018,05,117,all,All,43,1
2018,05,119,all,All,22,1
2018,05,121,all,All,33,1
2018,05,123,all,All,55,1
2018,05,125,all,All,22,1
2018,05,127,all,All,28,1
2018,05,129,all,All,29,1
2018,05,131,all,All,17,1
2018,05,133,all,All,26,1
2018,05,135,all,All,27,1
2018,05,137,all,All,30,1
2018,05,139,all,All,6,1
2018,05,141,all,All,26,1
2018,05,143,all,All,31,1
2018,05,145,all,All,27,1
2018,05,147,all,All,49,1
2018,05,149,all,All,26,1
2018,06,001,all,All,48,1
2018,06,003,all,All,93,1
2018,06,005,all,All,20,1
2018,06,007,all,All,2,1
2018,06,009,all,All,24,1
2018,06,011,all,All,7,1
2018,06,013,all,All,33,1
2018,06,015,all,All,36,1
2018,06,017,all,All,31,1
2018,06,019,all,All,15,1
2018,06,021,all,All,12,1
2018,06,023,all,All,50,1
2018,06,025,all,All,62,1
2018,06,027,all,All,98,1
2018,06,029,all,All,38,1
2018,06,031,all,All,36,1
2018,06,033,all,All,0,1
2018,06,035,all,All,65,1
2018,06,037,all,All,11,1
2018,06,039,all,All,20,1
2018,06,041,all,All,66,1
2018,06,043,all,All,7,1
2018,06,045,all,All,46,1
2018,06,047,all,All,31,1
2018,06,049,all,All,84,1
2018,06,051,all,All,79,1
2018,06,053,all,All,76,1
2018,06,055,all,All,47,1
2018,06,057,all,All,33,1
2018,06,059,all,All,16,1
2018,06,061,all,All,8,1
2018,06,063,all,All,73,1
2018,06,065,all,All,34,1
2018,06,067,all,All,3,1
2018,06,069,all,All,74,1
2018,06,071,all,All,26,1
2018,06,073,all,All,37,1
2018,06,075,all,All,45,1
2018,06,077,all,All,24,1
2018,06,079,all,All,81,1
2018,06,081,all,All,65,1
2018,06,083,all,All,73,1
2018,06,085,all,All,41,1
2018,06,087,all,All,45,1
2018,06,089,all,All,3,1
2018,06,091,all,All,93,1
2018,06,093,all,All,25,1
2018,06,095,all,All,33,1
2018,06,097,all,All,46,1
2018,06,099,all,All,27,1
2018,06,101,all,All,3,1
2018,06,103,all,All,8,1
2018,06,105,all,All,36,1
2018,06,107,all,All,19,1
2018,06,109,all,All,31,1
2018,06,111,all,All,54,1
2018,06,113,all,All,8,1
2018,06,115,all,All,6,1
2018,08,001,all,All,19,1
2018,08,003,all,All,98,1
2018,08,005,all,All,50,1
2018,08,007,all,All,98,1
2018,08,009,all,All,98,1
2018,08,011,all,All,98,1
2018,08,013,all,All,43,1
2018,08,014,all,All,25,1
2018,08,015,all,All,100,1
2018,08,017,all,All,98,1
2018,08,019,all,All,99,1
2018,08,021,all,All,98,1
2018,08,023,all,All,98,1
2018,08,025,all,All,98,1
2018,08,027,all,All,100,1
2018,08,029,all,All,98,1
2018,08,031,all,All,24,1
2018,08,033,all,All,98,1
2018,08,035,all,All,76,1
2018,08,037,all,All,84,1
2018,08,039,all,All,98,1
2018,08,041,all,All,79,1
2018,08,043,all,All,98,1
2018,08,045,all,All,73,1
2018,08,047,all,All,98,1
2018,08,049,all,All,98,1
2018,08,051,all,All,99,1
2018,08,053,all,All,100,1
2018,08,055,all,All,60,1
2018,08,057,all,All,100,1
2018,08,059,all,All,50,1
2018,08,061,all,All,98,1
2018,08,063,all,All,98,1
2018,08,065,all,All,100,1
2018,08,067,all,All,61,1
2018,08,069,all,All,41,1
2018,08,071,all,All,98,1
2018,08,073,all,All,98,1
2018,08,075,all,All,96,1
2018,08,077,all,All,88,1
2018,08,079,all,All,100,1
2018,08,081,all,All,98,1
2018,08,083,all,All,97,1
2018,08,085,all,All,98,1
2018,08,087,all,All,85,1
2018,08,089,all,All,98,1
2018,08,091,all,All,100,1
2018,08,093,all,All,100,1
2018,08,095,all,All,98,1
2018,08,097,all,All,99,1
2018,08,099,all,All,98,1
2018,08,101,all,All,78,1
2018,08,103,all,All,98,1
2018,08,105,all,All,98,1
2018,08,107,all,All,98,1
2018,08,109,all,All,99,1
2018,08,111,all,All,100,1
2018,08,113,all,All,100,1
2018,08,115,all,All,98,1
2018,08,117,all,All,99,1
2018,08,119,all,All,99,1
2018,08,121,all,All,97,1
2018,08,123,all,All,6,1
2018,08,125,all,All,98,1
2018,09,001,all,All,64,1
2018,09,003,all,All,62,1
2018,09,005,all,All,82,1
2018,09,007,all,All,75,1
2018,09,009,all,All,71,1
2018,09,011,all,All,77,1
2018,09,013,all,All,77,1
2018,09,015,all,All,76,1
2018,10,001,all,All,76,1
2018,10,003,all,All,36,1
2018,10,005,all,All,76,1
2018,11,001,all,All,21,1
2018,12,001,all,All,32,1
2018,12,003,all,All,33,1
2018,12,005,all,All,49,1
2018,12,007,all,All,40,1
2018,12,009,all,All,76,1
2018,12,011,all,All,51,1
2018,12,013,all,All,29,1
2018,12,015,all,All,62,1
2018,12,017,all,All,55,1
2018,12,019,all,All,42,1
2018,12,021,all,All,56,1
2018,12,023,all,All,41,1
2018,12,027,all,All,57,1
2018,12,029,all,All,55,1
2018,12,031,all,All,39,1
2018,12,033,all,All,40,1
2018,12,035,all,All,60,1
2018,12,037,all,All,64,1
2018,12,039,all,All,21,1
2018,12,041,all,All,55,1
2018,12,043,all,All,55,1
2018,12,045,all,All,42,1
2018,12,047,all,All,53,1
2018,12,049,all,All,58,1
2018,12,051,all,All,57,1
2018,12,053,all,All,50,1
2018,12,055,all,All,56,1
2018,12,057,all,All,34,1
2018,12,059,all,All,26,1
2018,12,061,all,All,75,1
2018,12,063,all,All,29,1
2018,12,065,all,All,26,1
2018,12,067,all,All,61,1
2018,12,069,all,All,50,1
2018,12,071,all,All,57,1
2018,12,073,all,All,22,1
2018,12,075,all,All,53,1
2018,12,077,all,All,26,1
