state,place,environmental,subgroup,subgroup_type,geoid,environmental_quality,year
01,03076,15,High Poverty,poverty,0103076,1,2018
01,03076,15,Not High Poverty,poverty,0103076,1,2018
01,07000,6,High Poverty,poverty,0107000,1,2018
01,07000,7,Not High Poverty,poverty,0107000,1,2018
01,35896,NA,High Poverty,poverty,0135896,NA,2018
01,35896,8,Not High Poverty,poverty,0135896,1,2018
01,37000,20,High Poverty,poverty,0137000,1,2018
01,37000,18,Not High Poverty,poverty,0137000,1,2018
01,50000,14,High Poverty,poverty,0150000,1,2018
01,50000,18,Not High Poverty,poverty,0150000,1,2018
01,51000,15,High Poverty,poverty,0151000,1,2018
01,51000,15,Not High Poverty,poverty,0151000,1,2018
01,77256,4,High Poverty,poverty,0177256,1,2018
01,77256,8,Not High Poverty,poverty,0177256,1,2018
02,03000,NA,High Poverty,poverty,0203000,NA,2018
02,03000,45,Not High Poverty,poverty,0203000,1,2018
04,04720,26,High Poverty,poverty,0404720,1,2018
04,04720,19,Not High Poverty,poverty,0404720,1,2018
04,07940,NA,High Poverty,poverty,0407940,NA,2018
04,07940,73,Not High Poverty,poverty,0407940,1,2018
04,12000,0,High Poverty,poverty,0412000,1,2018
04,12000,19,Not High Poverty,poverty,0412000,1,2018
04,23620,89,High Poverty,poverty,0423620,1,2018
04,23620,96,Not High Poverty,poverty,0423620,1,2018
04,27400,NA,High Poverty,poverty,0427400,NA,2018
04,27400,23,Not High Poverty,poverty,0427400,1,2018
04,27820,26,High Poverty,poverty,0427820,1,2018
04,27820,26,Not High Poverty,poverty,0427820,1,2018
04,28380,NA,High Poverty,poverty,0428380,NA,2018
04,28380,37,Not High Poverty,poverty,0428380,1,2018
04,46000,26,High Poverty,poverty,0446000,1,2018
04,46000,26,Not High Poverty,poverty,0446000,1,2018
04,54050,NA,High Poverty,poverty,0454050,NA,2018
04,54050,30,Not High Poverty,poverty,0454050,1,2018
04,55000,22,High Poverty,poverty,0455000,1,2018
04,55000,26,Not High Poverty,poverty,0455000,1,2018
04,65000,NA,High Poverty,poverty,0465000,NA,2018
04,65000,37,Not High Poverty,poverty,0465000,1,2018
04,71510,NA,High Poverty,poverty,0471510,NA,2018
04,71510,49,Not High Poverty,poverty,0471510,1,2018
04,73000,26,High Poverty,poverty,0473000,1,2018
04,73000,14,Not High Poverty,poverty,0473000,1,2018
04,77000,55,High Poverty,poverty,0477000,1,2018
04,77000,59,Not High Poverty,poverty,0477000,1,2018
04,85540,41,High Poverty,poverty,0485540,1,2018
04,85540,32,Not High Poverty,poverty,0485540,1,2018
05,23290,NA,High Poverty,poverty,0523290,NA,2018
05,23290,26,Not High Poverty,poverty,0523290,1,2018
05,24550,13,High Poverty,poverty,0524550,1,2018
05,24550,14,Not High Poverty,poverty,0524550,1,2018
05,35710,40,High Poverty,poverty,0535710,1,2018
05,35710,46,Not High Poverty,poverty,0535710,1,2018
05,41000,21,High Poverty,poverty,0541000,1,2018
05,41000,19,Not High Poverty,poverty,0541000,1,2018
05,66080,NA,High Poverty,poverty,0566080,NA,2018
05,66080,22,Not High Poverty,poverty,0566080,1,2018
06,00562,NA,High Poverty,poverty,0600562,NA,2018
06,00562,47,Not High Poverty,poverty,0600562,1,2018
06,00884,NA,High Poverty,poverty,0600884,NA,2018
06,00884,4,Not High Poverty,poverty,0600884,1,2018
06,02000,NA,High Poverty,poverty,0602000,NA,2018
06,02000,7,Not High Poverty,poverty,0602000,1,2018
06,02252,NA,High Poverty,poverty,0602252,NA,2018
06,02252,29,Not High Poverty,poverty,0602252,1,2018
06,02364,NA,High Poverty,poverty,0602364,NA,2018
06,02364,54,Not High Poverty,poverty,0602364,1,2018
06,03526,17,High Poverty,poverty,0603526,1,2018
06,03526,23,Not High Poverty,poverty,0603526,1,2018
06,04982,NA,High Poverty,poverty,0604982,NA,2018
06,04982,4,Not High Poverty,poverty,0604982,1,2018
06,06000,40,High Poverty,poverty,0606000,1,2018
06,06000,40,Not High Poverty,poverty,0606000,1,2018
06,08786,NA,High Poverty,poverty,0608786,NA,2018
06,08786,5,Not High Poverty,poverty,0608786,1,2018
06,08954,NA,High Poverty,poverty,0608954,NA,2018
06,08954,12,Not High Poverty,poverty,0608954,1,2018
06,11194,NA,High Poverty,poverty,0611194,NA,2018
06,11194,47,Not High Poverty,poverty,0611194,1,2018
06,11530,NA,High Poverty,poverty,0611530,NA,2018
06,11530,0,Not High Poverty,poverty,0611530,1,2018
06,13014,1,High Poverty,poverty,0613014,1,2018
06,13014,1,Not High Poverty,poverty,0613014,1,2018
06,13210,NA,High Poverty,poverty,0613210,NA,2018
06,13210,6,Not High Poverty,poverty,0613210,1,2018
06,13214,NA,High Poverty,poverty,0613214,NA,2018
06,13214,14,Not High Poverty,poverty,0613214,1,2018
06,13392,NA,High Poverty,poverty,0613392,NA,2018
06,13392,29,Not High Poverty,poverty,0613392,1,2018
06,13588,NA,High Poverty,poverty,0613588,NA,2018
06,13588,1,Not High Poverty,poverty,0613588,1,2018
06,14218,NA,High Poverty,poverty,0614218,NA,2018
06,14218,11,Not High Poverty,poverty,0614218,1,2018
06,15044,NA,High Poverty,poverty,0615044,NA,2018
06,15044,1,Not High Poverty,poverty,0615044,1,2018
06,16000,NA,High Poverty,poverty,0616000,NA,2018
06,16000,40,Not High Poverty,poverty,0616000,1,2018
06,16350,NA,High Poverty,poverty,0616350,NA,2018
06,16350,15,Not High Poverty,poverty,0616350,1,2018
06,16532,NA,High Poverty,poverty,0616532,NA,2018
06,16532,33,Not High Poverty,poverty,0616532,1,2018
06,17918,NA,High Poverty,poverty,0617918,NA,2018
06,17918,69,Not High Poverty,poverty,0617918,1,2018
06,19766,NA,High Poverty,poverty,0619766,NA,2018
06,19766,4,Not High Poverty,poverty,0619766,1,2018
06,21712,NA,High Poverty,poverty,0621712,NA,2018
06,21712,21,Not High Poverty,poverty,0621712,1,2018
06,22020,NA,High Poverty,poverty,0622020,NA,2018
06,22020,5,Not High Poverty,poverty,0622020,1,2018
06,22230,NA,High Poverty,poverty,0622230,NA,2018
06,22230,4,Not High Poverty,poverty,0622230,1,2018
06,22804,NA,High Poverty,poverty,0622804,NA,2018
06,22804,37,Not High Poverty,poverty,0622804,1,2018
06,23182,NA,High Poverty,poverty,0623182,NA,2018
06,23182,32,Not High Poverty,poverty,0623182,1,2018
06,24638,NA,High Poverty,poverty,0624638,NA,2018
06,24638,4,Not High Poverty,poverty,0624638,1,2018
06,24680,NA,High Poverty,poverty,0624680,NA,2018
06,24680,10,Not High Poverty,poverty,0624680,1,2018
06,26000,NA,High Poverty,poverty,0626000,NA,2018
06,26000,54,Not High Poverty,poverty,0626000,1,2018
06,27000,6,High Poverty,poverty,0627000,1,2018
06,27000,10,Not High Poverty,poverty,0627000,1,2018
06,28000,NA,High Poverty,poverty,0628000,NA,2018
06,28000,6,Not High Poverty,poverty,0628000,1,2018
06,29000,NA,High Poverty,poverty,0629000,NA,2018
06,29000,6,Not High Poverty,poverty,0629000,1,2018
06,30000,NA,High Poverty,poverty,0630000,NA,2018
06,30000,10,Not High Poverty,poverty,0630000,1,2018
06,32548,NA,High Poverty,poverty,0632548,NA,2018
06,32548,4,Not High Poverty,poverty,0632548,1,2018
06,33000,NA,High Poverty,poverty,0633000,NA,2018
06,33000,45,Not High Poverty,poverty,0633000,1,2018
06,33182,55,High Poverty,poverty,0633182,1,2018
06,33182,47,Not High Poverty,poverty,0633182,1,2018
06,33434,NA,High Poverty,poverty,0633434,NA,2018
06,33434,40,Not High Poverty,poverty,0633434,1,2018
06,36000,NA,High Poverty,poverty,0636000,NA,2018
06,36000,32,Not High Poverty,poverty,0636000,1,2018
06,36448,NA,High Poverty,poverty,0636448,NA,2018
06,36448,47,Not High Poverty,poverty,0636448,1,2018
06,36546,NA,High Poverty,poverty,0636546,NA,2018
06,36546,2,Not High Poverty,poverty,0636546,1,2018
06,36770,46,High Poverty,poverty,0636770,1,2018
06,36770,14,Not High Poverty,poverty,0636770,1,2018
06,37692,NA,High Poverty,poverty,0637692,NA,2018
06,37692,7,Not High Poverty,poverty,0637692,1,2018
06,39496,NA,High Poverty,poverty,0639496,NA,2018
06,39496,20,Not High Poverty,poverty,0639496,1,2018
06,39892,NA,High Poverty,poverty,0639892,NA,2018
06,39892,1,Not High Poverty,poverty,0639892,1,2018
06,40130,55,High Poverty,poverty,0640130,1,2018
06,40130,57,Not High Poverty,poverty,0640130,1,2018
06,41992,NA,High Poverty,poverty,0641992,NA,2018
06,41992,55,Not High Poverty,poverty,0641992,1,2018
06,43000,0,High Poverty,poverty,0643000,1,2018
06,43000,0,Not High Poverty,poverty,0643000,1,2018
06,44000,5,High Poverty,poverty,0644000,1,2018
06,44000,11,Not High Poverty,poverty,0644000,1,2018
06,45484,NA,High Poverty,poverty,0645484,NA,2018
06,45484,26,Not High Poverty,poverty,0645484,1,2018
06,46842,NA,High Poverty,poverty,0646842,NA,2018
06,46842,34,Not High Poverty,poverty,0646842,1,2018
06,46898,14,High Poverty,poverty,0646898,1,2018
06,46898,18,Not High Poverty,poverty,0646898,1,2018
06,47766,NA,High Poverty,poverty,0647766,NA,2018
06,47766,54,Not High Poverty,poverty,0647766,1,2018
06,48256,NA,High Poverty,poverty,0648256,NA,2018
06,48256,20,Not High Poverty,poverty,0648256,1,2018
06,48354,26,High Poverty,poverty,0648354,1,2018
06,48354,25,Not High Poverty,poverty,0648354,1,2018
06,49270,NA,High Poverty,poverty,0649270,NA,2018
06,49270,23,Not High Poverty,poverty,0649270,1,2018
06,49670,NA,High Poverty,poverty,0649670,NA,2018
06,49670,55,Not High Poverty,poverty,0649670,1,2018
06,50076,NA,High Poverty,poverty,0650076,NA,2018
06,50076,38,Not High Poverty,poverty,0650076,1,2018
06,50258,55,High Poverty,poverty,0650258,1,2018
06,50258,54,Not High Poverty,poverty,0650258,1,2018
06,51182,NA,High Poverty,poverty,0651182,NA,2018
06,51182,43,Not High Poverty,poverty,0651182,1,2018
06,52526,NA,High Poverty,poverty,0652526,NA,2018
06,52526,5,Not High Poverty,poverty,0652526,1,2018
06,53000,47,High Poverty,poverty,0653000,1,2018
06,53000,46,Not High Poverty,poverty,0653000,1,2018
06,53322,NA,High Poverty,poverty,0653322,NA,2018
06,53322,43,Not High Poverty,poverty,0653322,1,2018
06,53896,NA,High Poverty,poverty,0653896,NA,2018
06,53896,5,Not High Poverty,poverty,0653896,1,2018
06,53980,NA,High Poverty,poverty,0653980,NA,2018
06,53980,8,Not High Poverty,poverty,0653980,1,2018
