year,state,place,subgroup_type,subgroup,environmental,environmental_quality
2018,01,03076,all,All,15.000000000000002,1
2018,01,03076,poverty,High Poverty,15,1
2018,01,03076,poverty,Not High Poverty,15,1
2018,01,03076,race-ethnicity,Majority Non-White,NA,NA
2018,01,03076,race-ethnicity,"Majority White, Non-Hispanic",15,1
2018,01,03076,race-ethnicity,Mixed Race and Ethnicity,14.999999999999998,1
2018,01,07000,all,All,6.750970597971594,1
2018,01,07000,poverty,High Poverty,5.827104898514862,1
2018,01,07000,poverty,Not High Poverty,6.926137843511301,1
2018,01,07000,race-ethnicity,Majority Non-White,6.692942102257014,1
2018,01,07000,race-ethnicity,"Majority White, Non-Hispanic",6.552600716997429,1
2018,01,07000,race-ethnicity,Mixed Race and Ethnicity,7.407860750671475,1
2018,01,35896,all,All,8.037785255804572,1
2018,01,35896,poverty,High Poverty,NA,NA
2018,01,35896,poverty,Not High Poverty,8.06949047880658,1
2018,01,35896,race-ethnicity,Majority Non-White,8,1
2018,01,35896,race-ethnicity,"Majority White, Non-Hispanic",8.10249400294233,1
2018,01,35896,race-ethnicity,Mixed Race and Ethnicity,8,1
2018,01,37000,all,All,17.90342883601791,1
2018,01,37000,poverty,High Poverty,19.615265760197776,1
2018,01,37000,poverty,Not High Poverty,17.50003834164068,1
2018,01,37000,race-ethnicity,Majority Non-White,18.39456272998306,1
2018,01,37000,race-ethnicity,"Majority White, Non-Hispanic",16.838920612151064,1
2018,01,37000,race-ethnicity,Mixed Race and Ethnicity,19.58469860036958,1
2018,01,50000,all,All,16.882369043438747,1
2018,01,50000,poverty,High Poverty,14.239047795781742,1
2018,01,50000,poverty,Not High Poverty,17.54449338104092,1
2018,01,50000,race-ethnicity,Majority Non-White,15.412933019314979,1
2018,01,50000,race-ethnicity,"Majority White, Non-Hispanic",17.98024074228132,1
2018,01,50000,race-ethnicity,Mixed Race and Ethnicity,17.236247091364095,1
2018,01,51000,all,All,15.221445529479265,1
2018,01,51000,poverty,High Poverty,14.763566803576746,1
2018,01,51000,poverty,Not High Poverty,15.223318765594966,1
2018,01,51000,race-ethnicity,Majority Non-White,15.68418690132483,1
2018,01,51000,race-ethnicity,"Majority White, Non-Hispanic",14.37450490855969,1
2018,01,51000,race-ethnicity,Mixed Race and Ethnicity,14.734274216843321,1
2018,01,77256,all,All,6.593034408605164,1
2018,01,77256,poverty,High Poverty,4.11743338768119,1
2018,01,77256,poverty,Not High Poverty,7.795821544145114,1
2018,01,77256,race-ethnicity,Majority Non-White,5.438321274930865,1
2018,01,77256,race-ethnicity,"Majority White, Non-Hispanic",7.744324583398853,1
2018,01,77256,race-ethnicity,Mixed Race and Ethnicity,5.331916193268963,1
2018,02,03000,all,All,44.80366930350024,1
2018,02,03000,poverty,High Poverty,NA,NA
2018,02,03000,poverty,Not High Poverty,45.02785573954533,1
2018,02,03000,race-ethnicity,Majority Non-White,42.11579016307551,1
2018,02,03000,race-ethnicity,"Majority White, Non-Hispanic",62.132346577748365,1
2018,02,03000,race-ethnicity,Mixed Race and Ethnicity,30.524846932794706,1
2018,04,04720,all,All,19.936980802879116,1
2018,04,04720,poverty,High Poverty,26,1
2018,04,04720,poverty,Not High Poverty,19.456624416736013,1
2018,04,04720,race-ethnicity,Majority Non-White,20.63014059011794,1
2018,04,04720,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,04,04720,race-ethnicity,Mixed Race and Ethnicity,19.879262123454833,1
2018,04,07940,all,All,77.34452940656826,1
2018,04,07940,poverty,High Poverty,NA,NA
2018,04,07940,poverty,Not High Poverty,73.09798121777675,1
2018,04,07940,race-ethnicity,Majority Non-White,NA,NA
2018,04,07940,race-ethnicity,"Majority White, Non-Hispanic",92.99561104014592,1
2018,04,07940,race-ethnicity,Mixed Race and Ethnicity,74.61586854292692,1
2018,04,12000,all,All,18.912027873541664,1
2018,04,12000,poverty,High Poverty,0,1
2018,04,12000,poverty,Not High Poverty,19.176109326741763,1
2018,04,12000,race-ethnicity,Majority Non-White,14,1
