year,state,place,subgroup_type,subgroup,environmental,environmental_quality
2018,01,03076,all,All,6.667533510466036,1
2018,01,03076,poverty,High Poverty,6,1
2018,01,03076,poverty,Not High Poverty,6.945407274811749,1
2018,01,03076,race-ethnicity,Majority Non-White,NA,NA
2018,01,03076,race-ethnicity,"Majority White, Non-Hispanic",6.387861732666293,1
2018,01,03076,race-ethnicity,Mixed Race and Ethnicity,7.154676694883445,1
2018,01,07000,all,All,6.258683874603815,1
2018,01,07000,poverty,High Poverty,3.9699262273213405,1
2018,01,07000,poverty,Not High Poverty,6.9996466976750416,1
2018,01,07000,race-ethnicity,Majority Non-White,6.220112552792495,1
2018,01,07000,race-ethnicity,"Majority White, Non-Hispanic",5.490409066383466,1
2018,01,07000,race-ethnicity,Mixed Race and Ethnicity,7.452437339504739,1
2018,01,35896,all,All,7.905757893130798,1
2018,01,35896,poverty,High Poverty,NA,NA
2018,01,35896,poverty,Not High Poverty,7.966850722344311,1
2018,01,35896,race-ethnicity,Majority Non-White,6.546125283863184,1
2018,01,35896,race-ethnicity,"Majority White, Non-Hispanic",8.399621161404038,1
2018,01,35896,race-ethnicity,Mixed Race and Ethnicity,7.007466853631875,1
2018,01,37000,all,All,20.567329389172492,1
2018,01,37000,poverty,High Poverty,15.340738603577611,1
2018,01,37000,poverty,Not High Poverty,21.59460527312126,1
2018,01,37000,race-ethnicity,Majority Non-White,20.62378434181425,1
2018,01,37000,race-ethnicity,"Majority White, Non-Hispanic",21.61246716179847,1
2018,01,37000,race-ethnicity,Mixed Race and Ethnicity,16.6610028733832,1
2018,01,50000,all,All,11.014854274750594,1
2018,01,50000,poverty,High Poverty,9.491992497294593,1
2018,01,50000,poverty,Not High Poverty,11.315715909666295,1
2018,01,50000,race-ethnicity,Majority Non-White,10.692628192306387,1
2018,01,50000,race-ethnicity,"Majority White, Non-Hispanic",10.88574647926665,1
2018,01,50000,race-ethnicity,Mixed Race and Ethnicity,11.203848944636224,1
2018,01,51000,all,All,5.450745709309396,1
2018,01,51000,poverty,High Poverty,5.121151379089159,1
2018,01,51000,poverty,Not High Poverty,5.525493821279069,1
2018,01,51000,race-ethnicity,Majority Non-White,5.564953694895943,1
2018,01,51000,race-ethnicity,"Majority White, Non-Hispanic",5.13523979892685,1
2018,01,51000,race-ethnicity,Mixed Race and Ethnicity,5.812880371130952,1
2018,01,77256,all,All,5.092704018933865,1
2018,01,77256,poverty,High Poverty,4.393861386138614,1
