"year","state","county","share_economic_connectedness","share_economic_connectedness_lb","share_economic_connectedness_ub","share_economic_connectedness_quality"
2022,"01","001",0.360385,0.352241349252243,0.368528650747757,1
2022,"01","003",0.371565015,0.365087334031095,0.378042695968905,1
2022,"01","005",0.206829995,0.197245771115599,0.216414218884401,1
2022,"01","007",0.315759985,0.304245196590827,0.327274773409173,1
2022,"01","009",0.362809985,0.35315716237614,0.37246280762386,1
2022,"01","011",0.177575005,0.166462009207658,0.188688000792342,1
2022,"01","013",0.23013,0.219947987100314,0.240312012899686,1
2022,"01","015",0.300945015,0.293977342936962,0.307912687063038,1
2022,"01","017",0.248805,0.240288956879166,0.257321043120834,1
2022,"01","019",0.302305015,0.290662828931832,0.313947201068168,1
2022,"01","021",0.317525,0.307803578538683,0.327246421461317,1
2022,"01","023",0.339365005,0.325341462690616,0.353388547309384,1
2022,"01","025",0.282675,0.273002577540298,0.292347422459702,1
2022,"01","027",0.28780499,0.274643831843814,0.300966148156186,1
2022,"01","029",0.345084995,0.332511826039176,0.357658163960824,1
2022,"01","031",0.342209995,0.333517554728565,0.350902435271435,1
2022,"01","033",0.322174995,0.314188141665001,0.330161848334999,1
2022,"01","035",0.222609995,0.211095206590827,0.234124783409173,1
2022,"01","037",0.244025005,0.230383655667601,0.257666354332399,1
2022,"01","039",0.30166,0.29201697680407,0.31130302319593,1
2022,"01","041",0.30381,0.29110943338018,0.31651056661982,1
2022,"01","043",0.32999,0.322120744504073,0.337859255495927,1
2022,"01","045",0.31962499,0.311569537827544,0.327680442172456,1
2022,"01","047",0.227255,0.218846754408325,0.235663245591675,1
2022,"01","049",0.296415,0.287859757305481,0.304970242694519,1
2022,"01","051",0.348134995,0.340657732496978,0.355612257503022,1
2022,"01","053",0.23217,0.223977350250628,0.240362649749372,1
2022,"01","055",0.29694,0.289825330834118,0.304054669165882,1
2022,"01","057",0.34279001,0.32968765076335,0.35589236923665,1
2022,"01","059",0.287420005,0.27700279642217,0.29783721357783,1
2022,"01","061",0.29278001,0.282059007004566,0.303501012995434,1
2022,"01","063",0.229,0.21626023410049,0.24173976589951,1
2022,"01","065",0.29365501,0.282483215288122,0.304826804711878,1
2022,"01","067",0.302029995,0.290583805330286,0.313476184669714,1
2022,"01","069",0.287615,0.280862924269256,0.294367075730744,1
2022,"01","071",0.289350005,0.280784961995567,0.297915048004433,1
2022,"01","073",0.299569995,0.294621086135033,0.304518903864967,1
2022,"01","075",0.35999501,0.346441859046906,0.373548160953094,1
2022,"01","077",0.348419995,0.340825134657905,0.356014855342094,1
2022,"01","079",0.318545015,0.30816700570186,0.32892302429814,1
2022,"01","081",0.363110005,0.35668132303271,0.36953868696729,1
2022,"01","083",0.351419985,0.343638928079374,0.359201041920626,1
2022,"01","085",0.206705005,0.19520001641075,0.21820999358925,1
2022,"01","087",0.228334995,0.218868368954672,0.237801621045328,1
2022,"01","089",0.373945,0.368329703282291,0.379560296717709,1
2022,"01","091",0.28758499,0.277275579441319,0.297894400558681,1
2022,"01","093",0.321669995,0.31139978372101,0.33194020627899,1
2022,"01","095",0.280479995,0.272473541829159,0.288486448170841,1
2022,"01","097",0.284810005,0.279616100636965,0.290003909363035,1
2022,"01","099",0.237770005,0.227999584537068,0.247540425462932,1
2022,"01","101",0.245344995,0.23991589495882,0.25077409504118,1
2022,"01","103",0.307550015,0.300435345834118,0.314664684165882,1
2022,"01","105",NA,NA,NA,NA
2022,"01","107",0.31275499,0.300828609154074,0.324681370845926,1
2022,"01","109",0.298150005,0.288967573634432,0.307332436365568,1
2022,"01","111",0.277449995,0.266679992904952,0.288219997095048,1
