year,state,county,economic_connectedness,economic_connectedness_lb,economic_connectedness_ub,economic_connectedness_quality
2022,01,001,0.72077,0.7044826985044865,0.7370573014955135,1
2022,01,003,0.74313003,0.7301746680621902,0.7560853919378098,1
2022,01,005,0.41365999,0.39449154223119826,0.4328284377688017,1
2022,01,007,0.63151997,0.6084903931816544,0.6545495468183457,1
2022,01,009,0.72561997,0.7063143247522805,0.7449256152477195,1
2022,01,011,0.35515001,0.3329240184153158,0.3773760015846842,1
2022,01,013,0.46026,0.43989597420062887,0.48062402579937114,1
2022,01,015,0.60189003,0.5879546858739237,0.6158253741260762,1
2022,01,017,0.49761,0.48057791375833253,0.5146420862416675,1
2022,01,019,0.60461003,0.5813256578636642,0.6278944021363358,1
2022,01,021,0.63505,0.6156071570773662,0.6544928429226338,1
2022,01,023,0.67873001,0.6506829253812318,0.7067770946187681,1
2022,01,025,0.56535,0.5460051550805969,0.5846948449194032,1
2022,01,027,0.57560998,0.549287663687627,0.6019322963123729,1
2022,01,029,0.69016999,0.6650236520783511,0.7153163279216489,1
2022,01,031,0.68441999,0.6670351094571297,0.7018048705428702,1
2022,01,033,0.64434999,0.6283762833300022,0.6603236966699979,1
2022,01,035,0.44521999,0.4221904131816544,0.4682495668183456,1
2022,01,037,0.48805001,0.46076731133520243,0.5153327086647975,1
2022,01,039,0.60332,0.5840339536081403,0.6226060463918597,1
2022,01,041,0.60762,0.5822188667603609,0.6330211332396392,1
2022,01,043,0.65998,0.6442414890081469,0.6757185109918531,1
2022,01,045,0.63924998,0.623139075655088,0.655360884344912,1
2022,01,047,0.45451,0.43769350881665,0.47132649118335007,1
2022,01,049,0.59283,0.5757195146109617,0.6099404853890382,1
2022,01,051,0.69626999,0.6813154649939558,0.7112245150060442,1
2022,01,053,0.46434,0.4479547005012559,0.48072529949874404,1
2022,01,055,0.59388,0.5796506616682355,0.6081093383317644,1
2022,01,057,0.68558002,0.6593753015266994,0.7117847384733005,1
2022,01,059,0.57484001,0.5540055928443391,0.5956744271556608,1
2022,01,061,0.58556002,0.5641180140091318,0.6070020259908682,1
2022,01,063,0.458,0.43252046820097934,0.4834795317990207,1
2022,01,065,0.58731002,0.5649664305762434,0.6096536094237566,1
2022,01,067,0.60405999,0.5811676106605722,0.6269523693394278,1
2022,01,069,0.57523,0.5617258485385118,0.5887341514614882,1
2022,01,071,0.57870001,0.5615699239911344,0.5958300960088657,1
2022,01,073,0.59913999,0.5892421722700655,0.6090378077299344,1
2022,01,075,0.71999002,0.6928837180938111,0.7470963219061889,1
2022,01,077,0.69683999,0.681650269315811,0.712029710684189,1
2022,01,079,0.63709003,0.6163340114037208,0.6578460485962792,1
2022,01,081,0.72622001,0.7133626460654209,0.7390773739345792,1
2022,01,083,0.70283997,0.6872778561587484,0.7184020838412516,1
2022,01,085,0.41341001,0.39040003282149977,0.4364199871785002,1
2022,01,087,0.45666999,0.4377367379093431,0.47560324209065696,1
2022,01,089,0.74789,0.736659406564582,0.7591205934354182,1
2022,01,091,0.57516998,0.5545511588826386,0.5957888011173613,1
2022,01,093,0.64333999,0.6227995674420203,0.6638804125579797,1
2022,01,095,0.56095999,0.5449470836583186,0.5769728963416814,1
2022,01,097,0.56962001,0.5592322012739305,0.5800078187260694,1
2022,01,099,0.47554001,0.4559991690741357,0.49508085092586435,1
2022,01,101,0.49068999,0.4798317899176409,0.5015481900823591,1
2022,01,103,0.61510003,0.6008706916682356,0.6293293683317644,1
NA,01,105,NA,NA,NA,NA
2022,01,107,0.62550998,0.6016572183081476,0.6493627416918525,1
2022,01,109,0.59630001,0.5779351472688633,0.6146648727311367,1
2022,01,111,0.55489999,0.5333599858099048,0.5764399941900952,1
2022,01,113,0.56879997,0.5552958185385118,0.5823041214614882,1
2022,01,115,0.78175998,0.7648258917615631,0.7986940682384369,1
2022,01,117,0.82049,0.8055158751581141,0.835464124841886,1
2022,01,119,0.54794002,0.5234404701932494,0.5724395698067506,1
2022,01,121,0.52474999,0.5106970480348514,0.5388029319651486,1
2022,01,123,0.51406997,0.49568550841300346,0.5324544315869965,1
2022,01,125,0.64775002,0.6352650492224835,0.6602349907775166,1
2022,01,127,0.64082003,0.6228863589534693,0.6587537010465306,1
2022,01,129,0.70414001,0.6802872483081476,0.7279927716918525,1
2022,01,131,0.42162001,0.39845323570273655,0.4447867842972634,1
2022,01,133,0.59921002,0.5773564215723784,0.6210636184276216,1
2022,02,013,0.91415,0.8556842763011342,0.9726157236988658,1
2022,02,016,0.83311999,0.7796913717814382,0.8865486082185619,1
2022,02,020,1.02472,1.0093146826895225,1.0401253173104776,1
2022,02,050,0.76327002,0.7348701418640147,0.7916698981359853,1
NA,02,060,NA,NA,NA,NA
NA,02,063,NA,NA,NA,NA
NA,02,066,NA,NA,NA,NA
2022,02,068,1.16948,1.0977453162058701,1.24121468379413,1
2022,02,070,0.90030998,0.8552112067557693,0.9454087532442306,1
2022,02,090,1.09859,1.080891524631614,1.116288475368386,1
2022,02,100,1.1621799,1.1085160841433293,1.2158437158566706,1
2022,02,105,1.04737,0.9746945334932907,1.120045466506709,1
2022,02,110,1.1094,1.0813725150210771,1.1374274849789228,1
2022,02,122,1.03391,1.013643972399856,1.0541760276001442,1
2022,02,130,0.98493999,0.9532081730902965,1.0166718069097034,1
2022,02,150,1.06233,1.029735798937099,1.094924201062901,1
2022,02,158,0.64175999,0.60697062731445,0.6765493526855499,1
NA,02,164,NA,NA,NA,NA
2022,02,170,1.09532,1.076994336940547,1.1136456630594531,1
2022,02,180,0.83958,0.7994595352765012,0.8797004647234988,1
2022,02,185,1.08719,1.0494214959778772,1.124958504022123,1
2022,02,188,0.83544999,0.7937223548091783,0.8771776251908217,1
2022,02,195,1.04632,0.997242499867153,1.0953975001328469,1
2022,02,198,0.86852002,0.824871622064293,0.9121684179357069,1
2022,02,220,1.1381,1.10042949221714,1.1757705077828597,1
2022,02,230,1.1267101,1.0509378903977176,1.2024823096022823,1
2022,02,240,0.99532002,0.9505544406331412,1.0400855993668587,1
2022,02,275,1.06294,1.0034746946690187,1.1224053053309813,1
NA,02,282,NA,NA,NA,NA
2022,02,290,0.79198003,0.7504679928074416,0.8334920671925583,1
2022,04,001,0.48368001,0.4654915444194647,0.5018684755805353,1
2022,04,003,0.79714,0.7795395226348447,0.8147404773651552,1
2022,04,005,0.75237,0.7342795324226953,0.7704604675773047,1
2022,04,007,0.61997002,0.5987240104075858,0.6412160295924142,1
2022,04,009,0.68656999,0.6623448351510849,0.710795144848915,1
2022,04,011,0.81149,0.7773866266690032,0.8455933733309969,1
2022,04,012,0.61006999,0.582375698898449,0.6377642811015509,1
2022,04,013,0.74400002,0.7327890264004236,0.7552110135995763,1
2022,04,015,0.77204001,0.7558507082716848,0.7882293117283152,1
2022,04,017,0.57981002,0.5636795167992282,0.5959405232007718,1
2022,04,019,0.71572,0.7033526270615559,0.7280873729384442,1
2022,04,021,0.77478999,0.760893845349611,0.7886861346503891,1
2022,04,023,0.52688998,0.5043699938176348,0.5494099661823652,1
2022,04,025,0.84227997,0.8263258639498295,0.8582340760501704,1
2022,04,027,0.66210002,0.6445191434506685,0.6796808965493315,1
2022,05,001,0.61054999,0.5880496034574801,0.6330503765425198,1
2022,05,003,0.68015999,0.6556212409135586,0.7046987390864415,1
2022,05,005,0.78823,0.7671603871661944,0.8092996128338056,1
2022,05,007,0.84904999,0.8342914610004171,0.863808518999583,1
2022,05,009,0.76545,0.7444979850052668,0.7864020149947332,1
2022,05,011,0.60974002,0.5824377216953571,0.637042318304643,1
2022,05,013,0.69174999,0.6557650512438447,0.7277349287561554,1
2022,05,015,0.71524,0.6908188487526309,0.7396611512473691,1
2022,05,017,0.56199002,0.5372552745151045,0.5867247654848955,1
2022,05,019,0.71052998,0.6901659542006289,0.7308940057993711,1
2022,05,021,0.74431998,0.7192324409978873,0.7694075190021127,1
2022,05,023,0.77938998,0.7564192021011906,0.8023607578988095,1
2022,05,025,0.75866997,0.7298780990671067,0.7874618409328934,1
2022,05,027,0.64563,0.6236392040934606,0.6676207959065394,1
2022,05,029,0.70840001,0.6864876126528422,0.7303124073471577,1
2022,05,031,0.72960001,0.7165466498629632,0.7426533701370367,1
