year,state,place,state_name,place_name,subgroup_type,subgroup,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2017,01,03076,Alabama,Auburn city,all,All,0.75042897,0.55912179,0.94173616,1
2017,01,03076,Alabama,Auburn city,income,Low Income,0.63433427,0.32322389,0.94544464,1
2017,01,03076,Alabama,Auburn city,income,Not Low-Income,0.78719777,0.60711652,0.96727902,1
2017,01,07000,Alabama,Birmingham city,all,All,0.79033613,0.68369627,0.89697599,1
2017,01,07000,Alabama,Birmingham city,income,Low Income,0.79868877,0.68858731,0.90879029,1
2017,01,07000,Alabama,Birmingham city,income,Not Low-Income,0.69616848,0.5445866,0.84775037,1
2017,01,35896,Alabama,Hoover city,all,All,1.0886145,0.94067645,1.2365525,1
2017,01,35896,Alabama,Hoover city,income,Low Income,1.1113371,0.83245224,1.3902218,1
2017,01,35896,Alabama,Hoover city,income,Not Low-Income,1.0833571,0.94722068,1.2194935,1
2017,01,37000,Alabama,Huntsville city,all,All,0.81618953,0.69588363,0.93649542,1
2017,01,37000,Alabama,Huntsville city,income,Low Income,0.80918634,0.65104479,0.96732783,1
2017,01,37000,Alabama,Huntsville city,income,Not Low-Income,0.7613923,0.63239491,0.89038968,1
2017,01,50000,Alabama,Mobile city,all,All,0.77185768,0.69671828,0.84699708,1
2017,01,50000,Alabama,Mobile city,income,Low Income,0.80695486,0.72819149,0.88571823,1
2017,01,50000,Alabama,Mobile city,income,Not Low-Income,0.55404997,0.4418605,0.66623944,1
2017,01,51000,Alabama,Montgomery city,all,All,0.67622286,0.57423896,0.77820677,1
2017,01,51000,Alabama,Montgomery city,income,Low Income,0.74298382,0.63650262,0.84946501,1
2017,01,51000,Alabama,Montgomery city,income,Not Low-Income,0.51781803,0.36469412,0.67094195,1
2017,01,77256,Alabama,Tuscaloosa city,all,All,0.79646391,0.65029508,0.94263279,1
2017,01,77256,Alabama,Tuscaloosa city,income,Low Income,0.80423641,0.62193948,0.98653328,2
2017,01,77256,Alabama,Tuscaloosa city,income,Not Low-Income,0.71546632,0.53819573,0.89273697,1
2017,02,03000,Alaska,Anchorage municipality,all,All,NA,NA,NA,NA
2017,02,03000,Alaska,Anchorage municipality,income,Low Income,NA,NA,NA,NA
2017,02,03000,Alaska,Anchorage municipality,income,Not Low-Income,NA,NA,NA,NA
2017,04,04720,Arizona,Avondale city,all,All,1.2414978,1.0164806,1.4665151,1
2017,04,04720,Arizona,Avondale city,income,Low Income,1.2797762,1.0486174,1.5109351,1
2017,04,04720,Arizona,Avondale city,income,Not Low-Income,1.2750063,0.86040497,1.6896076,1
2017,04,07940,Arizona,Buckeye city,all,All,1.0074793,0.73841679,1.2765418,1
2017,04,07940,Arizona,Buckeye city,income,Low Income,0.941356,-0.29110959,2.1738217,3
2017,04,07940,Arizona,Buckeye city,income,Not Low-Income,1.0253054,0.0049258787,2.0456848,3
2017,04,12000,Arizona,Chandler city,all,All,1.1039355,1.0025297,1.2053412,1
2017,04,12000,Arizona,Chandler city,income,Low Income,NA,NA,NA,NA
2017,04,12000,Arizona,Chandler city,income,Not Low-Income,NA,NA,NA,NA
2017,04,23620,Arizona,Flagstaff city,all,All,1.0917569,0.88915747,1.2943563,1
2017,04,23620,Arizona,Flagstaff city,income,Low Income,NA,NA,NA,NA
2017,04,23620,Arizona,Flagstaff city,income,Not Low-Income,NA,NA,NA,NA
2017,04,27400,Arizona,Gilbert town,all,All,1.0582143,0.92651606,1.1899124,1
2017,04,27400,Arizona,Gilbert town,income,Low Income,1.1551347,0.60847217,1.7017972,3
2017,04,27400,Arizona,Gilbert town,income,Not Low-Income,1.043992,0.79777229,1.2902118,3
2017,04,27820,Arizona,Glendale city,all,All,1.1954684,1.0692461,1.3216907,1
2017,04,27820,Arizona,Glendale city,income,Low Income,1.321093,1.1643256,1.4778603,2
2017,04,27820,Arizona,Glendale city,income,Not Low-Income,1.5381138,1.0650967,2.0111308,2
2017,04,28380,Arizona,Goodyear city,all,All,NA,NA,NA,NA
2017,04,28380,Arizona,Goodyear city,income,Low Income,NA,NA,NA,NA
2017,04,28380,Arizona,Goodyear city,income,Not Low-Income,NA,NA,NA,NA
2017,04,46000,Arizona,Mesa city,all,All,1.0414534,0.9561522,1.1267545,1
2017,04,46000,Arizona,Mesa city,income,Low Income,1.0520376,0.91499346,1.1890818,2
2017,04,46000,Arizona,Mesa city,income,Not Low-Income,1.0944985,0.93864387,1.2503532,2
2017,04,54050,Arizona,Peoria city,all,All,NA,NA,NA,NA
2017,04,54050,Arizona,Peoria city,income,Low Income,NA,NA,NA,NA
2017,04,54050,Arizona,Peoria city,income,Not Low-Income,NA,NA,NA,NA
2017,04,55000,Arizona,Phoenix city,all,All,1.100279,0.92852730000000006,1.2720307,1
2017,04,55000,Arizona,Phoenix city,income,Low Income,1.1108035,0.77556002,1.4460471,2
2017,04,55000,Arizona,Phoenix city,income,Not Low-Income,1.1257278,0.78188884,1.4695667,2
2017,04,65000,Arizona,Scottsdale city,all,All,1.0788422,0.8904832,1.2672013,1
2017,04,65000,Arizona,Scottsdale city,income,Low Income,1.3003581,-2.0547237,4.6554399,3
2017,04,65000,Arizona,Scottsdale city,income,Not Low-Income,1.3333825,0.26184839,2.4049165,3
2017,04,71510,Arizona,Surprise city,all,All,1.069913,0.94338882,1.1964372,1
2017,04,71510,Arizona,Surprise city,income,Low Income,1.0398172,0.8790102,1.2006242,1
2017,04,71510,Arizona,Surprise city,income,Not Low-Income,1.0474226,0.90887719,1.185968,1
2017,04,73000,Arizona,Tempe city,all,All,1.09008,0.940274,1.2398859,1
2017,04,73000,Arizona,Tempe city,income,Low Income,1.0226012,0.83618867,1.2090138,2
2017,04,73000,Arizona,Tempe city,income,Not Low-Income,0.93660921,0.64160806,1.2316103,2
2017,04,77000,Arizona,Tucson city,all,All,1.1345824,0.95070326,1.3184615,2
