year,state,county,environmental,subgroup,subgroup_type,environmental_quality
2014,01,001,5.738374201973302,All,all,1
2014,01,001,NA,No Predominant Racial Group,race-ethnicity,NA
2014,01,001,7.5364464692482915,Predominantly People of Color,race-ethnicity,1
2014,01,001,5.598732521879087,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,003,37.74025783844565,All,all,1
2014,01,003,NA,No Predominant Racial Group,race-ethnicity,NA
2014,01,003,17,Predominantly People of Color,race-ethnicity,1
2014,01,003,38.198240424628985,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,005,8.555035215162802,All,all,1
2014,01,005,8.41928911025583,No Predominant Racial Group,race-ethnicity,1
2014,01,005,8,Predominantly People of Color,race-ethnicity,1
2014,01,005,9.766712141882675,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,007,11.901690725290248,All,all,1
2014,01,007,11,No Predominant Racial Group,race-ethnicity,1
2014,01,007,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,007,12.484066767830045,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,009,25.647133315985776,All,all,1
2014,01,009,NA,No Predominant Racial Group,race-ethnicity,NA
2014,01,009,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,009,25.441991341991343,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,011,5.955017301038063,All,all,1
2014,01,011,NA,No Predominant Racial Group,race-ethnicity,NA
2014,01,011,5.710972238913592,Predominantly People of Color,race-ethnicity,1
2014,01,011,NA,"Predominantly White, Non-Hispanic",race-ethnicity,NA
2014,01,013,13.952199970764507,All,all,1
2014,01,013,14.820790750490348,No Predominant Racial Group,race-ethnicity,1
2014,01,013,13.222567535261774,Predominantly People of Color,race-ethnicity,1
2014,01,013,13.249058498619132,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,015,15.323204137012954,All,all,1
2014,01,015,14.913009506446151,No Predominant Racial Group,race-ethnicity,1
2014,01,015,11.628310502283105,Predominantly People of Color,race-ethnicity,1
2014,01,015,16.246232942270353,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,017,11.415798891202957,All,all,1
2014,01,017,11.140179869675265,No Predominant Racial Group,race-ethnicity,1
2014,01,017,9,Predominantly People of Color,race-ethnicity,1
2014,01,017,11.839585666293393,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,019,22.985331387758237,All,all,1
2014,01,019,NA,No Predominant Racial Group,race-ethnicity,NA
2014,01,019,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,019,23.072631534957583,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,021,12.598958452296658,All,all,1
2014,01,021,NA,No Predominant Racial Group,race-ethnicity,NA
2014,01,021,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,021,12.636438232131741,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,023,19.656208474826517,All,all,1
2014,01,023,19,No Predominant Racial Group,race-ethnicity,1
2014,01,023,18,Predominantly People of Color,race-ethnicity,1
2014,01,023,20.510981225646475,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,025,14.202992380877186,All,all,1
2014,01,025,13.777770816364889,No Predominant Racial Group,race-ethnicity,1
2014,01,025,15,Predominantly People of Color,race-ethnicity,1
2014,01,025,14.852529182879378,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,027,19.125651758830873,All,all,1
2014,01,027,NA,No Predominant Racial Group,race-ethnicity,NA
2014,01,027,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,027,19.097064220183487,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,029,23.53302201467645,All,all,1
2014,01,029,NA,No Predominant Racial Group,race-ethnicity,NA
2014,01,029,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,029,23.916240915305462,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,031,14.605724874817648,All,all,1
2014,01,031,13,No Predominant Racial Group,race-ethnicity,1
2014,01,031,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,031,14.860420483294076,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,033,31.889559743810903,All,all,1
2014,01,033,27,No Predominant Racial Group,race-ethnicity,1
2014,01,033,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,033,32.429032105088446,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,035,12.78167115902965,All,all,1
2014,01,035,11.714108910891088,No Predominant Racial Group,race-ethnicity,1
2014,01,035,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,035,20,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,037,14.749533208855695,All,all,1
2014,01,037,15,No Predominant Racial Group,race-ethnicity,1
2014,01,037,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,037,14.847868388466301,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,039,16.491856075605185,All,all,1
2014,01,039,16.7510593220339,No Predominant Racial Group,race-ethnicity,1
2014,01,039,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,039,16.541981655075094,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,041,14.944683598794661,All,all,1
2014,01,041,16,No Predominant Racial Group,race-ethnicity,1
2014,01,041,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,041,14.747647892769686,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,043,23.07156493281103,All,all,1
2014,01,043,NA,No Predominant Racial Group,race-ethnicity,NA
2014,01,043,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,043,23.2365975504942,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,045,13.21396436926399,All,all,1
2014,01,045,13.11985313401521,No Predominant Racial Group,race-ethnicity,1
2014,01,045,NA,Predominantly People of Color,race-ethnicity,NA
2014,01,045,13.314968779107875,"Predominantly White, Non-Hispanic",race-ethnicity,1
2014,01,047,9.516833165664552,All,all,1
