year,state,county,state_name,county_name,subgroup_type,subgroup,share_debt_col,share_debt_col_ub,share_debt_col_lb,share_debt_col_quality,transportation_cost,index_transit_trips,transportation_cost_quality,index_transit_trips_quality,index_air_quality,index_air_quality_quality
2014,01,001,Alabama,Autauga County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,6,1
2014,01,001,Alabama,Autauga County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,8,1
2014,01,001,Alabama,Autauga County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,6,1
2014,01,001,Alabama,Autauga County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,003,Alabama,Baldwin County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,38,1
2014,01,003,Alabama,Baldwin County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,18,1
2014,01,003,Alabama,Baldwin County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,39,1
2014,01,003,Alabama,Baldwin County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,9,1
2014,01,005,Alabama,Barbour County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,9,1
2014,01,005,Alabama,Barbour County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,10,1
2014,01,005,Alabama,Barbour County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,9,1
2014,01,007,Alabama,Bibb County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,12,1
2014,01,007,Alabama,Bibb County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,13,1
2014,01,007,Alabama,Bibb County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,11,1
2014,01,009,Alabama,Blount County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,26,1
2014,01,009,Alabama,Blount County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,26,1
2014,01,009,Alabama,Blount County,race-ethnicity,Mixed Race and Ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,all,All,NA,NA,NA,NA,NA,NA,NA,NA,6,1
2014,01,011,Alabama,Bullock County,race-ethnicity,Majority Non-White,NA,NA,NA,NA,NA,NA,NA,NA,6,1
