year,state,county,state_name,county_name,subgroup_type,subgroup,poverty_exposure,poverty_exposure_quality
2018,01,001,Alabama,Autauga County,all,All,0,1
2018,01,001,Alabama,Autauga County,race-ethnicity,Black,0,1
2018,01,001,Alabama,Autauga County,race-ethnicity,Hispanic,0,3
2018,01,001,Alabama,Autauga County,race-ethnicity,Other Races and Ethnicities,0,2
2018,01,001,Alabama,Autauga County,race-ethnicity,"White, Non-Hispanic",0,1
2018,01,003,Alabama,Baldwin County,all,All,0,1
2018,01,003,Alabama,Baldwin County,race-ethnicity,Black,0,1
2018,01,003,Alabama,Baldwin County,race-ethnicity,Hispanic,0,2
2018,01,003,Alabama,Baldwin County,race-ethnicity,Other Races and Ethnicities,0,2
2018,01,003,Alabama,Baldwin County,race-ethnicity,"White, Non-Hispanic",0,1
2018,01,005,Alabama,Barbour County,all,All,0,1
2018,01,005,Alabama,Barbour County,race-ethnicity,Black,0,1
2018,01,005,Alabama,Barbour County,race-ethnicity,Hispanic,0,2
2018,01,005,Alabama,Barbour County,race-ethnicity,Other Races and Ethnicities,0,2
2018,01,005,Alabama,Barbour County,race-ethnicity,"White, Non-Hispanic",0,1
2018,01,007,Alabama,Bibb County,all,All,0,1
2018,01,007,Alabama,Bibb County,race-ethnicity,Black,0,2
2018,01,007,Alabama,Bibb County,race-ethnicity,Hispanic,NA,NA
2018,01,007,Alabama,Bibb County,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,01,007,Alabama,Bibb County,race-ethnicity,"White, Non-Hispanic",0,1
2018,01,009,Alabama,Blount County,all,All,0,1
2018,01,009,Alabama,Blount County,race-ethnicity,Black,0,3
2018,01,009,Alabama,Blount County,race-ethnicity,Hispanic,0,2
2018,01,009,Alabama,Blount County,race-ethnicity,Other Races and Ethnicities,0,2
2018,01,009,Alabama,Blount County,race-ethnicity,"White, Non-Hispanic",0,1
2018,01,011,Alabama,Bullock County,all,All,0.9186495176848876,1
2018,01,011,Alabama,Bullock County,race-ethnicity,Black,0.9266644136532612,1
2018,01,011,Alabama,Bullock County,race-ethnicity,Hispanic,1,3
2018,01,011,Alabama,Bullock County,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,01,011,Alabama,Bullock County,race-ethnicity,"White, Non-Hispanic",0.6043956043956044,3
2018,01,013,Alabama,Butler County,all,All,0,1
2018,01,013,Alabama,Butler County,race-ethnicity,Black,0,1
2018,01,013,Alabama,Butler County,race-ethnicity,Hispanic,0,3
2018,01,013,Alabama,Butler County,race-ethnicity,Other Races and Ethnicities,0,2
2018,01,013,Alabama,Butler County,race-ethnicity,"White, Non-Hispanic",0,1
2018,01,015,Alabama,Calhoun County,all,All,0.16316825976271676,1
2018,01,015,Alabama,Calhoun County,race-ethnicity,Black,0.2790785498489426,1
2018,01,015,Alabama,Calhoun County,race-ethnicity,Hispanic,0.01982651796778191,2
2018,01,015,Alabama,Calhoun County,race-ethnicity,Other Races and Ethnicities,0.152766308835673,1
2018,01,015,Alabama,Calhoun County,race-ethnicity,"White, Non-Hispanic",0.08998010490142883,1
