year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality,rate_juv_arrest,rate_juv_arrest_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,001,Alabama,Autauga County,TRUE,All,all,22507,21055,24395,Weak,58460,55688,62032,Weak,117499,113260,121662,Weak,NA,NA,0.98,0.87,1.09,Strong,0.7918,0.7175,0.8661,Weak,0.6918,0.672,0.7116,Weak
2014,01,001,Alabama,Autauga County,TRUE,Male,gender,31722,27166,34849,Weak,71125,66840,76149,Weak,133145,124441,140364,Weak,NA,NA,0.89,0.71,1.07,Strong,0.7768,0.6763,0.8773,Weak,0.7578,0.7344,0.7813,Weak
2014,01,001,Alabama,Autauga County,TRUE,Female,gender,18983,17070,20485,Weak,46181,43057,49788,Weak,104110,100260,109194,Weak,NA,NA,1.02,0.86,1.17,Strong,NA,NA,NA,NA,0.6338,0.6044,0.6631,Weak
2014,01,003,Alabama,Baldwin County,TRUE,All,all,25399,24062,27170,Strong,59889,57046,63231,Strong,121064,114857,127635,Strong,NA,NA,0.74,0.68,0.81,Strong,0.8599,0.7806,0.9392,Strong,0.7573,0.7325,0.7822,Strong
2014,01,003,Alabama,Baldwin County,TRUE,Male,gender,33420,30404,37868,Strong,71589,68548,76564,Strong,140364,133381,147876,Strong,NA,NA,0.62,0.52,0.73,Strong,0.8884,0.7875,0.9894,Strong,0.8211,0.7943,0.8479,Strong
2014,01,003,Alabama,Baldwin County,TRUE,Female,gender,19966,17512,21732,Strong,47264,44666,50798,Strong,97586,92373,107452,Strong,NA,NA,0.79,0.69,0.88,Strong,0.8366,0.7216,0.9516,Strong,0.6981,0.6591,0.7371,Strong
2014,01,005,Alabama,Barbour County,TRUE,All,all,22458,20670,24463,Weak,56900,54330,60156,Weak,114637,108350,120913,Weak,NA,NA,1.05,0.87,1.23,Strong,0.9212,0.8768,0.9655,Weak,0.7207,0.6943,0.7472,Weak
2014,01,005,Alabama,Barbour County,TRUE,Male,gender,32148,29022,34676,Weak,68565,64725,71988,Weak,134081,122999,142369,Weak,NA,NA,1.05,0.76,1.35,Strong,NA,NA,NA,NA,0.8012,0.7747,0.8278,Weak
2014,01,005,Alabama,Barbour County,TRUE,Female,gender,17213,15373,18879,Weak,43464,39703,47773,Weak,91479,84220,98739,Weak,NA,NA,1.04,0.78,1.29,Strong,NA,NA,NA,NA,0.6444,0.6047,0.6841,Weak
2014,01,007,Alabama,Bibb County,TRUE,All,all,16989,15647,18448,Weak,46120,43118,48898,Weak,100527,94964,107542,Weak,NA,NA,0.91,0.72,1.1,Strong,0.9162,0.8716,0.9607,Weak,0.6505,0.625,0.676,Weak
