state,place,state_name,place_name,share_in_preschool,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,meps20_white,meps20_white_quality,share_hs_degree,share_hs_degree_quality,share_digital_access,share_digital_access_quality,pctl_income_20,pctl_income_50,pctl_income_80,pctl_income_quality,share_debt_col,share_debt_col_quality,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,homeless_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,housing_quality,share_election_turnout,share_election_turnout_quality,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,share_desc_rep_hispanic,share_desc_rep_white_nonhispanic,share_poverty_exposure,share_poverty_exposure_quality,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality,index_air_quality,index_air_quality_quality,ratio_high_low_ses_fb_friends,ratio_high_low_ses_fb_friends_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality,rate_juv_arrest,rate_juv_arrest_quality,rate_violent_crime,rate_property_crime,rate_crime_quality,share_employed,share_employed_quality
01,03076,Alabama,Auburn city,0.5468936678614098,3,0.75042897,0.55912179,0.94173616,1,0,1,0,1,0,1,0.8776486030376898,2,0.8509452416361858,1,18538.704,52217.3496,103713.7496,2,NA,NA,7.6%:21.0%,3,3.7%:3.6%,3,5.7%:4.9%,3,83.0%:70.5%,3,34,34,34,0.0038073908,1,1.5810639806684668,1.548563278902093,1.0693511305231398,2,0.43047810869591713,3,0.10248268285166874,0.17720433565121857,0.03403137853879443,0.6862816029583183,0.4509541886023975,1,0.7353047024927499,1,0.9383778630444196,1,0.8812354229697016,1,0.295436364396506,1,15,1,1.0665089202470588,2,3.6,2,308.5966201322557,2,735.5601109369347,2095.4754344360035,2,0.7918990052192532,2
01,07000,Alabama,Birmingham city,0.4347559813333863,2,0.79033613,0.68369627,0.89697599,1,0.92304868,1,0.74661511,1,0.1241453,1,0.975607289145556,2,0.7878447738758072,1,14830.9632,41712.084,95783.304,2,0.50048,1,34.0%:59.2%,2,1.7%:3.6%,2,4.0%:3.6%,2,60.3%:33.7%,2,594,594,594,0.0100319199,1,1.456594568683142,1.338897286016262,1.1012745220109037,2,0.5948288403897747,2,0.03922189147225491,0.6855029322468033,0.04368207126398132,0.23159310501696057,0.34103599964754,1,0.2009281555705351,1,0.8901237154239698,1,0.8810776161095992,1,0.451659160837067,1,7,1,0.5633154689473685,2,0.8,1,487.323780240181,2,2819.5061166767214,7257.928933809349,2,0.7381509170775707,2
01,35896,Alabama,Hoover city,0.3785435765798055,3,1.0886145,0.94067645,1.2365525,1,0,1,0,1,0,1,0.9559646127064596,3,0.9588053102187784,1,34605.5808,73433.8664,159844.8256,3,NA,NA,5.8%:16.1%,3,1.3%:3.2%,3,7.1%:6.9%,3,85.8%:73.8%,3,40,40,40,0.0028447479,1,1.7730295258942317,1.6088597720158322,1.507408531758627,3,0.6816693707862793,3,0.07935778310404833,0.19131890862527495,0.05130730757023563,0.6780160007004411,0,1,0.6713174081264263,1,0.8919065087731985,1,0.9061861199800324,1,0.2550056158736042,1,9,1,0.8676533081774581,3,3.4,2,328.45625559868614,1,523.1419159251841,1679.9641023957274,1,0.8394427760469824,3
01,37000,Alabama,Huntsville city,0.5632113017108173,2,0.81618953,0.69588363,0.93649542,1,0.54209018,1,0.50092763,1,0.11735256,1,0.9425729727619584,2,0.8651662930012709,1,30485.8688,73124.888,146867.7328,2,NA,NA,12.1%:20.9%,2,3.4%:5.7%,2,4.8%:5.7%,2,79.7%:67.7%,2,402,402,402,0.0092712175,1,1.8777296235859957,1.9647645675655072,1.87250235637962,2,0.6127718293581627,2,0.06066707603257791,0.30590105721126615,0.06389916270390944,0.5695327040522465,0.2131821456131633,1,0.45270453299573554,1,0.8855358320295351,1,0.9179443203878614,1,0.28232502789793634,1,18,1,0.7642391799424054,3,1.2,2,0,3,0.9520137470785078,2.3800343676962696,3,0.7989734102438377,2
01,50000,Alabama,Mobile city,0.4441661046150108,1,0.77185768,0.69671828,0.84699708,1,0.81642747,1,0.67467397,1,0.51477468,1,0.9167049264070508,1,0.787815092427112,1,18538.704,43256.976,98358.12399999998,1,0.40323,1,27.1%:50.6%,2,3.2%:2.2%,3,4.4%:4.7%,2,65.3%:42.5%,2,4005,4004,4006,0.0738126412,1,1.454383571066165,1.301269679289512,1.3371416861174437,1,0.5650442118538533,1,0.04534663501293713,0.523721625010003,0.02593294032916322,0.4049987996478967,0.15580133160704684,1,0.3192487795226639,1,0.925312453062932,1,0.9209443750175088,1,0.4124388454296979,1,17,1,0.517001236151595,2,0.9,1,1958.4885577434804,2,13765.637920456666,22171.837072207847,2,0.7722854180116845,1
01,51000,Alabama,Montgomery city,0.3793384188776087,1,0.67622286,0.57423896,0.77820677,1,0.79346573,1,0.87202513,1,0.36781609,1,0.760855102718817,1,0.8413855199928366,1,18538.704,49137.86488,99388.052,1,NA,NA,32.1%:59.1%,2,0.9%:2.3%,3,16.8%:5.4%,2,50.1%:33.2%,2,288,288,288,0.0102182012,1,1.622656425892685,1.2222944152959658,1.1101139014637469,1,0.5185447429595589,1,0.05579986270159485,0.6139726000139288,0.03959268139805593,0.2906348558864204,0.27052087745298437,1,0.26543261000603646,1,0.8709254473454044,1,0.8826940921290937,1,0.5114905627229599,1,15,1,0.5486738266328948,2,1.2,1,0,3,0.9949159793455442,8.456785824437127,3,0.7520572954192921,1
01,77256,Alabama,Tuscaloosa city,0.4180693203544039,2,0.79646391,0.65029508,0.94263279,1,0.62544268,1,0.66179156,1,0.099255584,1,0.9998380167592787,2,0.7727199451900214,1,13801.0352,37489.3792,88161.8368,2,NA,NA,27.6%:46.9%,2,1.3%:3.3%,3,1.2%:2.6%,3,69.9%:47.2%,2,357,357,357,0.0119150924,1,1.3943676745569478,1.093469884809424,0.879688850914898,2,0.3808787064514822,3,0.0430721799056946,0.4397896264055132,0.04355579736428485,0.4735823963245073,0.260855858015889,1,0.3403292123289628,1,0.9080242693251372,1,0.935344333293273,1,0.3528523586626455,1,6,1,0.6458033893619709,3,2.4,2,564.4402634054563,1,708.2980695603112,1179.82509168581,1,0.7788573021295577,2
02,03000,Alaska,Anchorage municipality,0.28838974511455806,1,NA,NA,NA,NA,0.33878967,1,0.28864142,1,0.21668881,1,0.8456018080225634,1,0.9214001264762686,1,38107.336,83918.53344,160668.768,1,0.27641,1,1.9%:4.7%,3,4.0%:8.5%,2,21.7%:22.0%,2,72.4%:64.9%,2,1709,1709,1709,0.0366321579,1,1.5717852805351291,1.474000745463817,1.1006463986582122,1,0.6269904004066408,1,0.2921089063221043,0.0516023175921653,0.09497000461467468,0.5613187714710557,0.08903063173172408,1,0.8827106816906489,1,0.8753652879085865,1,0.6488716462066622,1,0.3835313416133329,1,46,1,1.1350326583072032,1,0.7,1,0,3,7.862038318891111,19.484181920730144,3,0.8125051525443577,1
04,04720,Arizona,Avondale city,0.06668442729827044,2,1.2414978,1.0164806,1.4665151,1,0.50735664,1,0.50945354,1,0.33994016,1,0.8529770056234436,2,0.9041162777493896,1,36047.48,74566.7872,131830.784,2,NA,NA,4.8%:6.4%,3,46.7%:43.2%,3,8.7%:7.6%,3,39.8%:42.8%,3,334,334,334,0.0164087452,1,1.4999990490778927,1.2526589519176976,1.135420060475952,2,0.5754270295961627,1,0.07786294214500653,0.0937375801964458,0.5631976381082155,0.26520183955033216,0,1,0.8821553333240272,1,0.4031504771297959,1,0.8920613997217884,1,0.6806806931835474,1,20,1,0.6753094900992167,3,1,2,1930.5019305019305,1,1585.192755351161,4807.812411287117,1,0.7912079335313801,2
04,07940,Arizona,Buckeye city,0.187976849049458,2,1.0074793,0.73841679,1.2765418,1,0.43404636,1,0.4861809,1,0.26498953,1,0.8706549243397661,2,0.895620381001215,1,44286.904,78892.4848,140379.1864,2,NA,NA,5.2%:4.3%,3,19.8%:23.1%,3,7.3%:7.0%,3,67.7%:65.6%,3,51,51,51,0.0036624775,1,1.9001111404940592,1.7986764645826216,2.3362248411839466,2,0.712599628868408,3,0.05931268183388882,0.05061809588567734,0.4636220753307844,0.4264471469496494,0,2,0.9281028804098808,1,0.5090123286004581,1,0.9229658529869044,1,0.5254188002144229,1,68,1,0.8483871200502512,3,1.1,2,1241.486335028882,1,770.2511397710426,2066.636198459498,1,0.7690366499769782,2
04,12000,Arizona,Chandler city,0.4668604246859501,1,1.1039355,1.0025297,1.2053412,1,0.10571428,1,0.16503547,1,0.017545298,1,0.925259648276794,1,0.9522865669012146,1,42433.0336,92693.52,161698.696,1,0.19393,1,2.4%:5.4%,2,14.7%:19.8%,2,13.1%:12.1%,2,69.8%:62.6%,2,335,333,337,0.0057311002,1,1.4891145284773388,1.29579303309699,1.3397871594132624,1,0.7752589480874662,2,0.16660977319693582,0.05430940504112847,0.215119714871953,0.5639611068899827,1.953268099778169e-4,1,0.9285632990724264,1,0.7090118266000542,1,0.805314419794287,1,0.40675870570505074,1,19,1,1.0219126015132876,3,0.8,2,1330.5120066685904,1,908.0931878328726,3040.680666130767,1,0.833838254638812,1
04,23620,Arizona,Flagstaff city,0.3321666083304165,2,1.0917569,0.88915747,1.2943563,1,0.17431192,1,0.18080357,1,0.042926829,1,0.9692214846107424,2,0.7569528257333263,1,22967.3944,63546.5576,139761.2296,2,NA,NA,0.7%:1.2%,3,6.0%:10.0%,3,17.4%:27.8%,3,75.9%:61.1%,3,219,218,220,0.0221749693,1,1.4621577226417823,1.2433226997462938,1.2818029286150092,2,0.5954564519255003,1,0.16953088104108727,0.01502072729180878,0.18926116387679068,0.6261872277903132,0.36703579985771256,1,0.9646500491722508,1,0.7485133739048588,1,0.8057866854141654,1,0.3439224888881432,1,92,1,0.8626045520253164,3,5.1,2,944.7111661762428,1,552.2904969302618,1629.3225586398698,1,0.7791996749949218,2
04,27400,Arizona,Gilbert town,0.4337340726159702,1,1.0582143,0.92651606,1.1899124,1,0,1,0,1,0,1,0.8963224095288936,1,0.9740551918215132,1,54792.1696,108142.44,185387.04,1,0.21727,1,2.2%:3.5%,2,14.0%:16.6%,2,8.6%:8.4%,2,75.2%:71.4%,2,412,411,413,0.0080076186,1,1.6704250486774317,1.777665174707857,2.5528183053697164,1,0.842076251656933,1,0.10551041186048374,0.03719747263097285,0.17104736338365448,0.6862447521248889,0,1,0.9320490739674532,1,0.806160257911281,1,0.8722705699634852,1,0.3021391873300559,1,26,1,1.0815309961553263,3,0.6,2,1293.5634158402956,1,787.0382727865502,2353.869795499697,1,0.8424623898078242,1
04,27820,Arizona,Glendale city,0.206262128355826,1,1.1954684,1.0692461,1.3216907,1,0.58244205,1,0.60290647,1,0.20506942,1,0.8855579350947271,1,0.8440035004172008,1,26675.1352,63855.53599999999,119471.648,1,0.32294,1,3.4%:7.7%,1,23.2%:32.0%,1,10.9%:8.4%,1,62.6%:51.9%,1,1388,1388,1388,0.0151199903,1,1.5073598744579622,1.2085628057341269,1.0734106782701704,1,0.5930644940072162,1,0.0941164499257179,0.06849421006573458,0.40152227445713007,0.43586706555141747,0.03328511803046015,1,0.8841620982214783,1,0.48131405201224714,1,0.8920641096650809,1,0.4433931437015736,1,26,1,0.8010826470624918,3,0.6,2,NA,NA,NA,NA,NA,0.7671410207331759,1
04,28380,Arizona,Goodyear city,0.18916656719706915,2,NA,NA,NA,NA,0.14416777,1,0.11785617,1,0.035849653,1,0.9040206354530465,2,0.915313237445409,1,48406.616,97431.1888,156549.056,2,NA,NA,5.2%:6.1%,3,23.0%:25.8%,3,8.0%:7.5%,3,63.9%:60.6%,3,NA,NA,NA,NA,NA,1.6831533233893576,1.4269114140761143,2.2435870602848316,2,0.7731344584687309,2,0.09099742661583966,0.05808800760269511,0.3113474495734162,0.539567116208049,0,2,0.9266613026428604,1,0.6157964991715442,1,0.8938861744257911,1,0.412635139230646,1,34,1,0.8582109807351023,3,1.8,2,654.9846886696156,1,337.42298533918483,1812.0468548120148,1,0.8145438159524766,2
04,46000,Arizona,Mesa city,0.3682472735283717,1,1.0414534,0.9561522,1.1267545,1,0.3993074,1,0.43742323,1,0.13238122,1,0.8843730931369258,1,0.9209043861199956,1,31515.796799999996,65400.428,123931.23624,1,0.31639,1,1.1%:3.9%,1,12.5%:20.0%,1,8.8%:8.1%,1,77.6%:68.0%,1,1456,1453,1459,0.0213333331,1,1.454144009239456,1.3044888261939158,1.2659965350130458,1,0.6354199804295362,1,0.07790023947668719,0.04203298027933589,0.2748939230781594,0.6051728571658175,0.11436208986077882,1,0.9241840083247842,1,0.6207190818263361,1,0.8963297208014397,1,0.33630269130532486,1,27,1,0.8727687984803638,3,0.3,2,1309.2986165201587,2,1214.661116379241,2954.4833571738536,2,0.8175338689553897,1
04,54050,Arizona,Peoria city,0.19070042618862995,2,NA,NA,NA,NA,0.46501768,1,0.5313068,1,0.15043384,1,0.9550788292479008,2,0.940308842877917,1,37077.408,81776.2832,149365.07749612784,2,NA,NA,2.8%:4.9%,3,11.9%:17.3%,3,6.8%:6.0%,3,78.5%:71.7%,3,NA,NA,NA,NA,NA,1.632712768555243,1.548265357507792,1.6698010468170406,2,0.7814624556241169,1,0.10471787059281,0.030106587547208,0.20557920024715953,0.6595963416128224,0,1,0.9488341647418148,1,0.7153678911058892,1,0.856744977972449,1,0.30573299869788456,1,34,1,0.9444913206465636,3,0.8,2,2283.9741149600304,1,912.9987801824932,2828.4851358045735,1,0.7974742465742946,2
04,55000,Arizona,Phoenix city,0.2664776033319545,1,1.100279,0.92852730000000006,1.2720307,1,0.67695463,1,0.78227425,1,0.20099299,1,0.8221765610887786,1,0.8765717711874473,1,30691.8544,67151.3056,132860.712,1,0.36066,1,3.3%:7.5%,1,22.0%:33.0%,1,8.4%:9.5%,1,66.3%:50.0%,1,5001,4987,5015,0.0236822292,1,1.4365763925175743,1.1420740966459408,1.0720833255142552,1,0.6140675179076432,1,0.08977455488872925,0.06881823421126892,0.4273281885264395,0.41407902237356226,0.08829036991385546,1,0.8597257628777221,1,0.39795579807520953,1,0.8624664808331841,1,0.4166519505354694,1,26,1,0.8011057159097902,2,0.1,1,NA,NA,NA,NA,NA,0.781091775094367,1
04,65000,Arizona,Scottsdale city,0.4204270370577611,2,1.0788422,0.8904832,1.2672013,1,0.17817163,1,0.28673649,1,0.02442809,1,0.9104462487507736,2,0.9494145002827996,1,43668.9472,100932.944,207736.4776,2,0.15622,1,0.8%:1.6%,3,5.2%:8.9%,3,8.4%:7.1%,3,85.6%:82.4%,3,165,165,165,0.005757153,1,1.5211007607130351,1.530107503352103,1.6000240772854692,2,0.7465654626374791,1,0.08666233739028427,0.02179022561116115,0.10442633596581267,0.7871211010327419,0,1,0.9490847533142648,1,0.8401499575340587,1,0.8968899065231187,1,0.20077969442946325,1,37,1,1.1148918336754037,3,0.9,2,1891.965999451604,1,885.2671931625363,4497.978507237573,1,0.8293343291688985,2
04,71510,Arizona,Surprise city,0.5096212924192225,1,1.069913,0.94338882,1.1964372,1,0.082234778,1,0.11115538,1,0.034462575,1,0.7679757931783215,1,0.9478977973568282,1,42330.0408,78274.528,127711.072,1,NA,NA,4.4%:4.4%,3,13.9%:13.2%,3,5.7%:6.0%,3,76.0%:76.3%,3,111,111,111,0.0036739153,1,1.8343914016128673,1.9283566437298456,2.5459317220421473,1,0.7066756604706839,2,0.06501497797356828,0.04971277533039647,0.2073092511013216,0.6779629955947136,0,1,0.919243546066746,1,0.7097916183536184,1,0.9171579318734364,1,0.2890014936801502,1,53,1,0.9536285670454546,3,1.8,2,2215.315060751625,1,607.5770925110132,1927.7533039647576,1,0.8108875458876993,1
04,73000,Arizona,Tempe city,0.2993450558286425,1,1.09008,0.940274,1.2398859,1,0.40084389,1,0.34253022,1,0.12004082,1,0.9769658917084938,1,0.8668973845758182,1,30897.84,69211.1616,131006.8416,1,0.30584,1,2.1%:4.5%,1,12.5%:21.0%,1,10.4%:15.0%,1,74.9%:59.5%,1,632,632,632,0.014873038,1,1.361019519910363,0.8530098997572467,0.9076288680998138,1,0.5559888881511096,1,0.15675772383178094,0.07084232536816093,0.23104404512976484,0.5413559056702933,0.05725891022837336,1,0.8903485940778101,1,0.7310548928022408,1,0.801393828312025,1,0.42020046272261097,1,16,1,0.9367373842439908,3,1.6,2,NA,NA,0,0.5590902483478883,2,0.8056796886972533,1
04,77000,Arizona,Tucson city,0.3140409116936134,1,1.1345824,0.95070326,1.3184615,2,0.62080967,1,0.68916196,1,0.26892838,1,0.843510494255985,1,0.8664113555829325,1,21834.4736,51496.4,104756.64480549212,1,0.31367,1,2.6%:4.0%,2,26.8%:36.3%,2,5.4%:9.0%,2,65.2%:50.8%,2,2508,2503,2513,0.0269286521,1,1.5173186394076683,1.3198632099030754,1.1616960011027373,1,0.5876065320703461,1,0.08396464294540543,0.04426507013622165,0.4462629629836092,0.42550732393476376,0.08051017473170434,1,0.9269297065928148,1,0.4223909242027316,1,0.8886608402526399,1,0.45586323953488034,1,59,1,0.7591937440994962,2,0.4,1,10.112654976437517,3,19.882304191821497,89.93490868076266,3,0.7862569159340596,1
