year,state,county,state_name,county_name,subgroup_type,subgroup,environmental,environmental_quality
2018,01,001,Alabama,Autauga County,all,All,18,1
2018,01,001,Alabama,Autauga County,poverty,High Poverty Tracts,NA,NA
2018,01,001,Alabama,Autauga County,poverty,Not High Poverty Tracts,19,1
2018,01,001,Alabama,Autauga County,race-ethnicity,Majority Non-White,13,1
2018,01,001,Alabama,Autauga County,race-ethnicity,"Majority White, Non-Hispanic",18,1
2018,01,001,Alabama,Autauga County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,003,Alabama,Baldwin County,all,All,46,1
2018,01,003,Alabama,Baldwin County,poverty,High Poverty Tracts,NA,NA
2018,01,003,Alabama,Baldwin County,poverty,Not High Poverty Tracts,46,1
2018,01,003,Alabama,Baldwin County,race-ethnicity,Majority Non-White,26,1
2018,01,003,Alabama,Baldwin County,race-ethnicity,"Majority White, Non-Hispanic",47,1
2018,01,003,Alabama,Baldwin County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,005,Alabama,Barbour County,all,All,18,1
2018,01,005,Alabama,Barbour County,poverty,High Poverty Tracts,NA,NA
2018,01,005,Alabama,Barbour County,poverty,Not High Poverty Tracts,18,1
2018,01,005,Alabama,Barbour County,race-ethnicity,Majority Non-White,17,1
2018,01,005,Alabama,Barbour County,race-ethnicity,"Majority White, Non-Hispanic",19,1
2018,01,005,Alabama,Barbour County,race-ethnicity,No Majority Race/Ethnicity,18,1
2018,01,007,Alabama,Bibb County,all,All,18,1
2018,01,007,Alabama,Bibb County,poverty,High Poverty Tracts,NA,NA
2018,01,007,Alabama,Bibb County,poverty,Not High Poverty Tracts,18,1
2018,01,007,Alabama,Bibb County,race-ethnicity,Majority Non-White,NA,NA
2018,01,007,Alabama,Bibb County,race-ethnicity,"Majority White, Non-Hispanic",20,1
2018,01,007,Alabama,Bibb County,race-ethnicity,No Majority Race/Ethnicity,15,1
2018,01,009,Alabama,Blount County,all,All,26,1
2018,01,009,Alabama,Blount County,poverty,High Poverty Tracts,NA,NA
2018,01,009,Alabama,Blount County,poverty,Not High Poverty Tracts,26,1
2018,01,009,Alabama,Blount County,race-ethnicity,Majority Non-White,NA,NA
2018,01,009,Alabama,Blount County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,009,Alabama,Blount County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,011,Alabama,Bullock County,all,All,15,1
2018,01,011,Alabama,Bullock County,poverty,High Poverty Tracts,15,1
2018,01,011,Alabama,Bullock County,poverty,Not High Poverty Tracts,15,1
2018,01,011,Alabama,Bullock County,race-ethnicity,Majority Non-White,15,1
2018,01,011,Alabama,Bullock County,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2018,01,011,Alabama,Bullock County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,013,Alabama,Butler County,all,All,26,1
2018,01,013,Alabama,Butler County,poverty,High Poverty Tracts,NA,NA
2018,01,013,Alabama,Butler County,poverty,Not High Poverty Tracts,26,1
2018,01,013,Alabama,Butler County,race-ethnicity,Majority Non-White,26,1
2018,01,013,Alabama,Butler County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,013,Alabama,Butler County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,015,Alabama,Calhoun County,all,All,24,1
2018,01,015,Alabama,Calhoun County,poverty,High Poverty Tracts,23,1
2018,01,015,Alabama,Calhoun County,poverty,Not High Poverty Tracts,24,1
2018,01,015,Alabama,Calhoun County,race-ethnicity,Majority Non-White,22,1
2018,01,015,Alabama,Calhoun County,race-ethnicity,"Majority White, Non-Hispanic",24,1
2018,01,015,Alabama,Calhoun County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,017,Alabama,Chambers County,all,All,15,1
2018,01,017,Alabama,Chambers County,poverty,High Poverty Tracts,NA,NA
2018,01,017,Alabama,Chambers County,poverty,Not High Poverty Tracts,15,1
2018,01,017,Alabama,Chambers County,race-ethnicity,Majority Non-White,15,1
2018,01,017,Alabama,Chambers County,race-ethnicity,"Majority White, Non-Hispanic",15,1
2018,01,017,Alabama,Chambers County,race-ethnicity,No Majority Race/Ethnicity,15,1
2018,01,019,Alabama,Cherokee County,all,All,24,1
2018,01,019,Alabama,Cherokee County,poverty,High Poverty Tracts,NA,NA
2018,01,019,Alabama,Cherokee County,poverty,Not High Poverty Tracts,24,1
2018,01,019,Alabama,Cherokee County,race-ethnicity,Majority Non-White,NA,NA
2018,01,019,Alabama,Cherokee County,race-ethnicity,"Majority White, Non-Hispanic",24,1
2018,01,019,Alabama,Cherokee County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,021,Alabama,Chilton County,all,All,24,1
2018,01,021,Alabama,Chilton County,poverty,High Poverty Tracts,NA,NA
2018,01,021,Alabama,Chilton County,poverty,Not High Poverty Tracts,24,1
2018,01,021,Alabama,Chilton County,race-ethnicity,Majority Non-White,NA,NA
2018,01,021,Alabama,Chilton County,race-ethnicity,"Majority White, Non-Hispanic",23,1
2018,01,021,Alabama,Chilton County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,023,Alabama,Choctaw County,all,All,23,1
2018,01,023,Alabama,Choctaw County,poverty,High Poverty Tracts,NA,NA
2018,01,023,Alabama,Choctaw County,poverty,Not High Poverty Tracts,23,1
2018,01,023,Alabama,Choctaw County,race-ethnicity,Majority Non-White,15,1
2018,01,023,Alabama,Choctaw County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,023,Alabama,Choctaw County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,025,Alabama,Clarke County,all,All,22,1
2018,01,025,Alabama,Clarke County,poverty,High Poverty Tracts,26,1
2018,01,025,Alabama,Clarke County,poverty,Not High Poverty Tracts,22,1
2018,01,025,Alabama,Clarke County,race-ethnicity,Majority Non-White,26,1
2018,01,025,Alabama,Clarke County,race-ethnicity,"Majority White, Non-Hispanic",17,1
2018,01,025,Alabama,Clarke County,race-ethnicity,No Majority Race/Ethnicity,24,1
2018,01,027,Alabama,Clay County,all,All,22,1
2018,01,027,Alabama,Clay County,poverty,High Poverty Tracts,NA,NA
2018,01,027,Alabama,Clay County,poverty,Not High Poverty Tracts,22,1
2018,01,027,Alabama,Clay County,race-ethnicity,Majority Non-White,NA,NA
2018,01,027,Alabama,Clay County,race-ethnicity,"Majority White, Non-Hispanic",22,1
2018,01,027,Alabama,Clay County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,029,Alabama,Cleburne County,all,All,26,1
2018,01,029,Alabama,Cleburne County,poverty,High Poverty Tracts,NA,NA
2018,01,029,Alabama,Cleburne County,poverty,Not High Poverty Tracts,26,1
2018,01,029,Alabama,Cleburne County,race-ethnicity,Majority Non-White,NA,NA
2018,01,029,Alabama,Cleburne County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,029,Alabama,Cleburne County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,031,Alabama,Coffee County,all,All,25,1
2018,01,031,Alabama,Coffee County,poverty,High Poverty Tracts,NA,NA
2018,01,031,Alabama,Coffee County,poverty,Not High Poverty Tracts,25,1
2018,01,031,Alabama,Coffee County,race-ethnicity,Majority Non-White,NA,NA
2018,01,031,Alabama,Coffee County,race-ethnicity,"Majority White, Non-Hispanic",27,1
2018,01,031,Alabama,Coffee County,race-ethnicity,No Majority Race/Ethnicity,22,1
2018,01,033,Alabama,Colbert County,all,All,22,1
2018,01,033,Alabama,Colbert County,poverty,High Poverty Tracts,20,1
2018,01,033,Alabama,Colbert County,poverty,Not High Poverty Tracts,22,1
2018,01,033,Alabama,Colbert County,race-ethnicity,Majority Non-White,20,1
2018,01,033,Alabama,Colbert County,race-ethnicity,"Majority White, Non-Hispanic",22,1
2018,01,033,Alabama,Colbert County,race-ethnicity,No Majority Race/Ethnicity,20,1
2018,01,035,Alabama,Conecuh County,all,All,23,1
2018,01,035,Alabama,Conecuh County,poverty,High Poverty Tracts,NA,NA
2018,01,035,Alabama,Conecuh County,poverty,Not High Poverty Tracts,23,1
2018,01,035,Alabama,Conecuh County,race-ethnicity,Majority Non-White,26,1
2018,01,035,Alabama,Conecuh County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,035,Alabama,Conecuh County,race-ethnicity,No Majority Race/Ethnicity,19,1
2018,01,037,Alabama,Coosa County,all,All,15,1
2018,01,037,Alabama,Coosa County,poverty,High Poverty Tracts,NA,NA
2018,01,037,Alabama,Coosa County,poverty,Not High Poverty Tracts,15,1
2018,01,037,Alabama,Coosa County,race-ethnicity,Majority Non-White,15,1
2018,01,037,Alabama,Coosa County,race-ethnicity,"Majority White, Non-Hispanic",15,1
2018,01,037,Alabama,Coosa County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,039,Alabama,Covington County,all,All,26,1
2018,01,039,Alabama,Covington County,poverty,High Poverty Tracts,26,1
2018,01,039,Alabama,Covington County,poverty,Not High Poverty Tracts,26,1
2018,01,039,Alabama,Covington County,race-ethnicity,Majority Non-White,NA,NA
2018,01,039,Alabama,Covington County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,039,Alabama,Covington County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,041,Alabama,Crenshaw County,all,All,26,1
2018,01,041,Alabama,Crenshaw County,poverty,High Poverty Tracts,NA,NA
2018,01,041,Alabama,Crenshaw County,poverty,Not High Poverty Tracts,26,1
2018,01,041,Alabama,Crenshaw County,race-ethnicity,Majority Non-White,NA,NA
2018,01,041,Alabama,Crenshaw County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,041,Alabama,Crenshaw County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,043,Alabama,Cullman County,all,All,24,1
2018,01,043,Alabama,Cullman County,poverty,High Poverty Tracts,NA,NA
2018,01,043,Alabama,Cullman County,poverty,Not High Poverty Tracts,24,1
2018,01,043,Alabama,Cullman County,race-ethnicity,Majority Non-White,NA,NA
2018,01,043,Alabama,Cullman County,race-ethnicity,"Majority White, Non-Hispanic",24,1
2018,01,043,Alabama,Cullman County,race-ethnicity,No Majority Race/Ethnicity,NA,NA
2018,01,045,Alabama,Dale County,all,All,26,1
2018,01,045,Alabama,Dale County,poverty,High Poverty Tracts,NA,NA
2018,01,045,Alabama,Dale County,poverty,Not High Poverty Tracts,26,1
2018,01,045,Alabama,Dale County,race-ethnicity,Majority Non-White,26,1
2018,01,045,Alabama,Dale County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,045,Alabama,Dale County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,047,Alabama,Dallas County,all,All,26,1
2018,01,047,Alabama,Dallas County,poverty,High Poverty Tracts,26,1
2018,01,047,Alabama,Dallas County,poverty,Not High Poverty Tracts,26,1
2018,01,047,Alabama,Dallas County,race-ethnicity,Majority Non-White,26,1
2018,01,047,Alabama,Dallas County,race-ethnicity,"Majority White, Non-Hispanic",26,1
2018,01,047,Alabama,Dallas County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,049,Alabama,DeKalb County,all,All,39,1
2018,01,049,Alabama,DeKalb County,poverty,High Poverty Tracts,NA,NA
2018,01,049,Alabama,DeKalb County,poverty,Not High Poverty Tracts,39,1
2018,01,049,Alabama,DeKalb County,race-ethnicity,Majority Non-White,NA,NA
2018,01,049,Alabama,DeKalb County,race-ethnicity,"Majority White, Non-Hispanic",39,1
2018,01,049,Alabama,DeKalb County,race-ethnicity,No Majority Race/Ethnicity,40,1
2018,01,051,Alabama,Elmore County,all,All,15,1
2018,01,051,Alabama,Elmore County,poverty,High Poverty Tracts,NA,NA
2018,01,051,Alabama,Elmore County,poverty,Not High Poverty Tracts,15,1
2018,01,051,Alabama,Elmore County,race-ethnicity,Majority Non-White,15,1
2018,01,051,Alabama,Elmore County,race-ethnicity,"Majority White, Non-Hispanic",15,1
2018,01,051,Alabama,Elmore County,race-ethnicity,No Majority Race/Ethnicity,14,1
2018,01,053,Alabama,Escambia County,all,All,21,1
2018,01,053,Alabama,Escambia County,poverty,High Poverty Tracts,12,1
2018,01,053,Alabama,Escambia County,poverty,Not High Poverty Tracts,20,1
2018,01,053,Alabama,Escambia County,race-ethnicity,Majority Non-White,21,1
2018,01,053,Alabama,Escambia County,race-ethnicity,"Majority White, Non-Hispanic",18,1
2018,01,053,Alabama,Escambia County,race-ethnicity,No Majority Race/Ethnicity,26,1
2018,01,055,Alabama,Etowah County,all,All,21,1
2018,01,055,Alabama,Etowah County,poverty,High Poverty Tracts,20,1
2018,01,055,Alabama,Etowah County,poverty,Not High Poverty Tracts,22,1
2018,01,055,Alabama,Etowah County,race-ethnicity,Majority Non-White,20,1
2018,01,055,Alabama,Etowah County,race-ethnicity,"Majority White, Non-Hispanic",22,1
