year,state,place,state_name,place_name,subgroup_type,subgroup,environmental,environmental_quality
2018,01,03076,Alabama,Auburn city,all,All,15,1
2018,01,03076,Alabama,Auburn city,poverty,High Poverty Tracts,15,1
2018,01,03076,Alabama,Auburn city,poverty,Not High Poverty Tracts,15,1
2018,01,03076,Alabama,Auburn city,race-ethnicity,Majority Non-White,NA,NA
2018,01,03076,Alabama,Auburn city,race-ethnicity,"Majority White, Non-Hispanic",15,1
2018,01,03076,Alabama,Auburn city,race-ethnicity,No Majority Race/Ethnicity,15,1
2018,01,07000,Alabama,Birmingham city,all,All,7,1
2018,01,07000,Alabama,Birmingham city,poverty,High Poverty Tracts,6,1
2018,01,07000,Alabama,Birmingham city,poverty,Not High Poverty Tracts,7,1
2018,01,07000,Alabama,Birmingham city,race-ethnicity,Majority Non-White,7,1
2018,01,07000,Alabama,Birmingham city,race-ethnicity,"Majority White, Non-Hispanic",7,1
2018,01,07000,Alabama,Birmingham city,race-ethnicity,No Majority Race/Ethnicity,7,1
2018,01,35896,Alabama,Hoover city,all,All,9,1
2018,01,35896,Alabama,Hoover city,poverty,High Poverty Tracts,NA,NA
2018,01,35896,Alabama,Hoover city,poverty,Not High Poverty Tracts,9,1
2018,01,35896,Alabama,Hoover city,race-ethnicity,Majority Non-White,8,1
2018,01,35896,Alabama,Hoover city,race-ethnicity,"Majority White, Non-Hispanic",10,1
2018,01,35896,Alabama,Hoover city,race-ethnicity,No Majority Race/Ethnicity,8,1
2018,01,37000,Alabama,Huntsville city,all,All,18,1
2018,01,37000,Alabama,Huntsville city,poverty,High Poverty Tracts,20,1
2018,01,37000,Alabama,Huntsville city,poverty,Not High Poverty Tracts,18,1
2018,01,37000,Alabama,Huntsville city,race-ethnicity,Majority Non-White,18,1
2018,01,37000,Alabama,Huntsville city,race-ethnicity,"Majority White, Non-Hispanic",18,1
2018,01,37000,Alabama,Huntsville city,race-ethnicity,No Majority Race/Ethnicity,20,1
2018,01,50000,Alabama,Mobile city,all,All,17,1
2018,01,50000,Alabama,Mobile city,poverty,High Poverty Tracts,14,1
2018,01,50000,Alabama,Mobile city,poverty,Not High Poverty Tracts,17,1
2018,01,50000,Alabama,Mobile city,race-ethnicity,Majority Non-White,15,1
2018,01,50000,Alabama,Mobile city,race-ethnicity,"Majority White, Non-Hispanic",18,1
2018,01,50000,Alabama,Mobile city,race-ethnicity,No Majority Race/Ethnicity,17,1
2018,01,51000,Alabama,Montgomery city,all,All,15,1
2018,01,51000,Alabama,Montgomery city,poverty,High Poverty Tracts,15,1
2018,01,51000,Alabama,Montgomery city,poverty,Not High Poverty Tracts,15,1
2018,01,51000,Alabama,Montgomery city,race-ethnicity,Majority Non-White,16,1
2018,01,51000,Alabama,Montgomery city,race-ethnicity,"Majority White, Non-Hispanic",15,1
2018,01,51000,Alabama,Montgomery city,race-ethnicity,No Majority Race/Ethnicity,15,1
2018,01,77256,Alabama,Tuscaloosa city,all,All,6,1
2018,01,77256,Alabama,Tuscaloosa city,poverty,High Poverty Tracts,4,1
2018,01,77256,Alabama,Tuscaloosa city,poverty,Not High Poverty Tracts,7,1
2018,01,77256,Alabama,Tuscaloosa city,race-ethnicity,Majority Non-White,5,1
2018,01,77256,Alabama,Tuscaloosa city,race-ethnicity,"Majority White, Non-Hispanic",7,1
2018,01,77256,Alabama,Tuscaloosa city,race-ethnicity,No Majority Race/Ethnicity,6,1
2018,02,03000,Alaska,Anchorage municipality,all,All,46,1
2018,02,03000,Alaska,Anchorage municipality,poverty,High Poverty Tracts,NA,NA
2018,02,03000,Alaska,Anchorage municipality,poverty,Not High Poverty Tracts,46,1
2018,02,03000,Alaska,Anchorage municipality,race-ethnicity,Majority Non-White,41,1
2018,02,03000,Alaska,Anchorage municipality,race-ethnicity,"Majority White, Non-Hispanic",64,1
2018,02,03000,Alaska,Anchorage municipality,race-ethnicity,No Majority Race/Ethnicity,32,1
2018,04,04720,Arizona,Avondale city,all,All,20,1
2018,04,04720,Arizona,Avondale city,poverty,High Poverty Tracts,26,1
2018,04,04720,Arizona,Avondale city,poverty,Not High Poverty Tracts,19,1
2018,04,04720,Arizona,Avondale city,race-ethnicity,Majority Non-White,21,1
2018,04,04720,Arizona,Avondale city,race-ethnicity,"Majority White, Non-Hispanic",73,1
2018,04,04720,Arizona,Avondale city,race-ethnicity,No Majority Race/Ethnicity,20,1
2018,04,07940,Arizona,Buckeye city,all,All,68,1
2018,04,07940,Arizona,Buckeye city,poverty,High Poverty Tracts,NA,NA
2018,04,07940,Arizona,Buckeye city,poverty,Not High Poverty Tracts,64,1
2018,04,07940,Arizona,Buckeye city,race-ethnicity,Majority Non-White,NA,NA
2018,04,07940,Arizona,Buckeye city,race-ethnicity,"Majority White, Non-Hispanic",68,1
2018,04,07940,Arizona,Buckeye city,race-ethnicity,No Majority Race/Ethnicity,68,1
2018,04,12000,Arizona,Chandler city,all,All,19,1
2018,04,12000,Arizona,Chandler city,poverty,High Poverty Tracts,0,1
2018,04,12000,Arizona,Chandler city,poverty,Not High Poverty Tracts,19,1
2018,04,12000,Arizona,Chandler city,race-ethnicity,Majority Non-White,14,1
