year,state,place,state_name,place_name,in_universe,subgroup,subgroup_type,share_debt_coll,share_debt_coll_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2014,01,03076,Alabama,Auburn city,TRUE,All,all,NA,NA,7,Strong,NA,NA,NA,NA
2014,01,03076,Alabama,Auburn city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,03076,Alabama,Auburn city,TRUE,White neighborhoods,race-ethnicity,NA,NA,7,Strong,NA,NA,NA,NA
2014,01,03076,Alabama,Auburn city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,7,Strong,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,All,all,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,White neighborhoods,race-ethnicity,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,07000,Alabama,Birmingham city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,7,Strong,NA,NA,NA,NA
2014,01,35896,Alabama,Hoover city,TRUE,All,all,NA,NA,9,Strong,NA,NA,NA,NA
2014,01,35896,Alabama,Hoover city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,35896,Alabama,Hoover city,TRUE,White neighborhoods,race-ethnicity,NA,NA,9,Strong,NA,NA,NA,NA
2014,01,35896,Alabama,Hoover city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,8,Strong,NA,NA,NA,NA
2014,01,37000,Alabama,Huntsville city,TRUE,All,all,NA,NA,22,Strong,NA,NA,NA,NA
2014,01,37000,Alabama,Huntsville city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,21,Strong,NA,NA,NA,NA
2014,01,37000,Alabama,Huntsville city,TRUE,White neighborhoods,race-ethnicity,NA,NA,24,Strong,NA,NA,NA,NA
2014,01,37000,Alabama,Huntsville city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,19,Strong,NA,NA,NA,NA
2014,01,50000,Alabama,Mobile city,TRUE,All,all,NA,NA,11,Strong,NA,NA,NA,NA
2014,01,50000,Alabama,Mobile city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,11,Strong,NA,NA,NA,NA
2014,01,50000,Alabama,Mobile city,TRUE,White neighborhoods,race-ethnicity,NA,NA,12,Strong,NA,NA,NA,NA
2014,01,50000,Alabama,Mobile city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,11,Strong,NA,NA,NA,NA
2014,01,51000,Alabama,Montgomery city,TRUE,All,all,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,51000,Alabama,Montgomery city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,51000,Alabama,Montgomery city,TRUE,White neighborhoods,race-ethnicity,NA,NA,5,Strong,NA,NA,NA,NA
2014,01,51000,Alabama,Montgomery city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,77256,Alabama,Tuscaloosa city,TRUE,All,all,NA,NA,5,Strong,NA,NA,NA,NA
2014,01,77256,Alabama,Tuscaloosa city,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,3,Strong,NA,NA,NA,NA
2014,01,77256,Alabama,Tuscaloosa city,TRUE,White neighborhoods,race-ethnicity,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,77256,Alabama,Tuscaloosa city,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,5,Strong,NA,NA,NA,NA
2014,02,03000,Alaska,Anchorage municipality,TRUE,All,all,NA,NA,70,Strong,NA,NA,NA,NA
