year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_low_birth_weight,share_low_birth_weight_lb,share_low_birth_weight_ub,share_low_birth_weight_quality
2014,01,001,Alabama,Autauga County,TRUE,All,all,NA,NA,NA,NA
2014,01,001,Alabama,Autauga County,TRUE,Less than High School,mothers-education,NA,NA,NA,NA
2014,01,001,Alabama,Autauga County,TRUE,GED/High School Degree,mothers-education,NA,NA,NA,NA
2014,01,001,Alabama,Autauga County,TRUE,Some College,mothers-education,NA,NA,NA,NA
2014,01,001,Alabama,Autauga County,TRUE,College Degree or Higher,mothers-education,NA,NA,NA,NA
2014,01,003,Alabama,Baldwin County,TRUE,All,all,NA,NA,NA,NA
2014,01,003,Alabama,Baldwin County,TRUE,Less than High School,mothers-education,NA,NA,NA,NA
2014,01,003,Alabama,Baldwin County,TRUE,GED/High School Degree,mothers-education,NA,NA,NA,NA
2014,01,003,Alabama,Baldwin County,TRUE,Some College,mothers-education,NA,NA,NA,NA
2014,01,003,Alabama,Baldwin County,TRUE,College Degree or Higher,mothers-education,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,TRUE,All,all,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,TRUE,Less than High School,mothers-education,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,TRUE,GED/High School Degree,mothers-education,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,TRUE,Some College,mothers-education,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,TRUE,College Degree or Higher,mothers-education,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,TRUE,All,all,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,TRUE,Less than High School,mothers-education,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,TRUE,GED/High School Degree,mothers-education,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,TRUE,Some College,mothers-education,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,TRUE,College Degree or Higher,mothers-education,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,TRUE,All,all,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,TRUE,Less than High School,mothers-education,NA,NA,NA,NA
