year,state,place,subgroup_type,subgroup,share_digital_access,share_digital_access_quality,state_name,place_name
2021,01,03076,all,All,0.8509452416361858,1,Alabama,Auburn city
2021,01,03076,race-ethnicity,Other Races and Ethnicities,0.9004808229900481,1,Alabama,Auburn city
2021,01,03076,race-ethnicity,Black,0.7397652016857315,1,Alabama,Auburn city
2021,01,03076,race-ethnicity,Hispanic,0.8519685039370078,2,Alabama,Auburn city
2021,01,03076,race-ethnicity,White,0.8706827462504293,1,Alabama,Auburn city
2021,01,07000,all,All,0.7878447738758072,1,Alabama,Birmingham city
2021,01,07000,race-ethnicity,Other Races and Ethnicities,0.8525278630269746,2,Alabama,Birmingham city
2021,01,07000,race-ethnicity,Black,0.7781135116079971,1,Alabama,Birmingham city
2021,01,07000,race-ethnicity,Hispanic,0.7946570070183382,1,Alabama,Birmingham city
2021,01,07000,race-ethnicity,White,0.7986942756572867,1,Alabama,Birmingham city
2021,01,35896,all,All,0.9588053102187784,1,Alabama,Hoover city
2021,01,35896,race-ethnicity,Other Races and Ethnicities,0.9479318229058408,1,Alabama,Hoover city
2021,01,35896,race-ethnicity,Black,0.9676574422047602,1,Alabama,Hoover city
2021,01,35896,race-ethnicity,Hispanic,0.8818259385665529,2,Alabama,Hoover city
2021,01,35896,race-ethnicity,White,0.9580133048748188,1,Alabama,Hoover city
2021,01,37000,all,All,0.8651662930012709,1,Alabama,Huntsville city
2021,01,37000,race-ethnicity,Other Races and Ethnicities,0.8753805665927035,1,Alabama,Huntsville city
2021,01,37000,race-ethnicity,Black,0.7901496950656071,1,Alabama,Huntsville city
2021,01,37000,race-ethnicity,Hispanic,0.820321811680572,1,Alabama,Huntsville city
2021,01,37000,race-ethnicity,White,0.9023216983382364,1,Alabama,Huntsville city
2021,01,50000,all,All,0.787815092427112,1,Alabama,Mobile city
2021,01,50000,race-ethnicity,Other Races and Ethnicities,0.8468164461415505,1,Alabama,Mobile city
2021,01,50000,race-ethnicity,Black,0.7193606044603323,1,Alabama,Mobile city
2021,01,50000,race-ethnicity,Hispanic,0.71610779674964,1,Alabama,Mobile city
2021,01,50000,race-ethnicity,White,0.8659992794276596,1,Alabama,Mobile city
2021,01,51000,all,All,0.8413855199928366,1,Alabama,Montgomery city
2021,01,51000,race-ethnicity,Other Races and Ethnicities,0.8474143977555315,1,Alabama,Montgomery city
2021,01,51000,race-ethnicity,Black,0.8201954134366926,1,Alabama,Montgomery city
2021,01,51000,race-ethnicity,Hispanic,0.7151652217615279,1,Alabama,Montgomery city
2021,01,51000,race-ethnicity,White,0.8825184149335762,1,Alabama,Montgomery city
2021,01,77256,all,All,0.7727199451900214,1,Alabama,Tuscaloosa city
2021,01,77256,race-ethnicity,Other Races and Ethnicities,0.7741158765989465,2,Alabama,Tuscaloosa city
2021,01,77256,race-ethnicity,Black,0.7756218108596664,1,Alabama,Tuscaloosa city
2021,01,77256,race-ethnicity,Hispanic,0.770529724728198,2,Alabama,Tuscaloosa city
2021,01,77256,race-ethnicity,White,0.7699370194667103,1,Alabama,Tuscaloosa city
2021,02,03000,all,All,0.9214001264762686,1,Alaska,Anchorage municipality
2021,02,03000,race-ethnicity,Other Races and Ethnicities,0.906767530169586,1,Alaska,Anchorage municipality
2021,02,03000,race-ethnicity,Black,0.8893923921368394,1,Alaska,Anchorage municipality
2021,02,03000,race-ethnicity,Hispanic,0.9064895799589676,1,Alaska,Anchorage municipality
2021,02,03000,race-ethnicity,White,0.9325954878346258,1,Alaska,Anchorage municipality
2021,04,04720,all,All,0.9041162777493896,1,Arizona,Avondale city
2021,04,04720,race-ethnicity,Other Races and Ethnicities,0.9016803597389864,1,Arizona,Avondale city
2021,04,04720,race-ethnicity,Black,0.9111289951713036,2,Arizona,Avondale city
2021,04,04720,race-ethnicity,Hispanic,0.8802572684382435,1,Arizona,Avondale city
2021,04,04720,race-ethnicity,White,0.90433822052621,1,Arizona,Avondale city
2021,04,07940,all,All,0.895620381001215,1,Arizona,Buckeye city
2021,04,07940,race-ethnicity,Other Races and Ethnicities,0.8789378765204712,1,Arizona,Buckeye city
2021,04,07940,race-ethnicity,Black,0.8675562636924915,2,Arizona,Buckeye city
2021,04,07940,race-ethnicity,Hispanic,0.8893296787843816,1,Arizona,Buckeye city
2021,04,07940,race-ethnicity,White,0.905439287724505,1,Arizona,Buckeye city
2021,04,12000,all,All,0.9522865669012146,1,Arizona,Chandler city
2021,04,12000,race-ethnicity,Other Races and Ethnicities,0.970403374490195,1,Arizona,Chandler city
2021,04,12000,race-ethnicity,Black,0.9552375951693358,1,Arizona,Chandler city
2021,04,12000,race-ethnicity,Hispanic,0.923336802771,1,Arizona,Chandler city
2021,04,12000,race-ethnicity,White,0.9450559515535512,1,Arizona,Chandler city
2021,04,23620,all,All,0.7569528257333263,1,Arizona,Flagstaff city
