year,state,place,state_name,place_name,subgroup_type,subgroup,share_digital_access,share_digital_access_quality,rate_juv_arrest_quality,rate_juv_arrest
2021,01,03076,Alabama,Auburn city,all,All,0.8509452416361858,1,2,308.5966201322557
2021,01,03076,Alabama,Auburn city,race-ethnicity,Other Races and Ethnicities,0.9004808229900481,1,2,0
2021,01,03076,Alabama,Auburn city,race-ethnicity,Black,0.7397652016857315,1,2,1446.4802314368371
2021,01,03076,Alabama,Auburn city,race-ethnicity,Hispanic,0.8519685039370078,2,2,0
2021,01,03076,Alabama,Auburn city,race-ethnicity,White,0.8706827462504293,1,2,121.6298398540442
2021,01,07000,Alabama,Birmingham city,all,All,0.7878447738758072,1,2,487.323780240181
2021,01,07000,Alabama,Birmingham city,race-ethnicity,Other Races and Ethnicities,0.8525278630269746,2,2,0
2021,01,07000,Alabama,Birmingham city,race-ethnicity,Black,0.7781135116079971,1,2,560.7073538926029
2021,01,07000,Alabama,Birmingham city,race-ethnicity,Hispanic,0.7946570070183382,1,2,233.46303501945525
2021,01,07000,Alabama,Birmingham city,race-ethnicity,White,0.7986942756572867,1,2,347.22222222222223
2021,01,35896,Alabama,Hoover city,all,All,0.9588053102187784,1,1,328.45625559868614
2021,01,35896,Alabama,Hoover city,race-ethnicity,Other Races and Ethnicities,0.9479318229058408,1,1,0
2021,01,35896,Alabama,Hoover city,race-ethnicity,Black,0.9676574422047602,1,1,672.4303554274735
2021,01,35896,Alabama,Hoover city,race-ethnicity,Hispanic,0.8818259385665529,2,1,414.0786749482402
2021,01,35896,Alabama,Hoover city,race-ethnicity,White,0.9580133048748188,1,1,284.8575712143928
2021,01,37000,Alabama,Huntsville city,all,All,0.8651662930012709,1,3,0
2021,01,37000,Alabama,Huntsville city,race-ethnicity,Other Races and Ethnicities,0.8753805665927035,1,3,0
2021,01,37000,Alabama,Huntsville city,race-ethnicity,Black,0.7901496950656071,1,3,0
2021,01,37000,Alabama,Huntsville city,race-ethnicity,Hispanic,0.820321811680572,1,3,0
2021,01,37000,Alabama,Huntsville city,race-ethnicity,White,0.9023216983382364,1,3,0
2021,01,50000,Alabama,Mobile city,all,All,0.787815092427112,1,2,1958.4885577434804
2021,01,50000,Alabama,Mobile city,race-ethnicity,Other Races and Ethnicities,0.8468164461415505,1,2,199.6007984031936
2021,01,50000,Alabama,Mobile city,race-ethnicity,Black,0.7193606044603323,1,2,2344.1481229828432
2021,01,50000,Alabama,Mobile city,race-ethnicity,Hispanic,0.71610779674964,1,2,1213.5922330097087
2021,01,50000,Alabama,Mobile city,race-ethnicity,White,0.8659992794276596,1,2,997.6720984369804
2021,01,51000,Alabama,Montgomery city,all,All,0.8413855199928366,1,3,0
2021,01,51000,Alabama,Montgomery city,race-ethnicity,Other Races and Ethnicities,0.8474143977555315,1,3,0
2021,01,51000,Alabama,Montgomery city,race-ethnicity,Black,0.8201954134366926,1,3,0
2021,01,51000,Alabama,Montgomery city,race-ethnicity,Hispanic,0.7151652217615279,1,3,0
2021,01,51000,Alabama,Montgomery city,race-ethnicity,White,0.8825184149335762,1,3,0
2021,01,77256,Alabama,Tuscaloosa city,all,All,0.7727199451900214,1,1,564.4402634054563
2021,01,77256,Alabama,Tuscaloosa city,race-ethnicity,Other Races and Ethnicities,0.7741158765989465,2,1,0
2021,01,77256,Alabama,Tuscaloosa city,race-ethnicity,Black,0.7756218108596664,1,1,657.1741511500547
2021,01,77256,Alabama,Tuscaloosa city,race-ethnicity,Hispanic,0.770529724728198,2,1,210.97046413502107
2021,01,77256,Alabama,Tuscaloosa city,race-ethnicity,White,0.7699370194667103,1,1,495.458298926507
2021,02,03000,Alaska,Anchorage municipality,all,All,0.9214001264762686,1,3,0
2021,02,03000,Alaska,Anchorage municipality,race-ethnicity,Other Races and Ethnicities,0.906767530169586,1,3,0
