state,county,state_name,county_name,population,subgroup_type,subgroup,lbw,lbw_lb,lbw_ub,lbw_quality
01,001,Alabama,Autauga County,55601,all,All,0.10073359,0.09678819,0.10467898,3
01,001,Alabama,Autauga County,55601,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
01,001,Alabama,Autauga County,55601,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
01,001,Alabama,Autauga County,55601,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
01,001,Alabama,Autauga County,55601,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
01,003,Alabama,Baldwin County,218022,all,All,0.085664339,0.074196517,0.097132161,1
01,003,Alabama,Baldwin County,218022,race-ethnicity,"Black, Non-Hispanic",0.12547529,0.085439965,0.16551061,1
01,003,Alabama,Baldwin County,218022,race-ethnicity,Hispanic,0.083798885,0.043206546,0.12439123,2
01,003,Alabama,Baldwin County,218022,race-ethnicity,Other Races and Ethnicities,0.15730338,0.081660904,0.23294584,2
01,003,Alabama,Baldwin County,218022,race-ethnicity,"White, Non-Hispanic",0.076309793,0.063891925,0.08872766,1
01,005,Alabama,Barbour County,24881,all,All,0.10073359,0.09678819,0.10467898,3
01,005,Alabama,Barbour County,24881,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
01,005,Alabama,Barbour County,24881,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
01,005,Alabama,Barbour County,24881,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
01,005,Alabama,Barbour County,24881,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
01,007,Alabama,Bibb County,22400,all,All,0.10073359,0.09678819,0.10467898,3
01,007,Alabama,Bibb County,22400,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
01,007,Alabama,Bibb County,22400,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
01,007,Alabama,Bibb County,22400,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
01,007,Alabama,Bibb County,22400,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
01,009,Alabama,Blount County,57840,all,All,0.10073359,0.09678819,0.10467898,3
01,009,Alabama,Blount County,57840,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
01,009,Alabama,Blount County,57840,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
01,009,Alabama,Blount County,57840,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3
01,009,Alabama,Blount County,57840,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3
01,011,Alabama,Bullock County,10138,all,All,0.10073359,0.09678819,0.10467898,3
01,011,Alabama,Bullock County,10138,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3
01,011,Alabama,Bullock County,10138,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3
