year,state,place,state_name,place_name,subgroup_type,subgroup,index_air_quality,index_air_quality_quality
2018,01,03076,Alabama,Auburn city,all,All,15,1
2018,01,03076,Alabama,Auburn city,poverty,High Poverty Tracts,15,1
2018,01,03076,Alabama,Auburn city,poverty,Not High Poverty Tracts,15,1
2018,01,07000,Alabama,Birmingham city,all,All,7,1
2018,01,07000,Alabama,Birmingham city,poverty,High Poverty Tracts,6,1
2018,01,07000,Alabama,Birmingham city,poverty,Not High Poverty Tracts,7,1
2018,01,35896,Alabama,Hoover city,all,All,9,1
2018,01,35896,Alabama,Hoover city,poverty,High Poverty Tracts,NA,NA
2018,01,35896,Alabama,Hoover city,poverty,Not High Poverty Tracts,9,1
2018,01,37000,Alabama,Huntsville city,all,All,18,1
2018,01,37000,Alabama,Huntsville city,poverty,High Poverty Tracts,20,1
2018,01,37000,Alabama,Huntsville city,poverty,Not High Poverty Tracts,18,1
2018,01,50000,Alabama,Mobile city,all,All,17,1
2018,01,50000,Alabama,Mobile city,poverty,High Poverty Tracts,14,1
2018,01,50000,Alabama,Mobile city,poverty,Not High Poverty Tracts,17,1
2018,01,51000,Alabama,Montgomery city,all,All,15,1
2018,01,51000,Alabama,Montgomery city,poverty,High Poverty Tracts,15,1
2018,01,51000,Alabama,Montgomery city,poverty,Not High Poverty Tracts,15,1
2018,01,77256,Alabama,Tuscaloosa city,all,All,6,1
2018,01,77256,Alabama,Tuscaloosa city,poverty,High Poverty Tracts,4,1
2018,01,77256,Alabama,Tuscaloosa city,poverty,Not High Poverty Tracts,7,1
2018,02,03000,Alaska,Anchorage municipality,all,All,46,1
2018,02,03000,Alaska,Anchorage municipality,poverty,High Poverty Tracts,NA,NA
2018,02,03000,Alaska,Anchorage municipality,poverty,Not High Poverty Tracts,46,1
2018,04,04720,Arizona,Avondale city,all,All,20,1
2018,04,04720,Arizona,Avondale city,poverty,High Poverty Tracts,26,1
2018,04,04720,Arizona,Avondale city,poverty,Not High Poverty Tracts,19,1
2018,04,07940,Arizona,Buckeye city,all,All,68,1
2018,04,07940,Arizona,Buckeye city,poverty,High Poverty Tracts,NA,NA
2018,04,07940,Arizona,Buckeye city,poverty,Not High Poverty Tracts,64,1
2018,04,12000,Arizona,Chandler city,all,All,19,1
2018,04,12000,Arizona,Chandler city,poverty,High Poverty Tracts,0,1
2018,04,12000,Arizona,Chandler city,poverty,Not High Poverty Tracts,19,1
2018,04,23620,Arizona,Flagstaff city,all,All,92,1
2018,04,23620,Arizona,Flagstaff city,poverty,High Poverty Tracts,89,1
2018,04,23620,Arizona,Flagstaff city,poverty,Not High Poverty Tracts,95,1
2018,04,27400,Arizona,Gilbert town,all,All,26,1
2018,04,27400,Arizona,Gilbert town,poverty,High Poverty Tracts,NA,NA
2018,04,27400,Arizona,Gilbert town,poverty,Not High Poverty Tracts,26,1
2018,04,27820,Arizona,Glendale city,all,All,26,1
2018,04,27820,Arizona,Glendale city,poverty,High Poverty Tracts,26,1
2018,04,27820,Arizona,Glendale city,poverty,Not High Poverty Tracts,26,1
2018,04,28380,Arizona,Goodyear city,all,All,34,1
2018,04,28380,Arizona,Goodyear city,poverty,High Poverty Tracts,NA,NA
2018,04,28380,Arizona,Goodyear city,poverty,Not High Poverty Tracts,34,1
2018,04,46000,Arizona,Mesa city,all,All,27,1
2018,04,46000,Arizona,Mesa city,poverty,High Poverty Tracts,26,1
2018,04,46000,Arizona,Mesa city,poverty,Not High Poverty Tracts,27,1
2018,04,54050,Arizona,Peoria city,all,All,34,1
2018,04,54050,Arizona,Peoria city,poverty,High Poverty Tracts,NA,NA
2018,04,54050,Arizona,Peoria city,poverty,Not High Poverty Tracts,34,1
2018,04,55000,Arizona,Phoenix city,all,All,26,1
2018,04,55000,Arizona,Phoenix city,poverty,High Poverty Tracts,22,1
2018,04,55000,Arizona,Phoenix city,poverty,Not High Poverty Tracts,26,1
2018,04,65000,Arizona,Scottsdale city,all,All,37,1
2018,04,65000,Arizona,Scottsdale city,poverty,High Poverty Tracts,NA,NA
2018,04,65000,Arizona,Scottsdale city,poverty,Not High Poverty Tracts,37,1
2018,04,71510,Arizona,Surprise city,all,All,53,1
2018,04,71510,Arizona,Surprise city,poverty,High Poverty Tracts,NA,NA
2018,04,71510,Arizona,Surprise city,poverty,Not High Poverty Tracts,54,1
2018,04,73000,Arizona,Tempe city,all,All,16,1
2018,04,73000,Arizona,Tempe city,poverty,High Poverty Tracts,26,1
2018,04,73000,Arizona,Tempe city,poverty,Not High Poverty Tracts,14,1
2018,04,77000,Arizona,Tucson city,all,All,59,1
2018,04,77000,Arizona,Tucson city,poverty,High Poverty Tracts,55,1
2018,04,77000,Arizona,Tucson city,poverty,Not High Poverty Tracts,59,1
2018,04,85540,Arizona,Yuma city,all,All,34,1
2018,04,85540,Arizona,Yuma city,poverty,High Poverty Tracts,41,1
2018,04,85540,Arizona,Yuma city,poverty,Not High Poverty Tracts,33,1
2018,05,23290,Arkansas,Fayetteville city,all,All,28,1
2018,05,23290,Arkansas,Fayetteville city,poverty,High Poverty Tracts,26,1
2018,05,23290,Arkansas,Fayetteville city,poverty,Not High Poverty Tracts,29,1
