state,county,state_name,county_name,population,subgroup_type,subgroup,juvenile_arrest_rate,juvenile_arrest_rate_quality
01,001,Alabama,Autauga County,55601,all,All,2363.0354,2
01,001,Alabama,Autauga County,55601,race-ethnicity,Black,3187.7195,2
01,001,Alabama,Autauga County,55601,race-ethnicity,Other Races,NA,NA
01,001,Alabama,Autauga County,55601,race-ethnicity,White,2294.4094,2
01,003,Alabama,Baldwin County,218022,all,All,2066.0569,1
01,003,Alabama,Baldwin County,218022,race-ethnicity,Black,6659.5059,1
01,003,Alabama,Baldwin County,218022,race-ethnicity,Other Races,66.979233,1
01,003,Alabama,Baldwin County,218022,race-ethnicity,White,1735.4069,1
01,005,Alabama,Barbour County,24881,all,All,1681.2625,2
01,005,Alabama,Barbour County,24881,race-ethnicity,Black,2263.2073,2
01,005,Alabama,Barbour County,24881,race-ethnicity,Other Races,NA,NA
01,005,Alabama,Barbour County,24881,race-ethnicity,White,1019.7755,2
01,007,Alabama,Bibb County,22400,all,All,194.11369,1
01,007,Alabama,Bibb County,22400,race-ethnicity,Black,118.11863,1
01,007,Alabama,Bibb County,22400,race-ethnicity,Other Races,NA,NA
01,007,Alabama,Bibb County,22400,race-ethnicity,White,457.10104,1
01,009,Alabama,Blount County,57840,all,All,283.30939,2
01,009,Alabama,Blount County,57840,race-ethnicity,Black,702.00073,2
01,009,Alabama,Blount County,57840,race-ethnicity,Other Races,NA,NA
01,009,Alabama,Blount County,57840,race-ethnicity,White,257.86841,2
01,011,Alabama,Bullock County,10138,all,All,187.30449,1
01,011,Alabama,Bullock County,10138,race-ethnicity,Black,306.65439,1
01,011,Alabama,Bullock County,10138,race-ethnicity,Other Races,NA,NA
01,011,Alabama,Bullock County,10138,race-ethnicity,White,NA,NA
01,013,Alabama,Butler County,19680,all,All,3154.3328,1
01,013,Alabama,Butler County,19680,race-ethnicity,Black,13851.033,1
01,013,Alabama,Butler County,19680,race-ethnicity,Other Races,NA,NA
01,013,Alabama,Butler County,19680,race-ethnicity,White,518.78052,1
01,015,Alabama,Calhoun County,114277,all,All,1415.608,2
01,015,Alabama,Calhoun County,114277,race-ethnicity,Black,2179.5706,2
01,015,Alabama,Calhoun County,114277,race-ethnicity,Other Races,NA,NA
01,015,Alabama,Calhoun County,114277,race-ethnicity,White,1202.0216,2
01,017,Alabama,Chambers County,33615,all,All,1037.1406,1
01,017,Alabama,Chambers County,33615,race-ethnicity,Black,2597.875,1
01,017,Alabama,Chambers County,33615,race-ethnicity,Other Races,NA,NA
01,017,Alabama,Chambers County,33615,race-ethnicity,White,419.34525,1
01,019,Alabama,Cherokee County,26032,all,All,547.34998,1
01,019,Alabama,Cherokee County,26032,race-ethnicity,Black,163.64897,1
01,019,Alabama,Cherokee County,26032,race-ethnicity,Other Races,NA,NA
01,019,Alabama,Cherokee County,26032,race-ethnicity,White,680.2652,1
01,021,Alabama,Chilton County,44153,all,All,919.85498,1
01,021,Alabama,Chilton County,44153,race-ethnicity,Black,561.7027,1
01,021,Alabama,Chilton County,44153,race-ethnicity,Other Races,NA,NA
01,021,Alabama,Chilton County,44153,race-ethnicity,White,1278.1844,1
01,023,Alabama,Choctaw County,12841,all,All,237.33989,1
01,023,Alabama,Choctaw County,12841,race-ethnicity,Black,535.73242,1
01,023,Alabama,Choctaw County,12841,race-ethnicity,Other Races,NA,NA
01,023,Alabama,Choctaw County,12841,race-ethnicity,White,NA,NA
01,025,Alabama,Clarke County,23920,all,All,3623.8372,1
01,025,Alabama,Clarke County,23920,race-ethnicity,Black,3753.1035,1
01,025,Alabama,Clarke County,23920,race-ethnicity,Other Races,NA,NA
01,025,Alabama,Clarke County,23920,race-ethnicity,White,3716.6309,1
01,027,Alabama,Clay County,13275,all,All,235.20004,1
01,027,Alabama,Clay County,13275,race-ethnicity,Black,609.45135,1
01,027,Alabama,Clay County,13275,race-ethnicity,Other Races,NA,NA
01,027,Alabama,Clay County,13275,race-ethnicity,White,105.55839,1
01,029,Alabama,Cleburne County,14987,all,All,1668.9282,1
01,029,Alabama,Cleburne County,14987,race-ethnicity,Black,564.06671,1
01,029,Alabama,Cleburne County,14987,race-ethnicity,Other Races,NA,NA
01,029,Alabama,Cleburne County,14987,race-ethnicity,White,1953.9531,1
01,031,Alabama,Coffee County,51909,all,All,1221.8842,1
01,031,Alabama,Coffee County,51909,race-ethnicity,Black,2656.6226,1
01,031,Alabama,Coffee County,51909,race-ethnicity,Other Races,NA,NA
01,031,Alabama,Coffee County,51909,race-ethnicity,White,924.07776,1
01,033,Alabama,Colbert County,54762,all,All,587.6947,2
01,033,Alabama,Colbert County,54762,race-ethnicity,Black,1905.6123,2
01,033,Alabama,Colbert County,54762,race-ethnicity,Other Races,NA,NA
01,033,Alabama,Colbert County,54762,race-ethnicity,White,472.67703,2
01,035,Alabama,Conecuh County,12277,all,All,1251.1991,1
01,035,Alabama,Conecuh County,12277,race-ethnicity,Black,3200.8071,1
01,035,Alabama,Conecuh County,12277,race-ethnicity,Other Races,NA,NA
01,035,Alabama,Conecuh County,12277,race-ethnicity,White,158.07977,1
01,037,Alabama,Coosa County,10715,all,All,1052.3419,1
01,037,Alabama,Coosa County,10715,race-ethnicity,Black,531.38348,1
01,037,Alabama,Coosa County,10715,race-ethnicity,Other Races,NA,NA
01,037,Alabama,Coosa County,10715,race-ethnicity,White,1520.1265,1
01,039,Alabama,Covington County,36986,all,All,1698.2029,2
01,039,Alabama,Covington County,36986,race-ethnicity,Black,2346.1082,2
01,039,Alabama,Covington County,36986,race-ethnicity,Other Races,NA,NA
01,039,Alabama,Covington County,36986,race-ethnicity,White,1548.1304,2
01,041,Alabama,Crenshaw County,13824,all,All,216.97151,2
01,041,Alabama,Crenshaw County,13824,race-ethnicity,Black,355.26123,2
01,041,Alabama,Crenshaw County,13824,race-ethnicity,Other Races,NA,NA
01,041,Alabama,Crenshaw County,13824,race-ethnicity,White,196.26431,2
01,043,Alabama,Cullman County,83442,all,All,246.11235,1
01,043,Alabama,Cullman County,83442,race-ethnicity,Black,NA,NA
01,043,Alabama,Cullman County,83442,race-ethnicity,Other Races,NA,NA
01,043,Alabama,Cullman County,83442,race-ethnicity,White,257.58786,1
01,045,Alabama,Dale County,48956,all,All,712.2558,2
01,045,Alabama,Dale County,48956,race-ethnicity,Black,1432.2885,2
01,045,Alabama,Dale County,48956,race-ethnicity,Other Races,NA,NA
01,045,Alabama,Dale County,48956,race-ethnicity,White,551.92206,2
01,047,Alabama,Dallas County,38310,all,All,952.24969,2
01,047,Alabama,Dallas County,38310,race-ethnicity,Black,1972.5812,2
01,047,Alabama,Dallas County,38310,race-ethnicity,Other Races,NA,NA
01,047,Alabama,Dallas County,38310,race-ethnicity,White,536.73663,2
01,049,Alabama,DeKalb County,71385,all,All,180.36496,2
01,049,Alabama,DeKalb County,71385,race-ethnicity,Black,3298.5881,2
01,049,Alabama,DeKalb County,71385,race-ethnicity,Other Races,NA,NA
01,049,Alabama,DeKalb County,71385,race-ethnicity,White,188.15266,2
01,051,Alabama,Elmore County,81887,all,All,297.82361,2
01,051,Alabama,Elmore County,81887,race-ethnicity,Black,761.26605,2
01,051,Alabama,Elmore County,81887,race-ethnicity,Other Races,NA,NA
01,051,Alabama,Elmore County,81887,race-ethnicity,White,151.21298,2
01,053,Alabama,Escambia County,36748,all,All,1092.1799,1
01,053,Alabama,Escambia County,36748,race-ethnicity,Black,973.14697,1
01,053,Alabama,Escambia County,36748,race-ethnicity,Other Races,7843.5986,1
01,053,Alabama,Escambia County,36748,race-ethnicity,White,871.51099,1
01,055,Alabama,Etowah County,102501,all,All,135.67294,2
01,055,Alabama,Etowah County,102501,race-ethnicity,Black,257.40027,2
01,055,Alabama,Etowah County,102501,race-ethnicity,Other Races,NA,NA
01,055,Alabama,Etowah County,102501,race-ethnicity,White,142.78915,2
01,057,Alabama,Fayette County,16433,all,All,285.6441,1
01,057,Alabama,Fayette County,16433,race-ethnicity,Black,911.61859,1
01,057,Alabama,Fayette County,16433,race-ethnicity,Other Races,NA,NA
01,057,Alabama,Fayette County,16433,race-ethnicity,White,207.40979,1
01,059,Alabama,Franklin County,31363,all,All,NA,NA
01,059,Alabama,Franklin County,31363,race-ethnicity,Black,NA,NA
01,059,Alabama,Franklin County,31363,race-ethnicity,Other Races,NA,NA
01,059,Alabama,Franklin County,31363,race-ethnicity,White,NA,NA
01,061,Alabama,Geneva County,26314,all,All,634.66193,1
01,061,Alabama,Geneva County,26314,race-ethnicity,Black,383.83539,1
01,061,Alabama,Geneva County,26314,race-ethnicity,Other Races,NA,NA
01,061,Alabama,Geneva County,26314,race-ethnicity,White,880.05383,1
01,063,Alabama,Greene County,8233,all,All,294.70126,1
01,063,Alabama,Greene County,8233,race-ethnicity,Black,448.31387,1
01,063,Alabama,Greene County,8233,race-ethnicity,Other Races,NA,NA
01,063,Alabama,Greene County,8233,race-ethnicity,White,NA,NA
01,065,Alabama,Hale County,14726,all,All,281.88705,1
01,065,Alabama,Hale County,14726,race-ethnicity,Black,343.05759,1
01,065,Alabama,Hale County,14726,race-ethnicity,Other Races,NA,NA
01,065,Alabama,Hale County,14726,race-ethnicity,White,165.94757,1
01,067,Alabama,Henry County,17209,all,All,988.0498,2
01,067,Alabama,Henry County,17209,race-ethnicity,Black,1195.1239,2
01,067,Alabama,Henry County,17209,race-ethnicity,Other Races,NA,NA
01,067,Alabama,Henry County,17209,race-ethnicity,White,1047.7111,2
01,069,Alabama,Houston County,104722,all,All,3074.395,2
01,069,Alabama,Houston County,104722,race-ethnicity,Black,8967.2744,2
01,069,Alabama,Houston County,104722,race-ethnicity,Other Races,94.308846,2
01,069,Alabama,Houston County,104722,race-ethnicity,White,1095.3203,2
01,071,Alabama,Jackson County,51736,all,All,516.53247,2
01,071,Alabama,Jackson County,51736,race-ethnicity,Black,6612.5903,2
01,071,Alabama,Jackson County,51736,race-ethnicity,Other Races,NA,NA
01,071,Alabama,Jackson County,51736,race-ethnicity,White,565.77679,2
01,073,Alabama,Jefferson County,659300,all,All,721.797,2
01,073,Alabama,Jefferson County,659300,race-ethnicity,Black,971.73987,2
01,073,Alabama,Jefferson County,659300,race-ethnicity,Other Races,18.274855,2
01,073,Alabama,Jefferson County,659300,race-ethnicity,White,594.34821,2
01,075,Alabama,Lamar County,13844,all,All,202.80685,1
01,075,Alabama,Lamar County,13844,race-ethnicity,Black,NA,NA
01,075,Alabama,Lamar County,13844,race-ethnicity,Other Races,NA,NA
01,075,Alabama,Lamar County,13844,race-ethnicity,White,245.43492,1
01,077,Alabama,Lauderdale County,92387,all,All,418.52783,2
01,077,Alabama,Lauderdale County,92387,race-ethnicity,Black,1039.624,2
01,077,Alabama,Lauderdale County,92387,race-ethnicity,Other Races,NA,NA
01,077,Alabama,Lauderdale County,92387,race-ethnicity,White,357.05524,2
01,079,Alabama,Lawrence County,32957,all,All,64.503853,2
01,079,Alabama,Lawrence County,32957,race-ethnicity,Black,NA,NA
01,079,Alabama,Lawrence County,32957,race-ethnicity,Other Races,NA,NA
01,079,Alabama,Lawrence County,32957,race-ethnicity,White,83.165894,2
01,081,Alabama,Lee County,163941,all,All,1461.5159,1
01,081,Alabama,Lee County,163941,race-ethnicity,Black,2483.8787,1
01,081,Alabama,Lee County,163941,race-ethnicity,Other Races,156.00624,1
01,081,Alabama,Lee County,163941,race-ethnicity,White,1046.8821,1
01,083,Alabama,Limestone County,96174,all,All,906.85767,1
01,083,Alabama,Limestone County,96174,race-ethnicity,Black,1309.4108,1
01,083,Alabama,Limestone County,96174,race-ethnicity,Other Races,NA,NA
01,083,Alabama,Limestone County,96174,race-ethnicity,White,833.20837,1
01,085,Alabama,Lowndes County,9974,all,All,81.092476,2
01,085,Alabama,Lowndes County,9974,race-ethnicity,Black,317.01648,2
01,085,Alabama,Lowndes County,9974,race-ethnicity,Other Races,NA,NA
01,085,Alabama,Lowndes County,9974,race-ethnicity,White,NA,NA
01,087,Alabama,Macon County,18439,all,All,621.16547,2
