state,place,state_name,place_name,year,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,count_desc_rep_total_population,count_desc_rep_total_nonhisp,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,count_desc_rep_total_hispanic,share_desc_rep_white_nonhispanic,count_desc_rep_total_population_quality,count_desc_rep_total_nonhisp_quality,share_desc_rep_asian_other_quality,share_desc_rep_black_nonhispanic_quality,count_desc_rep_total_hispanic_quality,share_desc_rep_white_nonhispanic_quality,ratio_high_low_ses_fb_friends,ratio_high_low_ses_fb_friends_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality
01,03076,Alabama,Auburn city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,03076,Alabama,Auburn city,2014,11.9%:24.6%,3,4.0%:3.0%,3,2.6%:2.7%,3,81.5%:69.7%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,03076,Alabama,Auburn city,2015,16.3%:25.5%,3,0.6%:3.6%,3,5.8%:6.5%,3,77.2%:64.4%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,03076,Alabama,Auburn city,2016,14.2%:22.5%,3,1.6%:3.9%,3,5.3%:5.0%,3,78.9%:68.7%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,03076,Alabama,Auburn city,2017,10.9%:21.8%,3,3.9%:3.7%,3,2.2%:5.1%,3,83.0%:69.4%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,03076,Alabama,Auburn city,2018,11.1%:25.4%,3,1.7%:3.4%,3,6.4%:5.6%,3,80.8%:65.6%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,03076,Alabama,Auburn city,2019,14.7%:19.3%,3,1.0%:2.1%,3,8.4%:7.7%,3,75.9%:70.8%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,03076,Alabama,Auburn city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0665089202470588,2,3.6,2
01,03076,Alabama,Auburn city,2021,7.6%:21.0%,3,3.7%:3.6%,3,5.7%:4.9%,3,83.0%:70.5%,3,74637,72097,0.10248268285166874,0.17720433565121857,0.03403137853879443,0.6862816029583183,1,1,1,1,1,1,NA,NA,NA,NA
01,03076,Alabama,Auburn city,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,07000,Alabama,Birmingham city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,07000,Alabama,Birmingham city,2014,30.7%:61.3%,2,1.5%:3.2%,3,1.7%:2.2%,2,66.1%:33.3%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,07000,Alabama,Birmingham city,2015,32.7%:61.6%,2,1.5%:2.0%,2,1.2%:1.7%,2,64.6%:34.7%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,07000,Alabama,Birmingham city,2016,27.2%:60.3%,2,1.2%:2.9%,3,3.0%:2.7%,2,68.7%:34.1%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,07000,Alabama,Birmingham city,2017,27.6%:62.1%,2,0.7%:3.2%,3,1.7%:2.7%,2,70.0%:32.0%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,07000,Alabama,Birmingham city,2018,24.8%:59.4%,2,1.5%:2.7%,2,2.8%:2.6%,2,70.9%:35.3%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,07000,Alabama,Birmingham city,2019,29.5%:60.5%,2,1.6%:2.7%,2,2.1%:2.8%,2,66.9%:34.1%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,07000,Alabama,Birmingham city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5633154689473685,2,0.8,1
01,07000,Alabama,Birmingham city,2021,34.0%:59.2%,2,1.7%:3.6%,2,4.0%:3.6%,2,60.3%:33.7%,2,202234,193400,0.03922189147225491,0.6855029322468033,0.04368207126398132,0.23159310501696057,1,1,1,1,1,1,NA,NA,NA,NA
01,07000,Alabama,Birmingham city,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,35896,Alabama,Hoover city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,35896,Alabama,Hoover city,2014,3.8%:15.9%,3,2.2%:4.1%,3,2.8%:4.2%,3,91.2%:75.7%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,35896,Alabama,Hoover city,2015,5.1%:16.4%,3,1.9%:2.7%,3,2.4%:3.6%,3,90.5%:77.3%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,35896,Alabama,Hoover city,2016,3.8%:16.6%,3,1.6%:3.5%,3,3.3%:4.2%,3,91.3%:75.6%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,35896,Alabama,Hoover city,2017,2.7%:15.5%,3,1.1%:2.5%,3,2.3%:4.1%,3,93.9%:77.9%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,35896,Alabama,Hoover city,2018,3.9%:15.3%,3,1.4%:2.9%,3,3.2%:5.3%,3,91.5%:76.4%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,35896,Alabama,Hoover city,2019,5.7%:18.9%,3,3.1%:4.3%,3,3.4%:4.0%,3,87.7%:72.8%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,35896,Alabama,Hoover city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8676533081774581,3,3.4,2
01,35896,Alabama,Hoover city,2021,5.8%:16.1%,3,1.3%:3.2%,3,7.1%:6.9%,3,85.8%:73.8%,3,91371,86683,0.07935778310404833,0.19131890862527495,0.05130730757023563,0.6780160007004411,1,1,1,1,1,1,NA,NA,NA,NA
01,35896,Alabama,Hoover city,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,37000,Alabama,Huntsville city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,37000,Alabama,Huntsville city,2014,6.5%:24.1%,2,2.2%:4.2%,2,5.3%:5.0%,2,86.0%:66.7%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,37000,Alabama,Huntsville city,2015,8.5%:23.3%,2,3.4%:4.5%,2,8.0%:5.2%,2,80.1%:67.1%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,37000,Alabama,Huntsville city,2016,8.9%:24.8%,2,3.0%:5.5%,2,6.9%:5.0%,2,81.3%:64.7%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,37000,Alabama,Huntsville city,2017,10.2%:24.8%,2,1.5%:4.2%,2,4.7%:5.3%,2,83.5%:65.7%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,37000,Alabama,Huntsville city,2018,11.0%:24.9%,2,1.9%:4.9%,2,5.1%:5.2%,2,82.1%:65.0%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,37000,Alabama,Huntsville city,2019,9.7%:26.3%,2,2.1%:4.6%,2,4.8%:4.8%,2,83.4%:64.3%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,37000,Alabama,Huntsville city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7642391799424054,3,1.2,2
01,37000,Alabama,Huntsville city,2021,12.1%:20.9%,2,3.4%:5.7%,2,4.8%:5.7%,2,79.7%:67.7%,2,210081,196657,0.06066707603257791,0.30590105721126615,0.06389916270390944,0.5695327040522465,1,1,1,1,1,1,NA,NA,NA,NA
01,37000,Alabama,Huntsville city,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,50000,Alabama,Mobile city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,50000,Alabama,Mobile city,2014,32.2%:47.7%,2,0.9%:2.3%,3,1.5%:2.8%,3,65.4%:47.2%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,50000,Alabama,Mobile city,2015,26.3%:46.8%,2,0.7%:2.2%,3,2.7%:3.5%,2,70.3%:47.5%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,50000,Alabama,Mobile city,2016,20.5%:47.4%,2,0.7%:1.9%,3,5.0%:4.0%,2,73.8%:46.7%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,50000,Alabama,Mobile city,2017,26.1%:47.7%,2,0.8%:2.4%,3,2.6%:3.6%,2,70.6%:46.3%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,50000,Alabama,Mobile city,2018,27.0%:50.6%,2,1.4%:2.6%,3,3.2%:2.5%,3,68.4%:44.4%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,50000,Alabama,Mobile city,2019,27.2%:51.5%,2,0.9%:1.1%,3,4.7%:4.2%,2,67.2%:43.2%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,50000,Alabama,Mobile city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517001236151595,2,0.9,1
01,50000,Alabama,Mobile city,2021,27.1%:50.6%,2,3.2%:2.2%,3,4.4%:4.7%,2,65.3%:42.5%,2,187445,182584,0.04534663501293713,0.523721625010003,0.02593294032916322,0.4049987996478967,1,1,1,1,1,1,NA,NA,NA,NA
01,50000,Alabama,Mobile city,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,51000,Alabama,Montgomery city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,51000,Alabama,Montgomery city,2014,33.9%:56.8%,2,2.8%:1.9%,3,3.9%:2.4%,3,59.3%:38.9%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,51000,Alabama,Montgomery city,2015,28.1%:55.7%,2,0.8%:1.8%,3,7.5%:3.4%,3,63.6%:39.1%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,51000,Alabama,Montgomery city,2016,31.8%:59.3%,2,0.7%:1.7%,3,4.0%:4.0%,3,63.5%:35.1%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,51000,Alabama,Montgomery city,2017,31.3%:56.7%,2,1.8%:2.2%,3,3.6%:4.2%,3,63.2%:36.8%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,51000,Alabama,Montgomery city,2018,30.2%:57.5%,2,0.8%:1.6%,3,4.8%:4.6%,3,64.1%:36.3%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,51000,Alabama,Montgomery city,2019,28.4%:58.3%,2,1.2%:1.6%,3,7.0%:3.6%,3,63.5%:36.5%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,51000,Alabama,Montgomery city,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5486738266328948,2,1.2,1
01,51000,Alabama,Montgomery city,2021,32.1%:59.1%,2,0.9%:2.3%,3,16.8%:5.4%,2,50.1%:33.2%,2,201022,193063,0.05579986270159485,0.6139726000139288,0.03959268139805593,0.2906348558864204,1,1,1,1,1,1,NA,NA,NA,NA
01,51000,Alabama,Montgomery city,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,77256,Alabama,Tuscaloosa city,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,77256,Alabama,Tuscaloosa city,2014,22.8%:41.3%,2,4.1%:2.3%,3,1.5%:2.9%,3,71.6%:53.4%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,77256,Alabama,Tuscaloosa city,2015,25.9%:42.0%,2,0.3%:1.5%,3,2.1%:2.1%,3,71.8%:54.4%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,77256,Alabama,Tuscaloosa city,2016,27.3%:41.9%,2,0.5%:1.5%,3,0.8%:3.6%,3,71.4%:53.0%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
