state,county,state_name,county_name,population,subgroup_type,subgroup,lbw,lbw_lb,lbw_ub,lbw_quality,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
01,001,Alabama,Autauga County,55601,all,All,0.10073359,0.09678819,0.10467898,3,0.96334958,0.86069095,1.0660082,1
01,001,Alabama,Autauga County,55601,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.98245955,0.81474298,1.150176,1
01,001,Alabama,Autauga County,55601,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,001,Alabama,Autauga County,55601,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,001,Alabama,Autauga County,55601,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,0.90390253,0.79741061,1.0103945,1
01,003,Alabama,Baldwin County,218022,all,All,0.085664339,0.074196517,0.097132161,1,0.80453658,0.74293524,0.86613792,1
01,003,Alabama,Baldwin County,218022,race-ethnicity,"Black, Non-Hispanic",0.12547529,0.085439965,0.16551061,1,0.90458125,0.77358341,1.0355791,1
01,003,Alabama,Baldwin County,218022,race-ethnicity,Hispanic,0.083798885,0.043206546,0.12439123,2,0.71163386,0.51131582,0.9119519,1
01,003,Alabama,Baldwin County,218022,race-ethnicity,Other Races and Ethnicities,0.15730338,0.081660904,0.23294584,2,NA,NA,NA,NA
01,003,Alabama,Baldwin County,218022,race-ethnicity,"White, Non-Hispanic",0.076309793,0.063891925,0.08872766,1,0.75898635,0.6975351,0.82043761,1
01,005,Alabama,Barbour County,24881,all,All,0.10073359,0.09678819,0.10467898,3,1.0028402,0.8289628,1.1767175,1
01,005,Alabama,Barbour County,24881,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,0.98407674,0.75361735,1.2145361,1
01,005,Alabama,Barbour County,24881,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,005,Alabama,Barbour County,24881,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
01,005,Alabama,Barbour County,24881,race-ethnicity,"White, Non-Hispanic",0.086104907,0.081647351,0.090562463,3,1.0368601,0.76067513,1.313045,1
01,007,Alabama,Bibb County,22400,all,All,0.10073359,0.09678819,0.10467898,3,1.0027248,0.82204592,1.1834036000000001,1
01,007,Alabama,Bibb County,22400,race-ethnicity,"Black, Non-Hispanic",0.15997504,0.14961191,0.17033817,3,1.13434,0.82923174,1.4394484,1
01,007,Alabama,Bibb County,22400,race-ethnicity,Hispanic,0.064606741,0.05318632,0.076027162,3,NA,NA,NA,NA
01,007,Alabama,Bibb County,22400,race-ethnicity,Other Races and Ethnicities,0.10458715,0.078894518,0.13027979,3,NA,NA,NA,NA
