year,state,county,state_name,county_name,subgroup,subgroup_type,ratio_living_wage,ratio_living_wage_quality
2014,01,001,Alabama,Autauga County,All,all,0.5819,Strong
2014,01,001,Alabama,Autauga County,Goods Producing,industry,0.9604,Strong
2014,01,001,Alabama,Autauga County,Public Administration,industry,0.7163,Strong
2014,01,001,Alabama,Autauga County,"Trade, Transit, Utilities",industry,0.5094,Strong
2014,01,001,Alabama,Autauga County,Information Services,industry,1.0665,Weak
2014,01,001,Alabama,Autauga County,Professional Services,industry,0.6491,Strong
2014,01,001,Alabama,Autauga County,Education and Health,industry,0.4855,Strong
2014,01,001,Alabama,Autauga County,Leisure and Other,industry,0.271,Strong
2014,01,003,Alabama,Baldwin County,All,all,0.5553,Strong
2014,01,003,Alabama,Baldwin County,Goods Producing,industry,0.7226,Strong
2014,01,003,Alabama,Baldwin County,Public Administration,industry,0.7357,Strong
2014,01,003,Alabama,Baldwin County,"Trade, Transit, Utilities",industry,0.5038,Strong
2014,01,003,Alabama,Baldwin County,Information Services,industry,0.6869,Strong
2014,01,003,Alabama,Baldwin County,Professional Services,industry,0.6612,Strong
2014,01,003,Alabama,Baldwin County,Education and Health,industry,0.686,Strong
2014,01,003,Alabama,Baldwin County,Leisure and Other,industry,0.3792,Strong
2014,01,005,Alabama,Barbour County,All,all,0.6007,Strong
2014,01,005,Alabama,Barbour County,Goods Producing,industry,0.6943,Strong
2014,01,005,Alabama,Barbour County,Public Administration,industry,0.7421,Strong
2014,01,005,Alabama,Barbour County,"Trade, Transit, Utilities",industry,0.5924,Strong
2014,01,005,Alabama,Barbour County,Information Services,industry,0.9341,Weak
2014,01,005,Alabama,Barbour County,Professional Services,industry,0.557,Strong
2014,01,005,Alabama,Barbour County,Education and Health,industry,0.5961,Strong
2014,01,005,Alabama,Barbour County,Leisure and Other,industry,0.3182,Strong
2014,01,007,Alabama,Bibb County,All,all,0.6272,Strong
2014,01,007,Alabama,Bibb County,Goods Producing,industry,0.8266,Strong
2014,01,007,Alabama,Bibb County,Public Administration,industry,0.7502,Strong
2014,01,007,Alabama,Bibb County,"Trade, Transit, Utilities",industry,0.4907,Strong
2014,01,007,Alabama,Bibb County,Information Services,industry,NA,NA
2014,01,007,Alabama,Bibb County,Professional Services,industry,0.8021,Strong
2014,01,007,Alabama,Bibb County,Education and Health,industry,0.4864,Weak
2014,01,007,Alabama,Bibb County,Leisure and Other,industry,NA,NA
2014,01,009,Alabama,Blount County,All,all,0.552,Strong
2014,01,009,Alabama,Blount County,Goods Producing,industry,0.6202,Strong
2014,01,009,Alabama,Blount County,Public Administration,industry,0.6986,Strong
2014,01,009,Alabama,Blount County,"Trade, Transit, Utilities",industry,0.5187,Strong
2014,01,009,Alabama,Blount County,Information Services,industry,0.8809,Weak
2014,01,009,Alabama,Blount County,Professional Services,industry,0.6469,Strong
2014,01,009,Alabama,Blount County,Education and Health,industry,0.6219,Strong
2014,01,009,Alabama,Blount County,Leisure and Other,industry,0.3018,Strong
2014,01,011,Alabama,Bullock County,All,all,0.5784,Strong
2014,01,011,Alabama,Bullock County,Goods Producing,industry,0.6034,Weak
2014,01,011,Alabama,Bullock County,Public Administration,industry,0.7332,Weak
2014,01,011,Alabama,Bullock County,"Trade, Transit, Utilities",industry,0.5404,Strong
2014,01,011,Alabama,Bullock County,Information Services,industry,0.7684,Weak
2014,01,011,Alabama,Bullock County,Professional Services,industry,0.5191,Weak
