year,state,county,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality,state_name,county_name
2018,01,001,all,All,0,1,Alabama,Autauga County
2018,01,001,race-ethnicity,Black,0,1,Alabama,Autauga County
2018,01,001,race-ethnicity,Hispanic,0,3,Alabama,Autauga County
2018,01,001,race-ethnicity,Other Races and Ethnicities,0,2,Alabama,Autauga County
2018,01,001,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Autauga County
2018,01,003,all,All,0,1,Alabama,Baldwin County
2018,01,003,race-ethnicity,Black,0,1,Alabama,Baldwin County
2018,01,003,race-ethnicity,Hispanic,0,2,Alabama,Baldwin County
2018,01,003,race-ethnicity,Other Races and Ethnicities,0,2,Alabama,Baldwin County
2018,01,003,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Baldwin County
2018,01,005,all,All,0,1,Alabama,Barbour County
2018,01,005,race-ethnicity,Black,0,1,Alabama,Barbour County
2018,01,005,race-ethnicity,Hispanic,0,2,Alabama,Barbour County
2018,01,005,race-ethnicity,Other Races and Ethnicities,0,2,Alabama,Barbour County
2018,01,005,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Barbour County
2018,01,007,all,All,0,1,Alabama,Bibb County
2018,01,007,race-ethnicity,Black,0,2,Alabama,Bibb County
2018,01,007,race-ethnicity,Hispanic,NA,NA,Alabama,Bibb County
2018,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA,Alabama,Bibb County
2018,01,007,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Bibb County
2018,01,009,all,All,0,1,Alabama,Blount County
2018,01,009,race-ethnicity,Black,0,3,Alabama,Blount County
2018,01,009,race-ethnicity,Hispanic,0,2,Alabama,Blount County
2018,01,009,race-ethnicity,Other Races and Ethnicities,0,2,Alabama,Blount County
2018,01,009,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Blount County
2018,01,011,all,All,0.9186495176848876,1,Alabama,Bullock County
2018,01,011,race-ethnicity,Black,0.9266644136532612,1,Alabama,Bullock County
2018,01,011,race-ethnicity,Hispanic,1,3,Alabama,Bullock County
2018,01,011,race-ethnicity,Other Races and Ethnicities,NA,NA,Alabama,Bullock County
2018,01,011,race-ethnicity,"White, Non-Hispanic",0.6043956043956044,3,Alabama,Bullock County
2018,01,013,all,All,0,1,Alabama,Butler County
2018,01,013,race-ethnicity,Black,0,1,Alabama,Butler County
2018,01,013,race-ethnicity,Hispanic,0,3,Alabama,Butler County
2018,01,013,race-ethnicity,Other Races and Ethnicities,0,2,Alabama,Butler County
2018,01,013,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Butler County
2018,01,015,all,All,0.16316825976271676,1,Alabama,Calhoun County
2018,01,015,race-ethnicity,Black,0.2790785498489426,1,Alabama,Calhoun County
2018,01,015,race-ethnicity,Hispanic,0.01982651796778191,2,Alabama,Calhoun County
2018,01,015,race-ethnicity,Other Races and Ethnicities,0.152766308835673,1,Alabama,Calhoun County
2018,01,015,race-ethnicity,"White, Non-Hispanic",0.08998010490142883,1,Alabama,Calhoun County
2018,01,017,all,All,0,1,Alabama,Chambers County
2018,01,017,race-ethnicity,Black,0,1,Alabama,Chambers County
2018,01,017,race-ethnicity,Hispanic,0,3,Alabama,Chambers County
2018,01,017,race-ethnicity,Other Races and Ethnicities,0,2,Alabama,Chambers County
2018,01,017,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Chambers County
2018,01,019,all,All,0,1,Alabama,Cherokee County
2018,01,019,race-ethnicity,Black,0,3,Alabama,Cherokee County
2018,01,019,race-ethnicity,Hispanic,0,3,Alabama,Cherokee County
2018,01,019,race-ethnicity,Other Races and Ethnicities,0,3,Alabama,Cherokee County
2018,01,019,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Cherokee County
2018,01,021,all,All,0,1,Alabama,Chilton County
2018,01,021,race-ethnicity,Black,0,2,Alabama,Chilton County
2018,01,021,race-ethnicity,Hispanic,0,2,Alabama,Chilton County
2018,01,021,race-ethnicity,Other Races and Ethnicities,0,2,Alabama,Chilton County
2018,01,021,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Chilton County
2018,01,023,all,All,0,1,Alabama,Choctaw County
2018,01,023,race-ethnicity,Black,0,1,Alabama,Choctaw County
2018,01,023,race-ethnicity,Hispanic,0,3,Alabama,Choctaw County
2018,01,023,race-ethnicity,Other Races and Ethnicities,NA,NA,Alabama,Choctaw County
2018,01,023,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Choctaw County
2018,01,025,all,All,0.12040078843626809,1,Alabama,Clarke County
2018,01,025,race-ethnicity,Black,0.16538192011212333,1,Alabama,Clarke County
2018,01,025,race-ethnicity,Hispanic,NA,NA,Alabama,Clarke County
2018,01,025,race-ethnicity,Other Races and Ethnicities,0,3,Alabama,Clarke County
2018,01,025,race-ethnicity,"White, Non-Hispanic",0.01428571428571428,1,Alabama,Clarke County
2018,01,027,all,All,0,1,Alabama,Clay County
2018,01,027,race-ethnicity,Black,0,2,Alabama,Clay County
2018,01,027,race-ethnicity,Hispanic,0,3,Alabama,Clay County
2018,01,027,race-ethnicity,Other Races and Ethnicities,0,3,Alabama,Clay County
2018,01,027,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Clay County
2018,01,029,all,All,0,1,Alabama,Cleburne County
2018,01,029,race-ethnicity,Black,0,2,Alabama,Cleburne County
2018,01,029,race-ethnicity,Hispanic,0,1,Alabama,Cleburne County
2018,01,029,race-ethnicity,Other Races and Ethnicities,0,3,Alabama,Cleburne County
2018,01,029,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Cleburne County
2018,01,031,all,All,0,1,Alabama,Coffee County
2018,01,031,race-ethnicity,Black,0,1,Alabama,Coffee County
2018,01,031,race-ethnicity,Hispanic,0,2,Alabama,Coffee County
2018,01,031,race-ethnicity,Other Races and Ethnicities,0,2,Alabama,Coffee County
2018,01,031,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Coffee County
2018,01,033,all,All,0.08924302788844622,1,Alabama,Colbert County
2018,01,033,race-ethnicity,Black,0.14697926059513075,1,Alabama,Colbert County
2018,01,033,race-ethnicity,Hispanic,0,3,Alabama,Colbert County
2018,01,033,race-ethnicity,Other Races and Ethnicities,0.17769607843137256,2,Alabama,Colbert County
2018,01,033,race-ethnicity,"White, Non-Hispanic",0.0551639055340148,1,Alabama,Colbert County
2018,01,035,all,All,0,1,Alabama,Conecuh County
2018,01,035,race-ethnicity,Black,0,1,Alabama,Conecuh County
2018,01,035,race-ethnicity,Hispanic,NA,NA,Alabama,Conecuh County
2018,01,035,race-ethnicity,Other Races and Ethnicities,0,3,Alabama,Conecuh County
2018,01,035,race-ethnicity,"White, Non-Hispanic",0,1,Alabama,Conecuh County
2018,01,037,all,All,0,1,Alabama,Coosa County
2018,01,037,race-ethnicity,Black,0,2,Alabama,Coosa County
2018,01,037,race-ethnicity,Hispanic,NA,NA,Alabama,Coosa County
2018,01,037,race-ethnicity,Other Races and Ethnicities,NA,NA,Alabama,Coosa County
2018,01,037,race-ethnicity,"White, Non-Hispanic",0,2,Alabama,Coosa County
2018,01,039,all,All,0.0941509997015816,1,Alabama,Covington County
2018,01,039,race-ethnicity,Black,0.1800834824090638,1,Alabama,Covington County
2018,01,039,race-ethnicity,Hispanic,0,2,Alabama,Covington County
2018,01,039,race-ethnicity,Other Races and Ethnicities,0.41830065359477125,3,Alabama,Covington County
2018,01,039,race-ethnicity,"White, Non-Hispanic",0.05633503401360544,1,Alabama,Covington County
2018,01,041,all,All,0,1,Alabama,Crenshaw County
2018,01,041,race-ethnicity,Black,0,1,Alabama,Crenshaw County
2018,01,041,race-ethnicity,Hispanic,NA,NA,Alabama,Crenshaw County
2018,01,041,race-ethnicity,Other Races and Ethnicities,0,2,Alabama,Crenshaw County
