year,state,county,subgroup_type,subgroup,Broad industry,Unweighted N,share_employed,share_employed_ub,share_employed_lb,employed_quality
2018,6,1,race-ethnicity,"Black, Non-Hispanic","Agriculture, Forestry, Fishing, and Hunting, and Mining",5,,,,3
2018,6,1,race-ethnicity,"Black, Non-Hispanic","Arts, Entertainment, and Recreation, and Accommodation and Food Services",158,0.821883531,0.881543731,0.76222333,1
2018,6,1,race-ethnicity,"Black, Non-Hispanic",Construction,63,0.797765363,0.896951541,0.698579185,3
2018,6,1,race-ethnicity,"Black, Non-Hispanic","Educational Services, and Health Care and Social Assistance",677,0.861096514,0.887148704,0.835044325,1
2018,6,1,race-ethnicity,"Black, Non-Hispanic","Finance and Insurance, and Real Estate, and Rental and Leasing Leasing",123,0.814096916,0.882848842,0.745344991,1
2018,6,1,race-ethnicity,"Black, Non-Hispanic",Information,69,0.800198314,0.89454571,0.705850919,3
2018,6,1,race-ethnicity,"Black, Non-Hispanic",Manufacturing,106,0.892515924,0.951479415,0.833552432,1
2018,6,1,race-ethnicity,"Black, Non-Hispanic",Military,4,,,,3
2018,6,1,race-ethnicity,"Black, Non-Hispanic",Not in universe,324,0,0,0,1
2018,6,1,race-ethnicity,"Black, Non-Hispanic","Other Services, Except Public Administration",111,0.863608749,0.92745661,0.799760887,1
2018,6,1,race-ethnicity,"Black, Non-Hispanic","Professional, Scientific, and Management, and Administrative,  and Waste Management Services",321,0.825099508,0.866657278,0.783541738,1
2018,6,1,race-ethnicity,"Black, Non-Hispanic",Public Administration,157,0.902266634,0.94871764,0.855815628,1
2018,6,1,race-ethnicity,"Black, Non-Hispanic",Retail Trade,204,0.823706177,0.875999435,0.771412919,1
2018,6,1,race-ethnicity,"Black, Non-Hispanic","Transportation and Warehousing, and Utilities",251,0.887560158,0.926642287,0.848478028,1
2018,6,1,race-ethnicity,"Black, Non-Hispanic","Unemployed, last worked 5 years ago or earlier or never worked",34,0,0,0,3
2018,6,1,race-ethnicity,"Black, Non-Hispanic",Wholesale Trade,39,0.794576828,0.921376004,0.667777652,3
2018,6,1,race-ethnicity,Hispanic,"Agriculture, Forestry, Fishing, and Hunting, and Mining",62,0.831838565,0.924937123,0.738740007,3
2018,6,1,race-ethnicity,Hispanic,"Arts, Entertainment, and Recreation, and Accommodation and Food Services",670,0.911575375,0.933073549,0.8900772,1
