year,state,county,adults,children,wage
2018,01,001,1 Adult,0 Children,11.18
2018,01,001,1 Adult,1 Child,22.82
2018,01,001,1 Adult,2 Children,28.27
2018,01,001,1 Adult,3 Children,35.29
2018,01,001,2 Adults (1 Working),0 Children,18.53
2018,01,001,2 Adults (1 Working),1 Child,22.45
2018,01,001,2 Adults (1 Working),2 Children,24.92
2018,01,001,2 Adults (1 Working),3 Children,27.8
2018,01,001,2 Adults (Both Working),0 Children,9.27
2018,01,001,2 Adults (Both Working),1 Child,12.72
2018,01,001,2 Adults (Both Working),2 Children,15.43
2018,01,001,2 Adults (Both Working),3 Children,18.33
2018,01,001,1 Adult,0 Children,11.18
2018,01,001,1 Adult,1 Child,22.82
2018,01,001,1 Adult,2 Children,28.27
2018,01,001,1 Adult,3 Children,35.29
2018,01,001,2 Adults (1 Working),0 Children,18.53
2018,01,001,2 Adults (1 Working),1 Child,22.45
2018,01,001,2 Adults (1 Working),2 Children,24.92
2018,01,001,2 Adults (1 Working),3 Children,27.8
2018,01,001,2 Adults (Both Working),0 Children,9.27
2018,01,001,2 Adults (Both Working),1 Child,12.72
2018,01,001,2 Adults (Both Working),2 Children,15.43
2018,01,001,2 Adults (Both Working),3 Children,18.33
2018,01,003,1 Adult,0 Children,12.33
2018,01,003,1 Adult,1 Child,23.24
2018,01,003,1 Adult,2 Children,28.68
2018,01,003,1 Adult,3 Children,36.66
2018,01,003,2 Adults (1 Working),0 Children,19.04
2018,01,003,2 Adults (1 Working),1 Child,22.86
2018,01,003,2 Adults (1 Working),2 Children,25.33
2018,01,003,2 Adults (1 Working),3 Children,29.17
2018,01,003,2 Adults (Both Working),0 Children,9.52
2018,01,003,2 Adults (Both Working),1 Child,12.93
2018,01,003,2 Adults (Both Working),2 Children,15.63
2018,01,003,2 Adults (Both Working),3 Children,19.02
2018,01,003,1 Adult,0 Children,12.33
2018,01,003,1 Adult,1 Child,23.24
2018,01,003,1 Adult,2 Children,28.68
2018,01,003,1 Adult,3 Children,36.66
