year,state,county,subgroup_type,subgroup,share_employed,share_employed_ub,share_employed_lb,employed_quality
2018,01,001,race-ethnicity,"Black, Non-Hispanic",0.6720084344,0.7064937952,0.6375230735,2
2018,01,001,race-ethnicity,Hispanic,0.8072573044,0.9031519479,0.7113626609,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,0.792997543,0.8963816395,0.6896134465,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",0.7534221943,0.7733287173,0.7335156712,2
2018,01,003,race-ethnicity,"Black, Non-Hispanic",0.7775771048,0.8459798255,0.709174384,1
2018,01,003,race-ethnicity,Hispanic,0.7974595843,0.8872274497,0.7076917189,3
2018,01,003,race-ethnicity,Other Races and Ethnicities,0.7804459691,0.9056370977,0.6552548405,3
2018,01,003,race-ethnicity,"White, Non-Hispanic",0.7886259726,0.8064177558,0.7708341893,1
2018,01,005,race-ethnicity,"Black, Non-Hispanic",0.6277314413,0.6570834165,0.5983794661,2
2018,01,005,race-ethnicity,Hispanic,0.6090438059,0.7391948049,0.478892807,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,0.7176079734,0.8365799206,0.5986360263,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",0.7200853731,0.746461637,0.6937091091,2
2018,01,007,race-ethnicity,"Black, Non-Hispanic",0.5470508079,0.5777504958,0.5163511199,2
2018,01,007,race-ethnicity,Hispanic,0,0,0,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,0,0,0,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",0.6776884123,0.7087983765,0.646578448,2
2018,01,009,race-ethnicity,"Black, Non-Hispanic",0.8960876369,0.9602093769,0.831965897,3
2018,01,009,race-ethnicity,Hispanic,0.6420701169,0.7351050808,0.5490351529,2
2018,01,009,race-ethnicity,Other Races and Ethnicities,0,0,0,3
2018,01,009,race-ethnicity,"White, Non-Hispanic",0.7288771597,0.7486030975,0.7091512219,2
2018,01,011,race-ethnicity,"Black, Non-Hispanic",0.6277314413,0.6570834165,0.5983794661,2
2018,01,011,race-ethnicity,Hispanic,0.6090438059,0.7391948049,0.478892807,3
2018,01,011,race-ethnicity,Other Races and Ethnicities,0.7176079734,0.8365799206,0.5986360263,3
2018,01,011,race-ethnicity,"White, Non-Hispanic",0.7200853731,0.746461637,0.6937091091,2
2018,01,013,race-ethnicity,"Black, Non-Hispanic",0.6925423372,0.7335256835,0.6515589909,2
2018,01,013,race-ethnicity,Hispanic,0.7718191377,0.8566569625,0.686981313,3
2018,01,013,race-ethnicity,Other Races and Ethnicities,0.6331747919,0.7311251418,0.5352244421,3
2018,01,013,race-ethnicity,"White, Non-Hispanic",0.7545522574,0.7714119569,0.7376925579,2
2018,01,015,race-ethnicity,"Black, Non-Hispanic",0.6585773127,0.7120586392,0.6050959862,1
2018,01,015,race-ethnicity,Hispanic,0.7820738137,0.8801989328,0.6839486947,3
2018,01,015,race-ethnicity,Other Races and Ethnicities,0.7470101196,0.8699945885,0.6240256507,3
2018,01,015,race-ethnicity,"White, Non-Hispanic",0.7450443858,0.7692059155,0.720882856,1
2018,01,017,race-ethnicity,"Black, Non-Hispanic",0.638836773,0.6834162899,0.5942572561,2
2018,01,017,race-ethnicity,Hispanic,0.6227786753,0.7659957233,0.4795616273,3
2018,01,017,race-ethnicity,Other Races and Ethnicities,0.4665042631,0.6294706759,0.3035378503,3
2018,01,017,race-ethnicity,"White, Non-Hispanic",0.6963345865,0.7191464764,0.6735226965,2
2018,01,019,race-ethnicity,"Black, Non-Hispanic",0.7168210477,0.759757064,0.6738850314,2
2018,01,019,race-ethnicity,Hispanic,0.5964391691,0.7589789355,0.4338994028,3
2018,01,019,race-ethnicity,Other Races and Ethnicities,0.5809018568,0.7574668876,0.4043368259,3
2018,01,019,race-ethnicity,"White, Non-Hispanic",0.707552841,0.7276607753,0.6874449067,2
