"School Year",State,"File Spec","Data Group","Reporting Level","Data Note","State Note"
2021-2022,ALABAMA,"118,170","655,754",LEA,"Across File Comparison: 1 LEA with membership were reported as subgrantees in FS170, but were excluded from FS118.",
2021-2022,ALABAMA,118,655,LEA,"LEA-Level: In 2 LEAs, data were not reported for Category Set B [Homeless Primary Nighttime Residence].","Re submitted for current year."
2021-2022,ALASKA,118,655,LEA,"Year to Year comparison: The State reported a change of 27% between the prior year and the current year number for English Learner Status.",
2021-2022,ALASKA,118,655,LEA,"Year to Year comparison: The State reported a change of 19% between the prior year and the current year number for disability status.",
2021-2022,ARIZONA,118,655,LEA,"Year to Year comparison: The State reported a change of 91% between the prior year and the current year number of homeless unaccompanied youth status.","Both the current and prior year data are accurate. The prior year data was dramatically less due to the Covid-19 pandemic, and LEAs offering online instrcution, which contributed to less UHY students being identified. The current reporting period and the current FY data are comprable, whichfurther indicates the accuracy of what was reported."
2021-2022,ARIZONA,118,655,LEA,"In 1 LEAs, the sum of Category Set G [Homeless Unaccompanied Youth Status, Homeless Primary Nighttime Residence] does not equal the Category Set F [Homeless Unaccompanied Youth Status]. These two counts should be equal.","ADE reached out to the LEA, which  shared that through investigating the discrepency in their data, a glitch with the student information system (SIS) was identified. Based on this finding, the LEA is now implementing a new component to their enrollment procedure, which is that the MV Homeless Liaisions and SIS Administrator will run integrity and the SUPP 11 reports quarterly to proactively identify and rectify any data errors."
2021-2022,ARIZONA,118,655,LEA,"Category Set Comparison: In 6 LEAs, the sum of the Category Set B [Homeless Primary Nighttime Residence] does not equal the Education Unit Total. These two counts should equal.","ADE reached out to the LEAs, and learned that one LEA identified a SIS syncing issue, which has now been addressed, and all the LEAs have indicated that they have updated their enrollment procedures to include regular data integrity checks, increasing training for those responsible for entering enrollment data, and routine data checks with the SUPP 11 report and their internal records."
2021-2022,"BUREAU OF INDIAN EDUCATION",118,655,LEA,"Year to Year comparison: The LEA data indicate a change of -20% between the prior year and the current year total homeless student enrollment in Category Set A.","Due student transitory across all studens move within BIE and non-BIE schools."
2021-2022,"BUREAU OF INDIAN EDUCATION","118,195","655,814","LEA,SCH","Across File Comparison: In 8 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.",
2021-2022,"BUREAU OF INDIAN EDUCATION",118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.","Some students were counted as homeless at the first school and count as non-homeless at the second school. We will not be resubmitting the data."
2021-2022,COLORADO,118,655,LEA,"Year to Year comparison: The State reported a change of 29% between the prior year and the current year number of homeless unaccompanied youth status.","The state increased outreach and identification in the 2021 -2022 school year through regional trainings and American Rescue Plan - Homeless Children and Youth funding to an increased number of districts across Colorado.  The numbers submitted are correct."
2021-2022,COLORADO,"118,170","655,754",LEA,"Across File Comparison: 17 LEAs with membership were reported as subgrantees in FS170, but were excluded from FS118.","These data are accurate. The LEAs listed as subgrantees in FS170 are served through Boards of Cooperative Services or BOCES.  The BOCES serves as the fiscal agent.  The 17 LEAs listed as missing from FS170 reported zero students and were therefore excluded."
2021-2022,DELAWARE,118,655,LEA,"Year to Year comparison: The State reported a change of 29% between the prior year and the current year number for disability status.",
2021-2022,DELAWARE,"118,195","655,814","LEA,SCH","Across File Comparison: In 4 LEAs, no homeless enrolled students were reported in FS118/DG655, but homeless enrolled students were reported as chronically absent in FS195/DG814.",
2021-2022,DELAWARE,118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.",
2021-2022,"DISTRICT OF COLUMBIA",118,655,LEA,"In 2 LEAs, the sum of Category Set G [Homeless Unaccompanied Youth Status, Homeless Primary Nighttime Residence] does not equal the Category Set F [Homeless Unaccompanied Youth Status]. These two counts should be equal.","Our SEA works with LEAs diligently to collect nighttime residency statuses for all students experiencing homelessness. However, for some students, the SEA has not received a nighttime residency status, so the difference is the students for whom we do not know their nighttime residency status."
2021-2022,"DISTRICT OF COLUMBIA",118,655,LEA,"Category Set Comparison: In 12 LEAs, the sum of the Category Set B [Homeless Primary Nighttime Residence] does not equal the Education Unit Total. These two counts should equal.","Our SEA works with LEAs diligently to collect nighttime residency statuses for all students experiencing homelessness. However, for some students, the SEA has not received a nighttime residency status, so the difference is the students for whom we do not know their nighttime residency status."
2021-2022,FLORIDA,118,655,LEA,"Year to Year comparison: The State reported a change of 58% between the prior year and the current year number for English Learner Status.","Based on the overall increase in ELs in Florida, we confirm the data are accurate as submitted."
