"School Year",State,"File Spec","Data Group","Reporting Level","Data Note","State Note"
"2020-2021,2019-2020","ALL STATES","118,194","655,818","LEA,SEA","COVID-19 operations impacted the identification of eligible students. Please use the data with caution.","The state notes in all sections of ED Data Express reflect the views of the state only and do not necessarily reflect compliance with requirements or consistency with reporting instructions."
2020-2021,ALABAMA,118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.","The ALSDE only reports those students who were enrolled at that district for the end date of the school year. The ALSDE does not report withdrawn or dropout students that were identified as homeless which causes the student to be unduplicated. This is the same process that has been used in the past."
2020-2021,ALASKA,118,655,LEA,"Year to Year comparison: LEA data reported in FS 118/DG644  show a change of 15% or more between SY 2019-20 and SY 2020-21 for English learners.","COVID, with schools delivering education virtually, has had an impact on the ability to identify students experiencing homelessness. School is often the first and main point of contact for homeless liaisons to connect with students especially those students who are doubled-up."
2020-2021,ARIZONA,118,655,LEA,"Incomplete Data:  Data were not reported by one or more LEAs for Category Set G (Homeless Unaccompanied Youth Status, Homeless Primary Nighttime Residence) by the final due date.","The LEA included is in the process of adding their data into the SIS system. The SEA provides professional development to LEAs to support with the data quality and accuracy."
2020-2021,ARIZONA,118,655,LEA,"Category Set Comparison: The sum of homeless children and youth by primary nighttime residence type (Category Set B) does not equal the reported total number of homeless children and youth. These data should be equal.","A new integrity rule has been put into effect with our data collection to ensure that these data are consistently captured moving forward. The SEA provides professional development to LEAs to support with the data quality and accuracy. The LEAs included are in the process of adding their data into their SIS systems."
2020-2021,ARKANSAS,118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.",
2020-2021,"BUREAU OF INDIAN EDUCATION",118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.",
2020-2021,CONNECTICUT,118,655,LEA,"Year to Year comparison: LEA data reported in FS 118/DG644  show a change of 15% or more between SY 2019-20 and SY 2020-21 for English learners.","This decrease has to do with pandemic and how students learned, in-person, vs. remote, vs hybrid. The COVID-19 pandemic made it harder to identify children who are homeless, especially those that did not attend school in-person. The pandemic made it that much harder because many students were attending school virtually and school staff were not able to easily assess living situations."
2020-2021,DELAWARE,118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.",
2020-2021,"DISTRICT OF COLUMBIA",118,655,LEA,"Year to Year comparison: LEA data reported in FS 118/DG644  show a change of 15% or more between SY 2019-20 and SY 2020-21 for students with disabilities.","DC saw a decrease in the number of students reported as experiencing homelessness. This may be for various reasons related to the covid public health emergency, but we can not be sure of the exact reasons. The data are accurate."
2020-2021,"DISTRICT OF COLUMBIA",118,655,"LEA,SEA","Category Set Comparison: The sum of homeless children and youth by primary nighttime residence type (Category Set B) does not equal the reported total number of homeless children and youth. These data should be equal.","Our SEA works with LEAs diligently to collect nighttime residency statuses for all students experiencing homelessness. However, for some students, the SEA has not received a nighttime residency status, so the difference is the students for whom we do not know their nighttime residency status."
2020-2021,ILLINOIS,118,655,"LEA,SEA","SEA to LEA Comparison: The total number of homeless enrolled students reported at the SEA-level is greater than or equal to the sum of the total homeless enrolled students reported across LEAs in the LEA-level data. The LEA-level data should be greater.",
2020-2021,IOWA,118,655,LEA,"Year to Year comparison: LEA data reported in FS 118/DG644  show a change of 15% or more between SY 2019-20 and SY 2020-21 for English learners.","Iowa experienced a derecho that impacted many districts in the state. Some of the districts that were most impacted by the derecho, and therefore had higher rates of homelessness, are districts with a higher percentage of English learners than the state average. LEA homeless liaisons have reported that the pandemic also impacted employment at a disproportionate rate for families of English learners."
2020-2021,KANSAS,118,655,LEA,"Year to Year comparison: LEA data reported in FS 118/DG644  show a change of 15% or more between SY 2019-20 and SY 2020-21 for students with disabilities.","Due to the COVID pandemic KS has seen a decline in student enrollment in public school. The homeless population in KS schools has also declined due in part to the Federal Eviction Moratorium that was in place during the 20-21 school year, as well as an influx of stimulus payments to tax payers. Data is accurate as reported."
