SCHOOL_YEAR_TEXT,STNAM,FIPST,LEAID,ST_LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED_TRANSITIONAL_HOUSING,DOUBLED_UP,CWD,EL,MIG,UHY,DATE_CUR
2018-2019,ALABAMA,01,0100510,AL-007,Butler County,Yes,86,Y,S,.,.,S,18,.,.,.,08APR20
2018-2019,ALABAMA,01,0100540,AL-008,Calhoun County,Yes,152,Y,14,3,4,131,25,4,.,59,08APR20
2018-2019,ALABAMA,01,0100600,AL-009,Chambers County,No,9,Y,.,S,S,6,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0100630,AL-010,Cherokee County,Yes,262,Y,4,129,.,129,64,3,.,22,08APR20
2018-2019,ALABAMA,01,0100660,AL-011,Chilton County,No,9,,.,.,S,S,.,.,.,S,08APR20
2018-2019,ALABAMA,01,0100690,AL-012,Choctaw County,No,15,,.,6,.,9,6,.,.,S,08APR20
2018-2019,ALABAMA,01,0100720,AL-013,Clarke County,No,11,,.,.,.,11,5,.,.,.,08APR20
2018-2019,ALABAMA,01,0100750,AL-014,Clay County,Yes,25,,S,S,5,15,5,.,.,S,08APR20
2018-2019,ALABAMA,01,0100780,AL-015,Cleburne County,No,27,Y,.,.,12,15,5,.,.,S,08APR20
2018-2019,ALABAMA,01,0100810,AL-016,Coffee County,Yes,79,,S,S,.,71,15,10,.,S,08APR20
2018-2019,ALABAMA,01,0100840,AL-017,Colbert County,Yes,63,Y,S,S,S,59,20,S,.,S,08APR20
2018-2019,ALABAMA,01,0100870,AL-018,Conecuh County,No,5,,.,.,S,S,S,.,.,S,08APR20
2018-2019,ALABAMA,01,0100900,AL-019,Coosa County,No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ALABAMA,01,0100930,AL-020,Covington County,No,3,,S,.,.,S,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0100960,AL-021,Crenshaw County,No,15,,S,.,.,S,4,.,.,.,08APR20
2018-2019,ALABAMA,01,0100990,AL-125,Cullman City,No,8,,S,.,4,S,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0101020,AL-022,Cullman County,No,27,,4,.,.,23,4,.,.,.,08APR20
2018-2019,ALABAMA,01,0101050,AL-023,Dale County,No,4,,S,.,S,S,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0101080,AL-126,Daleville City,No,9,,.,.,S,S,.,3,.,.,08APR20
2018-2019,ALABAMA,01,0101110,AL-024,Dallas County,Yes,188,,.,71,.,117,53,S,.,.,08APR20
2018-2019,ALABAMA,01,0101140,AL-025,DeKalb County,Yes,417,,4,14,22,377,55,128,44,26,08APR20
2018-2019,ALABAMA,01,0101170,AL-127,Decatur City,Yes,66,,4,.,4,58,6,15,S,5,08APR20
2018-2019,ALABAMA,01,0101200,AL-128,Demopolis City,No,S,,.,.,.,S,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0101230,AL-130,Dothan City,Yes,221,Y,37,7,46,131,50,12,.,12,08APR20
2018-2019,ALABAMA,01,0101260,AL-131,Elba City,Yes,103,Y,.,.,3,100,18,S,.,S,08APR20
2018-2019,ALABAMA,01,0101290,AL-026,Elmore County,No,31,,S,.,S,27,.,8,.,9,08APR20
2018-2019,ALABAMA,01,0101320,AL-132,Enterprise City,Yes,158,,7,3,15,133,27,56,3,S,08APR20
2018-2019,ALABAMA,01,0101350,AL-027,Escambia County,No,21,,S,S,3,16,4,.,.,3,08APR20
2018-2019,ALABAMA,01,0101380,AL-028,Etowah County,No,25,,4,.,4,17,4,3,.,3,08APR20
2018-2019,ALABAMA,01,0101410,AL-133,Eufaula City,No,32,Y,S,.,S,24,5,.,.,.,08APR20
2018-2019,ALABAMA,01,0101440,AL-137,Fairfield City,Yes,360,,5,S,S,353,42,7,.,.,08APR20
2018-2019,ALABAMA,01,0101470,AL-029,Fayette County,No,12,,.,.,S,S,4,.,.,.,08APR20
2018-2019,ALABAMA,01,0101530,AL-141,Florence City,Yes,93,,S,S,24,52,13,8,.,10,08APR20
2018-2019,ALABAMA,01,0101560,AL-143,Fort Payne City,No,S,,.,.,.,S,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0101590,AL-030,Franklin County,No,4,,.,.,4,.,.,.,.,.,08APR20
2018-2019,ALABAMA,01,0101620,AL-144,Gadsden City,Yes,85,Y,5,.,3,77,10,9,.,5,08APR20
2018-2019,ALABAMA,01,0101660,AL-031,Geneva County,No,7,,.,.,.,7,S,.,.,S,08APR20
2018-2019,ALABAMA,01,0101680,AL-032,Greene County,No,8,,.,.,.,8,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0101690,AL-154,Guntersville City,Yes,125,Y,3,6,12,104,16,22,.,.,08APR20
2018-2019,ALABAMA,01,0101710,AL-033,Hale County,No,3,,.,.,.,3,.,.,.,.,08APR20
2018-2019,ALABAMA,01,0101720,AL-155,Haleyville City,No,3,,.,.,S,S,.,.,.,S,08APR20
2018-2019,ALABAMA,01,0101730,AL-156,Hartselle City,No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ALABAMA,01,0101740,AL-034,Henry County,No,14,,S,3,S,9,4,.,.,S,08APR20
2018-2019,ALABAMA,01,0101760,AL-157,Homewood City,No,5,,.,.,.,5,.,.,.,.,08APR20
2018-2019,ALABAMA,01,0101770,AL-035,Houston County,No,12,,.,.,5,7,.,.,.,.,08APR20
2018-2019,ALABAMA,01,0101800,AL-159,Huntsville City,Yes,247,Y,S,S,52,161,51,13,.,13,08APR20
2018-2019,ALABAMA,01,0101830,AL-036,Jackson County,No,54,Y,.,.,.,54,7,7,.,6,08APR20
2018-2019,ALABAMA,01,0101860,AL-162,Jacksonville City,No,15,,S,.,.,S,S,.,.,S,08APR20
2018-2019,ALABAMA,01,0101890,AL-163,Jasper City,No,8,,.,.,.,8,S,.,.,S,08APR20
2018-2019,ALABAMA,01,0101920,AL-037,Jefferson County,Yes,162,Y,12,3,9,138,21,24,.,32,08APR20
2018-2019,ALABAMA,01,0101950,AL-038,Lamar County,No,S,,.,.,.,S,.,.,.,S,08APR20
2018-2019,ALABAMA,01,0102010,AL-039,Lauderdale County,Yes,68,Y,.,.,4,64,12,.,.,.,08APR20
2018-2019,ALABAMA,01,0102040,AL-040,Lawrence County,Yes,153,,.,17,16,120,49,.,.,S,08APR20
2018-2019,ALABAMA,01,0102070,AL-041,Lee County,No,69,Y,16,.,34,19,8,.,.,.,08APR20
2018-2019,ALABAMA,01,0102100,AL-042,Limestone County,Yes,118,Y,8,S,S,102,20,7,4,22,08APR20
2018-2019,ALABAMA,01,0102130,AL-168,Linden City,No,4,,S,.,S,.,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0102160,AL-043,Lowndes County,Yes,181,Y,S,S,3,175,47,S,.,.,08APR20
2018-2019,ALABAMA,01,0102190,AL-044,Macon County,Yes,37,,.,.,.,37,5,.,.,.,08APR20
2018-2019,ALABAMA,01,0102220,AL-045,Madison County,Yes,188,Y,S,S,14,164,45,S,.,68,08APR20
2018-2019,ALABAMA,01,0102310,AL-047,Marion County,Yes,41,,S,.,S,35,6,.,.,S,08APR20
2018-2019,ALABAMA,01,0102350,AL-171,Midfield City,No,219,,S,.,S,214,30,6,.,.,08APR20
2018-2019,ALABAMA,01,0102370,AL-049,Mobile County,Yes,7883,Y,107,35,231,7510,1282,289,75,62,08APR20
2018-2019,ALABAMA,01,0102400,AL-050,Monroe County,No,5,,.,.,S,S,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0102430,AL-051,Montgomery County,Yes,439,,S,S,70,326,47,5,.,3,08APR20
2018-2019,ALABAMA,01,0102480,AL-052,Morgan County,Yes,25,,S,.,S,20,5,S,.,5,08APR20
2018-2019,ALABAMA,01,0102520,AL-176,Muscle Shoals City,No,7,,3,S,S,S,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0102580,AL-179,Opelika City,No,16,,9,.,7,.,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0102635,AL-181,Oxford City,No,33,,S,S,5,24,4,7,.,14,08APR20
2018-2019,ALABAMA,01,0102640,AL-182,Ozark City,No,19,,S,.,S,17,3,.,.,4,08APR20
2018-2019,ALABAMA,01,0102650,AL-183,Pell City,No,6,,S,.,.,S,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0102670,AL-053,Perry County,Yes,181,Y,S,.,S,175,35,.,.,.,08APR20
2018-2019,ALABAMA,01,0102700,AL-184,Phenix City,No,27,,3,.,4,20,S,S,.,.,08APR20
2018-2019,ALABAMA,01,0102730,AL-054,Pickens County,No,5,,.,.,.,5,.,.,.,.,08APR20
2018-2019,ALABAMA,01,0102760,AL-185,Piedmont City,No,12,,S,.,.,S,3,S,.,S,08APR20
2018-2019,ALABAMA,01,0102790,AL-055,Pike County,No,55,,.,.,.,55,10,S,.,.,08APR20
2018-2019,ALABAMA,01,0102820,AL-056,Randolph County,No,33,,.,.,.,33,4,3,.,.,08APR20
2018-2019,ALABAMA,01,0102880,AL-057,Russell County,No,25,,.,S,S,21,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0102910,AL-189,Russellville City,No,4,,.,.,.,4,.,S,.,.,08APR20
2018-2019,ALABAMA,01,0102940,AL-190,Scottsboro City,No,6,,S,.,.,S,.,S,.,S,08APR20
2018-2019,ALABAMA,01,0102970,AL-191,Selma City,Yes,21,Y,.,.,.,21,7,.,.,.,08APR20
2018-2019,ALABAMA,01,0103000,AL-192,Sheffield City,No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ALABAMA,01,0103030,AL-059,Shelby County,Yes,237,Y,S,S,21,196,57,20,.,14,08APR20
2018-2019,ALABAMA,01,0103062,AL-058,St Clair County,Yes,57,,4,.,3,50,12,5,4,7,08APR20
2018-2019,ALABAMA,01,0103090,AL-060,Sumter County,Yes,7,,S,.,.,S,.,.,.,S,08APR20
2018-2019,ALABAMA,01,0103120,AL-193,Sylacauga City,Yes,S,,S,.,.,.,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0103150,AL-194,Talladega City,No,S,,S,.,S,.,.,.,.,.,08APR20
2018-2019,ALABAMA,01,0103180,AL-061,Talladega County,No,58,,.,.,.,58,10,.,.,.,08APR20
2018-2019,ALABAMA,01,0103210,AL-062,Tallapoosa County,No,5,,S,.,.,S,.,.,.,S,08APR20
2018-2019,ALABAMA,01,0103270,AL-197,Tarrant City,No,32,Y,4,.,6,22,4,.,.,S,08APR20
2018-2019,ALABAMA,01,0103300,AL-198,Thomasville City,No,5,,.,.,.,5,.,.,.,.,08APR20
2018-2019,ALABAMA,01,0103330,AL-199,Troy City,No,53,,.,.,.,53,11,3,.,.,08APR20
2018-2019,ALABAMA,01,0103360,AL-200,Tuscaloosa City,No,279,Y,51,.,22,206,55,10,.,24,08APR20
2018-2019,ALABAMA,01,0103390,AL-063,Tuscaloosa County,No,144,Y,24,S,S,117,33,3,.,29,08APR20
2018-2019,ALABAMA,01,0103420,AL-201,Tuscumbia City,No,21,,.,.,.,21,3,.,.,S,08APR20
2018-2019,ALABAMA,01,0103430,AL-202,Vestavia Hills City,No,12,,7,S,S,S,6,.,.,S,08APR20
2018-2019,ALABAMA,01,0103450,AL-064,Walker County,Yes,87,,5,S,S,78,18,S,.,6,08APR20
2018-2019,ALABAMA,01,0103480,AL-065,Washington County,No,28,,S,S,.,25,3,.,.,.,08APR20
2018-2019,ALABAMA,01,0103510,AL-066,Wilcox County,Yes,96,Y,S,.,.,S,18,.,.,.,08APR20
2018-2019,ALABAMA,01,0103540,AL-204,Winfield City,No,5,,.,S,S,S,S,.,.,.,08APR20
2018-2019,ALABAMA,01,0103580,AL-067,Winston County,No,5,,S,.,.,S,S,.,.,.,08APR20
2018-2019,ALASKA,02,0200001,AK-31,Lower Kuskokwim School District,No,38,,.,S,23,S,8,28,3,S,08APR20
2018-2019,ALASKA,02,0200003,AK-32,Lower Yukon School District,No,25,,.,.,.,25,5,10,S,.,08APR20
2018-2019,ALASKA,02,0200020,AK-07,Bering Strait School District,No,4,,.,.,.,4,S,S,S,S,08APR20
2018-2019,ALASKA,02,0200030,AK-08,Bristol Bay Borough School District,No,S,,.,.,.,S,S,.,S,S,08APR20
2018-2019,ALASKA,02,0200050,AK-03,Alaska Gateway School District,No,S,,.,.,.,S,.,.,.,S,08APR20
2018-2019,ALASKA,02,0200060,AK-12,Cordova City School District,No,6,,.,.,.,6,S,.,3,S,08APR20
2018-2019,ALASKA,02,0200070,AK-11,Copper River School District,No,4,,.,4,.,.,.,.,.,.,08APR20
2018-2019,ALASKA,02,0200100,AK-14,Delta-Greely School District,No,3,,.,S,.,S,S,S,S,S,08APR20
2018-2019,ALASKA,02,0200120,AK-15,Dillingham City School District,No,12,,.,.,S,S,3,.,3,3,08APR20
2018-2019,ALASKA,02,0200130,AK-17,Galena City School District,No,16,,.,S,S,10,S,.,.,9,08APR20
2018-2019,ALASKA,02,0200150,AK-25,Ketchikan Gateway Borough School District,No,9,,.,S,S,4,3,.,.,.,08APR20
2018-2019,ALASKA,02,0200180,AK-05,Anchorage School District,Yes,1919,Y,115,93,372,1339,462,422,212,343,08APR20
2018-2019,ALASKA,02,0200210,AK-22,Juneau Borough School District,Yes,126,Y,S,S,51,63,46,8,.,33,08APR20
2018-2019,ALASKA,02,0200240,AK-42,Sitka School District,No,54,,6,S,S,43,8,9,5,3,08APR20
2018-2019,ALASKA,02,0200300,AK-19,Hoonah City School District,No,28,,.,.,.,28,7,.,.,S,08APR20
2018-2019,ALASKA,02,0200330,AK-20,Hydaburg City School District,No,3,,.,.,.,3,S,.,.,S,08APR20
2018-2019,ALASKA,02,0200360,AK-23,Kake City School District,No,13,Y,.,.,.,13,3,.,.,.,08APR20
2018-2019,ALASKA,02,0200390,AK-24,Kenai Peninsula Borough School District,Yes,223,Y,8,46,16,153,72,9,7,71,08APR20
2018-2019,ALASKA,02,0200480,AK-28,Kodiak Island Borough School District,No,20,,.,S,S,18,5,S,4,.,08APR20
2018-2019,ALASKA,02,0200510,AK-33,Matanuska-Susitna Borough School District,Yes,577,Y,36,152,35,354,166,13,43,161,08APR20
2018-2019,ALASKA,02,0200540,AK-34,Nenana City School District,No,39,,S,.,20,S,14,S,.,3,08APR20
2018-2019,ALASKA,02,0200570,AK-35,Nome Public Schools,No,54,,S,.,S,36,4,8,7,S,08APR20
2018-2019,ALASKA,02,0200600,AK-16,Fairbanks North Star Borough School District,Yes,390,Y,12,32,76,270,115,24,24,119,08APR20
2018-2019,ALASKA,02,0200610,AK-36,North Slope Borough School District,No,36,Y,.,.,S,S,7,9,.,17,08APR20
2018-2019,ALASKA,02,0200660,AK-39,Petersburg Borough School District,No,3,,.,.,S,S,S,.,.,S,08APR20
2018-2019,ALASKA,02,0200700,AK-44,Southeast Island School District,No,S,,.,.,.,S,.,.,.,S,08APR20
2018-2019,ALASKA,02,0200770,AK-02,Denali Borough School District,No,3,,.,.,.,3,S,.,.,S,08APR20
2018-2019,ALASKA,02,0200780,AK-48,Valdez City School District,No,15,,S,S,S,11,4,.,S,3,08APR20
2018-2019,ALASKA,02,0200800,AK-10,Chugach School District,No,9,Y,.,.,.,9,S,5,.,S,08APR20
2018-2019,ALASKA,02,0200810,AK-49,Wrangell Public School District,No,5,,.,.,.,5,S,.,S,S,08APR20
2018-2019,ARIZONA,04,0400001,AZ-4244,Cave Creek Unified District (4244),No,4,,.,.,.,.,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400003,AZ-4474,Chino Valley Unified District (4474),Yes,380,Y,7,9,57,307,75,23,.,.,08APR20
2018-2019,ARIZONA,04,0400004,AZ-4486,Clarkdale-Jerome Elementary District (4486),No,S,,.,.,.,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400016,AZ-4191,"Center for Academic Success, Inc. (4191)",No,109,,S,S,22,81,13,29,.,.,08APR20
2018-2019,ARIZONA,04,0400022,AZ-4162,Vernon Elementary District (4162),No,14,,.,6,.,8,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0400031,AZ-4301,"Ridgeline Academy, Inc. (4301)",No,S,,.,.,.,S,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0400033,AZ-4305,Boys & Girls Clubs of the East Valley dba Mesa Art (4305),No,13,,S,.,S,7,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400037,AZ-4310,"Twenty First Century Charter School, Inc. Bennett  (4310)",No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400041,AZ-4314,Maricopa County Community College District dba Gat (4314),No,7,,.,.,.,.,.,S,.,.,08APR20
2018-2019,ARIZONA,04,0400047,AZ-4320,Salt River Pima-Maricopa  Community Schools (4320),No,4,,.,.,.,4,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400052,AZ-4335,Espiritu Community Development Corp. (4335),No,29,,.,.,S,S,.,5,.,.,08APR20
2018-2019,ARIZONA,04,0400055,AZ-4341,"EduPreneurship, Inc. (4341)",No,3,,.,.,.,3,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400061,AZ-4352,"Intelli-School, Inc. (4352)",Yes,25,,S,S,.,22,8,.,.,.,08APR20
2018-2019,ARIZONA,04,0400077,AZ-4400,"Career Development, Inc. (4400)",No,15,,.,S,.,S,7,.,.,.,08APR20
2018-2019,ARIZONA,04,0400078,AZ-4421,"Edge School, Inc., The (4421)",No,59,,S,S,25,27,12,.,.,.,08APR20
2018-2019,ARIZONA,04,0400081,AZ-4425,Presidio School (4425),No,6,,S,.,4,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400082,AZ-4381,Colorado River Union High School District (4381),Yes,65,,3,.,3,59,6,.,.,.,08APR20
2018-2019,ARIZONA,04,0400083,AZ-4431,"Portable Practical Educational Preparation, Inc. ( (4431)",No,140,,.,.,9,131,16,52,50,.,08APR20
2018-2019,ARIZONA,04,0400090,AZ-4493,Mingus Springs Charter School (4493),No,8,,.,.,.,8,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400092,AZ-4495,"Franklin Phonetic Primary School, Inc. (4495)",No,14,,.,.,.,14,4,.,.,.,08APR20
2018-2019,ARIZONA,04,0400098,AZ-4207,Flagstaff Junior Academy (4207),No,S,,.,.,S,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400099,AZ-4216,Liberty High School (4216),No,49,,.,.,S,S,8,.,.,.,08APR20
2018-2019,ARIZONA,04,0400103,AZ-4323,"Ombudsman Educational Services, Ltd.,a subsidiary  (4323)",No,3,,.,.,.,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400107,AZ-4334,"International Commerce Secondary Schools, Inc. (4334)",No,32,,.,.,.,32,5,S,.,.,08APR20
2018-2019,ARIZONA,04,0400108,AZ-4337,Humanities and Sciences Academy of the United Stat (4337),No,6,,.,.,.,6,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400112,AZ-4348,"American Leadership Academy, Inc. (4348)",No,21,,5,.,.,14,4,.,.,.,08APR20
2018-2019,ARIZONA,04,0400129,AZ-6364,Accelerated Elementary and Secondary Schools (6364),No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400130,AZ-6365,American Heritage Academy (6365),No,15,,.,.,3,12,3,3,.,.,08APR20
2018-2019,ARIZONA,04,0400144,AZ-4300,"Florence Crittenton Services of Arizona, Inc. (4300)",No,3,,.,.,.,3,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400149,AZ-4342,Kaizen Education Foundation dba El Dorado High Sch (4342),No,47,,S,S,11,32,6,6,.,.,08APR20
2018-2019,ARIZONA,04,0400150,AZ-4463,"Mexicayotl Academy, Inc. (4463)",No,S,,.,.,S,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400151,AZ-4366,New Horizon School for the Performing Arts (4366),No,34,,.,.,.,34,6,3,.,.,08APR20
2018-2019,ARIZONA,04,0400153,AZ-6379,Phoenix School of Academic Excellence The (6379),No,3,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400157,AZ-4329,"Edkey, Inc. - Sequoia Choice Schools (4329)",No,142,,.,3,63,76,26,.,.,.,08APR20
2018-2019,ARIZONA,04,0400159,AZ-6374,Tucson Preparatory School (6374),No,70,,.,S,S,4,18,.,.,.,08APR20
2018-2019,ARIZONA,04,0400164,AZ-6378,"Arizona Academy of Science And Technology, Inc. (6378)",No,16,,S,.,S,13,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400190,AZ-10968,Liberty Traditional Charter School (10968),No,21,,.,.,8,13,3,7,.,.,08APR20
2018-2019,ARIZONA,04,0400191,AZ-78783,"Fit Kids, Inc. dba Champion Schools (78783)",No,79,,.,.,.,79,3,7,.,.,08APR20
2018-2019,ARIZONA,04,0400201,AZ-4420,Pima County (4420),No,35,,.,.,4,31,5,.,.,.,08APR20
2018-2019,ARIZONA,04,0400202,AZ-78897,"Academy of Tucson, Inc. (78897)",No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400204,AZ-10879,"Mountain Rose Academy, Inc. (10879)",No,18,,.,.,.,14,3,.,.,.,08APR20
2018-2019,ARIZONA,04,0400209,AZ-10970,"Park View School, Inc. (10970)",No,15,,.,.,S,S,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400212,AZ-79226,Benson Unified School District (79226),No,7,,.,.,.,7,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400218,AZ-79215,American Basic Schools LLC (79215),No,S,,.,.,.,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400219,AZ-79047,Career Success Schools (79047),No,47,,S,S,S,22,5,3,.,.,08APR20
2018-2019,ARIZONA,04,0400221,AZ-79233,Kaizen Education Foundation dba South Pointe Eleme (79233),No,94,,6,4,3,81,13,9,.,.,08APR20
2018-2019,ARIZONA,04,0400227,AZ-78965,Kaizen Education Foundation dba South Pointe Junio (78965),No,40,,.,S,S,35,7,S,.,.,08APR20
2018-2019,ARIZONA,04,0400230,AZ-79024,Pathfinder Charter School Foundation (79024),No,8,,S,.,.,S,S,S,.,.,08APR20
2018-2019,ARIZONA,04,0400232,AZ-79072,Self Development Charter School (79072),No,S,,.,.,S,.,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400235,AZ-79214,"Excalibur Charter Schools, Inc. (79214)",No,S,,.,.,S,.,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400239,AZ-6235,P.L.C. Charter Schools (6235),No,28,,S,.,.,S,3,4,.,.,08APR20
2018-2019,ARIZONA,04,0400241,AZ-5180,"Paragon Management, Inc. (5180)",No,6,,.,.,.,5,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400243,AZ-79084,"Skyline Schools, Inc. (79084)",No,5,,.,.,.,5,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400244,AZ-6446,"Edkey, Inc. - Sequoia Charter School (6446)",No,9,,.,.,.,9,4,S,.,.,08APR20
2018-2019,ARIZONA,04,0400246,AZ-79211,"Edkey, Inc. - Sequoia Village School (79211)",No,5,,.,.,S,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400248,AZ-79218,"Telesis Center for Learning, Inc. (79218)",No,7,,.,.,.,7,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400254,AZ-79000,"Southern Arizona Community Academy, Inc. (79000)",No,15,,.,.,15,.,S,.,.,.,08APR20
2018-2019,ARIZONA,04,0400259,AZ-79085,"Southgate Academy, Inc. (79085)",No,4,,.,.,.,4,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400264,AZ-79066,"Santa Cruz Valley Opportunities in Education, Inc. (79066)",No,S,,.,.,.,S,.,.,.,.,08APR20
2018-2019,ARIZONA,04,0400276,AZ-79213,Academy with Community Partners  Inc (79213),No,30,,.,.,4,26,4,S,.,.,08APR20
2018-2019,ARIZONA,04,0400282,AZ-79501,"Harvest Power Community Development Group, Inc. (79501)",No,27,,S,.,19,S,4,S,.,.,08APR20
2018-2019,ARIZONA,04,0400288,AZ-79569,Premier Charter High School (79569),No,71,,S,S,4,64,9,6,.,.,08APR20
2018-2019,ARIZONA,04,0400290,AZ-79578,Pan-American Elementary Charter (79578),No,26,,6,7,3,10,6,8,.,.,08APR20
