SCHOOL_YEAR_TEXT,STNAM,FIPST,LEAID,ST_LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED,DOUBLED_UP,CDW,LEP,MIG,UHY,DATE_CUR
2016-2017,ALABAMA,01,0100005,AL-101,Albertville City,Yes,61,,S,.,S,53,4,19,17,.,13APR18
2016-2017,ALABAMA,01,0100006,AL-048,Marshall County,Yes,261,Y,3,.,.,258,45,35,19,4,13APR18
2016-2017,ALABAMA,01,0100007,AL-158,Hoover City,Yes,62,Y,22,.,7,33,9,3,.,4,13APR18
2016-2017,ALABAMA,01,0100008,AL-169,Madison City,Yes,86,Y,24,.,7,55,19,3,.,6,13APR18
2016-2017,ALABAMA,01,0100011,AL-167,Leeds City,Yes,135,Y,.,.,4,131,22,6,.,S,13APR18
2016-2017,ALABAMA,01,0100012,AL-115,Boaz City,Yes,53,Y,.,5,.,48,3,18,7,S,13APR18
2016-2017,ALABAMA,01,0100013,AL-205,Trussville City,No,4,,S,.,S,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100030,AL-102,Alexander City,No,13,Y,S,.,.,S,4,.,.,4,13APR18
2016-2017,ALABAMA,01,0100060,AL-104,Andalusia City,No,5,,S,.,.,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100090,AL-105,Anniston City,Yes,153,,.,.,S,S,16,S,.,S,13APR18
2016-2017,ALABAMA,01,0100100,AL-106,Arab City,No,21,Y,S,.,S,19,4,S,.,.,13APR18
2016-2017,ALABAMA,01,0100120,AL-107,Athens City,No,72,,S,.,S,60,21,31,.,15,13APR18
2016-2017,ALABAMA,01,0100180,AL-109,Attalla City,Yes,173,,.,S,S,147,25,5,.,4,13APR18
2016-2017,ALABAMA,01,0100185,AL-187,Saraland City,No,14,,S,.,S,8,S,.,.,S,13APR18
2016-2017,ALABAMA,01,0100188,AL-121,Chickasaw City,No,50,,3,.,4,43,6,S,.,S,13APR18
2016-2017,ALABAMA,01,0100189,AL-196,Satsuma City,No,16,,S,.,S,13,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100190,AL-103,Alabaster City,No,40,Y,5,.,11,24,S,7,.,3,13APR18
2016-2017,ALABAMA,01,0100194,AL-177,Pelham City,No,17,,S,.,S,12,S,4,.,S,13APR18
2016-2017,ALABAMA,01,0100210,AL-110,Auburn City,No,24,,6,.,.,18,8,S,.,.,13APR18
2016-2017,ALABAMA,01,0100240,AL-001,Autauga County,No,49,,7,S,S,40,13,.,.,7,13APR18
2016-2017,ALABAMA,01,0100270,AL-002,Baldwin County,Yes,383,Y,16,6,58,303,82,12,6,12,13APR18
2016-2017,ALABAMA,01,0100300,AL-003,Barbour County,No,7,,3,.,.,4,S,.,.,S,13APR18
2016-2017,ALABAMA,01,0100330,AL-113,Bessemer City,Yes,281,Y,32,S,S,229,34,7,.,.,13APR18
2016-2017,ALABAMA,01,0100360,AL-004,Bibb County,Yes,40,,S,.,S,38,5,3,.,.,13APR18
2016-2017,ALABAMA,01,0100390,AL-114,Birmingham City,Yes,191,Y,13,10,23,145,31,4,.,.,13APR18
2016-2017,ALABAMA,01,0100420,AL-005,Blount County,Yes,140,,.,S,.,S,26,14,8,11,13APR18
2016-2017,ALABAMA,01,0100480,AL-006,Bullock County,No,9,,.,.,.,9,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0100510,AL-007,Butler County,Yes,168,,.,.,3,165,23,.,.,.,13APR18
2016-2017,ALABAMA,01,0100540,AL-008,Calhoun County,Yes,134,,S,.,S,120,22,3,.,65,13APR18
2016-2017,ALABAMA,01,0100600,AL-009,Chambers County,No,20,Y,.,.,S,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100630,AL-010,Cherokee County,Yes,444,Y,S,284,S,147,103,S,.,28,13APR18
2016-2017,ALABAMA,01,0100660,AL-011,Chilton County,No,8,,.,.,.,8,S,S,.,.,13APR18
2016-2017,ALABAMA,01,0100690,AL-012,Choctaw County,No,5,,.,.,.,5,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100720,AL-013,Clarke County,Yes,14,,.,.,.,14,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100750,AL-014,Clay County,No,7,,S,.,.,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100780,AL-015,Cleburne County,No,32,Y,S,.,S,25,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100810,AL-016,Coffee County,Yes,69,Y,.,6,.,63,14,.,.,S,13APR18
2016-2017,ALABAMA,01,0100840,AL-017,Colbert County,Yes,310,Y,S,S,10,291,65,S,S,.,13APR18
2016-2017,ALABAMA,01,0100870,AL-018,Conecuh County,No,S,,.,.,S,S,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0100960,AL-021,Crenshaw County,No,6,,.,.,.,6,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0100990,AL-125,Cullman City,No,13,,S,.,S,10,S,4,.,.,13APR18
2016-2017,ALABAMA,01,0101020,AL-022,Cullman County,No,21,,.,.,.,21,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0101050,AL-023,Dale County,No,4,,S,.,S,S,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0101110,AL-024,Dallas County,Yes,174,,.,88,.,86,41,S,.,.,13APR18
2016-2017,ALABAMA,01,0101140,AL-025,Dekalb County,Yes,361,,10,28,10,313,36,109,28,10,13APR18
2016-2017,ALABAMA,01,0101170,AL-127,Decatur City,Yes,61,,12,.,10,39,6,13,.,11,13APR18
2016-2017,ALABAMA,01,0101230,AL-130,Dothan City,Yes,198,,33,.,20,145,33,13,.,.,13APR18
2016-2017,ALABAMA,01,0101260,AL-131,Elba City,Yes,88,,.,.,.,88,18,S,.,.,13APR18
2016-2017,ALABAMA,01,0101290,AL-026,Elmore County,No,116,Y,3,3,5,105,12,6,.,39,13APR18
2016-2017,ALABAMA,01,0101320,AL-132,Enterprise City,Yes,172,Y,4,.,9,159,19,47,3,.,13APR18
2016-2017,ALABAMA,01,0101350,AL-027,Escambia County,No,16,,.,4,6,6,S,.,.,4,13APR18
2016-2017,ALABAMA,01,0101380,AL-028,Etowah County,No,43,,S,S,9,29,7,S,.,S,13APR18
2016-2017,ALABAMA,01,0101410,AL-133,Eufaula City,No,29,Y,12,.,4,13,7,S,.,S,13APR18
2016-2017,ALABAMA,01,0101440,AL-137,Fairfield City,Yes,439,,4,.,.,435,49,10,.,.,13APR18
2016-2017,ALABAMA,01,0101470,AL-029,Fayette County,No,33,,.,.,6,27,6,.,.,.,13APR18
2016-2017,ALABAMA,01,0101530,AL-141,Florence City,Yes,132,Y,S,S,13,115,16,7,.,7,13APR18
2016-2017,ALABAMA,01,0101620,AL-144,Gadsden City,Yes,50,,S,.,S,42,6,4,.,S,13APR18
2016-2017,ALABAMA,01,0101660,AL-031,Geneva County,No,20,,S,.,.,S,3,.,.,S,13APR18
2016-2017,ALABAMA,01,0101680,AL-032,Greene County,No,5,,.,.,S,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0101690,AL-154,Guntersville City,Yes,167,Y,S,24,S,141,16,15,.,.,13APR18
2016-2017,ALABAMA,01,0101710,AL-033,Hale County,No,3,,.,.,.,3,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0101720,AL-155,Haleyville City,No,4,,.,S,.,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0101730,AL-156,Hartselle City,No,39,,.,3,.,36,10,.,.,S,13APR18
2016-2017,ALABAMA,01,0101740,AL-034,Henry County,No,3,,.,.,.,3,S,.,.,S,13APR18
2016-2017,ALABAMA,01,0101760,AL-157,Homewood City,No,8,,.,.,.,8,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0101770,AL-035,Houston County,No,11,,S,.,S,7,.,S,.,.,13APR18
2016-2017,ALABAMA,01,0101800,AL-159,Huntsville City,Yes,208,Y,53,8,48,99,30,4,.,.,13APR18
2016-2017,ALABAMA,01,0101830,AL-036,Jackson County,No,12,,.,.,S,S,5,.,.,S,13APR18
2016-2017,ALABAMA,01,0101860,AL-162,Jacksonville City,No,10,,.,.,S,S,.,.,.,S,13APR18
2016-2017,ALABAMA,01,0101890,AL-163,Jasper City,No,10,,.,.,.,10,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0101920,AL-037,Jefferson County,Yes,226,,26,6,8,186,36,49,.,46,13APR18
2016-2017,ALABAMA,01,0102010,AL-039,Lauderdale County,Yes,122,Y,8,S,S,107,18,S,.,4,13APR18
2016-2017,ALABAMA,01,0102040,AL-040,Lawrence County,Yes,254,Y,.,33,16,205,61,5,.,.,13APR18
2016-2017,ALABAMA,01,0102070,AL-041,Lee County,No,7,,.,.,.,7,S,.,.,S,13APR18
2016-2017,ALABAMA,01,0102100,AL-042,Limestone County,No,44,,S,S,3,38,9,S,.,S,13APR18
2016-2017,ALABAMA,01,0102130,AL-168,Linden City,No,3,,3,.,.,.,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0102160,AL-043,Lowndes County,Yes,192,,17,5,4,166,24,S,.,S,13APR18
2016-2017,ALABAMA,01,0102190,AL-044,Macon County,Yes,56,Y,.,.,.,56,6,.,.,S,13APR18
2016-2017,ALABAMA,01,0102220,AL-045,Madison County,Yes,184,Y,9,4,5,166,41,3,.,35,13APR18
2016-2017,ALABAMA,01,0102310,AL-047,Marion County,Yes,53,,3,.,5,45,3,4,.,17,13APR18
2016-2017,ALABAMA,01,0102350,AL-171,Midfield City,No,211,,5,.,.,206,22,.,.,S,13APR18
2016-2017,ALABAMA,01,0102370,AL-049,Mobile County,Yes,5696,Y,137,57,233,5269,803,122,63,163,13APR18
2016-2017,ALABAMA,01,0102400,AL-050,Monroe County,No,S,,.,S,S,.,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0102430,AL-051,Montgomery County,Yes,850,Y,53,8,69,720,87,21,.,3,13APR18
2016-2017,ALABAMA,01,0102480,AL-052,Morgan County,Yes,32,Y,4,.,8,20,9,.,.,S,13APR18
2016-2017,ALABAMA,01,0102520,AL-176,Muscle Shoals City,No,S,,.,.,.,S,.,.,.,S,13APR18
2016-2017,ALABAMA,01,0102550,AL-178,Oneonta City,No,6,,.,.,S,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0102580,AL-179,Opelika City,No,S,,.,.,S,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0102610,AL-180,Opp City,No,S,,.,.,.,S,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0102635,AL-181,Oxford City,No,94,,S,S,10,78,14,5,.,8,13APR18
2016-2017,ALABAMA,01,0102640,AL-182,Ozark City,No,37,,9,S,S,19,4,6,.,4,13APR18
2016-2017,ALABAMA,01,0102650,AL-183,Pell City,No,27,,S,.,S,24,4,.,.,.,13APR18
2016-2017,ALABAMA,01,0102670,AL-053,Perry County,Yes,231,Y,S,.,.,S,25,.,.,.,13APR18
2016-2017,ALABAMA,01,0102700,AL-184,Phenix City,No,63,,S,S,6,51,9,6,.,.,13APR18
2016-2017,ALABAMA,01,0102730,AL-054,Pickens County,No,3,,.,.,.,3,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0102760,AL-185,Piedmont City,No,3,,.,S,S,S,.,.,.,S,13APR18
2016-2017,ALABAMA,01,0102790,AL-055,Pike County,No,73,,.,.,.,73,7,4,.,S,13APR18
2016-2017,ALABAMA,01,0102820,AL-056,Randolph County,No,15,,.,.,.,15,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0102880,AL-057,Russell County,No,8,,.,.,.,8,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0102910,AL-189,Russellville City,No,S,,.,.,S,S,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0102940,AL-190,Scottsboro City,No,S,,S,.,.,S,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0102970,AL-191,Selma City,Yes,164,Y,30,.,6,128,16,.,.,.,13APR18
2016-2017,ALABAMA,01,0103000,AL-192,Sheffield City,Yes,S,,.,.,S,.,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0103030,AL-059,Shelby County,Yes,224,,23,5,24,172,43,9,.,6,13APR18
2016-2017,ALABAMA,01,0103062,AL-058,St Clair County,Yes,82,Y,4,.,7,71,9,6,S,S,13APR18
2016-2017,ALABAMA,01,0103090,AL-060,Sumter County,Yes,30,,.,.,3,27,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0103120,AL-193,Sylacauga City,Yes,17,,.,.,.,17,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0103150,AL-194,Talladega City,No,10,,.,.,3,7,3,.,.,.,13APR18
2016-2017,ALABAMA,01,0103180,AL-061,Talladega County,No,38,,.,.,4,34,3,S,.,4,13APR18
2016-2017,ALABAMA,01,0103210,AL-062,Tallapoosa County,No,S,,.,.,S,.,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0103240,AL-195,Tallassee City,No,S,,S,.,.,S,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0103270,AL-197,Tarrant City,No,18,,S,.,.,S,3,.,.,.,13APR18
2016-2017,ALABAMA,01,0103300,AL-198,Thomasville City,No,8,,.,S,S,5,3,.,.,.,13APR18
2016-2017,ALABAMA,01,0103330,AL-199,Troy City,No,46,Y,.,.,.,46,9,.,.,.,13APR18
2016-2017,ALABAMA,01,0103360,AL-200,Tuscaloosa City,Yes,293,Y,42,.,16,235,37,6,.,.,13APR18
2016-2017,ALABAMA,01,0103390,AL-063,Tuscaloosa County,Yes,139,,11,S,S,117,25,9,.,17,13APR18
2016-2017,ALABAMA,01,0103420,AL-201,Tuscumbia City,Yes,S,,.,.,S,S,4,.,.,.,13APR18
2016-2017,ALABAMA,01,0103430,AL-202,Vestavia Hills City,No,3,,.,S,S,S,.,.,.,S,13APR18
2016-2017,ALABAMA,01,0103450,AL-064,Walker County,Yes,154,,S,6,S,144,24,3,.,4,13APR18
2016-2017,ALABAMA,01,0103480,AL-065,Washington County,No,64,,.,S,S,61,6,S,3,4,13APR18
2016-2017,ALABAMA,01,0103510,AL-066,Wilcox County,Yes,93,,S,.,.,S,10,.,.,.,13APR18
2016-2017,ALABAMA,01,0103540,AL-204,Winfield City,No,S,,.,.,S,.,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0103580,AL-067,Winston County,No,S,,.,.,S,.,.,.,.,S,13APR18
2016-2017,ALASKA,02,0200001,AK-31,Lower Kuskokwim School District,No,24,,.,.,S,S,S,9,3,.,13APR18
2016-2017,ALASKA,02,0200003,AK-32,Lower Yukon School District,No,31,,.,.,.,31,4,23,.,.,13APR18
2016-2017,ALASKA,02,0200020,AK-07,Bering Strait School District,No,6,,.,.,.,6,S,S,S,S,13APR18
2016-2017,ALASKA,02,0200050,AK-03,Alaska Gateway School District,No,S,,.,.,.,S,.,.,.,.,13APR18
2016-2017,ALASKA,02,0200060,AK-12,Cordova City School District,No,4,,.,S,.,S,S,.,S,S,13APR18
2016-2017,ALASKA,02,0200100,AK-14,Delta-Greely School District,No,6,,S,.,.,S,3,.,.,3,13APR18
2016-2017,ALASKA,02,0200150,AK-25,Ketchikan Gateway Borough School District,No,23,Y,3,4,9,7,9,.,.,3,13APR18
2016-2017,ALASKA,02,0200180,AK-05,Anchorage School District,Yes,2471,Y,166,168,454,1683,599,500,262,470,13APR18
2016-2017,ALASKA,02,0200210,AK-22,Juneau Borough School District,No,184,Y,13,3,47,121,76,13,.,13,13APR18
2016-2017,ALASKA,02,0200240,AK-42,Sitka School District,No,28,,.,6,3,19,4,.,3,S,13APR18
2016-2017,ALASKA,02,0200300,AK-19,Hoonah City School District,No,21,,.,.,.,21,S,.,.,.,13APR18
2016-2017,ALASKA,02,0200360,AK-23,Kake City School District,No,11,,.,.,.,11,S,.,.,.,13APR18
2016-2017,ALASKA,02,0200390,AK-24,Kenai Peninsula Borough School District,Yes,251,Y,15,44,22,170,77,15,13,75,13APR18
2016-2017,ALASKA,02,0200480,AK-28,Kodiak Island Borough School District,No,21,,.,S,S,16,3,S,5,S,13APR18
2016-2017,ALASKA,02,0200510,AK-33,Matanuska-Susitna Borough School District,Yes,514,Y,20,116,56,322,114,17,34,175,13APR18
2016-2017,ALASKA,02,0200540,AK-34,Nenana City School District,No,33,,.,.,30,3,13,4,.,S,13APR18
2016-2017,ALASKA,02,0200570,AK-35,Nome Public Schools,No,15,,.,.,7,8,S,4,.,S,13APR18
2016-2017,ALASKA,02,0200600,AK-16,Fairbanks North Star Borough School District,Yes,434,Y,12,67,98,257,119,43,32,113,13APR18
2016-2017,ALASKA,02,0200610,AK-36,North Slope Borough School District,No,21,Y,.,.,S,S,4,6,.,11,13APR18
2016-2017,ALASKA,02,0200660,AK-39,Petersburg Borough School District,No,S,,.,.,.,4,S,.,.,S,13APR18
2016-2017,ALASKA,02,0200780,AK-48,Valdez City School District,No,15,,S,.,S,11,S,.,.,3,13APR18
2016-2017,ALASKA,02,0200800,AK-10,Chugach School District,No,5,,.,.,.,5,.,S,.,.,13APR18
2016-2017,ARIZONA,04,0400001,AZ-4244,Cave Creek Unified District,No,4,,.,.,S,.,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400003,AZ-4474,Chino Valley Unified District,No,237,Y,5,.,37,194,49,12,.,.,13APR18
2016-2017,ARIZONA,04,0400004,AZ-4486,Clarkdale-Jerome Elementary District,No,13,,.,.,.,12,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400016,AZ-4191,Center for Academic Success  Inc.,Yes,486,,.,S,S,467,13,217,.,.,13APR18
2016-2017,ARIZONA,04,0400022,AZ-4162,Vernon Elementary District,No,16,,.,4,.,12,4,.,.,.,13APR18
2016-2017,ARIZONA,04,0400033,AZ-4305,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,No,16,,.,.,.,16,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400041,AZ-4314,Maricopa County Community College District dba Gateway Early,No,6,,.,.,.,S,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400047,AZ-4320,Salt River Pima-Maricopa  Community Schools,No,5,,.,.,S,S,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400052,AZ-4335,Espiritu Community Development Corp.,No,23,,.,.,.,23,3,3,.,.,13APR18
2016-2017,ARIZONA,04,0400055,AZ-4341,EduPreneurship  Inc.,No,3,,.,.,S,S,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400057,AZ-4346,Arizona Call-a-Teen Youth Resources  Inc.,No,S,,.,.,.,S,.,S,.,.,13APR18
2016-2017,ARIZONA,04,0400070,AZ-4361,Tempe Preparatory Academy,No,S,,S,.,.,.,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400077,AZ-4400,Career Development  Inc.,No,12,,.,.,S,S,4,.,.,.,13APR18
2016-2017,ARIZONA,04,0400078,AZ-4421,Edge School  Inc.  The,No,61,,S,S,20,35,9,.,.,.,13APR18
2016-2017,ARIZONA,04,0400081,AZ-4425,Presidio School,No,S,,.,.,.,.,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400082,AZ-4381,Colorado River Union High School District,No,67,,S,.,S,60,12,.,.,.,13APR18
2016-2017,ARIZONA,04,0400083,AZ-4431,Portable Practical Educational Preparation  Inc. (PPEP  Inc.,No,159,,5,.,11,140,22,29,36,.,13APR18
2016-2017,ARIZONA,04,0400090,AZ-4493,Mingus Springs Charter School,No,S,,.,.,.,S,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400099,AZ-4216,Liberty High School,No,33,,.,.,3,30,4,.,.,.,13APR18
2016-2017,ARIZONA,04,0400102,AZ-4303,Friendly House  Inc.,No,83,,.,.,S,S,9,18,.,.,13APR18
2016-2017,ARIZONA,04,0400103,AZ-4323,Ombudsman Educational Services Ltd. a subsidiary of Educ 1,No,80,,.,3,25,52,10,.,.,.,13APR18
2016-2017,ARIZONA,04,0400107,AZ-4334,International Commerce Secondary Schools  Inc.,No,14,,.,.,.,14,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400108,AZ-4337,Humanities and Sciences Academy of the United States  Inc.,No,S,,.,.,.,S,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400109,AZ-4338,Phoenix Advantage Charter School  Inc.,No,20,,S,S,S,16,3,.,.,.,13APR18
2016-2017,ARIZONA,04,0400112,AZ-4348,American Leadership Academy  Inc.,No,21,,3,.,.,18,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400128,AZ-4296,Academy Of Excellence  Inc.,No,122,,.,87,29,6,S,S,.,.,13APR18
2016-2017,ARIZONA,04,0400144,AZ-4300,Florence Crittenton Services of Arizona  Inc.,No,3,,S,.,S,S,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400149,AZ-4342,Kaizen Education Foundation dba El Dorado High School,No,12,,.,.,S,S,4,S,.,.,13APR18
2016-2017,ARIZONA,04,0400150,AZ-4463,Mexicayotl Academy  Inc.,No,7,,.,.,.,7,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400151,AZ-4366,New Horizon School for the Performing Arts,No,12,,.,.,4,8,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400153,AZ-6379,Phoenix School of Academic Excellence The,No,11,,S,.,S,7,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400157,AZ-4329,Edkey  Inc. - Sequoia Choice Schools,No,75,,5,.,58,12,5,5,.,.,13APR18
2016-2017,ARIZONA,04,0400159,AZ-6374,Tucson Preparatory School,No,53,,.,.,10,20,10,.,.,.,13APR18
2016-2017,ARIZONA,04,0400190,AZ-10968,Liberty Traditional Charter School,No,34,,.,.,.,32,3,18,.,.,13APR18
2016-2017,ARIZONA,04,0400191,AZ-78783,Fit Kids  Inc. dba Champion Schools,No,150,,.,.,.,150,13,13,.,.,13APR18
2016-2017,ARIZONA,04,0400201,AZ-4420,Pima County,No,33,,.,S,S,29,5,S,.,.,13APR18
2016-2017,ARIZONA,04,0400204,AZ-10879,Mountain Rose Academy  Inc.,No,20,,.,S,S,6,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400209,AZ-10970,Park View School  Inc.,No,17,,.,.,4,12,6,.,.,.,13APR18
2016-2017,ARIZONA,04,0400212,AZ-79226,Benson Unified School District,No,9,,S,.,.,S,3,.,.,.,13APR18
2016-2017,ARIZONA,04,0400219,AZ-79047,Career Success Schools,No,17,,.,S,S,15,.,4,.,.,13APR18
2016-2017,ARIZONA,04,0400221,AZ-79233,Kaizen Education Foundation dba South Pointe Elementary Scho,No,53,,.,.,.,53,7,S,.,.,13APR18
2016-2017,ARIZONA,04,0400225,AZ-79264,Horizon Community Learning Center  Inc.,No,3,,.,.,.,3,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400227,AZ-78965,Kaizen Education Foundation dba South Pointe Junior High Sch,No,32,,.,S,S,30,5,S,.,.,13APR18
2016-2017,ARIZONA,04,0400235,AZ-79214,Excalibur Charter Schools  Inc.,No,4,,.,.,.,4,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400239,AZ-6235,P.L.C. Charter Schools,No,10,,4,.,.,6,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400241,AZ-5180,Paragon Management  Inc.,No,7,,.,.,.,S,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400244,AZ-6446,Edkey  Inc. - Sequoia Charter School,No,102,,3,.,9,90,18,25,.,.,13APR18
2016-2017,ARIZONA,04,0400246,AZ-79211,Edkey  Inc. - Sequoia Village School,No,8,,.,.,.,8,3,.,.,.,13APR18
2016-2017,ARIZONA,04,0400248,AZ-79218,Telesis Center for Learning  Inc.,No,10,,.,.,.,10,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400254,AZ-79000,Southern Arizona Community Academy  Inc.,No,S,,.,.,S,.,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400259,AZ-79085,Southgate Academy  Inc.,No,7,,.,.,3,3,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400266,AZ-79068,PACE Preparatory Academy  Inc.,No,3,,.,.,.,3,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400276,AZ-79213,Academy with Community Partners  Inc,No,26,,.,.,9,17,7,.,.,.,13APR18
2016-2017,ARIZONA,04,0400288,AZ-79569,Premier Charter High School,No,46,,.,.,S,S,3,S,.,.,13APR18
2016-2017,ARIZONA,04,0400290,AZ-79578,Pan-American Elementary Charter,No,27,,.,.,9,16,S,S,.,.,13APR18
2016-2017,ARIZONA,04,0400295,AZ-79598,Kingman Unified School District,No,364,Y,20,14,24,305,76,7,.,8,13APR18
2016-2017,ARIZONA,04,0400310,AZ-79055,Calibre Academy,No,13,,.,.,.,12,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400311,AZ-79059,E-Institute Charter Schools  Inc.,No,16,,S,S,.,13,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400318,AZ-79426,Aprender Tucson,No,42,,.,.,.,42,12,15,.,.,13APR18
2016-2017,ARIZONA,04,0400320,AZ-79437,Acorn Montessori Charter School,No,9,,.,.,.,S,S,S,.,.,13APR18
2016-2017,ARIZONA,04,0400322,AZ-79441,Desert Rose Academy Inc.,No,17,,.,.,5,4,3,S,.,.,13APR18
2016-2017,ARIZONA,04,0400329,AZ-79461,American Virtual Academy,No,S,,.,.,.,S,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400340,AZ-10760,Noah Webster Schools - Mesa,No,6,,.,.,.,6,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400350,AZ-79866,PEAK School Inc.  The,No,5,,.,.,.,3,.,S,.,.,13APR18
2016-2017,ARIZONA,04,0400351,AZ-79871,Kaizen Education Foundation dba Vista Grove Preparatory Acad,No,20,,.,.,.,20,3,S,.,.,13APR18
2016-2017,ARIZONA,04,0400352,AZ-79873,American Charter Schools Foundation d.b.a. Estrella High Sch,No,19,,.,S,.,S,7,3,.,.,13APR18
2016-2017,ARIZONA,04,0400353,AZ-79875,American Charter Schools Foundation d.b.a. Peoria Accelerate,No,82,,S,.,66,S,10,.,.,.,13APR18
2016-2017,ARIZONA,04,0400354,AZ-79877,American Charter Schools Foundation d.b.a. Sun Valley High S,No,14,,S,.,S,12,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400355,AZ-79879,American Charter Schools Foundation d.b.a. West Phoenix High,Yes,69,,.,.,.,69,6,8,.,.,13APR18
2016-2017,ARIZONA,04,0400356,AZ-79881,Nosotros  Inc,No,11,,.,.,.,11,S,S,.,.,13APR18
2016-2017,ARIZONA,04,0400361,AZ-79947,Arizona Community Development Corporation,No,37,,S,S,3,30,6,4,.,.,13APR18
2016-2017,ARIZONA,04,0400363,AZ-79951,SC Jensen Corporation  Inc. dba Intelli-School,No,5,,.,S,.,S,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400364,AZ-79953,PAS Charter  Inc.  dba Intelli-School,No,8,,S,.,S,4,3,.,.,.,13APR18
2016-2017,ARIZONA,04,0400370,AZ-79994,Midtown Primary School,No,24,,S,.,.,S,6,S,.,.,13APR18
2016-2017,ARIZONA,04,0400373,AZ-79979,Tucson International Academy  Inc.,No,20,,.,.,.,.,8,.,.,.,13APR18
2016-2017,ARIZONA,04,0400374,AZ-79983,Bell Canyon Charter School  Inc,No,6,,S,.,.,S,S,.,.,.,13APR18
2016-2017,ARIZONA,04,0400382,AZ-80032,CPLC Community Schools dba Toltecalli High School,No,7,,.,.,.,.,.,.,.,.,13APR18
2016-2017,ARIZONA,04,0400383,AZ-80299,Life Skills Center of Arizona  Inc.,No,63,,.,.,7,48,3,.,.,.,13APR18
2016-2017,ARIZONA,04,0400384,AZ-79872,American Charter Schools Foundation d.b.a. Desert Hills High,No,7,,.,.,S,S,S,S,.,.,13APR18
