SCHOOL_YEAR_TEXT,STNAM,FIPST,LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED,DOUBLED_UP,CDW,LEP,MIG,UHY,DATE_CUR
2015-2016,ALABAMA,01,0100005,Albertville City,Yes,106,Y,.,.,S,S,6,56,30,.,12APR17
2015-2016,ALABAMA,01,0100006,Marshall County,Yes,260,Y,6,.,.,254,41,30,10,.,12APR17
2015-2016,ALABAMA,01,0100007,Hoover City,Yes,44,,13,.,.,31,11,.,.,4,12APR17
2015-2016,ALABAMA,01,0100008,Madison City,Yes,104,Y,38,.,7,59,20,6,.,.,12APR17
2015-2016,ALABAMA,01,0100011,Leeds City,Yes,133,Y,.,.,S,S,20,6,.,.,12APR17
2015-2016,ALABAMA,01,0100012,Boaz City,Yes,64,Y,.,6,.,58,10,16,8,3,12APR17
2015-2016,ALABAMA,01,0100013,Trussville City,No,4,,S,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100030,Alexander City,No,14,,.,.,.,14,S,S,.,.,12APR17
2015-2016,ALABAMA,01,0100060,Andalusia City,No,4,,S,.,.,S,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0100090,Anniston City,Yes,182,,.,.,.,182,14,.,.,.,12APR17
2015-2016,ALABAMA,01,0100100,Arab City,No,23,,.,.,.,23,4,3,.,.,12APR17
2015-2016,ALABAMA,01,0100120,Athens City,No,91,,S,.,S,73,18,32,.,.,12APR17
2015-2016,ALABAMA,01,0100180,Attalla City,Yes,156,,.,.,20,136,17,.,.,.,12APR17
2015-2016,ALABAMA,01,0100185,Saraland City,No,29,,5,.,.,24,7,.,.,.,12APR17
2015-2016,ALABAMA,01,0100188,Chickasaw City,No,36,,.,.,.,36,6,.,.,.,12APR17
2015-2016,ALABAMA,01,0100189,Satsuma City,No,8,,.,.,.,8,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100190,Alabaster City,No,54,,.,.,4,50,10,4,.,.,12APR17
2015-2016,ALABAMA,01,0100194,Pelham City,No,8,,.,.,S,S,.,S,.,.,12APR17
2015-2016,ALABAMA,01,0100210,Auburn City,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100240,Autauga County,Yes,18,,3,.,.,15,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0100270,Baldwin County,Yes,431,Y,30,6,73,322,102,7,3,5,12APR17
2015-2016,ALABAMA,01,0100330,Bessemer City,Yes,244,Y,27,.,19,198,36,3,.,.,12APR17
2015-2016,ALABAMA,01,0100360,Bibb County,No,29,Y,.,.,.,29,6,.,.,.,12APR17
2015-2016,ALABAMA,01,0100390,Birmingham City,Yes,97,Y,S,S,11,83,8,3,.,.,12APR17
2015-2016,ALABAMA,01,0100420,Blount County,Yes,72,Y,.,S,S,67,16,4,S,.,12APR17
2015-2016,ALABAMA,01,0100480,Bullock County,No,5,,.,.,.,5,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100510,Butler County,Yes,178,,.,.,.,178,28,.,.,.,12APR17
2015-2016,ALABAMA,01,0100540,Calhoun County,Yes,135,Y,S,.,S,130,21,S,.,.,12APR17
2015-2016,ALABAMA,01,0100600,Chambers County,No,3,,.,.,.,3,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100630,Cherokee County,Yes,472,Y,3,364,10,95,95,.,.,S,12APR17
2015-2016,ALABAMA,01,0100660,Chilton County,No,12,,3,.,.,9,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0100690,Choctaw County,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100720,Clarke County,Yes,15,,.,.,.,15,S,S,.,.,12APR17
2015-2016,ALABAMA,01,0100750,Clay County,No,13,,.,.,.,13,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100780,Cleburne County,No,37,,.,.,4,33,6,S,.,.,12APR17
2015-2016,ALABAMA,01,0100810,Coffee County,Yes,62,,.,6,7,49,10,.,.,.,12APR17
2015-2016,ALABAMA,01,0100840,Colbert County,Yes,292,Y,5,3,7,277,60,8,S,.,12APR17
2015-2016,ALABAMA,01,0100960,Crenshaw County,No,7,,.,.,.,7,3,.,.,.,12APR17
2015-2016,ALABAMA,01,0100990,Cullman City,No,11,,.,.,.,11,S,S,.,.,12APR17
2015-2016,ALABAMA,01,0101020,Cullman County,No,20,,.,.,.,20,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0101110,Dallas County,Yes,174,Y,S,S,.,90,44,.,.,.,12APR17
2015-2016,ALABAMA,01,0101140,Dekalb County,Yes,300,Y,6,22,8,264,35,98,16,.,12APR17
2015-2016,ALABAMA,01,0101170,Decatur City,Yes,78,Y,21,.,13,44,17,4,.,.,12APR17
2015-2016,ALABAMA,01,0101230,Dothan City,Yes,336,Y,34,.,12,290,60,16,.,3,12APR17
2015-2016,ALABAMA,01,0101260,Elba City,Yes,62,,.,.,.,62,13,.,.,.,12APR17
2015-2016,ALABAMA,01,0101290,Elmore County,No,136,,6,S,S,127,24,6,.,.,12APR17
2015-2016,ALABAMA,01,0101320,Enterprise City,Yes,150,,S,.,S,137,16,40,3,.,12APR17
2015-2016,ALABAMA,01,0101380,Etowah County,No,30,,3,.,6,21,8,.,.,.,12APR17
2015-2016,ALABAMA,01,0101440,Fairfield City,Yes,453,Y,S,S,.,449,56,11,.,.,12APR17
2015-2016,ALABAMA,01,0101470,Fayette County,No,21,Y,.,.,S,S,4,.,.,.,12APR17
2015-2016,ALABAMA,01,0101530,Florence City,Yes,136,,S,S,7,125,14,7,.,.,12APR17
2015-2016,ALABAMA,01,0101620,Gadsden City,Yes,67,Y,9,.,5,53,8,7,.,.,12APR17
2015-2016,ALABAMA,01,0101640,Geneva City,No,12,,.,.,.,12,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0101660,Geneva County,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0101690,Guntersville City,Yes,183,Y,S,27,S,154,19,27,.,.,12APR17
2015-2016,ALABAMA,01,0101710,Hale County,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0101730,Hartselle City,No,14,Y,.,S,S,12,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0101740,Henry County,No,6,,.,.,.,6,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0101760,Homewood City,No,11,,.,.,.,11,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0101770,Houston County,No,S,,S,.,.,.,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0101800,Huntsville City,Yes,289,Y,76,S,S,139,45,S,.,S,12APR17
2015-2016,ALABAMA,01,0101830,Jackson County,No,6,,.,.,.,6,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0101860,Jacksonville City,No,17,,.,.,S,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0101920,Jefferson County,Yes,268,,33,3,7,225,36,55,.,72,12APR17
2015-2016,ALABAMA,01,0101950,Lamar County,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0102010,Lauderdale County,Yes,116,Y,4,.,7,105,16,.,.,.,12APR17
2015-2016,ALABAMA,01,0102040,Lawrence County,Yes,288,Y,.,43,18,227,63,4,S,.,12APR17
2015-2016,ALABAMA,01,0102100,Limestone County,No,22,,.,.,3,19,4,3,.,.,12APR17
2015-2016,ALABAMA,01,0102160,Lowndes County,Yes,176,,13,13,5,145,26,.,.,.,12APR17
2015-2016,ALABAMA,01,0102190,Macon County,No,31,,.,.,.,31,7,.,.,.,12APR17
2015-2016,ALABAMA,01,0102220,Madison County,Yes,130,Y,.,.,S,S,19,.,.,.,12APR17
2015-2016,ALABAMA,01,0102250,Marengo County,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0102310,Marion County,Yes,51,,S,.,S,45,3,4,.,27,12APR17
2015-2016,ALABAMA,01,0102350,Midfield City,No,217,,.,.,.,217,28,.,.,.,12APR17
2015-2016,ALABAMA,01,0102370,Mobile County,Yes,4478,Y,114,48,253,4063,623,60,35,.,12APR17
2015-2016,ALABAMA,01,0102430,Montgomery County,Yes,535,Y,60,7,47,421,78,8,.,.,12APR17
2015-2016,ALABAMA,01,0102480,Morgan County,No,39,Y,4,.,4,31,6,.,.,.,12APR17
2015-2016,ALABAMA,01,0102490,Mountain Brook City,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0102550,Oneonta City,No,3,,.,.,.,3,S,.,.,S,12APR17
2015-2016,ALABAMA,01,0102580,Opelika City,No,S,,.,.,.,S,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0102610,Opp City,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0102635,Oxford City,No,12,,.,.,.,12,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0102640,Ozark City,No,21,,.,S,S,15,3,4,.,.,12APR17
2015-2016,ALABAMA,01,0102650,Pell City,No,14,,S,.,.,S,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0102670,Perry County,Yes,222,Y,S,.,.,S,38,.,.,.,12APR17
2015-2016,ALABAMA,01,0102700,Phenix City,No,74,,S,S,11,57,7,5,.,.,12APR17
2015-2016,ALABAMA,01,0102730,Pickens County,No,6,,.,.,.,6,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0102760,Piedmont City,No,S,,.,.,.,S,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0102790,Pike County,No,57,,.,.,.,57,7,5,.,.,12APR17
2015-2016,ALABAMA,01,0102820,Randolph County,No,21,,.,.,.,21,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0102880,Russell County,No,48,,S,.,S,43,5,S,.,.,12APR17
2015-2016,ALABAMA,01,0102910,Russellville City,No,6,,S,.,S,.,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0102970,Selma City,Yes,147,Y,27,.,3,117,20,.,.,.,12APR17
2015-2016,ALABAMA,01,0103000,Sheffield City,No,4,,S,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0103030,Shelby County,Yes,229,,22,S,S,195,31,8,.,.,12APR17
2015-2016,ALABAMA,01,0103062,St Clair County,Yes,129,Y,.,.,4,125,19,9,6,.,12APR17
2015-2016,ALABAMA,01,0103090,Sumter County,No,18,,.,.,3,15,3,.,.,.,12APR17
2015-2016,ALABAMA,01,0103120,Sylacauga City,No,28,,.,.,.,28,5,.,.,.,12APR17
2015-2016,ALABAMA,01,0103180,Talladega County,No,7,,.,.,.,7,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0103240,Tallassee City,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0103270,Tarrant City,No,16,,S,.,.,S,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0103300,Thomasville City,No,4,,.,.,.,4,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0103330,Troy City,No,5,,.,.,.,5,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0103360,Tuscaloosa City,Yes,270,Y,42,8,20,200,38,6,.,.,12APR17
2015-2016,ALABAMA,01,0103390,Tuscaloosa County,No,142,,11,3,7,121,26,16,.,S,12APR17
2015-2016,ALABAMA,01,0103420,Tuscumbia City,Yes,3,,.,.,.,3,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0103430,Vestavia Hills City,No,7,,S,.,S,5,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0103450,Walker County,Yes,147,,.,S,S,127,23,S,.,.,12APR17
2015-2016,ALABAMA,01,0103480,Washington County,No,26,,.,.,S,S,S,.,S,.,12APR17
2015-2016,ALABAMA,01,0103510,Wilcox County,Yes,126,Y,7,.,.,119,16,.,.,.,12APR17
2015-2016,ALABAMA,01,0103540,Winfield City,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALASKA,02,0200001,Lower Kuskokwim School District,No,15,,.,.,10,5,5,6,S,10,12APR17
2015-2016,ALASKA,02,0200020,Bering Strait School District,No,5,,.,.,.,5,.,S,S,.,12APR17
2015-2016,ALASKA,02,0200050,Alaska Gateway School District,No,4,,.,.,.,4,.,.,.,.,12APR17
2015-2016,ALASKA,02,0200060,Cordova City School District,No,S,,.,.,.,S,.,.,.,S,12APR17
2015-2016,ALASKA,02,0200090,Craig City School District,No,S,,.,.,.,S,.,.,.,S,12APR17
2015-2016,ALASKA,02,0200120,Dillingham City School District,No,7,,.,.,S,S,.,.,S,S,12APR17
2015-2016,ALASKA,02,0200130,Galena City School District,No,14,,.,.,S,S,3,S,S,6,12APR17
2015-2016,ALASKA,02,0200150,Ketchikan Gateway Borough School District,No,35,Y,S,.,S,27,6,.,.,13,12APR17
2015-2016,ALASKA,02,0200180,Anchorage School District,Yes,2899,Y,236,155,819,1689,753,567,368,666,12APR17
2015-2016,ALASKA,02,0200210,Juneau Borough School District,No,228,Y,21,5,77,125,75,33,.,.,12APR17
2015-2016,ALASKA,02,0200240,Sitka School District,No,41,,S,10,S,24,12,.,.,S,12APR17
2015-2016,ALASKA,02,0200300,Hoonah City School District,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALASKA,02,0200360,Kake City School District,No,14,,.,.,.,14,S,.,S,.,12APR17
2015-2016,ALASKA,02,0200390,Kenai Peninsula Borough School District,Yes,327,Y,31,72,24,200,88,16,11,82,12APR17
2015-2016,ALASKA,02,0200480,Kodiak Island Borough School District,No,42,,6,.,18,18,6,13,10,S,12APR17
2015-2016,ALASKA,02,0200510,Matanuska-Susitna Borough School District,Yes,880,Y,39,133,149,559,214,26,41,292,12APR17
2015-2016,ALASKA,02,0200520,Iditarod Area School District,No,3,,.,.,S,S,S,.,S,S,12APR17
2015-2016,ALASKA,02,0200540,Nenana City School District,No,22,,.,S,19,S,6,S,.,3,12APR17
2015-2016,ALASKA,02,0200570,Nome Public Schools,No,13,Y,.,.,10,3,3,.,4,3,12APR17
2015-2016,ALASKA,02,0200600,Fairbanks North Star Borough School District,Yes,398,Y,11,45,140,202,128,40,26,80,12APR17
2015-2016,ALASKA,02,0200610,North Slope Borough School District,No,50,Y,.,S,43,S,12,17,.,18,12APR17
2015-2016,ALASKA,02,0200700,Southeast Island School District,No,S,,.,.,.,S,.,.,.,S,12APR17
2015-2016,ALASKA,02,0200780,Valdez City School District,No,24,Y,6,.,.,18,6,.,3,3,12APR17
2015-2016,ALASKA,02,0200800,Chugach School District,No,6,,.,.,.,6,.,3,.,.,12APR17
2015-2016,ALASKA,02,0200810,Wrangell Public School District,No,5,,.,.,.,5,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400003,Chino Valley Unified District,No,206,Y,.,.,43,162,49,10,.,.,12APR17
2015-2016,ARIZONA,04,0400004,Clarkdale-Jerome Elementary District,No,6,,.,.,.,6,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400016,Center for Academic Success  Inc.,Yes,449,,.,.,61,383,7,199,S,.,12APR17
2015-2016,ARIZONA,04,0400022,Vernon Elementary District,No,11,,.,.,.,11,4,.,.,.,12APR17
2015-2016,ARIZONA,04,0400023,Pinon Unified District,No,29,Y,.,.,.,29,S,S,.,.,12APR17
2015-2016,ARIZONA,04,0400033,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,No,6,,.,.,.,6,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400041,Maricopa County Community College District dba Gateway Early,No,3,,.,.,S,S,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400047,Salt River Pima-Maricopa  Community Schools,No,5,,S,.,.,S,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400055,EduPreneurship  Inc.,No,6,,.,.,S,S,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400057,Arizona Call-a-Teen Youth Resources  Inc.,No,7,,.,.,.,7,.,S,.,.,12APR17
2015-2016,ARIZONA,04,0400061,Intelli-School  Inc.,No,5,,S,.,S,S,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400070,Tempe Preparatory Academy,No,S,,.,.,.,.,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400077,Career Development  Inc.,No,22,,.,.,S,S,5,.,.,.,12APR17
2015-2016,ARIZONA,04,0400078,Edge School  Inc.  The,No,55,,.,S,S,36,8,.,.,.,12APR17
2015-2016,ARIZONA,04,0400082,Colorado River Union High School District,No,87,,S,.,S,42,8,.,.,.,12APR17
2015-2016,ARIZONA,04,0400083,Portable Practical Educational Preparation Inc. (PPEP In 1,No,122,,5,.,3,114,20,19,33,.,12APR17
2015-2016,ARIZONA,04,0400090,Mingus Springs Charter School,No,9,,.,.,.,9,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400099,Liberty High School,No,21,,.,S,S,19,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400102,Friendly House  Inc.,No,103,,.,.,10,93,9,22,.,.,12APR17
2015-2016,ARIZONA,04,0400103,Ombudsman Educational Services Ltd. a subsidiary of Educ 1,No,68,,5,6,14,43,10,.,.,.,12APR17
2015-2016,ARIZONA,04,0400105,Hillcrest Academy  Inc.,No,S,,.,.,S,.,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400107,International Commerce Secondary Schools  Inc.,No,11,,S,.,S,6,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400109,Phoenix Advantage Charter School  Inc.,No,33,,S,6,S,21,.,12,.,.,12APR17
2015-2016,ARIZONA,04,0400128,Academy Of Excellence  Inc.,No,133,,.,93,17,23,S,6,.,.,12APR17
2015-2016,ARIZONA,04,0400144,Florence Crittenton Services of Arizona  Inc.,No,3,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400149,Kaizen Education Foundation dba El Dorado High School,No,36,,.,.,5,31,8,S,.,.,12APR17
2015-2016,ARIZONA,04,0400150,Mexicayotl Academy  Inc.,No,7,,.,.,.,7,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400153,Phoenix School of Academic Excellence The,No,17,,S,.,S,6,5,.,.,.,12APR17
2015-2016,ARIZONA,04,0400157,Edkey  Inc. - Sequoia Choice Schools,No,141,,S,.,77,S,11,S,.,.,12APR17
2015-2016,ARIZONA,04,0400159,Tucson Preparatory School,No,93,,.,.,36,40,21,.,.,.,12APR17
2015-2016,ARIZONA,04,0400190,Liberty Traditional Charter School,No,50,,.,.,.,47,4,20,.,.,12APR17
2015-2016,ARIZONA,04,0400191,Fit Kids  Inc. dba Champion Schools,No,218,,.,.,.,.,19,15,.,.,12APR17
2015-2016,ARIZONA,04,0400201,Pima County,No,69,,S,.,S,66,13,S,.,.,12APR17
2015-2016,ARIZONA,04,0400204,Mountain Rose Academy  Inc.,No,18,,.,.,S,S,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400208,Mountain Oak Charter School  Inc.,No,S,,.,.,S,.,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400209,Park View School  Inc.,No,26,,S,.,S,22,5,.,.,.,12APR17
2015-2016,ARIZONA,04,0400212,Benson Unified School District,No,17,,S,.,S,14,5,S,.,.,12APR17
2015-2016,ARIZONA,04,0400218,American Basic Schools LLC,No,4,,.,.,.,4,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400219,Career Success Schools,No,16,,.,.,S,S,S,S,.,.,12APR17
2015-2016,ARIZONA,04,0400221,Kaizen Education Foundation dba South Pointe Elementary Scho,No,77,,.,.,11,62,7,6,.,.,12APR17
2015-2016,ARIZONA,04,0400227,Kaizen Education Foundation dba South Pointe Junior High Sch,No,22,,.,.,6,13,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400230,Pathfinder Charter School Foundation,No,4,,.,.,S,S,.,S,.,.,12APR17
2015-2016,ARIZONA,04,0400235,Excalibur Charter Schools  Inc.,No,7,,.,.,.,7,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400239,P.L.C. Charter Schools,No,9,,S,.,.,S,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400241,Paragon Management  Inc.,No,4,,.,.,S,S,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400244,Edkey  Inc. - Sequoia Charter School,No,71,,S,.,S,26,25,4,.,.,12APR17
2015-2016,ARIZONA,04,0400246,Edkey  Inc. - Sequoia Village School,No,12,,.,.,.,12,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400248,Telesis Center for Learning  Inc.,No,11,,.,.,.,10,S,S,.,.,12APR17
2015-2016,ARIZONA,04,0400254,Southern Arizona Community Academy  Inc.,No,12,,.,.,3,.,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400259,Southgate Academy  Inc.,No,3,,.,.,S,S,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400266,PACE Preparatory Academy  Inc.,No,S,,.,.,.,.,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400276,Academy with Community Partners  Inc,No,26,,.,.,.,26,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400284,Omega Alpha Academy,No,19,,3,.,3,13,.,9,.,.,12APR17
2015-2016,ARIZONA,04,0400288,Premier Charter High School,No,36,,.,.,.,36,.,3,.,.,12APR17
2015-2016,ARIZONA,04,0400290,Pan-American Elementary Charter,No,12,,S,S,3,4,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400295,Kingman Unified School District,No,489,Y,24,9,36,410,86,10,.,15,12APR17
2015-2016,ARIZONA,04,0400298,Legacy Schools,No,9,,.,.,.,9,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400299,Visions Unlimited Academy  Inc.,No,5,,.,.,.,5,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400310,Calibre Academy,No,5,,.,.,.,5,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400311,E-Institute Charter Schools  Inc.,No,38,,S,.,S,22,3,S,.,.,12APR17
2015-2016,ARIZONA,04,0400315,Yavapai Accommodation School District,No,4,,.,.,S,S,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400318,Aprender Tucson,No,52,,.,.,.,52,14,22,.,.,12APR17
2015-2016,ARIZONA,04,0400320,Acorn Montessori Charter School,No,10,,.,.,.,7,S,S,.,.,12APR17
2015-2016,ARIZONA,04,0400322,Desert Rose Academy Inc.,No,22,,.,S,S,19,4,.,.,.,12APR17
2015-2016,ARIZONA,04,0400326,Success School,No,5,,.,.,.,5,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400329,American Virtual Academy,No,S,,.,.,.,.,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400340,Noah Webster Schools - Mesa,No,7,,3,.,.,4,S,S,.,.,12APR17
2015-2016,ARIZONA,04,0400350,PEAK School Inc.  The,No,S,,.,.,.,S,.,S,.,.,12APR17
2015-2016,ARIZONA,04,0400351,Kaizen Education Foundation dba Vista Grove Preparatory  1,No,20,,S,.,.,S,4,.,.,.,12APR17
2015-2016,ARIZONA,04,0400352,American Charter Schools Foundation d.b.a. Estrella High Sch,No,29,,S,S,3,22,3,S,.,.,12APR17
2015-2016,ARIZONA,04,0400353,American Charter Schools Foundation d.b.a. Peoria Accelerate,No,107,,.,S,91,S,13,S,.,.,12APR17
2015-2016,ARIZONA,04,0400354,American Charter Schools Foundation d.b.a. Sun Valley High S,No,39,,S,.,S,30,5,.,.,.,12APR17
2015-2016,ARIZONA,04,0400355,American Charter Schools Foundation d.b.a. West Phoenix High,Yes,237,,S,.,S,232,21,15,.,.,12APR17
2015-2016,ARIZONA,04,0400356,Nosotros  Inc,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400357,American Charter Schools Foundation d.b.a. Apache Trail High,No,10,,.,.,7,3,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400361,Arizona Community Development Corporation,No,48,,S,.,S,44,9,S,.,.,12APR17
2015-2016,ARIZONA,04,0400363,SC Jensen Corporation  Inc. dba Intelli-School,No,3,,.,.,S,S,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400364,PAS Charter  Inc.  dba Intelli-School,No,5,,.,S,S,.,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400367,Pima Prevention Partnership dba Pima Partnership School  The,No,3,,.,.,.,3,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400370,Midtown Primary School,No,21,,.,.,.,21,8,S,.,.,12APR17
2015-2016,ARIZONA,04,0400373,Tucson International Academy  Inc.,No,8,,.,.,.,7,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400374,Bell Canyon Charter School  Inc,No,11,,S,.,.,S,3,.,.,.,12APR17
2015-2016,ARIZONA,04,0400376,Cortez Park Charter Middle School  Inc.,No,3,,3,.,.,.,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400383,Life Skills Center of Arizona  Inc.,No,34,,.,.,5,29,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400385,American Charter Schools Foundation d.b.a. Crestview College,No,31,,S,S,.,27,4,S,.,.,12APR17
2015-2016,ARIZONA,04,0400386,Kaizen Education Foundation dba Summit High School,No,19,,.,.,S,S,4,S,.,.,12APR17
2015-2016,ARIZONA,04,0400387,Kaizen Education Foundation dba Tempe Accelerated High Schoo,No,10,,.,.,.,10,S,S,.,.,12APR17
2015-2016,ARIZONA,04,0400388,Kaizen Education Foundation dba Skyview High School,No,5,,.,.,.,5,S,S,.,.,12APR17
2015-2016,ARIZONA,04,0400389,Kaizen Education Foundation dba Maya High School,No,166,,3,4,20,138,10,22,.,.,12APR17
2015-2016,ARIZONA,04,0400395,LEAD Charter Schools,No,S,,.,.,S,.,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400397,CAFA  Inc. dba Learning Foundation Performing Arts School,No,24,,.,.,5,19,4,S,.,.,12APR17
2015-2016,ARIZONA,04,0400399,Montessori Academy  Inc.,No,S,,.,.,S,.,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400407,CITY Center for Collaborative Learning,No,9,,.,.,.,9,3,.,.,.,12APR17
2015-2016,ARIZONA,04,0400413,Mohave Accelerated Elementary School  Inc.,No,S,,.,.,S,.,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400414,Academy of Building Industries  Inc.,No,13,,S,S,7,4,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400416,StarShine Academy,No,117,,.,.,9,103,9,5,.,.,12APR17
2015-2016,ARIZONA,04,0400419,Gila County Regional School District,No,90,,.,.,S,S,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400423,Legacy Education Group,No,3,,.,.,.,S,S,.,.,S,12APR17
2015-2016,ARIZONA,04,0400425,East Mesa Charter Elementary School  Inc.,No,6,,S,.,.,S,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400429,Country Gardens Charter Schools,No,21,,.,.,21,.,3,S,.,.,12APR17
2015-2016,ARIZONA,04,0400432,Portable Practical Educational Preparation Inc. (PPEP In 2,No,51,,11,.,27,13,5,4,.,.,12APR17
2015-2016,ARIZONA,04,0400446,Imagine Elementary at Tempe  Inc.,No,18,,.,.,10,8,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400447,American Charter Schools Foundation d.b.a. South Ridge High,No,6,,S,.,3,S,S,S,.,.,12APR17
2015-2016,ARIZONA,04,0400450,Agua Fria Union High School District,No,87,,S,S,22,58,14,4,.,.,12APR17
2015-2016,ARIZONA,04,0400600,Alhambra Elementary District,Yes,508,Y,53,10,81,364,73,51,.,.,12APR17
2015-2016,ARIZONA,04,0400610,Desert Heights Charter Schools,No,8,,.,.,.,8,S,.,.,.,12APR17
2015-2016,ARIZONA,04,0400614,MCCCD on behalf of Phoenix College Preparatory Academy,No,S,,.,.,S,.,.,.,.,.,12APR17
2015-2016,ARIZONA,04,0400618,American Charter Schools Foundation d.b.a. South Pointe High,No,82,,S,.,S,62,12,3,.,.,12APR17
