year,state,county,juvenile_arrest_rate,juvenile_arrests_under10,coverage_indicator_jjarrest,adult_under18,jjarrest_rate_quality
2016,01,001,2363.0354,1,.99782133,0,2
2016,01,003,2066.0569,0,1,0,1
2016,01,005,1681.2625,2,.99646646,0,2
2016,01,007,194.11369,1,1,0,1
2016,01,009,283.30939,0,.99807322,0,2
2016,01,011,187.30449,0,1,0,1
2016,01,013,3154.3328,0,1,0,1
2016,01,015,1415.608,0,.999053,0,2
2016,01,017,1037.1406,0,1,0,1
2016,01,019,547.34998,0,1,0,1
2016,01,021,919.85498,0,1,0,1
2016,01,023,237.33989,0,1,0,1
2016,01,025,3623.8372,0,1,0,1
2016,01,027,235.20004,0,1,0,1
2016,01,029,1668.9282,0,1,0,1
2016,01,031,1221.8842,0,1,0,1
2016,01,033,587.6947,4,.99822378,0,2
2016,01,035,1251.1991,3,1,0,1
2016,01,037,1052.3419,0,1,0,1
2016,01,039,1698.2029,0,.99773753,0,2
2016,01,041,216.97151,0,.99333334,0,2
2016,01,043,246.11235,0,1,0,1
2016,01,045,712.2558,1,.99848944,0,2
2016,01,047,952.24969,27,.99581587,0,2
2016,01,049,180.36496,0,.99698341,0,2
2016,01,051,297.82361,0,.98804784,0,2
2016,01,053,1092.1799,1,1,0,1
2016,01,055,135.67294,1,.99746192,0,2
2016,01,057,285.6441,0,1,0,1
2016,01,059,0,0,.97029704,0,2
2016,01,061,634.66193,1,1,0,1
2016,01,063,294.70126,0,1,0,1
2016,01,065,281.88705,0,1,0,1
2016,01,067,988.0498,0,.99640286,0,2
2016,01,069,3074.395,0,.99689925,0,2
2016,01,071,516.53247,0,.99598396,0,2
2016,01,073,721.797,7,.99850857,0,2
2016,01,075,202.80685,0,1,0,1
2016,01,077,418.52783,1,.99457997,0,2
2016,01,079,64.503853,0,.99275362,0,2
2016,01,081,1461.5159,0,1,0,1
2016,01,083,906.85767,1,1,0,1
2016,01,085,81.092476,0,.96938777,0,2
2016,01,087,621.16547,1,.99603176,0,2
2016,01,089,1604.8883,1,1,0,1
2016,01,091,1515.598,0,.99719101,0,2
2016,01,093,1727.9226,1,1,0,1
2016,01,095,646.99994,0,1,0,1
2016,01,097,1742.1064,18,.99837267,0,2
2016,01,099,762.6347,1,.99578059,0,2
2016,01,101,294.71042,1,.98971725,0,2
2016,01,103,1869.7816,0,.99865592,0,2
2016,01,105,252.59967,0,1,0,1
2016,01,107,254.60323,0,1,0,1
2016,01,109,1429.6548,0,1,0,1
2016,01,111,763.16943,1,.99397588,0,2
2016,01,113,77.398933,0,.99772209,0,2
