fips,name,name2
01001,"Autauga County, Alabama","Autauga County, Alabama"
01003,"Baldwin County, Alabama","Baldwin County, Alabama"
01005,"Barbour County, Alabama","Barbour County, Alabama"
01007,"Bibb County, Alabama","Bibb County, Alabama"
01009,"Blount County, Alabama","Blount County, Alabama"
01011,"Bullock County, Alabama","Bullock County, Alabama"
01013,"Butler County, Alabama","Butler County, Alabama"
01015,"Calhoun County, Alabama","Calhoun County, Alabama"
01017,"Chambers County, Alabama","Chambers County, Alabama"
01019,"Cherokee County, Alabama","Cherokee County, Alabama"
01021,"Chilton County, Alabama","Chilton County, Alabama"
01023,"Choctaw County, Alabama","Choctaw County, Alabama"
01025,"Clarke County, Alabama","Clarke County, Alabama"
01027,"Clay County, Alabama","Clay County, Alabama"
01029,"Cleburne County, Alabama","Cleburne County, Alabama"
01031,"Coffee County, Alabama","Coffee County, Alabama"
01033,"Colbert County, Alabama","Colbert County, Alabama"
01035,"Conecuh County, Alabama","Conecuh County, Alabama"
01037,"Coosa County, Alabama","Coosa County, Alabama"
01039,"Covington County, Alabama","Covington County, Alabama"
01041,"Crenshaw County, Alabama","Crenshaw County, Alabama"
01043,"Cullman County, Alabama","Cullman County, Alabama"
01045,"Dale County, Alabama","Dale County, Alabama"
01047,"Dallas County, Alabama","Dallas County, Alabama"
01049,"DeKalb County, Alabama","DeKalb County, Alabama"
01051,"Elmore County, Alabama","Elmore County, Alabama"
01053,"Escambia County, Alabama","Escambia County, Alabama"
01055,"Etowah County, Alabama","Etowah County, Alabama"
01057,"Fayette County, Alabama","Fayette County, Alabama"
01059,"Franklin County, Alabama","Franklin County, Alabama"
01061,"Geneva County, Alabama","Geneva County, Alabama"
01063,"Greene County, Alabama","Greene County, Alabama"
01065,"Hale County, Alabama","Hale County, Alabama"
01067,"Henry County, Alabama","Henry County, Alabama"
01069,"Houston County, Alabama","Houston County, Alabama"
01071,"Jackson County, Alabama","Jackson County, Alabama"
01073,"Jefferson County, Alabama","Jefferson County, Alabama"
01075,"Lamar County, Alabama","Lamar County, Alabama"
01077,"Lauderdale County, Alabama","Lauderdale County, Alabama"
01079,"Lawrence County, Alabama","Lawrence County, Alabama"
01081,"Lee County, Alabama","Lee County, Alabama"
01083,"Limestone County, Alabama","Limestone County, Alabama"
01085,"Lowndes County, Alabama","Lowndes County, Alabama"
01087,"Macon County, Alabama","Macon County, Alabama"
01089,"Madison County, Alabama","Madison County, Alabama"
01091,"Marengo County, Alabama","Marengo County, Alabama"
01093,"Marion County, Alabama","Marion County, Alabama"
01095,"Marshall County, Alabama","Marshall County, Alabama"
01097,"Mobile County, Alabama","Mobile County, Alabama"
01099,"Monroe County, Alabama","Monroe County, Alabama"
01101,"Montgomery County, Alabama","Montgomery County, Alabama"
01103,"Morgan County, Alabama","Morgan County, Alabama"
01105,"Perry County, Alabama","Perry County, Alabama"
01107,"Pickens County, Alabama","Pickens County, Alabama"
01109,"Pike County, Alabama","Pike County, Alabama"
01111,"Randolph County, Alabama","Randolph County, Alabama"
01113,"Russell County, Alabama","Russell County, Alabama"
01115,"St. Clair County, Alabama","St. Clair County, Alabama"
01117,"Shelby County, Alabama","Shelby County, Alabama"
01119,"Sumter County, Alabama","Sumter County, Alabama"
01121,"Talladega County, Alabama","Talladega County, Alabama"
01123,"Tallapoosa County, Alabama","Tallapoosa County, Alabama"
01125,"Tuscaloosa County, Alabama","Tuscaloosa County, Alabama"
01127,"Walker County, Alabama","Walker County, Alabama"
01129,"Washington County, Alabama","Washington County, Alabama"
01131,"Wilcox County, Alabama","Wilcox County, Alabama"
01133,"Winston County, Alabama","Winston County, Alabama"
02013,"Aleutians East Borough, Alaska","Aleutians East Borough, Alaska"
02016,"Aleutians West Census Area, Alaska","Aleutians West Census Area, Alaska"
02020,"Anchorage Municipality, Alaska","Anchorage Municipality, Alaska"
02050,"Bethel Census Area, Alaska","Bethel Census Area, Alaska"
02060,"Bristol Bay Borough, Alaska","Bristol Bay Borough, Alaska"
02063,"Chugach Census Area, Alaska","Chugach Census Area, Alaska"
02066,"Copper River Census Area, Alaska","Copper River Census Area, Alaska"
02068,"Denali Borough, Alaska","Denali Borough, Alaska"
02070,"Dillingham Census Area, Alaska","Dillingham Census Area, Alaska"
02090,"Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough, Alaska"
02100,"Haines Borough, Alaska","Haines Borough, Alaska"
02105,"Hoonah-Angoon Census Area, Alaska","Hoonah-Angoon Census Area, Alaska"
02110,"Juneau City and Borough, Alaska","Juneau City and Borough, Alaska"
02122,"Kenai Peninsula Borough, Alaska","Kenai Peninsula Borough, Alaska"
02130,"Ketchikan Gateway Borough, Alaska","Ketchikan Gateway Borough, Alaska"
02150,"Kodiak Island Borough, Alaska","Kodiak Island Borough, Alaska"
02158,"Kusilvak Census Area, Alaska","Kusilvak Census Area, Alaska"
02164,"Lake and Peninsula Borough, Alaska","Lake and Peninsula Borough, Alaska"
02170,"Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough, Alaska"
02180,"Nome Census Area, Alaska","Nome Census Area, Alaska"
02185,"North Slope Borough, Alaska","North Slope Borough, Alaska"
02188,"Northwest Arctic Borough, Alaska","Northwest Arctic Borough, Alaska"
02195,"Petersburg Borough, Alaska","Petersburg Borough, Alaska"
02198,"Prince of Wales-Hyder Census Area, Alaska","Prince of Wales-Hyder Census Area, Alaska"
02220,"Sitka City and Borough, Alaska","Sitka City and Borough, Alaska"
02230,"Skagway Municipality, Alaska","Skagway Municipality, Alaska"
02240,"Southeast Fairbanks Census Area, Alaska","Southeast Fairbanks Census Area, Alaska"
02275,"Wrangell City and Borough, Alaska","Wrangell City and Borough, Alaska"
02282,"Yakutat City and Borough, Alaska","Yakutat City and Borough, Alaska"
02290,"Yukon-Koyukuk Census Area, Alaska","Yukon-Koyukuk Census Area, Alaska"
04001,"Apache County, Arizona","Apache County, Arizona"
04003,"Cochise County, Arizona","Cochise County, Arizona"
04005,"Coconino County, Arizona","Coconino County, Arizona"
04007,"Gila County, Arizona","Gila County, Arizona"
04009,"Graham County, Arizona","Graham County, Arizona"
04011,"Greenlee County, Arizona","Greenlee County, Arizona"
04012,"La Paz County, Arizona","La Paz County, Arizona"
04013,"Maricopa County, Arizona","Maricopa County, Arizona"
