tract_fips_2020,Tract_fips_2022,tract_name,town_name,town_fips_2020,town_fips_2022,county_name,county_fips_2020,ce_name_2022,ce_fips_2022,PUMA2020code,PUMA2020name,school_district_code,school_district_name,zip5_zcta2020
09009350400,09140350400,3504,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06704
09009350500,09140350500,3505,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06706
09009352701,09140352701,3527.01,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06705
09009352702,09140352702,3527.02,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06705
09009352800,09140352800,3528,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06706
09009166002,09170166002,1660.02,Hamden,0900935650,0917035650,New Haven,09009,South Central Connecticut Planning Region,09170,20503,South Central North,62,Hamden,06518
09009194202,09170194202,1942.02,Madison,0900944560,0917044560,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,76,Madison,06443
09009346102,09140346102,3461.02,Oxford,0900958300,0914058300,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,108,Oxford,06478
09009351100,09140351100,3511,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06704
09009361300,09140361300,3613,Wolcott,0900987560,0914087560,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,166,Wolcott,06716
09009190303,09170190303,1903.03,Guilford,0900934950,0917034950,New Haven,09009,South Central Connecticut Planning Region,09170,20504,South Central East,60,Guilford,06437
09009341100,09140341100,3411,Beacon Falls,0900903250,0914003250,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,216,Region 16,06403
09009343200,09140343200,3432,Cheshire,0900914160,0914014160,New Haven,09009,Naugatuck Valley Planning Region,09140,20602,Naugatuck Valley North,25,Cheshire,06410
09009350800,09140350800,3508,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06710
09009351800,09140351800,3518,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06708
09009351000,09140351000,3510,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06704
09009351200,09140351200,3512,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06704
09009351300,09140351300,3513,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06705
09009351400,09140351400,3514,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06706
09009350900,09140350900,3509,Waterbury,0900980070,0914080070,New Haven,09009,Naugatuck Valley Planning Region,09140,20601,Waterbury Town,151,Waterbury,06710
09009345100,09140345100,3451,Naugatuck,0900949950,0914049950,New Haven,09009,Naugatuck Valley Planning Region,09140,20603,Naugatuck Valley South,88,Naugatuck,06770
