year,state,place,state_name,place_name,population
2014,01,03076,Alabama,Auburn city,60258
2014,01,07000,Alabama,Birmingham city,212247
2014,01,35896,Alabama,Hoover city,84353
2014,01,37000,Alabama,Huntsville city,188226
2014,01,50000,Alabama,Mobile city,194675
2014,01,51000,Alabama,Montgomery city,200481
2014,01,77256,Alabama,Tuscaloosa city,96122
2014,02,03000,Alaska,Anchorage municipality,301010
2014,04,04720,Arizona,Avondale city,79646
2014,04,07940,Arizona,Buckeye town,59470
2014,04,12000,Arizona,Chandler city,254276
2014,04,23620,Arizona,Flagstaff city,68785
2014,04,27400,Arizona,Gilbert town,239277
2014,04,27820,Arizona,Glendale city,237517
2014,04,28380,Arizona,Goodyear city,75664
2014,04,46000,Arizona,Mesa city,464704
2014,04,54050,Arizona,Peoria city,166934
2014,04,55000,Arizona,Phoenix city,1537058
2014,04,65000,Arizona,Scottsdale city,230512
2014,04,71510,Arizona,Surprise city,126275
2014,04,73000,Arizona,Tempe city,172816
2014,04,77000,Arizona,Tucson city,527972
2014,04,85540,Arizona,Yuma city,93400
2014,05,23290,Arkansas,Fayetteville city,80621
2014,05,24550,Arkansas,Fort Smith city,87351
2014,05,35710,Arkansas,Jonesboro city,72210
2014,05,41000,Arkansas,Little Rock city,197706
2014,05,66080,Arkansas,Springdale city,76565
2014,06,00562,California,Alameda city,77660
2014,06,00884,California,Alhambra city,85569
2014,06,02000,California,Anaheim city,346997
2014,06,02252,California,Antioch city,108930
2014,06,02364,California,Apple Valley town,71595
2014,06,03526,California,Bakersfield city,368759
2014,06,04982,California,Bellflower city,78236
2014,06,06000,California,Berkeley city,118853
2014,06,08786,California,Buena Park city,83105
2014,06,08954,California,Burbank city,105368
2014,06,11194,California,Carlsbad city,112299
2014,06,11530,California,Carson city,93271
2014,06,13014,California,Chico city,89180
2014,06,13210,California,Chino city,84723
2014,06,13214,California,Chino Hills city,77005
2014,06,13392,California,Chula Vista city,260988
2014,06,13588,California,Citrus Heights city,86145
2014,06,14218,California,Clovis city,102189
2014,06,15044,California,Compton city,98597
2014,06,16000,California,Concord city,127522
2014,06,16350,California,Corona city,161486
2014,06,16532,California,Costa Mesa city,112784
2014,06,17918,California,Daly City city,106094
2014,06,19766,California,Downey city,114172
2014,06,21712,California,El Cajon city,103091
2014,06,22020,California,Elk Grove city,163553
2014,06,22230,California,El Monte city,116631
2014,06,22804,California,Escondido city,150243
2014,06,23182,California,Fairfield city,111125
2014,06,24638,California,Folsom city,75361
2014,06,24680,California,Fontana city,204950
2014,06,26000,California,Fremont city,228758
2014,06,27000,California,Fresno city,515986
2014,06,28000,California,Fullerton city,139677
2014,06,29000,California,Garden Grove city,175078
2014,06,30000,California,Glendale city,200167
2014,06,32548,California,Hawthorne city,87583
2014,06,33000,California,Hayward city,154612
2014,06,33182,California,Hemet city,83032
2014,06,33434,California,Hesperia city,92749
2014,06,36000,California,Huntington Beach city,200809
2014,06,36448,California,Indio city,85633
2014,06,36546,California,Inglewood city,111905
2014,06,36770,California,Irvine city,248531
