year,state,county,subgroup_type,subgroup,ratio_affordable_30ami_quality,ratio_affordable_50ami_quality,ratio_affordable_80ami_quality,ratio_available_30ami,ratio_available_50ami,ratio_available_80ami,ratio_affordable_30ami,ratio_affordable_50ami,ratio_affordable_80ami,ratio_available_30ami_quality,ratio_available_50ami_quality,ratio_available_80ami_quality
2022,01,001,tenure,All,2,2,2,0.7854844111325432,0.9213984208198805,0.9876621205741897,1.5836660118024797,1.4934723242394947,1.4726699219445174,2,2,2
2021,01,001,tenure,All,3,3,3,0.9052538181543365,1.08131235270106,1.1429452063762293,2.334737665165105,2.205679475398464,1.8745616179486488,3,3,3
2022,01,003,tenure,All,1,1,1,0.3737251201869075,0.6102489390004434,0.9140411656816793,1.4280001797187403,1.4426426806866408,1.6128999388628489,1,1,1
2021,01,003,tenure,All,1,1,1,0.6993016295310941,0.8445921004060539,1.133902939166097,2.237845028267376,1.9591485172880523,1.9254499886078833,1,1,1
2022,01,005,tenure,All,3,3,3,1.1182205538729875,1.3757980070260505,1.6234037988267025,1.9392600807948672,2.2299810392334347,2.141178398939768,3,3,3
2021,01,005,tenure,All,3,3,3,0.9857597699155186,0.9995533709073585,1.393436853176318,1.884826819331143,1.9055672723881685,1.9798474384730165,3,3,3
2022,01,007,tenure,All,3,3,3,0.9355262002033538,1.090364126973015,1.1163581420789441,2.035327440942979,1.926578364030236,1.5745952533166852,3,3,3
2021,01,007,tenure,All,3,3,3,0.8137455792844891,0.9735838962567998,1.076468814202091,1.4307939832733785,1.4477792944361418,1.394258648582445,3,3,3
2022,01,009,tenure,All,2,2,2,0.6846119245668096,0.891465737044751,0.9735961680974096,1.924233574593084,1.8710400330152246,1.6884331607787137,2,2,2
2021,01,009,tenure,All,2,2,2,0.7977259078880509,0.8117252616017367,1.028617064568047,2.517725907888051,1.887792853244559,1.6302844423866707,2,2,2
2022,01,011,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,01,011,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,013,tenure,All,3,3,3,1.2549460246065771,1.572211628614145,1.8448585659101417,2.075985551528457,2.426394660821529,2.3626331660232074,3,3,3
2021,01,013,tenure,All,3,3,3,2.2388740932209372,2.2107231545594415,2.084625085068593,3.3758837157227877,3.296415090272711,2.9120116412726977,3,3,3
2022,01,015,tenure,All,1,1,1,0.7448556185959861,0.8416916167664671,1.0157268292682926,2.295706664408502,2.0091067864271457,1.6675121951219511,1,1,1
