year,state,place,state_name,place_name,subgroup,subgroup_type,share_digital_access,share_digital_access_quality
2016,01,03076,Alabama,Auburn city,All,all,NA,NA
2016,01,03076,Alabama,Auburn city,Other Races and Ethnicities,race-ethnicity,NA,NA
2016,01,03076,Alabama,Auburn city,"Black, Non-Hispanic",race-ethnicity,NA,NA
2016,01,03076,Alabama,Auburn city,Hispanic,race-ethnicity,NA,NA
2016,01,03076,Alabama,Auburn city,"White, Non-Hispanic",race-ethnicity,NA,NA
2016,01,07000,Alabama,Birmingham city,All,all,NA,NA
2016,01,07000,Alabama,Birmingham city,Other Races and Ethnicities,race-ethnicity,NA,NA
2016,01,07000,Alabama,Birmingham city,"Black, Non-Hispanic",race-ethnicity,NA,NA
2016,01,07000,Alabama,Birmingham city,Hispanic,race-ethnicity,NA,NA
2016,01,07000,Alabama,Birmingham city,"White, Non-Hispanic",race-ethnicity,NA,NA
2016,01,35896,Alabama,Hoover city,All,all,NA,NA
2016,01,35896,Alabama,Hoover city,Other Races and Ethnicities,race-ethnicity,NA,NA
2016,01,35896,Alabama,Hoover city,"Black, Non-Hispanic",race-ethnicity,NA,NA
2016,01,35896,Alabama,Hoover city,Hispanic,race-ethnicity,NA,NA
2016,01,35896,Alabama,Hoover city,"White, Non-Hispanic",race-ethnicity,NA,NA
2016,01,37000,Alabama,Huntsville city,All,all,NA,NA
2016,01,37000,Alabama,Huntsville city,Other Races and Ethnicities,race-ethnicity,NA,NA
2016,01,37000,Alabama,Huntsville city,"Black, Non-Hispanic",race-ethnicity,NA,NA
2016,01,37000,Alabama,Huntsville city,Hispanic,race-ethnicity,NA,NA
2016,01,37000,Alabama,Huntsville city,"White, Non-Hispanic",race-ethnicity,NA,NA
2016,01,50000,Alabama,Mobile city,All,all,NA,NA
2016,01,50000,Alabama,Mobile city,Other Races and Ethnicities,race-ethnicity,NA,NA
2016,01,50000,Alabama,Mobile city,"Black, Non-Hispanic",race-ethnicity,NA,NA
2016,01,50000,Alabama,Mobile city,Hispanic,race-ethnicity,NA,NA
2016,01,50000,Alabama,Mobile city,"White, Non-Hispanic",race-ethnicity,NA,NA
2016,01,51000,Alabama,Montgomery city,All,all,NA,NA
2016,01,51000,Alabama,Montgomery city,Other Races and Ethnicities,race-ethnicity,NA,NA
