state,county,state_name,county_name,share_digital_access,share_digital_access_quality
01,001,Alabama,Autauga County,NA,NA
01,003,Alabama,Baldwin County,0.8821393165678678,1
01,005,Alabama,Barbour County,NA,NA
01,007,Alabama,Bibb County,NA,NA
01,009,Alabama,Blount County,NA,NA
01,011,Alabama,Bullock County,NA,NA
01,013,Alabama,Butler County,NA,NA
01,015,Alabama,Calhoun County,0.8667425220454694,1
01,017,Alabama,Chambers County,NA,NA
01,019,Alabama,Cherokee County,NA,NA
01,021,Alabama,Chilton County,NA,NA
01,023,Alabama,Choctaw County,NA,NA
01,025,Alabama,Clarke County,NA,NA
01,027,Alabama,Clay County,NA,NA
01,029,Alabama,Cleburne County,NA,NA
01,031,Alabama,Coffee County,NA,NA
01,033,Alabama,Colbert County,NA,NA
01,035,Alabama,Conecuh County,NA,NA
01,037,Alabama,Coosa County,NA,NA
01,039,Alabama,Covington County,NA,NA
01,041,Alabama,Crenshaw County,NA,NA
01,043,Alabama,Cullman County,0.8728799421676028,1
01,045,Alabama,Dale County,NA,NA
01,047,Alabama,Dallas County,NA,NA
01,049,Alabama,DeKalb County,0.8720662156544087,1
01,051,Alabama,Elmore County,0.9156513314347787,1
01,053,Alabama,Escambia County,NA,NA
01,055,Alabama,Etowah County,0.8439783762138352,1
01,057,Alabama,Fayette County,NA,NA
01,059,Alabama,Franklin County,NA,NA
01,061,Alabama,Geneva County,NA,NA
01,063,Alabama,Greene County,NA,NA
01,065,Alabama,Hale County,NA,NA
01,067,Alabama,Henry County,NA,NA
01,069,Alabama,Houston County,0.8528184454346135,1
01,071,Alabama,Jackson County,NA,NA
01,073,Alabama,Jefferson County,0.8912890755746165,1
01,075,Alabama,Lamar County,NA,NA
01,077,Alabama,Lauderdale County,0.8353706978293739,1
01,079,Alabama,Lawrence County,NA,NA
01,081,Alabama,Lee County,0.8625783098983711,1
01,083,Alabama,Limestone County,0.864821660505545,1
01,085,Alabama,Lowndes County,NA,NA
01,087,Alabama,Macon County,NA,NA
01,089,Alabama,Madison County,0.9221887127975297,1
01,091,Alabama,Marengo County,NA,NA
01,093,Alabama,Marion County,NA,NA
01,095,Alabama,Marshall County,0.8873016306574527,1
01,097,Alabama,Mobile County,0.8344638848743888,1
01,099,Alabama,Monroe County,NA,NA
01,101,Alabama,Montgomery County,0.9170744639720746,1
01,103,Alabama,Morgan County,0.8602157102157102,1
01,105,Alabama,Perry County,NA,NA
01,107,Alabama,Pickens County,NA,NA
01,109,Alabama,Pike County,NA,NA
01,111,Alabama,Randolph County,NA,NA
