year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2018,01,001,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,001,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,001,all,All,0.8544034090909092,0.7506177520634019,0.9581890661184165,3
2018,01,003,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,003,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,003,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,003,race-ethnicity,"White, Non-Hispanic",0.8937780269058296,0.8171444118018286,0.9704116420098307,3
2018,01,003,all,All,0.8233636757693975,0.7241240904342607,0.9226032611045343,1
2018,01,005,race-ethnicity,"Black, Non-Hispanic",0.9106225014277556,0.8598338843690686,0.9614111184864426,3
2018,01,005,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,005,all,All,0.9012615643397813,0.8597139598608025,0.9428091688187602,3
2018,01,007,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,007,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,007,all,All,0.8868932038834951,0.8169411246829789,0.9568452830840114,3
2018,01,009,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,009,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,009,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,009,race-ethnicity,"White, Non-Hispanic",0.9458611220086309,0.8979081748084798,0.993814069208782,3
2018,01,009,all,All,0.9213806327900288,0.8536355793223421,0.9891256862577155,3
2018,01,011,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,011,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,011,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,011,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,011,all,All,NA,NA,NA,3
2018,01,013,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,013,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,013,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,013,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,013,all,All,0.8592564491654021,0.7881492050423997,0.9303636932884045,3
2018,01,015,race-ethnicity,"Black, Non-Hispanic",0.9779735682819384,0.9419630855784255,1,3
2018,01,015,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,015,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,015,race-ethnicity,"White, Non-Hispanic",0.9369565217391305,0.8879278577993698,0.9859851856788912,1
2018,01,015,all,All,0.9438085327783559,0.9052136138754334,0.9824034516812783,1
2018,01,017,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,017,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,017,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,017,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,017,all,All,0.8633912522468544,0.7894151109595828,0.937367393534126,3
2018,01,019,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,019,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,019,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,019,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,019,all,All,NA,NA,NA,3
2018,01,021,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,021,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,021,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,021,race-ethnicity,"White, Non-Hispanic",0.8650500790722193,0.7780954090612819,0.9520047490831567,3
2018,01,021,all,All,0.8633912522468544,0.7894151109595828,0.937367393534126,3
2018,01,023,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,023,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,023,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,023,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,023,all,All,NA,NA,NA,3
2018,01,025,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,025,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,025,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,3
2018,01,025,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,3
2018,01,025,all,All,NA,NA,NA,3
2018,01,027,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,01,027,race-ethnicity,Hispanic,NA,NA,NA,3
