year,state,place,subgroup_type,subgroup,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2017,01,0103076,all,All,.75042897,.55971694,.94114101,1
2017,01,0103076,gender,Female,.78527415,.58836371,.98218459,1
2017,01,0103076,gender,Male,.75286096,.54074878,.96497315,1
2017,01,0103076,income,Economically Disadvantaged,.63433427,.32434204,.94432652,1
2017,01,0103076,income,Not Economically Disadvantaged,.78719777,.60796946,.96642607,1
2017,01,0103076,race-ethnicity,"Black, Non-Hispanic",.75953454,.48261979,1.0364493,1
2017,01,0103076,race-ethnicity,Hispanic,-.055423349,-3.9321105,3.8212638,3
2017,01,0103076,race-ethnicity,"White, Non-Hispanic",.83955163,.67826277,1.0008404,1
2017,01,0107000,all,All,.79033613,.68402803,.89664423,1
2017,01,0107000,gender,Female,.80840153,.69493937,.92186362,1
2017,01,0107000,gender,Male,.75233233,.63192648,.87273824,1
2017,01,0107000,income,Economically Disadvantaged,.79868877,.68898296,.90839458,1
2017,01,0107000,income,Not Economically Disadvantaged,.69616848,.54530454,.84703243,1
2017,01,0107000,race-ethnicity,"Black, Non-Hispanic",.84359992,.75992399,.9272759,1
2017,01,0107000,race-ethnicity,Hispanic,.74524736,.40174806,1.0887467,1
2017,01,0107000,race-ethnicity,"White, Non-Hispanic",.72378677,.62404788,.82352567,1
2017,01,0135896,all,All,1.0886145,.94113666,1.2360922,1
2017,01,0135896,gender,Female,1.100577,.94821721,1.2529367,1
2017,01,0135896,gender,Male,1.072204,.90827322,1.2361348,1
2017,01,0135896,income,Economically Disadvantaged,1.1113371,.83345461,1.3892195,1
2017,01,0135896,income,Not Economically Disadvantaged,1.0833571,.94786549,1.2188487,1
2017,01,0135896,race-ethnicity,"Black, Non-Hispanic",1.0474761,.83834743,1.2566047,1
2017,01,0135896,race-ethnicity,Hispanic,1.3329573,.90252644,1.7633882,1
2017,01,0135896,race-ethnicity,"White, Non-Hispanic",1.0988245,.97001612,1.2276329,1
2017,01,0137000,all,All,.81618953,.69625795,.93612117,1
2017,01,0137000,gender,Female,.84193325,.71644032,.96742618,1
2017,01,0137000,gender,Male,.7884295,.65673739,.92012161,1
2017,01,0137000,income,Economically Disadvantaged,.80918634,.65161318,.96675944,1
2017,01,0137000,income,Not Economically Disadvantaged,.7613923,.63300586,.88977873,1
2017,01,0137000,race-ethnicity,"Black, Non-Hispanic",.74144661,.59530753,.8875857,1
2017,01,0137000,race-ethnicity,Hispanic,.85397321,.50701034,1.2009361,1
2017,01,0137000,race-ethnicity,"White, Non-Hispanic",.82921451,.72179043,.93663859,1
2017,01,0150000,all,All,.77185768,.69695204,.84676331,1
2017,01,0150000,gender,Female,.77803469,.6997264,.85634297,1
2017,01,0150000,gender,Male,.7654658,.68315899,.8477726,1
2017,01,0150000,income,Economically Disadvantaged,.80695486,.72847456,.88543516,1
2017,01,0150000,income,Not Economically Disadvantaged,.55404997,.44239187,.66570807,1
