year,state,place,subgroup_type,subgroup,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2018,01,03076,all,All,.79509109,.61535859,.97482359,1
2018,01,03076,gender,Female,.85252702,.66297269,1.0420814,1
2018,01,03076,gender,Male,.74761623,.54980952,.94542295,1
2018,01,03076,income,Economically Disadvantaged,.84381467,.44515958,1.2424698,1
2018,01,03076,income,Not Economically Disadvantaged,.76971096,.59019285,.94922906,1
2018,01,03076,race-ethnicity,"Black, Non-Hispanic",.72495282,.49093533,.95897031,1
2018,01,03076,race-ethnicity,Hispanic,,,,
2018,01,03076,race-ethnicity,"White, Non-Hispanic",.85846663,.71256655,1.0043666,1
2018,01,07000,all,All,.73879385,.63563406,.84195358,1
2018,01,07000,gender,Female,.76671314,.65780258,.87562376,1
2018,01,07000,gender,Male,.70414513,.59075278,.81753749,1
2018,01,07000,income,Economically Disadvantaged,.71023685,.60172105,.81875259,1
2018,01,07000,income,Not Economically Disadvantaged,.7369858,.58859676,.88537484,1
2018,01,07000,race-ethnicity,"Black, Non-Hispanic",.78173429,.70131391,.86215472,1
2018,01,07000,race-ethnicity,Hispanic,.73299378,.40571028,1.0602772,1
2018,01,07000,race-ethnicity,"White, Non-Hispanic",.74855965,.65313989,.84397948,1
2018,01,35896,all,All,.95046842,.80830151,1.0926353,1
2018,01,35896,gender,Female,.93525332,.77737015,1.0931364,1
2018,01,35896,gender,Male,.96784353,.81854993,1.1171372,1
2018,01,35896,income,Economically Disadvantaged,.88720542,.63472956,1.1396812,1
2018,01,35896,income,Not Economically Disadvantaged,.95113319,.81113797,1.0911285,1
2018,01,35896,race-ethnicity,"Black, Non-Hispanic",.97185886,.78870702,1.1550107,1
2018,01,35896,race-ethnicity,Hispanic,1.3703257,.81565392,1.9249974,1
2018,01,35896,race-ethnicity,"White, Non-Hispanic",.97837299,.86035806,1.0963879,1
2018,01,37000,all,All,.74599093,.63122839,.86075354,1
2018,01,37000,gender,Female,.77074558,.649975,.89151615,1
2018,01,37000,gender,Male,.71648329,.58995843,.84300822,1
2018,01,37000,income,Economically Disadvantaged,.68299419,.52742904,.83855933,1
2018,01,37000,income,Not Economically Disadvantaged,.6966576,.56482548,.82848978,1
2018,01,37000,race-ethnicity,"Black, Non-Hispanic",.63332778,.49903491,.76762068,1
2018,01,37000,race-ethnicity,Hispanic,.59534711,.14227885,1.0484153,2
2018,01,37000,race-ethnicity,"White, Non-Hispanic",.8082155,.70868349,.90774751,1
2018,01,50000,all,All,.82489657,.75243592,.89735723,1
2018,01,50000,gender,Female,.83249098,.75511974,.90986222,1
2018,01,50000,gender,Male,.80634344,.72756433,.88512254,1
2018,01,50000,income,Economically Disadvantaged,.83859289,.75707972,.92010605,1
2018,01,50000,income,Not Economically Disadvantaged,.70876414,.60411119,.81341708,2
2018,01,50000,race-ethnicity,"Black, Non-Hispanic",.82301551,.75624144,.88978958,1
2018,01,50000,race-ethnicity,Hispanic,.47882462,.071917988,.88573122,1
2018,01,50000,race-ethnicity,"White, Non-Hispanic",.85290617,.78189695,.92391539,1
2018,01,51000,all,All,.69570553,.59645575,.79495531,1
2018,01,51000,gender,Female,.70542514,.59954447,.81130582,1
2018,01,51000,gender,Male,.67719305,.56921619,.7851699,1
2018,01,51000,income,Economically Disadvantaged,.72274715,.61340666,.83208764,1
2018,01,51000,income,Not Economically Disadvantaged,.59083241,.44434428,.73732054,2
2018,01,51000,race-ethnicity,"Black, Non-Hispanic",.7471121,.67365378,.82057041,1
2018,01,51000,race-ethnicity,Hispanic,.77825063,.41564566,1.1408556,1
2018,01,51000,race-ethnicity,"White, Non-Hispanic",.99897349,.80253184,1.1954151,1
2018,01,77256,all,All,.70088965,.56206667,.83971256,1
2018,01,77256,gender,Female,.72520918,.57510591,.87531245,1
2018,01,77256,gender,Male,.68023115,.53108209,.82938027,1
2018,01,77256,income,Economically Disadvantaged,.62062019,.41237012,.8288703,2
2018,01,77256,income,Not Economically Disadvantaged,.65586221,.47933668,.83238775,1
2018,01,77256,race-ethnicity,"Black, Non-Hispanic",.64122099,.50234771,.78009433,1
2018,01,77256,race-ethnicity,Hispanic,.81322026,-.82518178,2.4516222,3
2018,01,77256,race-ethnicity,"White, Non-Hispanic",.7885409,.66971642,.90736532,1
2018,02,03000,all,All,1.4015683,.94931674,1.8538198,3
2018,02,03000,gender,Female,1.3790984,.90128815,1.8569087,3
2018,02,03000,gender,Male,1.4279249,.93126619,1.9245836,3
2018,02,03000,income,Economically Disadvantaged,1.3331717,.73758972,1.9287537,3
2018,02,03000,income,Not Economically Disadvantaged,.69155848,.16076046,1.2223564,3
2018,02,03000,race-ethnicity,"Black, Non-Hispanic",1.6644547,.45237496,2.8765345,3
2018,02,03000,race-ethnicity,Hispanic,1.3457261,.38079768,2.3106546,3
2018,02,03000,race-ethnicity,"White, Non-Hispanic",1.0587175,.61839962,1.4990354,3
2018,04,04720,all,All,1.2377089,1.0686213,1.4067966,1
2018,04,04720,gender,Female,1.2893145,1.1106441,1.4679848,1
2018,04,04720,gender,Male,1.1790422,.99326861,1.3648157,1
2018,04,04720,income,Economically Disadvantaged,1.2522063,1.0761355,1.428277,1
2018,04,04720,income,Not Economically Disadvantaged,1.2358236,.95567286,1.5159745,2
2018,04,04720,race-ethnicity,"Black, Non-Hispanic",1.2616676,.91328561,1.6100496,1
2018,04,04720,race-ethnicity,Hispanic,1.2724913,1.1197717,1.425211,1
2018,04,04720,race-ethnicity,"White, Non-Hispanic",1.2541066,.96841186,1.5398015,3
2018,04,07940,all,All,.88258284,.68089449,1.0842712,1
2018,04,07940,gender,Female,.90760243,.69474167,1.1204631,1
2018,04,07940,gender,Male,.84608775,.62099606,1.0711794,1
2018,04,07940,income,Economically Disadvantaged,.89487076,.57872576,1.2110158,1
