year,state,county,race_ind,environmental_quality,quality_flag
2014,NA,NA,No Predominant Racial Group,NA,1
2014,01,001,Predominantly People of Color,7,1
2014,01,001,"Predominantly White, Non-Hispanic",5.5,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,01,003,Predominantly People of Color,17,1
2014,01,003,"Predominantly White, Non-Hispanic",39.86666666666667,1
2014,01,005,No Predominant Racial Group,8.2,1
2014,01,005,Predominantly People of Color,8,1
2014,01,005,"Predominantly White, Non-Hispanic",9,1
2014,01,007,No Predominant Racial Group,11,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,007,"Predominantly White, Non-Hispanic",12.333333333333334,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,009,"Predominantly White, Non-Hispanic",26.22222222222222,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,01,011,Predominantly People of Color,5.666666666666667,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,01,013,No Predominant Racial Group,15,1
2014,01,013,Predominantly People of Color,13,1
2014,01,013,"Predominantly White, Non-Hispanic",13.333333333333334,1
2014,01,015,No Predominant Racial Group,13.75,1
2014,01,015,Predominantly People of Color,11.333333333333334,1
2014,01,015,"Predominantly White, Non-Hispanic",14.842105263157896,1
2014,01,017,No Predominant Racial Group,11,1
2014,01,017,Predominantly People of Color,9,1
2014,01,017,"Predominantly White, Non-Hispanic",11.75,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,019,"Predominantly White, Non-Hispanic",23,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,021,"Predominantly White, Non-Hispanic",12.555555555555555,1
2014,01,023,No Predominant Racial Group,19,1
2014,01,023,Predominantly People of Color,18,1
2014,01,023,"Predominantly White, Non-Hispanic",20.5,1
2014,01,025,No Predominant Racial Group,14,1
2014,01,025,Predominantly People of Color,15,1
2014,01,025,"Predominantly White, Non-Hispanic",15.75,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,027,"Predominantly White, Non-Hispanic",19,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,029,"Predominantly White, Non-Hispanic",23,1
2014,01,031,No Predominant Racial Group,13,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,031,"Predominantly White, Non-Hispanic",15.076923076923077,1
2014,01,033,No Predominant Racial Group,27,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,033,"Predominantly White, Non-Hispanic",32.30769230769231,1
2014,01,035,No Predominant Racial Group,12,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,035,"Predominantly White, Non-Hispanic",20,1
2014,01,037,No Predominant Racial Group,15,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,037,"Predominantly White, Non-Hispanic",14.5,1
2014,01,039,No Predominant Racial Group,17,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,039,"Predominantly White, Non-Hispanic",16.666666666666668,1
2014,01,041,No Predominant Racial Group,16,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,041,"Predominantly White, Non-Hispanic",15.25,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,043,"Predominantly White, Non-Hispanic",23.11111111111111,1
2014,01,045,No Predominant Racial Group,13,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,045,"Predominantly White, Non-Hispanic",13.454545454545455,1
2014,01,047,No Predominant Racial Group,9.5,1
2014,01,047,Predominantly People of Color,9.9,1
2014,01,047,"Predominantly White, Non-Hispanic",9.666666666666666,1
2014,01,049,No Predominant Racial Group,40,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,049,"Predominantly White, Non-Hispanic",43.92307692307692,1
2014,01,051,No Predominant Racial Group,6,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,051,"Predominantly White, Non-Hispanic",7.769230769230769,1
2014,01,053,No Predominant Racial Group,25,1
2014,01,053,Predominantly People of Color,12,1
2014,01,053,"Predominantly White, Non-Hispanic",14.666666666666666,1
2014,01,055,No Predominant Racial Group,12,1
2014,01,055,Predominantly People of Color,11.4,1
2014,01,055,"Predominantly White, Non-Hispanic",19.904761904761905,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,057,"Predominantly White, Non-Hispanic",21.4,1
2014,01,059,No Predominant Racial Group,40.5,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,059,"Predominantly White, Non-Hispanic",31.857142857142858,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,NA,NA,Predominantly People of Color,NA,1
2014,01,061,"Predominantly White, Non-Hispanic",19.166666666666668,1
2014,NA,NA,No Predominant Racial Group,NA,1
2014,01,063,Predominantly People of Color,13.666666666666666,1
2014,NA,NA,"Predominantly White, Non-Hispanic",NA,1
2014,01,065,No Predominant Racial Group,15,1
