year,state,city_name,stateplacefp,homeless_count,homeless_count_lb,homeless_count_ub,homeless_share,homeless_quality,black_count,black_count_lb,black_count_ub,black_share,black_quality,hispanic_count,hispanic_count_lb,hispanic_count_ub,hispanic_share,hispanic_quality,other_count,other_count_lb,other_count_ub,other_share,other_quality,white_count,white_count_lb,white_count_ub,white_share,white_quality
2019,01,Auburn,0103076,34,34,34,.0038073908,1,19,19,19,.0047006435,1,1,0,2,.00086206896,3,1,0,2,.00040650406,3,13,13,13,.0012747598,1
2019,01,Birmingham,0107000,594,594,594,.01003192,1,465,464,466,.006017392,1,89,89,89,.0075105485,1,10,0,4,.0052465899,3,24,22,26,.00087623222,3
2019,01,Hoover,0135896,40,40,40,.0028447479,1,19,19,19,.0028315946,1,3,3,3,.0012355848,1,6,6,6,.001734104,1,12,12,12,.00077299663,1
2019,01,Huntsville,0137000,402,402,402,.0092712175,1,200,200,200,.0075620087,1,51,51,51,.0056868866,1,29,11,13,.0033627087,3,118,118,118,.002764761,1
2019,01,Mobile,0150000,4005,4004,4006,.073812641,1,2387,2386,2388,.044073116,1,367,367,367,.069824964,1,181,181,181,.025931232,1,1070,1070,1070,.025402403,1
2019,01,Montgomery,0151000,288,288,288,.010218201,1,275,275,275,.0062054335,1,6,6,6,.0012412081,1,2,0,2,.00076277653,3,3,3,3,.00065245759,1
2019,01,Tuscaloosa,0177256,357,357,357,.011915092,1,257,257,257,.0098777767,1,2,0,4,.00040749795,3,2,0,4,.0013404826,3,89,89,89,.0032356577,1
2019,02,Anchorage,0203000,1709,1709,1709,.036632158,1,166,166,166,.037037037,1,204,204,204,.0189099,1,1113,1102,1104,.028340803,1,226,225,227,.0058301515,1
2019,04,Avondale,0404720,334,334,334,.016408745,1,79,79,79,.018755935,1,192,192,192,.0075877332,1,23,0,6,.0086142318,3,26,24,28,.0030502111,3
2019,04,Buckeye,0407940,51,51,51,.0036624775,1,6,5,7,.0036809817,3,27,27,27,.0016974726,1,4,3,5,.0025094103,3,7,5,9,.00080275227,3
2019,04,Chandler,0412000,335,333,337,.0057311002,1,49,46,52,.0081530781,3,148,144,152,.0050733578,2,41,0,14,.0023853851,3,78,75,81,.0012086277,2
2019,04,Flagstaff,0423620,219,218,220,.022174969,1,1,0,2,.0062500001,3,54,53,55,.0099191768,1,107,0,4,.018550623,3,54,53,55,.006443914,1
2019,04,Gilbert,0427400,412,411,413,.0080076186,1,96,94,98,.024870466,1,125,123,127,.0052813925,1,39,24,34,.0035396623,3,135,134,136,.0020977065,1
2019,04,Glendale,0427820,1388,1388,1388,.01511999,1,351,349,353,.025024954,1,576,575,577,.0065112705,1,142,20,28,.0086133685,3,274,270,278,.0042399107,1
2019,04,Goodyear,0428380,,,,,,,,,,,,,,,,,,,,,,,,,
2019,04,Mesa,0446000,1456,1453,1459,.021333333,1,294,289,299,.046592709,1,648,647,649,.011058776,1,225,174,190,.0174581,2,281,277,285,.0047865636,1
2019,04,Peoria,0454050,,,,,,,,,,,,,,,,,,,,,,,,,
2019,04,Phoenix,0455000,5001,4987,5015,.023682229,1,915,893,937,.030762507,1,2756,2732,2780,.011081446,1,452,126,250,.014665801,3,686,658,714,.0060668234,2
2019,04,Scottsdale,0465000,165,165,165,.005757153,1,40,40,40,.018726591,1,55,54,56,.0046133199,1,40,38,40,.0066291019,2,25,24,26,.00067153753,2
2019,04,Surprise,0471510,111,111,111,.0036739153,1,16,15,17,.0039043436,3,34,33,35,.0015694239,2,3,0,4,.00055658625,3,43,42,44,.0014688802,1
2019,04,Tempe,0473000,632,632,632,.014873038,1,206,206,206,.022632388,1,228,228,228,.0070496569,1,140,134,136,.009882818,1,57,56,58,.0019403595,1
2019,04,Tucson,0477000,2508,2503,2513,.026928652,1,168,159,177,.018804567,3,1594,1585,1603,.013401264,1,274,48,76,.018948825,3,413,404,422,.0094008921,1
2019,04,Yuma,0485540,284,284,284,.010061645,1,21,21,21,.028000001,1,211,211,211,.0047558942,1,14,10,14,.0082938392,3,32,32,32,.0033167496,1
2019,05,Fayetteville,0523290,240,240,240,.022581859,1,69,69,69,.032485876,1,29,29,29,.011301637,1,44,0,2,.017571885,3,97,97,97,.0068980232,1
2019,05,Fort Smith,0524550,208,208,208,.013890744,1,30,29,31,.0089020776,2,46,46,46,.0046175467,1,2,0,2,.00043936732,3,111,110,112,.0092009287,1
2019,05,Jonesboro,0535710,294,294,294,.019323036,1,130,129,131,.012989609,1,30,28,32,.0098749176,3,11,11,11,.007078507,1,101,100,102,.0063802907,1
2019,05,Little Rock,0541000,423,420,426,.0093716765,1,273,269,277,.0058213919,1,48,44,52,.0037330845,3,16,0,4,.0033071516,3,69,65,73,.0026869159,3
2019,05,Springdale,0566080,502,502,502,.021389008,1,17,17,17,.015426497,1,153,153,153,.0067436532,1,215,0,2,.027627859,3,115,115,115,.0074830819,1
2019,06,Alameda,0600562,95,94,96,.0085477773,1,35,33,37,.02223634,3,26,24,28,.0070844688,3,25,3,11,.002365632,3,2,0,4,.00031172071,3
2019,06,Alhambra,0600884,296,296,296,.018184053,1,7,7,7,.033333335,1,260,260,260,.019385625,1,24,24,24,.0013152126,1,5,5,5,.0072886297,1
2019,06,Anaheim,0602000,6549,6549,6549,.11898835,1,160,160,160,.068669528,1,5408,5408,5408,.067025259,1,599,541,547,.033392798,1,375,374,376,.041091386,1
2019,06,Antioch,0602252,468,468,468,.02791197,1,145,145,145,.017386092,1,187,187,187,.011860967,1,73,73,73,.013675534,1,63,63,63,.015403423,1
2019,06,Apple Valley,0602364,817,817,817,.055442452,1,122,122,122,.052047782,1,427,427,427,.029282678,1,50,48,50,.027624309,1,217,217,217,.020212369,1
2019,06,Bakersfield,0603526,3325,3324,3326,.02519073,1,539,538,540,.032623168,1,2015,2012,2018,.011798391,1,181,133,149,.0096204951,3,576,575,577,.0099512804,1
2019,06,Bellflower,0604982,194,194,194,.017010083,1,65,65,65,.022429261,1,107,107,107,.0071428572,1,2,0,2,.00068073522,3,15,15,15,.0075225676,1
2019,06,Berkeley,0606000,251,251,251,.018689502,1,138,138,138,.049711816,1,67,67,67,.012106975,1,31,0,4,.0037304452,3,2,0,4,.00019527436,3
2019,06,Buena Park,0608786,755,755,755,.08696153,1,32,32,32,.062015504,1,579,579,579,.05603949,1,75,75,75,.015521524,1,69,69,69,.040876776,1
2019,06,Burbank,0608954,114,114,114,.0075088921,1,14,14,14,.017948719,1,66,66,66,.0064973421,1,2,0,2,.00040584416,3,22,22,22,.0015174507,1
2019,06,Carlsbad,0611194,79,79,79,.0068809339,1,11,11,11,.04074074,1,38,38,38,.0060780551,1,2,0,2,.0005595971,3,25,25,25,.0019428039,1
2019,06,Carson,0611530,31,31,31,.062374245,1,12,12,12,.028846154,1,19,19,19,.035185184,1,0,0,0,0,3,0,0,0,0,3
2019,06,Chico,0613014,777,777,777,.050874092,1,18,15,21,.028938906,3,189,186,192,.025658431,1,122,98,112,.028084714,3,431,430,432,.023644941,1
2019,06,Chino,0613210,2590,2590,2590,.094144158,1,86,86,86,.044147845,1,1815,1815,1815,.058775906,1,523,0,2,.037410587,3,163,163,163,.019839337,1
2019,06,Chino Hills,0613214,4,4,4,.030769231,1,0,0,0,0,3,1,0,2,.0090909088,3,2,0,2,.021739131,3,0,0,0,0,3
2019,06,Chula Vista,0613392,1131,1126,1136,.016441582,1,50,48,52,.011379153,2,932,926,938,.0095261456,1,47,14,22,.00214123,3,51,47,55,.0038065382,3
2019,06,Citrus Heights,0613588,,,,,,,,,,,,,,,,,,,,,,,,,
2019,06,Clovis,0614218,112,112,112,.0025656298,1,10,10,10,.0035971224,1,60,60,60,.0017813669,1,10,10,10,.00055120717,1,32,32,32,.00097841374,1
2019,06,Compton,0615044,352,352,352,.017254902,1,175,175,175,.026865214,1,169,169,169,.0051458497,1,2,0,2,.0016420361,3,0,0,0,0,3
2019,06,Concord,0616000,655,655,655,.019376405,1,78,77,79,.034330986,1,423,422,424,.014778841,1,82,0,2,.00499391,3,67,67,67,.0033014684,1
2019,06,Corona,0616350,744,744,744,.04045897,1,31,30,32,.022660818,2,631,630,632,.02160663,1,28,28,28,.010339734,1,53,53,53,.015142857,1
2019,06,Costa Mesa,0616532,992,992,992,.042721793,1,44,44,44,.084942088,1,824,824,824,.037133843,1,49,20,22,.0094267027,2,71,71,71,.003829971,1
2019,06,Daly City,0617918,153,153,153,.014454417,1,2,0,4,.0073529412,3,58,57,59,.0078441976,1,76,0,6,.0066387141,3,12,12,12,.0058083255,1
2019,06,Downey,0619766,479,479,479,.019940885,1,102,102,102,.054545455,1,351,351,351,.0084704859,1,5,0,4,.0021222411,3,17,17,17,.0071368599,1
2019,06,El Cajon,0621712,1002,1001,1003,.025910219,1,155,154,156,.036643025,1,480,480,480,.017266188,1,100,62,70,.010626992,3,256,255,257,.0071301246,1
2019,06,El Monte,0622230,2350,2350,2350,.10514071,1,5,3,7,.036764707,3,2033,2033,2033,.054862909,1,295,187,191,.04167844,1,6,4,8,.013888889,3
2019,06,Elk Grove,0622020,664,663,665,.010297767,1,278,278,278,.019090785,1,186,185,187,.0052706148,1,124,123,125,.0022340731,1,75,74,76,.0031774275,1
2019,06,Escondido,0622804,1764,1764,1764,.064040661,1,45,43,47,.052816901,2,1464,1462,1466,.0387979,1,89,6,16,.018689627,3,155,152,158,.013200477,1
2019,06,Fairfield,0623182,379,379,379,.013980081,1,107,107,107,.014746416,1,193,193,193,.008760781,1,43,6,10,.0030414485,3,32,31,33,.0029640608,2
2019,06,Folsom,0624638,,,,,,,,,,,,,,,,,,,,,,,,,
