year,state,city_name,stateplacefp,homeless_count,homeless_count_lb,homeless_count_ub,homeless_share,homeless_quality
2019,01,Auburn,0103076,34,34,34,.0038073908,1
2019,01,Birmingham,0107000,594,594,594,.01003192,1
2019,01,Hoover,0135896,40,40,40,.0028447479,1
2019,01,Huntsville,0137000,402,402,402,.0092712175,1
2019,01,Mobile,0150000,4005,4004,4006,.073812641,1
2019,01,Montgomery,0151000,288,288,288,.010218201,1
2019,01,Tuscaloosa,0177256,357,357,357,.011915092,1
2019,02,Anchorage,0203000,1709,1709,1709,.036632158,1
2019,04,Avondale,0404720,334,334,334,.016408745,1
2019,04,Buckeye,0407940,51,51,51,.0036624775,1
2019,04,Chandler,0412000,335,333,337,.0057311002,1
2019,04,Flagstaff,0423620,219,218,220,.022174969,1
2019,04,Gilbert,0427400,412,411,413,.0080076186,1
2019,04,Glendale,0427820,1388,1388,1388,.01511999,1
2019,04,Goodyear,0428380,,,,,
2019,04,Mesa,0446000,1456,1453,1459,.021333333,1
2019,04,Peoria,0454050,,,,,
2019,04,Phoenix,0455000,5001,4987,5015,.023682229,1
2019,04,Scottsdale,0465000,165,165,165,.005757153,1
2019,04,Surprise,0471510,111,111,111,.0036739153,1
2019,04,Tempe,0473000,632,632,632,.014873038,1
2019,04,Tucson,0477000,2508,2503,2513,.026928652,1
2019,04,Yuma,0485540,284,284,284,.010061645,1
2019,05,Fayetteville,0523290,240,240,240,.022581859,1
2019,05,Fort Smith,0524550,208,208,208,.013890744,1
2019,05,Jonesboro,0535710,294,294,294,.019323036,1
2019,05,Little Rock,0541000,423,420,426,.0093716765,1
2019,05,Springdale,0566080,502,502,502,.021389008,1
2019,06,Alameda,0600562,95,94,96,.0085477773,1
2019,06,Alhambra,0600884,296,296,296,.018184053,1
2019,06,Anaheim,0602000,6549,6549,6549,.11898835,1
2019,06,Antioch,0602252,468,468,468,.02791197,1
2019,06,Apple Valley,0602364,817,817,817,.055442452,1
2019,06,Bakersfield,0603526,3325,3324,3326,.02519073,1
2019,06,Bellflower,0604982,194,194,194,.017010083,1
2019,06,Berkeley,0606000,251,251,251,.018689502,1
2019,06,Buena Park,0608786,755,755,755,.08696153,1
2019,06,Burbank,0608954,114,114,114,.0075088921,1
2019,06,Carlsbad,0611194,79,79,79,.0068809339,1
2019,06,Carson,0611530,31,31,31,.062374245,1
2019,06,Chico,0613014,777,777,777,.050874092,1
2019,06,Chino,0613210,2590,2590,2590,.094144158,1
2019,06,Chino Hills,0613214,4,4,4,.030769231,1
2019,06,Chula Vista,0613392,1131,1126,1136,.016441582,1
2019,06,Citrus Heights,0613588,,,,,
2019,06,Clovis,0614218,112,112,112,.0025656298,1
2019,06,Compton,0615044,352,352,352,.017254902,1
2019,06,Concord,0616000,655,655,655,.019376405,1
2019,06,Corona,0616350,744,744,744,.04045897,1
2019,06,Costa Mesa,0616532,992,992,992,.042721793,1
2019,06,Daly City,0617918,153,153,153,.014454417,1
2019,06,Downey,0619766,479,479,479,.019940885,1
2019,06,El Cajon,0621712,1002,1001,1003,.025910219,1
2019,06,El Monte,0622230,2350,2350,2350,.10514071,1
2019,06,Elk Grove,0622020,664,663,665,.010297767,1
2019,06,Escondido,0622804,1764,1764,1764,.064040661,1
2019,06,Fairfield,0623182,379,379,379,.013980081,1
2019,06,Folsom,0624638,,,,,
2019,06,Fontana,0624680,721,721,721,.019031279,1
2019,06,Fremont,0626000,275,275,275,.0076856432,1
2019,06,Fresno,0627000,1230,1228,1232,.012318725,1
2019,06,Fullerton,0628000,504,504,504,.019031795,1
2019,06,Garden Grove,0629000,966,966,966,.023320377,1
2019,06,Glendale,0630000,1874,1874,1874,.073409587,1
2019,06,Hawthorne,0632548,41,40,42,.0048122066,1
2019,06,Hayward,0633000,787,786,788,.038654223,1
2019,06,Hemet,0633182,947,947,947,.041762214,1
2019,06,Hesperia,0633434,2084,2084,2084,.083728403,1
2019,06,Huntington Beach,0636000,1135,1135,1135,.037661348,1
2019,06,Indio,0636448,,,,,
2019,06,Inglewood,0636546,223,221,225,.017848568,1
2019,06,Irvine,0636770,124,124,124,.0032950679,1
2019,06,Jurupa Valley,0637692,293,293,293,.015349154,1
2019,06,Lake Forest,0639496,,,,,
2019,06,Lakewood,0639892,,,,,
2019,06,Lancaster,0640130,1961,1960,1962,.04404366,1
2019,06,Livermore,0641992,141,141,141,.01027547,1
2019,06,Long Beach,0643000,6355,6355,6355,.088092595,1
2019,06,Los Angeles,0644000,9556,9528,9584,.017761884,1
2019,06,Manteca,0645484,1324,1324,1324,.055550892,1
2019,06,Menifee,0646842,50,49,51,.004041384,1
2019,06,Merced,0646898,176,176,176,.010769796,1
2019,06,Milpitas,0647766,365,365,365,.035409391,1
2019,06,Mission Viejo,0648256,1233,1233,1233,.046708085,1
2019,06,Modesto,0648354,974,972,976,.019162666,1
2019,06,Moreno Valley,0649270,6645,6644,6646,.20010239,1
2019,06,Mountain View,0649670,240,240,240,.024922118,1
2019,06,Murrieta,0650076,463,463,463,.019727312,1
2019,06,Napa,0650258,358,358,358,.020454805,1
2019,06,Newport Beach,0651182,14,14,14,.078651689,1
2019,06,Norwalk,0652526,5374,5374,5374,.31742468,1
2019,06,Oakland,0653000,1266,1262,1270,.027747337,1
2019,06,Oceanside,0653322,435,434,436,.020497598,1
2019,06,Ontario,0653896,3989,3989,3989,.085949451,1
2019,06,Orange,0653980,298,298,298,.010919351,1
2019,06,Oxnard,0654652,3961,3961,3961,.094915174,1
2019,06,Palmdale,0655156,352,351,353,.015044664,1
