"year","state","county","subgroup_type","subgroup","share_digital_access","share_digital_access_quality"
2018,"01","001","income","$50,000 or More",0.76498583257682,3
2018,"01","001","income","Less than $50,000",0.387815015173506,3
2018,"01","003","income","$50,000 or More",0.687096324520236,1
2018,"01","003","income","Less than $50,000",0.396093310848791,1
2018,"01","005","income","$50,000 or More",0.593320526082459,3
2018,"01","005","income","Less than $50,000",0.277529199837294,3
2018,"01","007","income","$50,000 or More",0.535839274141283,3
2018,"01","007","income","Less than $50,000",0.278477088113102,3
2018,"01","009","income","$50,000 or More",0.662051879918391,2
2018,"01","009","income","Less than $50,000",0.358179109159348,2
2018,"01","011","income","$50,000 or More",0.593320526082459,3
2018,"01","011","income","Less than $50,000",0.277529199837294,3
2018,"01","013","income","$50,000 or More",0.665851479095142,3
2018,"01","013","income","Less than $50,000",0.31934934895318,3
2018,"01","015","income","$50,000 or More",0.702672978530101,1
2018,"01","015","income","Less than $50,000",0.385240464344942,1
2018,"01","017","income","$50,000 or More",0.585682326621924,3
2018,"01","017","income","Less than $50,000",0.286592433875443,3
2018,"01","019","income","$50,000 or More",0.58541849868095,3
2018,"01","019","income","Less than $50,000",0.32555534304216,3
2018,"01","021","income","$50,000 or More",0.585682326621924,3
2018,"01","021","income","Less than $50,000",0.286592433875443,3
2018,"01","023","income","$50,000 or More",0.489668021680217,3
2018,"01","023","income","Less than $50,000",0.192602930914166,3
2018,"01","025","income","$50,000 or More",0.489668021680217,3
2018,"01","025","income","Less than $50,000",0.192602930914166,3
2018,"01","027","income","$50,000 or More",0.58541849868095,3
2018,"01","027","income","Less than $50,000",0.32555534304216,3
2018,"01","029","income","$50,000 or More",0.58541849868095,3
2018,"01","029","income","Less than $50,000",0.32555534304216,3
2018,"01","031","income","$50,000 or More",0.665851479095142,2
2018,"01","031","income","Less than $50,000",0.31934934895318,2
2018,"01","033","income","$50,000 or More",0.598646755491967,3
2018,"01","033","income","Less than $50,000",0.298591000900397,3
2018,"01","035","income","$50,000 or More",0.489668021680217,3
2018,"01","035","income","Less than $50,000",0.192602930914166,3
2018,"01","037","income","$50,000 or More",0.585682326621924,3
2018,"01","037","income","Less than $50,000",0.286592433875443,3
2018,"01","039","income","$50,000 or More",0.665851479095142,3
2018,"01","039","income","Less than $50,000",0.31934934895318,3
2018,"01","041","income","$50,000 or More",0.665851479095142,3
2018,"01","041","income","Less than $50,000",0.31934934895318,3
2018,"01","043","income","$50,000 or More",0.549052191038897,1
2018,"01","043","income","Less than $50,000",0.333933431023655,1
2018,"01","045","income","$50,000 or More",0.671399414322478,3
2018,"01","045","income","Less than $50,000",0.377632376105659,3
2018,"01","047","income","$50,000 or More",0.535839274141283,3
2018,"01","047","income","Less than $50,000",0.278477088113102,3
2018,"01","049","income","$50,000 or More",0.664005846309517,2
2018,"01","049","income","Less than $50,000",0.352526926263463,2
2018,"01","051","income","$50,000 or More",0.76498583257682,2
2018,"01","051","income","Less than $50,000",0.387815015173506,2
2018,"01","053","income","$50,000 or More",0.489668021680217,3
2018,"01","053","income","Less than $50,000",0.192602930914166,3
2018,"01","055","income","$50,000 or More",0.708844262780641,1
2018,"01","055","income","Less than $50,000",0.410257581293387,1
2018,"01","057","income","$50,000 or More",0.571868250539957,3
2018,"01","057","income","Less than $50,000",0.295278488555505,3
2018,"01","059","income","$50,000 or More",0.598646755491967,3
2018,"01","059","income","Less than $50,000",0.298591000900397,3
2018,"01","061","income","$50,000 or More",0.671399414322478,3
2018,"01","061","income","Less than $50,000",0.377632376105659,3
2018,"01","063","income","$50,000 or More",0.535839274141283,3
2018,"01","063","income","Less than $50,000",0.278477088113102,3
2018,"01","065","income","$50,000 or More",0.535839274141283,3
2018,"01","065","income","Less than $50,000",0.278477088113102,3
2018,"01","067","income","$50,000 or More",0.671399414322478,3
2018,"01","067","income","Less than $50,000",0.377632376105659,3
2018,"01","069","income","$50,000 or More",0.671399414322478,2
2018,"01","069","income","Less than $50,000",0.377632376105659,2
2018,"01","071","income","$50,000 or More",0.664005846309517,2
2018,"01","071","income","Less than $50,000",0.352526926263463,2
2018,"01","073","income","$50,000 or More",0.776851096932479,1
2018,"01","073","income","Less than $50,000",0.451512360983212,1
2018,"01","075","income","$50,000 or More",0.571868250539957,3
2018,"01","075","income","Less than $50,000",0.295278488555505,3
2018,"01","077","income","$50,000 or More",0.598646755491967,2
2018,"01","077","income","Less than $50,000",0.298591000900397,2
2018,"01","079","income","$50,000 or More",0.657886340270146,3
2018,"01","079","income","Less than $50,000",0.347052795133723,3
2018,"01","081","income","$50,000 or More",0.774513479431512,1
2018,"01","081","income","Less than $50,000",0.553709376664891,1
2018,"01","083","income","$50,000 or More",0.784446105686119,2
2018,"01","083","income","Less than $50,000",0.475298819524109,2
2018,"01","085","income","$50,000 or More",0.76498583257682,3
2018,"01","085","income","Less than $50,000",0.387815015173506,3
2018,"01","087","income","$50,000 or More",0.593320526082459,3
2018,"01","087","income","Less than $50,000",0.277529199837294,3
2018,"01","089","income","$50,000 or More",0.820375555012895,1
2018,"01","089","income","Less than $50,000",0.520571589940326,1
2018,"01","091","income","$50,000 or More",0.535839274141283,3
2018,"01","091","income","Less than $50,000",0.278477088113102,3
2018,"01","093","income","$50,000 or More",0.579587515546013,3
2018,"01","093","income","Less than $50,000",0.296085398729884,3
2018,"01","095","income","$50,000 or More",0.782497285559175,1
2018,"01","095","income","Less than $50,000",0.43595166163142,1
2018,"01","097","income","$50,000 or More",0.690561150682667,1
2018,"01","097","income","Less than $50,000",0.392465885066308,1
2018,"01","099","income","$50,000 or More",0.489668021680217,3
2018,"01","099","income","Less than $50,000",0.192602930914166,3
2018,"01","101","income","$50,000 or More",0.794952289417559,1
2018,"01","101","income","Less than $50,000",0.472344532202487,1
2018,"01","103","income","$50,000 or More",0.657886340270146,1
2018,"01","103","income","Less than $50,000",0.347052795133723,1
2018,"01","105","income","$50,000 or More",0.535839274141283,3
2018,"01","105","income","Less than $50,000",0.278477088113102,3
2018,"01","107","income","$50,000 or More",0.623413516609393,3
2018,"01","107","income","Less than $50,000",0.31771932001489,3
2018,"01","109","income","$50,000 or More",0.593320526082459,3
2018,"01","109","income","Less than $50,000",0.277529199837294,3
2018,"01","111","income","$50,000 or More",0.58541849868095,3
2018,"01","111","income","Less than $50,000",0.32555534304216,3
